"anio","iso3","pais_nombre","produccion_captura","produccion_acuicola","produccion_total","participacion"
"2023","ROU","Rumania","6613.72","11264.3","17878.02","7.81803824240171e-05"
"2023","ISR","Israel","2135","14500","16635","7.27446698025579e-05"
"2023","BGR","Bulgaria","6703.989","9928.228","16632.217","7.2732499774541e-05"
"2023","TKM","Turkmenistán","15210","180","15390","6.73002986631419e-05"
"2023","MDA","Moldavia","0","14245","14245","6.2293226410426e-05"
"2023","PYF","Polinesia Francesa","12818.53","1246.5","14065.03","6.15062196040319e-05"
"2023","COM","Comoras","13883.302","0","13883.302","6.07115250832096e-05"
"2023","AFG","Afganistán","2000","11660","13660","5.97350279232306e-05"
"2023","JAM","Jamaica","12529","970.2","13499.2","5.90318513134168e-05"
"2023","TTO","Trinidad y Tobago","13111.316","5.5","13116.816","5.73596903384976e-05"
"2023","WSM","Samoa","10360.55","13.254","10373.804","4.53645294004481e-05"
"2023","TLS","Timor-Leste","7967.31","1165","9132.31","3.99354899599998e-05"
"2023","BHS","Bahamas","8699.373","1","8700.373","3.80466342677541e-05"
"2023","SRB","Serbia","2470","5806.37","8276.37","3.61924738691792e-05"
"2023","CPV","Cabo Verde","8138.314","35","8173.314","3.57418111285015e-05"
"2023","BLR","Belarús","553.803","7438.7","7992.503","3.49511266384703e-05"
"2023","GNQ","Guinea Ecuatorial","7228.452","19","7247.452","3.16930269101225e-05"
"2023","CYP","Chipre","1223.843","5700.2","6924.043","3.02787629536346e-05"
"2023","SGP","Singapur","1974","4207.03","6181.03","2.70295753765978e-05"
"2023","SYR","Siria","4450","1655","6105","2.66970970330397e-05"
"2023","STP","Santo Tomé y Príncipe","5647.747","0","5647.747","2.4697534754637e-05"
"2023","AUT","Austria","350","5170.229","5520.229","2.41398999602948e-05"
"2023","TJK","Tayikistán","2600.002","2348","4948.002","2.16375576598976e-05"
"2023","SVK","Eslovaquia","1655.55","2768","4423.55","1.93441349026213e-05"
"2023","BIH","Bosnia y Herzegovina","305","4065.6","4370.6","1.91125851421136e-05"
"2023","NCL","Nueva Caledonia","2763.655","1429","4192.655","1.83344336381751e-05"
"2023","COK","Islas Cook","3941.77","9.5","3951.27","1.72788597205141e-05"
"2023","CHE","Suiza","1446","2500","3946","1.7255814069185e-05"
"2023","PSE","Palestina","3260","631","3891","1.70152996815e-05"
"2023","GRD","Granada","3622.985","26","3648.985","1.59569707808528e-05"
"2023","LBN","Líbano","2630","938","3568","1.56028242774588e-05"
"2023","JOR","Jordania","655","2719.4","3374.4","1.47562136328074e-05"
"2023","ATG","Antigua y Barbuda","3265","20","3285","1.43652684280975e-05"
"2023","KWT","Kuwait","2808","464","3272","1.43084195728265e-05"
"2023","REU","Reunión","3152.001","70","3222.001","1.40897745024654e-05"
"2023","DJI","Djibouti","3185.8","0","3185.8","1.39314679324911e-05"
"2023","IMN","Isla de Man","2946","0","2946","1.28828252021843e-05"
"2023","TCA","Islas Turcas y Caicos","2358.7","0","2358.7","1.03145688405947e-05"
"2023","MKD","Macedonia del Norte","435","1873.2","2308.2","1.00937329028112e-05"
"2023","CUW","Curazao","2250.296","0","2250.296","9.84051935545637e-06"
"2023","MNE","Montenegro","815.8","1364","2179.8","9.53224113228828e-06"
"2023","PRI","Puerto Rico","2149","11","2160","9.44565595272167e-06"
"2023","JEY","Jersey","960","1152.032","2112.032","9.23589242274938e-06"
"2023","GLP","Guadalupe","2027","55","2082","9.10456282109561e-06"
"2023","LCA","Santa Lucía","1852.597","157.32","2009.917","8.78934466459559e-06"
"2023","LSO","Lesotho","0","2006.8","2006.8","8.77571405829715e-06"
"2023","SPM","San Pedro y Miquelón","2005","0","2005","8.76784267833655e-06"
"2023","ERI","Eritrea","1861.932","4","1865.932","8.15969986258049e-06"
"2023","GUF","Guayana Francesa","1831","3","1834","8.02006158207942e-06"
"2023","MAC","Macao","1500","0","1500","6.55948330050116e-06"
"2023","SVN","Eslovenia","261.532","1138.8","1400.332","6.12363624610493e-06"
"2023","VCT","San Vicente y las Granadinas","1311.694","13","1324.694","5.79287211418272e-06"
"2023","MTQ","Martinica","1216","42","1258","5.50121999468697e-06"
"2023","TON","Tonga","1144.14","100","1244.14","5.44061036899034e-06"
"2023","ASM","Samoa Americana","1209.031","18","1227.031","5.36579290246482e-06"
"2023","BWA","Botswana","1041","166","1207","5.27819756246993e-06"
"2023","GGY","Guernsey","1105","60","1165","5.0945320300559e-06"
"2023","VGB","Islas Vírgenes Británicas","1126.541","1","1127.541","4.93072424008692e-06"
"2023","AIA","Anguila","1075","0","1075","4.70096303202583e-06"
"2023","MYT","Mayotte","905","0","905","3.9575549246357e-06"
"2023","BRB","Barbados","898.573","5.5","904.073","3.95350116395599e-06"
"2023","PLW","Palau","803.31","11","814.31","3.5609685642874e-06"
"2023","KNA","Saint Kitts y Nevis","675","4","679","2.96925944069352e-06"
