geocodigoFundar,geonombreFundar,anio,tipo_carne,valor,share
ARM,Armenia,2022,Otras carnes,0.04,0.0618907628036516
ARM,Armenia,2022,Pescados y mariscos,5.14,7.95296302026922
ARM,Armenia,2022,Porcina,11.36,17.576976636237
ARM,Armenia,2022,Vacuna,25.76,39.8576512455516
ATG,Antigua y Barbuda,2022,Aviar,68.33,46.4292994496161
ATG,Antigua y Barbuda,2022,Caprina y ovina,1.39,0.944485968607733
ATG,Antigua y Barbuda,2022,Otras carnes,0.22,0.149486987837195
ATG,Antigua y Barbuda,2022,Pescados y mariscos,54.27,36.8757219542026
ATG,Antigua y Barbuda,2022,Porcina,10.54,7.16178569001835
ATG,Antigua y Barbuda,2022,Vacuna,12.42,8.43921994971801
AUS,Australia,2022,Aviar,49.09,35.8766352408098
AUS,Australia,2022,Caprina y ovina,9.72,7.103705327779
AUS,Australia,2022,Otras carnes,0.94,0.68698384857122
AUS,Australia,2022,Pescados y mariscos,24.49,17.8981217569246
AUS,Australia,2022,Porcina,26.6,19.4401812468026
AUS,Australia,2022,Vacuna,25.99,18.9943725791128
AUT,Austria,2022,Aviar,19.14,20.7142857142857
AUT,Austria,2022,Caprina y ovina,1.0,1.08225108225108
AUT,Austria,2022,Otras carnes,0.52,0.562770562770563
AUT,Austria,2022,Pescados y mariscos,14.44,15.6277056277056
AUT,Austria,2022,Porcina,42.82,46.3419913419913
AUT,Austria,2022,Vacuna,14.48,15.6709956709957
AZE,Azerbaiyán,2022,Aviar,16.06,37.6730002345766
AZE,Azerbaiyán,2022,Caprina y ovina,8.6,20.1735866760497
AZE,Azerbaiyán,2022,Otras carnes,0.0,0.0
AZE,Azerbaiyán,2022,Pescados y mariscos,2.13,4.99648135116116
AZE,Azerbaiyán,2022,Porcina,0.81,1.90007037297678
AZE,Azerbaiyán,2022,Vacuna,15.03,35.2568613652357
BDI,Burundi,2022,Aviar,0.66,10.7142857142857
BDI,Burundi,2022,Caprina y ovina,0.79,12.8246753246753
BDI,Burundi,2022,Otras carnes,0.05,0.811688311688312
BDI,Burundi,2022,Pescados y mariscos,2.48,40.2597402597403
BDI,Burundi,2022,Porcina,0.87,14.1233766233766
BDI,Burundi,2022,Vacuna,1.31,21.2662337662338
BEL,Bélgica,2022,Aviar,16.25,18.3574333483958
BEL,Bélgica,2022,Caprina y ovina,0.92,1.03931314957072
BEL,Bélgica,2022,Otras carnes,2.08,2.34975146859467
BEL,Bélgica,2022,Pescados y mariscos,24.04,27.1577044735653
BEL,Bélgica,2022,Porcina,32.3,36.4889290555807
BEL,Bélgica,2022,Vacuna,12.93,14.6068685042928
BEN,Benin,2022,Aviar,10.69,32.3253704263683
BEN,Benin,2022,Caprina y ovina,2.69,8.13426065920774
BEN,Benin,2022,Otras carnes,0.66,1.99576655579075
BEN,Benin,2022,Pescados y mariscos,15.27,46.1747807680677
BEN,Benin,2022,Porcina,1.01,3.05412760810402
BEN,Benin,2022,Vacuna,2.75,8.31569398246145
BFA,Burkina Faso,2022,Aviar,6.66,18.7183811129848
BFA,Burkina Faso,2022,Caprina y ovina,2.23,6.26756604834177
BFA,Burkina Faso,2022,Otras carnes,0.42,1.18043844856661
BFA,Burkina Faso,2022,Pescados y mariscos,10.66,29.9606520517144
BFA,Burkina Faso,2022,Porcina,9.89,27.796514896009
BFA,Burkina Faso,2022,Vacuna,5.72,16.0764474423834
BGD,Bangladesh,2022,Aviar,1.66,5.52412645590682
BGD,Bangladesh,2022,Caprina y ovina,1.32,4.39267886855241
BGD,Bangladesh,2022,Otras carnes,0.1,0.332778702163062
BGD,Bangladesh,2022,Pescados y mariscos,25.7,85.5241264559068
BGD,Bangladesh,2022,Porcina,0.01,0.0332778702163062
BGD,Bangladesh,2022,Vacuna,1.26,4.19301164725458
BGR,Bulgaria,2022,Aviar,20.87,30.6191314553991
BGR,Bulgaria,2022,Caprina y ovina,1.41,2.06866197183099
BGR,Bulgaria,2022,Otras carnes,0.75,1.10035211267606
BGR,Bulgaria,2022,Pescados y mariscos,7.32,10.7394366197183
BGR,Bulgaria,2022,Porcina,34.2,50.1760563380282
BGR,Bulgaria,2022,Vacuna,3.61,5.29636150234742
BHR,Bahrein,2022,Aviar,46.73,42.8087211432759
BHR,Bahrein,2022,Caprina y ovina,23.39,21.4272627336021
BHR,Bahrein,2022,Otras carnes,1.6,1.46573836570172
BHR,Bahrein,2022,Pescados y mariscos,21.07,19.3019421033346
BHR,Bahrein,2022,Porcina,0.88,0.806156101135947
BHR,Bahrein,2022,Vacuna,15.49,14.1901795529498
BHS,Bahamas,2022,Aviar,63.27,46.8458462905375
BHS,Bahamas,2022,Caprina y ovina,2.79,2.06574855619725
BHS,Bahamas,2022,Otras carnes,0.49,0.362801717755072
BHS,Bahamas,2022,Pescados y mariscos,26.98,19.9763068265956
BHS,Bahamas,2022,Porcina,30.44,22.5381312009477
BHS,Bahamas,2022,Vacuna,11.09,8.21116540796683
BIH,Bosnia y Herzegovina,2022,Aviar,21.82,39.9049012435991
BIH,Bosnia y Herzegovina,2022,Caprina y ovina,0.37,0.676664228237015
BIH,Bosnia y Herzegovina,2022,Otras carnes,0.4,0.731528895391368
BIH,Bosnia y Herzegovina,2022,Pescados y mariscos,5.76,10.5340160936357
BIH,Bosnia y Herzegovina,2022,Porcina,13.06,23.8844184345282
BIH,Bosnia y Herzegovina,2022,Vacuna,13.27,24.2684711046086
BLR,Belarús,2022,Aviar,35.13,33.0231246474901
BLR,Belarús,2022,Caprina y ovina,0.09,0.0846023688663283
BLR,Belarús,2022,Otras carnes,0.19,0.178605000940026
BLR,Belarús,2022,Pescados y mariscos,11.92,11.2051137431848
BLR,Belarús,2022,Porcina,36.42,34.2357586012408
BLR,Belarús,2022,Vacuna,22.63,21.2727956382779
BLZ,Belice,2022,Aviar,30.33,43.867515186578
BLZ,Belice,2022,Caprina y ovina,0.12,0.173560890945907
BLZ,Belice,2022,Otras carnes,0.2,0.289268151576511
BLZ,Belice,2022,Pescados y mariscos,17.18,24.8481342204223
BLZ,Belice,2022,Porcina,16.34,23.633207983801
BLZ,Belice,2022,Vacuna,4.97,7.18831356667631
BOL,Bolivia,2022,Aviar,42.45,51.8378312370253
BOL,Bolivia,2022,Caprina y ovina,3.2,3.90768103553547
BOL,Bolivia,2022,Otras carnes,1.79,2.18585907925266
BOL,Bolivia,2022,Pescados y mariscos,2.13,2.6010501892783
BOL,Bolivia,2022,Porcina,10.14,12.382464281353
BOL,Bolivia,2022,Vacuna,22.18,27.0851141775553
BRA,Brasil,2022,Aviar,47.05,44.041935785828
BRA,Brasil,2022,Caprina y ovina,0.64,0.599082654685014
BRA,Brasil,2022,Otras carnes,0.36,0.33698399326032
BRA,Brasil,2022,Pescados y mariscos,8.03,7.51661518300103
BRA,Brasil,2022,Porcina,16.16,15.1268370307966
BRA,Brasil,2022,Vacuna,34.59,32.3785453524291
BRB,Barbados,2022,Aviar,56.37,42.6463912846119
BRB,Barbados,2022,Caprina y ovina,4.04,3.0564381903465
BRB,Barbados,2022,Otras carnes,0.09,0.0680889695869269
BRB,Barbados,2022,Pescados y mariscos,43.27,32.7356634891814
BRB,Barbados,2022,Porcina,13.6,10.2889998486912
BRB,Barbados,2022,Vacuna,14.81,11.2044182175821
BTN,Bhután,2022,Aviar,4.81,21.8835304822566
BTN,Bhután,2022,Caprina y ovina,0.25,1.13739763421292
BTN,Bhután,2022,Otras carnes,0.0,0.0
BTN,Bhután,2022,Pescados y mariscos,6.29,28.6169244767971
BTN,Bhután,2022,Porcina,3.33,15.1501364877161
BTN,Bhután,2022,Vacuna,7.3,33.2120109190173
BWA,Botswana,2022,Aviar,2.56,8.15806246016571
BWA,Botswana,2022,Caprina y ovina,1.77,5.64053537284895
BWA,Botswana,2022,Otras carnes,11.53,36.7431485022307
BWA,Botswana,2022,Pescados y mariscos,2.11,6.72402804333971
BWA,Botswana,2022,Porcina,0.33,1.05162523900574
BWA,Botswana,2022,Vacuna,13.08,41.6826003824092
CAF,Rep. Centroafricana,2022,Aviar,2.33,6.52295632698768
CAF,Rep. Centroafricana,2022,Caprina y ovina,4.76,13.3258678611422
CAF,Rep. Centroafricana,2022,Otras carnes,6.34,17.7491601343785
CAF,Rep. Centroafricana,2022,Pescados y mariscos,0.0,0.0
CAF,Rep. Centroafricana,2022,Porcina,3.53,9.88241881298992
CAF,Rep. Centroafricana,2022,Vacuna,18.76,52.5195968645017
CAN,Canadá,2022,Aviar,41.17,36.9834710743802
CAN,Canadá,2022,Caprina y ovina,1.23,1.10492274523895
CAN,Canadá,2022,Otras carnes,0.61,0.54796981674452
CAN,Canadá,2022,Pescados y mariscos,20.36,18.2896155228171
CAN,Canadá,2022,Porcina,22.41,20.1311534315487
CAN,Canadá,2022,Vacuna,25.54,22.9428674092706
CHE,Suiza,2022,Aviar,18.01,21.5947242206235
CHE,Suiza,2022,Caprina y ovina,1.27,1.52278177458034
CHE,Suiza,2022,Otras carnes,1.02,1.22302158273381
CHE,Suiza,2022,Pescados y mariscos,16.72,20.0479616306954
CHE,Suiza,2022,Porcina,27.7,33.2134292565947
CHE,Suiza,2022,Vacuna,18.68,22.3980815347722
CHL,Chile,2022,Aviar,38.51,36.152835148329
CHL,Chile,2022,Caprina y ovina,0.42,0.394292151708599
CHL,Chile,2022,Otras carnes,0.84,0.788584303417199
CHL,Chile,2022,Pescados y mariscos,14.4,13.5185880585805
CHL,Chile,2022,Porcina,25.02,23.4885467517837
CHL,Chile,2022,Vacuna,27.33,25.657153586181
CHN,China,2022,Aviar,17.14,15.365307037203
CHN,China,2022,Caprina y ovina,3.86,3.46033168982519
CHN,China,2022,Otras carnes,0.77,0.690273419991035
CHN,China,2022,Pescados y mariscos,41.58,37.2747646795159
CHN,China,2022,Porcina,40.16,36.001792917974
CHN,China,2022,Vacuna,8.04,7.20753025549081
CIV,Costa de Marfil,2022,Aviar,2.45,7.61342448725917
CIV,Costa de Marfil,2022,Caprina y ovina,0.6,1.86451211932878
CIV,Costa de Marfil,2022,Otras carnes,6.75,20.9757613424487
CIV,Costa de Marfil,2022,Pescados y mariscos,20.94,65.0714729645743
CIV,Costa de Marfil,2022,Porcina,0.56,1.74021131137352
CIV,Costa de Marfil,2022,Vacuna,0.88,2.73461777501554
CMR,Camerún,2022,Aviar,4.45,13.5670731707317
CMR,Camerún,2022,Caprina y ovina,1.54,4.69512195121951
CMR,Camerún,2022,Otras carnes,2.85,8.6890243902439
CMR,Camerún,2022,Pescados y mariscos,17.81,54.2987804878049
CMR,Camerún,2022,Porcina,1.81,5.51829268292683
CMR,Camerún,2022,Vacuna,4.34,13.2317073170732
COD,Rep. Dem. Congo,2022,Aviar,1.02,13.5458167330677
COD,Rep. Dem. Congo,2022,Caprina y ovina,0.21,2.78884462151394
COD,Rep. Dem. Congo,2022,Otras carnes,1.73,22.9747675962815
COD,Rep. Dem. Congo,2022,Pescados y mariscos,3.51,46.6135458167331
COD,Rep. Dem. Congo,2022,Porcina,0.74,9.8273572377158
COD,Rep. Dem. Congo,2022,Vacuna,0.32,4.24966799468791
COG,Congo,2022,Aviar,27.6,37.7513336068937
COG,Congo,2022,Caprina y ovina,0.26,0.355628504992477
COG,Congo,2022,Otras carnes,8.1,11.0791957324579
COG,Congo,2022,Pescados y mariscos,24.0,32.8272466146902
COG,Congo,2022,Porcina,9.71,13.2813568595267
COG,Congo,2022,Vacuna,3.44,4.70523868143893
COL,Colombia,2022,Aviar,36.65,51.1514305652477
COL,Colombia,2022,Caprina y ovina,0.02,0.0279134682484299
COL,Colombia,2022,Otras carnes,0.16,0.223307745987439
COL,Colombia,2022,Pescados y mariscos,8.73,12.1842288904396
COL,Colombia,2022,Porcina,13.43,18.7438939288207
COL,Colombia,2022,Vacuna,12.66,17.6692254012561
COM,Comoras,2022,Aviar,23.05,49.708863489325
COM,Comoras,2022,Caprina y ovina,0.6,1.29394004744447
COM,Comoras,2022,Otras carnes,0.01,0.0215656674574078
COM,Comoras,2022,Pescados y mariscos,17.04,36.7478973474229
COM,Comoras,2022,Porcina,0.06,0.129394004744447
COM,Comoras,2022,Vacuna,5.61,12.0983394436058
CPV,Cabo Verde,2022,Aviar,23.13,48.0274086378738
CPV,Cabo Verde,2022,Caprina y ovina,1.31,2.72009966777409
CPV,Cabo Verde,2022,Otras carnes,0.15,0.311461794019934
CPV,Cabo Verde,2022,Pescados y mariscos,9.4,19.5182724252492
CPV,Cabo Verde,2022,Porcina,10.75,22.3214285714286
CPV,Cabo Verde,2022,Vacuna,3.42,7.10132890365449
CRI,Costa Rica,2022,Aviar,32.27,41.446185461084
CRI,Costa Rica,2022,Caprina y ovina,0.06,0.0770613922424865
CRI,Costa Rica,2022,Otras carnes,0.0,0.0
CRI,Costa Rica,2022,Pescados y mariscos,17.57,22.5661443616748
CRI,Costa Rica,2022,Porcina,14.74,18.9314153609042
CRI,Costa Rica,2022,Vacuna,13.22,16.9791934240945
CUB,Cuba,2022,Aviar,29.8,44.617457703249
CUB,Cuba,2022,Caprina y ovina,1.68,2.51534660877377
CUB,Cuba,2022,Otras carnes,2.28,3.41368468333583
CUB,Cuba,2022,Pescados y mariscos,6.13,9.17802066177572
CUB,Cuba,2022,Porcina,18.81,28.1628986375206
CUB,Cuba,2022,Vacuna,8.09,12.1125917053451
CYP,Chipre,2022,Aviar,29.09,30.4161438728565
CYP,Chipre,2022,Caprina y ovina,4.14,4.32873274780427
CYP,Chipre,2022,Otras carnes,0.5,0.522793810121288
CYP,Chipre,2022,Pescados y mariscos,19.31,20.1902969468841
CYP,Chipre,2022,Porcina,34.4,35.9682141363446
CYP,Chipre,2022,Vacuna,8.2,8.57381848598912
CZE,Chequia,2022,Aviar,23.87,25.4694835680751
CZE,Chequia,2022,Caprina y ovina,0.29,0.309432351685873
CZE,Chequia,2022,Otras carnes,0.83,0.885616730687153
CZE,Chequia,2022,Pescados y mariscos,10.67,11.3849765258216
CZE,Chequia,2022,Porcina,47.28,50.4481434058899
CZE,Chequia,2022,Vacuna,10.78,11.5023474178404
DEU,Alemania,2022,Aviar,16.51,19.5477148946247
DEU,Alemania,2022,Caprina y ovina,0.75,0.887994316836372
DEU,Alemania,2022,Otras carnes,1.04,1.23135211934644
DEU,Alemania,2022,Pescados y mariscos,13.15,15.5695003551977
DEU,Alemania,2022,Porcina,38.96,46.1283447785934
DEU,Alemania,2022,Vacuna,14.05,16.6350935354014
DJI,Djibouti,2022,Aviar,3.99,21.614301191766
DJI,Djibouti,2022,Caprina y ovina,4.05,21.9393282773564
DJI,Djibouti,2022,Otras carnes,0.64,3.46695557963164
DJI,Djibouti,2022,Pescados y mariscos,3.8,20.5850487540628
DJI,Djibouti,2022,Porcina,0.13,0.704225352112676
DJI,Djibouti,2022,Vacuna,5.85,31.6901408450704
DMA,Dominica,2022,Aviar,46.46,45.1330872352827
DMA,Dominica,2022,Caprina y ovina,1.43,1.38915873324267
DMA,Dominica,2022,Otras carnes,0.02,0.0194287934719254
DMA,Dominica,2022,Pescados y mariscos,23.51,22.8385467262483
DMA,Dominica,2022,Porcina,21.15,20.5459490965611
DMA,Dominica,2022,Vacuna,10.37,10.0738294151933
DNK,Dinamarca,2022,Aviar,17.83,18.5439417576703
DNK,Dinamarca,2022,Caprina y ovina,0.72,0.748829953198128
DNK,Dinamarca,2022,Otras carnes,0.81,0.842433697347894
DNK,Dinamarca,2022,Pescados y mariscos,29.12,30.2860114404576
DNK,Dinamarca,2022,Porcina,25.74,26.7706708268331
DNK,Dinamarca,2022,Vacuna,21.93,22.808112324493
DOM,Rep. Dominicana,2022,Aviar,36.85,55.8502576538345
DOM,Rep. Dominicana,2022,Caprina y ovina,0.2,0.303122158229767
DOM,Rep. Dominicana,2022,Otras carnes,0.03,0.045468323734465
DOM,Rep. Dominicana,2022,Pescados y mariscos,8.21,12.4431645953319
DOM,Rep. Dominicana,2022,Porcina,14.44,21.8854198241891
DOM,Rep. Dominicana,2022,Vacuna,6.25,9.47256744468021
DZA,Argelia,2022,Aviar,6.13,29.3582375478927
DZA,Argelia,2022,Caprina y ovina,8.11,38.8409961685824
DZA,Argelia,2022,Otras carnes,0.35,1.67624521072797
DZA,Argelia,2022,Pescados y mariscos,2.83,13.5536398467433
DZA,Argelia,2022,Porcina,0.0,0.0
DZA,Argelia,2022,Vacuna,3.46,16.5708812260536
ECU,Ecuador,2022,Aviar,28.78,48.175426849682
ECU,Ecuador,2022,Caprina y ovina,0.4,0.669568128557081
ECU,Ecuador,2022,Otras carnes,0.57,0.95413458319384
ECU,Ecuador,2022,Pescados y mariscos,6.44,10.780046869769
ECU,Ecuador,2022,Porcina,11.25,18.8316036156679
ECU,Ecuador,2022,Vacuna,12.3,20.5892199531302
EGY,Egipto,2022,Aviar,23.8,44.4693572496263
EGY,Egipto,2022,Caprina y ovina,0.57,1.06502242152466
EGY,Egipto,2022,Otras carnes,0.97,1.81240657698057
EGY,Egipto,2022,Pescados y mariscos,21.16,39.5366218236173
EGY,Egipto,2022,Porcina,0.01,0.0186846038863976
EGY,Egipto,2022,Vacuna,7.01,13.0979073243647
ESP,España,2022,Aviar,32.1,22.1669774186866
ESP,España,2022,Caprina y ovina,1.87,1.29134728264623
ESP,España,2022,Otras carnes,1.36,0.939161660106346
ESP,España,2022,Pescados y mariscos,40.06,27.6638353704855
ESP,España,2022,Porcina,56.5,39.0166424970651
ESP,España,2022,Vacuna,12.92,8.92203577101029
EST,Estonia,2022,Aviar,21.26,25.9236678453847
EST,Estonia,2022,Caprina y ovina,0.4,0.487745396902817
EST,Estonia,2022,Otras carnes,0.39,0.475551761980246
EST,Estonia,2022,Pescados y mariscos,13.09,15.9614681136447
EST,Estonia,2022,Porcina,38.06,46.408974515303
EST,Estonia,2022,Vacuna,8.81,10.7425923667845
ETH,Etiopía,2022,Aviar,0.4,5.62587904360056
ETH,Etiopía,2022,Caprina y ovina,1.81,25.4571026722925
ETH,Etiopía,2022,Otras carnes,1.03,14.4866385372714
ETH,Etiopía,2022,Pescados y mariscos,0.52,7.31364275668073
ETH,Etiopía,2022,Porcina,0.02,0.281293952180028
ETH,Etiopía,2022,Vacuna,3.33,46.8354430379747
FIN,Finlandia,2022,Aviar,23.67,22.8806186563557
FIN,Finlandia,2022,Caprina y ovina,0.45,0.434992750120831
FIN,Finlandia,2022,Otras carnes,0.8,0.773320444659256
FIN,Finlandia,2022,Pescados y mariscos,31.83,30.7684871918801
FIN,Finlandia,2022,Porcina,29.36,28.3808603189947
FIN,Finlandia,2022,Vacuna,17.34,16.7617206379894
FJI,Fiji,2022,Aviar,37.14,45.9142044752133
FJI,Fiji,2022,Caprina y ovina,6.34,7.83780442576338
FJI,Fiji,2022,Otras carnes,0.05,0.0618123377426134
FJI,Fiji,2022,Pescados y mariscos,28.99,35.8387934231673
FJI,Fiji,2022,Porcina,3.83,4.73482507108419
FJI,Fiji,2022,Vacuna,4.54,5.6125602670293
FRA,Francia,2022,Aviar,24.6,20.7735179868265
FRA,Francia,2022,Caprina y ovina,2.44,2.06046275966897
FRA,Francia,2022,Otras carnes,0.61,0.515115689917244
FRA,Francia,2022,Pescados y mariscos,33.82,28.5593649721331
FRA,Francia,2022,Porcina,33.73,28.4833642965715
FRA,Francia,2022,Vacuna,23.22,19.6081742948826
FSM,Micronesia,2022,Aviar,37.77,34.2989466037051
FSM,Micronesia,2022,Caprina y ovina,0.12,0.108972030512169
FSM,Micronesia,2022,Otras carnes,0.01,0.0090810025426807
FSM,Micronesia,2022,Pescados y mariscos,47.72,43.3345441336724
FSM,Micronesia,2022,Porcina,18.13,16.4638576098801
FSM,Micronesia,2022,Vacuna,6.37,5.78459861968761
GAB,Gabón,2022,Aviar,38.34,40.9965782720274
GAB,Gabón,2022,Caprina y ovina,0.67,0.716424294268606
GAB,Gabón,2022,Otras carnes,13.31,14.232249786142
GAB,Gabón,2022,Pescados y mariscos,28.11,30.0577416595381
GAB,Gabón,2022,Porcina,7.97,8.52224123182207
GAB,Gabón,2022,Vacuna,5.12,5.47476475620188
GBR,Reino Unido,2022,Aviar,35.5,34.7800529048692
GBR,Reino Unido,2022,Caprina y ovina,4.1,4.01685118056236
GBR,Reino Unido,2022,Otras carnes,1.01,0.989516998138532
GBR,Reino Unido,2022,Pescados y mariscos,17.99,17.6251592044675
GBR,Reino Unido,2022,Porcina,26.17,25.6392671695895
GBR,Reino Unido,2022,Vacuna,17.3,16.9491525423729
GEO,Georgia,2022,Aviar,19.19,37.8277153558052
GEO,Georgia,2022,Caprina y ovina,1.34,2.64143504829489
GEO,Georgia,2022,Otras carnes,0.12,0.236546422235364
GEO,Georgia,2022,Pescados y mariscos,10.5,20.6978119455943
GEO,Georgia,2022,Porcina,12.3,24.2460082791248
GEO,Georgia,2022,Vacuna,7.28,14.3504829489454
GHA,Ghana,2022,Aviar,9.57,23.0103390238038
GHA,Ghana,2022,Caprina y ovina,1.86,4.47222890117817
GHA,Ghana,2022,Otras carnes,3.57,8.58379418129358
GHA,Ghana,2022,Pescados y mariscos,23.84,57.3214715075739
GHA,Ghana,2022,Porcina,1.29,3.1017071411397
GHA,Ghana,2022,Vacuna,1.46,3.51045924501082
GIN,Guinea,2022,Aviar,4.63,19.3077564637198
GIN,Guinea,2022,Caprina y ovina,2.15,8.96580483736447
GIN,Guinea,2022,Otras carnes,0.47,1.95996663886572
GIN,Guinea,2022,Pescados y mariscos,11.07,46.163469557965
GIN,Guinea,2022,Porcina,0.38,1.58465387823186
GIN,Guinea,2022,Vacuna,5.28,22.0183486238532
GMB,Gambia,2022,Aviar,20.07,46.2016574585635
GMB,Gambia,2022,Caprina y ovina,0.65,1.4963167587477
GMB,Gambia,2022,Otras carnes,0.6,1.38121546961326
GMB,Gambia,2022,Pescados y mariscos,20.1,46.2707182320442
GMB,Gambia,2022,Porcina,0.59,1.35819521178637
GMB,Gambia,2022,Vacuna,1.43,3.29189686924494
GNB,Guinea-Bissau,2022,Aviar,2.94,18.2608695652174
GNB,Guinea-Bissau,2022,Caprina y ovina,1.05,6.52173913043478
GNB,Guinea-Bissau,2022,Otras carnes,0.0,0.0
GNB,Guinea-Bissau,2022,Pescados y mariscos,2.4,14.9068322981366
GNB,Guinea-Bissau,2022,Porcina,6.06,37.639751552795
GNB,Guinea-Bissau,2022,Vacuna,3.65,22.6708074534162
GRC,Grecia,2022,Aviar,26.23,26.6863363516126
GRC,Grecia,2022,Caprina y ovina,8.56,8.70892257605046
GRC,Grecia,2022,Otras carnes,1.94,1.97375114457218
GRC,Grecia,2022,Pescados y mariscos,19.37,19.7069895208058
GRC,Grecia,2022,Porcina,27.39,27.8665174483671
GRC,Grecia,2022,Vacuna,14.8,15.0574829585919
GRD,Granada,2022,Aviar,49.59,45.9549624687239
GRD,Granada,2022,Caprina y ovina,1.53,1.41784820683903
GRD,Granada,2022,Otras carnes,1.05,0.973033083124826
GRD,Granada,2022,Pescados y mariscos,30.32,28.0974886479474
GRD,Granada,2022,Porcina,16.81,15.5777963117413
GRD,Granada,2022,Vacuna,8.61,7.97887128162358
GTM,Guatemala,2022,Aviar,29.03,58.7295164879628
GTM,Guatemala,2022,Caprina y ovina,0.13,0.262998179243374
GTM,Guatemala,2022,Otras carnes,0.15,0.303459437588509
GTM,Guatemala,2022,Pescados y mariscos,3.38,6.83795266032774
GTM,Guatemala,2022,Porcina,5.06,10.236698361319
GTM,Guatemala,2022,Vacuna,11.68,23.6293748735586
GUY,Guyana,2022,Aviar,65.81,63.9863879436072
GUY,Guyana,2022,Caprina y ovina,1.06,1.03062712688381
GUY,Guyana,2022,Otras carnes,0.14,0.136120563928051
GUY,Guyana,2022,Pescados y mariscos,25.3,24.5989304812834
GUY,Guyana,2022,Porcina,7.34,7.13660670879922
GUY,Guyana,2022,Vacuna,3.2,3.1113271754983
HKG,Hong Kong,2022,Aviar,45.14,23.8545685145062
HKG,Hong Kong,2022,Caprina y ovina,0.52,0.274797865031972
HKG,Hong Kong,2022,Otras carnes,2.05,1.08333773714527
HKG,Hong Kong,2022,Pescados y mariscos,65.88,34.8147756698198
HKG,Hong Kong,2022,Porcina,52.57,27.7810072398668
HKG,Hong Kong,2022,Vacuna,23.07,12.19151297363
HND,Honduras,2022,Aviar,25.94,59.0619307832423
HND,Honduras,2022,Caprina y ovina,0.03,0.0683060109289617
HND,Honduras,2022,Otras carnes,0.05,0.11384335154827
HND,Honduras,2022,Pescados y mariscos,4.48,10.200364298725
HND,Honduras,2022,Porcina,7.19,16.3706739526412
HND,Honduras,2022,Vacuna,6.23,14.1848816029144
HRV,Croacia,2022,Aviar,19.54,17.0655021834061
HRV,Croacia,2022,Caprina y ovina,1.73,1.51091703056769
HRV,Croacia,2022,Otras carnes,1.05,0.91703056768559
HRV,Croacia,2022,Pescados y mariscos,20.33,17.7554585152838
HRV,Croacia,2022,Porcina,57.39,50.1222707423581
HRV,Croacia,2022,Vacuna,14.46,12.6288209606987
HTI,Haití,2022,Aviar,9.92,40.3088175538399
HTI,Haití,2022,Caprina y ovina,0.59,2.39739943112556
HTI,Haití,2022,Otras carnes,0.83,3.37261275904104
HTI,Haití,2022,Pescados y mariscos,4.91,19.9512393336042
HTI,Haití,2022,Porcina,4.05,16.4567249085738
HTI,Haití,2022,Vacuna,4.31,17.5132060138155
HUN,Hungría,2022,Aviar,23.69,28.614566976688
HUN,Hungría,2022,Caprina y ovina,0.11,0.132866288199058
HUN,Hungría,2022,Otras carnes,0.36,0.434835125015098
HUN,Hungría,2022,Pescados y mariscos,6.15,7.4284333856746
HUN,Hungría,2022,Porcina,47.08,56.8667713491968
HUN,Hungría,2022,Vacuna,5.4,6.52252687522648
IDN,Indonesia,2022,Aviar,14.8,24.5033112582781
