"anio","inflacion","iso3"
"2014","-0.737","BEN"
"2015","2.261","BEN"
"2016","-2.761","BEN"
"2017","2.957","BEN"
"2018","-0.133","BEN"
"2019","0.274","BEN"
"2020","1.159","BEN"
"2021","4.967","BEN"
"2022","2.888","BEN"
"2023","0.362","BEN"
"2000","3.412","BOL"
"2001","0.924","BOL"
"2002","2.448","BOL"
"2003","3.939","BOL"
"2004","4.621","BOL"
"2005","4.908","BOL"
"2006","2.99","BOL"
"2007","11.726","BOL"
"2008","11.848","BOL"
"2009","0.264","BOL"
"2010","7.182","BOL"
"2011","6.904","BOL"
"2012","4.54","BOL"
"2013","6.48","BOL"
"2014","5.194","BOL"
"2015","2.953","BOL"
"2016","4.003","BOL"
"2017","2.715","BOL"
"2018","1.507","BOL"
"2019","1.469","BOL"
"2020","0.67","BOL"
"2021","0.901","BOL"
"2022","3.123","BOL"
"2023","2.118","BOL"
"2000","7","BIH"
"2001","3","BIH"
"2002","-0.4","BIH"
"2003","0.5","BIH"
"2004","0.6","BIH"
"2005","4.3","BIH"
"2006","4.548","BIH"
"2007","4.944","BIH"
"2008","3.809","BIH"
"2009","-0.025","BIH"
"2010","3.076","BIH"
"2011","3.047","BIH"
"2012","1.803","BIH"
"2013","-1.418","BIH"
"2014","-0.435","BIH"
"2015","-1.298","BIH"
"2016","-0.534","BIH"
"2017","1.217","BIH"
"2018","1.582","BIH"
"2019","0.232","BIH"
"2020","-1.579","BIH"
"2021","6.319","BIH"
"2022","14.811","BIH"
"2023","2.186","BIH"
"2000","8.48","BWA"
"2001","5.752","BWA"
"2002","10.6","BWA"
"2003","6.368","BWA"
"2004","7.89","BWA"
"2005","11.285","BWA"
"2006","8.522","BWA"
"2007","8.141","BWA"
"2008","13.678","BWA"
"2009","5.846","BWA"
"2010","7.41","BWA"
"2011","9.175","BWA"
"2012","7.435","BWA"
"2013","4.068","BWA"
"2014","3.75","BWA"
"2015","3.1","BWA"
"2016","2.986","BWA"
"2017","3.184","BWA"
"2018","3.539","BWA"
"2019","2.2","BWA"
"2020","2.153","BWA"
"2021","8.716","BWA"
"2022","12.423","BWA"
"2023","3.527","BWA"
"2000","5.974","BRA"
"2001","7.673","BRA"
"2002","12.53","BRA"
"2003","9.3","BRA"
"2004","7.601","BRA"
"2005","5.69","BRA"
"2006","3.142","BRA"
"2007","4.457","BRA"
"2008","5.902","BRA"
"2009","4.312","BRA"
"2010","5.909","BRA"
"2011","6.503","BRA"
"2012","5.839","BRA"
"2013","5.911","BRA"
"2014","6.408","BRA"
"2015","10.673","BRA"
"2016","6.288","BRA"
"2017","2.947","BRA"
"2018","3.745","BRA"
"2019","4.306","BRA"
"2020","4.517","BRA"
"2021","10.061","BRA"
"2022","5.785","BRA"
"2023","4.621","BRA"
"2000","11.256","BGR"
"2001","4.822","BGR"
"2002","3.814","BGR"
"2003","5.64","BGR"
"2004","3.966","BGR"
"2005","7.394","BGR"
"2006","6.093","BGR"
"2007","11.563","BGR"
"2008","7.191","BGR"
"2009","1.637","BGR"
"2010","4.45","BGR"
"2011","2.039","BGR"
"2012","2.763","BGR"
"2013","-0.851","BGR"
"2014","-1.951","BGR"
"2015","-0.896","BGR"
"2016","-0.502","BGR"
"2017","1.796","BGR"
"2018","2.31","BGR"
"2019","3.1","BGR"
"2020","0.019","BGR"
"2021","6.586","BGR"
"2022","14.325","BGR"
"2023","4.989","BGR"
"2000","2.409","BFA"
"2001","0.976","BFA"
"2002","3.935","BFA"
"2003","3.165","BFA"
"2004","0.692","BFA"
"2005","4.472","BFA"
"2006","1.528","BFA"
"2007","2.267","BFA"
"2008","11.578","BFA"
"2009","-1.844","BFA"
"2010","-0.261","BFA"
"2011","5.06","BFA"
"2012","1.674","BFA"
"2013","0.12","BFA"
"2014","-0.149","BFA"
"2015","2.867","BFA"
"2016","-0.302","BFA"
"2017","1.64","BFA"
"2018","0.336","BFA"
"2019","-2.556","BFA"
"2020","2.318","BFA"
"2021","8.198","BFA"
"2022","9.328","BFA"
"2023","1.055","BFA"
"2000","14.093","BDI"
"2001","3.685","BDI"
"2002","3.28","BDI"
"2003","10.854","BDI"
"2004","12.067","BDI"
"2005","1.075","BDI"
"2006","9.001","BDI"
"2007","14.694","BDI"
"2008","25.674","BDI"
"2009","4.629","BDI"
"2010","4.082","BDI"
"2011","14.855","BDI"
"2012","11.841","BDI"
"2013","9.017","BDI"
"2014","3.745","BDI"
"2015","7.132","BDI"
"2016","9.497","BDI"
"2017","10.499","BDI"
"2018","-5.877","BDI"
"2019","5.142","BDI"
"2020","7.511","BDI"
"2021","10.073","BDI"
"2022","26.494","BDI"
"2023","20.128","BDI"
"2000","0.341","KHM"
"2001","-0.527","KHM"
"2002","1.427","KHM"
"2003","-0.042","KHM"
"2004","5.265","KHM"
"2005","8.411","KHM"
"2006","4.201","KHM"
"2007","13.952","KHM"
"2008","12.52","KHM"
"2009","5.325","KHM"
"2010","3.143","KHM"
"2011","4.908","KHM"
"2012","2.541","KHM"
"2013","4.675","KHM"
"2014","1.04","KHM"
"2015","2.848","KHM"
"2016","3.875","KHM"
"2017","2.231","KHM"
"2018","1.632","KHM"
"2019","3.072","KHM"
"2020","2.876","KHM"
"2021","3.702","KHM"
"2022","2.876","KHM"
"2023","2.704","KHM"
"2000","1.498","CMR"
"2001","4.959","CMR"
"2002","2.362","CMR"
"2003","-0.055","CMR"
"2004","1.008","CMR"
"2005","3.465","CMR"
"2006","2.42","CMR"
"2007","3.441","CMR"
"2008","5.313","CMR"
"2009","0.943","CMR"
"2010","2.569","CMR"
"2011","2.732","CMR"
"2012","2.534","CMR"
"2013","1.646","CMR"
"2014","2.621","CMR"
"2015","1.446","CMR"
"2016","0.292","CMR"
"2017","0.762","CMR"
"2018","1.974","CMR"
"2019","2.427","CMR"
"2020","2.119","CMR"
"2021","3.457","CMR"
"2022","7.315","CMR"
"2023","5.98","CMR"
"2000","3.128","CAN"
"2001","1.069","CAN"
"2002","3.82","CAN"
"2003","1.708","CAN"
"2004","2.293","CAN"
"2005","2.305","CAN"
"2006","1.389","CAN"
"2007","2.496","CAN"
"2008","1.841","CAN"
"2009","0.787","CAN"
"2010","2.228","CAN"
"2011","2.661","CAN"
"2012","0.993","CAN"
"2013","0.956","CAN"
"2014","1.974","CAN"
"2015","1.273","CAN"
"2016","1.414","CAN"
"2017","1.833","CAN"
"2018","2.054","CAN"
"2019","2.062","CAN"
"2020","0.779","CAN"
"2021","4.734","CAN"
"2022","6.642","CAN"
"2023","3.179","CAN"
"2000","8.05","CAF"
"2001","2.559","CAF"
"2002","9.466","CAF"
"2003","-1.738","CAF"
"2004","-0.235","CAF"
"2005","1.529","CAF"
"2006","7.059","CAF"
"2007","-0.137","CAF"
"2008","14.525","CAF"
"2009","-1.159","CAF"
"2010","2.261","CAF"
"2011","4.342","CAF"
"2012","5.926","CAF"
"2013","2.566","CAF"
"2014","14.019","CAF"
"2015","10.661","CAF"
"2016","-4.466","CAF"
"2017","7.171","CAF"
"2018","4.605","CAF"
"2019","-2.041","CAF"
"2020","1.837","CAF"
"2021","2.701","CAF"
"2022","7.584","CAF"
"2023","4.023","CAF"
"2000","13.046","TCD"
"2001","0.702","TCD"
"2002","12.556","TCD"
"2003","-11.864","TCD"
"2004","9.219","TCD"
"2005","-8.07","TCD"
"2006","7.956","TCD"
"2007","1.658","TCD"
"2008","9.658","TCD"
"2009","4.738","TCD"
"2010","-2.156","TCD"
"2011","10.73","TCD"
"2012","2.064","TCD"
"2013","0.897","TCD"
"2014","3.705","TCD"
"2015","2.014","TCD"
"2016","-4.576","TCD"
"2017","2.919","TCD"
"2018","4.339","TCD"
"2019","-1.686","TCD"
"2020","5.701","TCD"
"2021","1.182","TCD"
"2022","3.293","TCD"
"2023","7.06","TCD"
"2000","4.554","CHL"
"2001","2.666","CHL"
"2002","2.866","CHL"
"2003","1.1","CHL"
"2004","2.444","CHL"
"2005","3.671","CHL"
"2006","2.607","CHL"
"2007","7.861","CHL"
"2008","7.089","CHL"
"2009","-1.507","CHL"
"2010","2.942","CHL"
"2011","4.389","CHL"
"2012","1.457","CHL"
"2013","3.056","CHL"
"2014","4.698","CHL"
"2015","4.427","CHL"
"2016","2.729","CHL"
"2017","2.26","CHL"
"2018","2.115","CHL"
"2019","2.95","CHL"
"2020","2.928","CHL"
"2021","7.137","CHL"
"2022","12.772","CHL"
"2023","3.929","CHL"
"2000","1.905","CHN"
"2001","-0.471","CHN"
"2002","-0.41","CHN"
"2003","3.264","CHN"
"2004","2.409","CHN"
"2005","1.678","CHN"
"2006","2.888","CHN"
"2007","6.63","CHN"
"2008","1.222","CHN"
"2009","1.632","CHN"
"2010","4.53","CHN"
"2011","4.096","CHN"
"2012","2.448","CHN"
"2013","2.553","CHN"
"2014","1.542","CHN"
"2015","1.676","CHN"
"2016","2.102","CHN"
"2017","1.679","CHN"
"2018","1.779","CHN"
"2019","4.491","CHN"
"2020","0.18","CHN"
"2021","1.42","CHN"
"2022","1.824","CHN"
"2023","-0.261","CHN"
"2000","8.511","COL"
"2001","7.456","COL"
"2002","6.832","COL"
"2003","6.375","COL"
"2004","5.452","COL"
"2005","4.834","COL"
"2006","4.459","COL"
"2007","5.659","COL"
"2008","7.621","COL"
"2009","1.905","COL"
"2010","3.084","COL"
"2011","3.668","COL"
"2012","2.442","COL"
"2013","1.963","COL"
"2014","3.7","COL"
"2015","6.798","COL"
"2016","5.745","COL"
"2017","4.067","COL"
"2018","3.149","COL"
"2019","3.818","COL"
"2020","1.647","COL"
"2021","5.682","COL"
"2022","13.187","COL"
"2023","9.311","COL"
"2000","509.756","COD"
"2001","135.09","COD"
"2002","15.751","COD"
"2003","4.443","COD"
"2004","9.217","COD"
"2005","20.988","COD"
"2006","18.196","COD"
"2007","9.964","COD"
"2008","27.572","COD"
"2009","53.438","COD"
"2010","9.838","COD"
"2011","8.654","COD"
"2012","2.769","COD"
"2013","1.074","COD"
"2014","1.03","COD"
"2015","0.815","COD"
"2016","11.236","COD"
"2017","54.709","COD"
"2018","7.228","COD"
"2019","4.588","COD"
"2020","15.756","COD"
"2021","5.281","COD"
"2022","13.132","COD"
"2023","23.752","COD"
"2000","-3.1","COG"
"2001","8.335","COG"
"2002","-2.856","COG"
"2003","6.704","COG"
"2004","1.106","COG"
"2005","3.053","COG"
"2006","18.088","COG"
"2007","-3.935","COG"
"2008","11.813","COG"
"2009","-1.773","COG"
"2010","2.633","COG"
"2011","1.784","COG"
"2012","7.469","COG"
"2013","2.087","COG"
"2014","0.477","COG"
"2015","4.094","COG"
"2016","-0.036","COG"
"2017","1.785","COG"
"2018","0.897","COG"
"2019","1.383","COG"
"2020","0.589","COG"
"2021","1.493","COG"
"2022","3.212","COG"
"2023","4.5","COG"
"2000","10.247","CRI"
"2001","10.956","CRI"
"2002","9.683","CRI"
"2003","9.868","CRI"
"2004","13.129","CRI"
"2005","14.075","CRI"
"2006","9.434","CRI"
"2007","10.806","CRI"
"2008","13.902","CRI"
"2009","4.047","CRI"
"2010","5.824","CRI"
"2011","4.736","CRI"
"2012","4.551","CRI"
"2013","3.68","CRI"
"2014","5.127","CRI"
"2015","-0.808","CRI"
"2016","0.765","CRI"
"2017","2.574","CRI"
"2018","2.027","CRI"
"2019","1.522","CRI"
"2020","0.892","CRI"
"2021","3.299","CRI"
"2022","7.877","CRI"
"2023","-1.765","CRI"
"2000","3.606","CIV"
"2001","4.783","CIV"
"2002","4.399","CIV"
"2003","-0.109","CIV"
"2004","4.443","CIV"
"2005","2.531","CIV"
"2006","2.037","CIV"
"2007","1.456","CIV"
"2008","2.509","CIV"
"2009","-0.123","CIV"
"2010","5.101","CIV"
"2011","1.967","CIV"
"2012","3.409","CIV"
"2013","0.415","CIV"
"2014","0.925","CIV"
"2015","0.963","CIV"
"2016","0.68","CIV"
"2017","0.753","CIV"
"2018","0.602","CIV"
"2019","1.566","CIV"
"2020","2.312","CIV"
"2021","5.579","CIV"
"2022","5.08","CIV"
"2023","4.005","CIV"
"2000","5.425","HRV"
"2001","2.396","HRV"
"2002","2.85","HRV"
"2003","2.155","HRV"
"2004","1.952","HRV"
"2005","3.984","HRV"
"2006","2.113","HRV"
"2007","5.41","HRV"
"2008","2.836","HRV"
"2009","1.842","HRV"
"2010","1.732","HRV"
"2011","2.134","HRV"
"2012","4.4","HRV"
"2013","0.455","HRV"
"2014","-0.101","HRV"
"2015","-0.302","HRV"
"2016","0.707","HRV"
"2017","1.264","HRV"
"2018","0.901","HRV"
"2019","1.365","HRV"
"2020","-0.281","HRV"
"2021","5.196","HRV"
"2022","12.667","HRV"
"2023","5.351","HRV"
"2000","3.977","CZE"
"2001","4.098","CZE"
"2002","0.656","CZE"
"2003","1.043","CZE"
"2004","2.71","CZE"
"2005","2.261","CZE"
"2006","1.72","CZE"
"2007","5.435","CZE"
"2008","3.666","CZE"
"2009","0.994","CZE"
"2010","2.298","CZE"
"2011","2.353","CZE"
"2012","2.403","CZE"
"2013","1.429","CZE"
"2014","0.101","CZE"
"2015","0","CZE"
"2016","2.01","CZE"
"2017","2.365","CZE"
"2018","2.021","CZE"
"2019","3.208","CZE"
"2020","2.285","CZE"
"2021","6.613","CZE"
"2022","15.759","CZE"
"2023","6.879","CZE"
"2000","2.35","DNK"
"2001","2.041","DNK"
"2002","2.625","DNK"
"2003","1.218","DNK"
"2004","0.963","DNK"
"2005","2.265","DNK"
"2006","1.632","DNK"
"2007","2.523","DNK"
"2008","2.461","DNK"
"2009","1.201","DNK"
"2010","2.805","DNK"
"2011","2.413","DNK"
"2012","1.742","DNK"
"2013","0.504","DNK"
"2014","0","DNK"
"2015","0.301","DNK"
"2016","0.3","DNK"
"2017","0.896","DNK"
"2018","0.79","DNK"
"2019","0.881","DNK"
"2020","0.485","DNK"
"2021","3.478","DNK"
"2022","9.711","DNK"
"2023","0.511","DNK"
"2000","9.019","DOM"
"2001","4.384","DOM"
"2002","10.512","DOM"
"2003","42.655","DOM"
"2004","28.74","DOM"
"2005","7.437","DOM"
"2006","5","DOM"
"2007","8.878","DOM"
"2008","4.517","DOM"
"2009","5.765","DOM"
"2010","6.238","DOM"
"2011","7.76","DOM"
"2012","3.907","DOM"
"2013","3.876","DOM"
"2014","1.582","DOM"
"2015","2.344","DOM"
"2016","1.695","DOM"
"2017","4.204","DOM"
"2018","1.171","DOM"
"2019","3.656","DOM"
"2020","5.554","DOM"
"2021","8.496","DOM"
"2022","7.827","DOM"
"2023","3.569","DOM"
"2000","91.005","ECU"
"2001","22.422","ECU"
"2002","9.361","ECU"
"2003","6.072","ECU"
"2004","1.949","ECU"
"2005","3.132","ECU"
"2006","2.869","ECU"
"2007","3.319","ECU"
"2008","8.832","ECU"
"2009","4.312","ECU"
"2010","3.328","ECU"
"2011","5.409","ECU"
"2012","4.164","ECU"
"2013","2.701","ECU"
"2014","3.667","ECU"
"2015","3.38","ECU"
"2016","1.12","ECU"
"2017","-0.197","ECU"
"2018","0.266","ECU"
"2019","-0.065","ECU"
"2020","-0.933","ECU"
"2021","1.941","ECU"
"2022","3.737","ECU"
"2023","1.35","ECU"
"2000","2.542","EGY"
"2001","2.5","EGY"
"2002","2.439","EGY"
"2003","4.167","EGY"
"2004","12","EGY"
"2005","4.592","EGY"
"2006","7.317","EGY"
"2007","8.636","EGY"
"2008","20.084","EGY"
"2009","9.756","EGY"
"2010","10.159","EGY"
"2011","11.816","EGY"
"2012","7.216","EGY"
"2013","9.856","EGY"
"2014","8.315","EGY"
"2015","11.313","EGY"
"2016","13.975","EGY"
"2017","29.777","EGY"
"2018","14.356","EGY"
"2019","9.359","EGY"
"2020","5.692","EGY"
"2021","4.893","EGY"
"2022","13.154","EGY"
"2023","35.727","EGY"
"2000","4.293","SLV"
"2001","1.418","SLV"
"2002","2.796","SLV"
"2003","2.524","SLV"
"2004","5.369","SLV"
"2005","4.26","SLV"
"2006","4.876","SLV"
"2007","4.859","SLV"
"2008","5.479","SLV"
"2009","0.08","SLV"
"2010","2.13","SLV"
"2011","5.052","SLV"
"2012","0.783","SLV"
"2013","0.786","SLV"
"2014","0.477","SLV"
"2015","1.014","SLV"
"2016","-0.931","SLV"
"2017","2.035","SLV"
"2018","0.438","SLV"
"2019","-0.009","SLV"
"2020","-0.08","SLV"
"2021","6.114","SLV"
"2022","7.316","SLV"
"2023","1.229","SLV"
"2000","-4.123","ETH"
"2001","-4.3","ETH"
"2002","14.002","ETH"
"2003","6.233","ETH"
"2004","7.852","ETH"
"2005","12.32","ETH"
"2006","18.519","ETH"
"2007","18.424","ETH"
"2008","39.245","ETH"
"2009","7.138","ETH"
"2010","14.564","ETH"
"2011","35.919","ETH"
"2012","15","ETH"
"2013","7.652","ETH"
"2014","7.114","ETH"
"2015","9.377","ETH"
"2016","6.152","ETH"
"2017","16.504","ETH"
"2018","10.581","ETH"
"2019","19.515","ETH"
"2020","18.169","ETH"
"2021","35.09","ETH"
"2022","33.806","ETH"
"2023","28.723","ETH"
"2000","2.869","FIN"
"2001","2.35","FIN"
"2002","1.716","FIN"
"2003","1.191","FIN"
"2004","0.147","FIN"
"2005","1.016","FIN"
"2006","1.236","FIN"
"2007","1.939","FIN"
"2008","3.381","FIN"
"2009","1.806","FIN"
"2010","2.766","FIN"
"2011","2.605","FIN"
"2012","3.449","FIN"
"2013","1.933","FIN"
"2014","0.552","FIN"
"2015","-0.249","FIN"
"2016","1.1","FIN"
"2017","0.505","FIN"
"2018","1.319","FIN"
"2019","1.137","FIN"
"2020","0.192","FIN"
"2021","3.164","FIN"
"2022","8.792","FIN"
"2023","1.324","FIN"
"2000","1.806","FRA"
"2001","1.496","FRA"
"2002","2.185","FRA"
"2003","2.407","FRA"
"2004","2.243","FRA"
"2005","1.727","FRA"
"2006","1.675","FRA"
"2007","2.787","FRA"
"2008","1.164","FRA"
"2009","0.988","FRA"
"2010","1.988","FRA"
"2011","2.634","FRA"
"2012","1.519","FRA"
"2013","0.839","FRA"
"2014","0.11","FRA"
"2015","0.29","FRA"
"2016","0.829","FRA"
"2017","1.278","FRA"
"2018","1.937","FRA"
"2019","1.67","FRA"
"2020","-0.227","FRA"
"2021","3.371","FRA"
"2022","6.991","FRA"
"2023","4.185","FRA"
"2000","1.795","GAB"
"2001","0.935","GAB"
"2002","0.421","GAB"
"2003","3.521","GAB"
"2004","-0.486","GAB"
"2005","1.115","GAB"
"2006","-0.673","GAB"
"2007","-0.195","GAB"
"2008","5.576","GAB"
"2009","0.866","GAB"
"2010","0.687","GAB"
"2011","2.302","GAB"
"2012","2.167","GAB"
"2013","3.263","GAB"
"2014","1.738","GAB"
"2015","-1.151","GAB"
"2016","4.071","GAB"
"2017","1.057","GAB"
"2018","6.253","GAB"
"2019","1.021","GAB"
"2020","1.553","GAB"
"2021","1.675","GAB"
"2022","5.383","GAB"
"2023","2.254","GAB"
"2000","0.203","GMB"
"2001","8.069","GMB"
"2002","13.005","GMB"
"2003","17.564","GMB"
"2004","8.09","GMB"
"2005","4.846","GMB"
"2006","0.423","GMB"
"2007","6.02","GMB"
"2008","6.835","GMB"
"2009","2.718","GMB"
"2010","5.789","GMB"
"2011","4.382","GMB"
"2012","4.908","GMB"
"2013","5.575","GMB"
"2014","6.95","GMB"
"2015","6.667","GMB"
"2016","7.875","GMB"
"2017","6.945","GMB"
"2018","6.411","GMB"
"2019","7.675","GMB"
"2020","5.665","GMB"
"2021","7.607","GMB"
"2022","13.739","GMB"
"2023","17.3","GMB"
"2000","4.474","GEO"
"2001","3.404","GEO"
"2002","5.416","GEO"
"2003","6.958","GEO"
"2004","7.483","GEO"
"2005","6.179","GEO"
"2006","8.778","GEO"
"2007","10.975","GEO"
"2008","5.548","GEO"
"2009","2.986","GEO"
"2010","11.241","GEO"
"2011","2.041","GEO"
"2012","-1.373","GEO"
"2013","2.372","GEO"
"2014","1.952","GEO"
"2015","4.879","GEO"
"2016","1.832","GEO"
"2017","6.716","GEO"
"2018","1.515","GEO"
"2019","6.997","GEO"
"2020","2.405","GEO"
"2021","13.94","GEO"
"2022","9.847","GEO"
"2023","0.437","GEO"
"2000","2.041","DEU"
"2001","1.375","DEU"
"2002","0.986","DEU"
"2003","1.099","DEU"
"2004","2.174","DEU"
"2005","2.128","DEU"
"2006","1.389","DEU"
"2007","3.082","DEU"
"2008","0.997","DEU"
"2009","0.877","DEU"
"2010","1.848","DEU"
"2011","2.348","DEU"
"2012","2.086","DEU"
"2013","1.328","DEU"
