"anio","codigo","nivel","rubro","precio_relativo"
"2015","01.1.3","3","Pescados y mariscos","99.2669550666061"
"2015","01.1.4","3","Leche, productos lácteos y huevos","98.1856912395141"
"2015","01.1.5","3","Aceites, mantecas y otras grasas","90.8710966791646"
"2015","01.1.6","3","Frutas","95.6016509434047"
"2015","01.1.7","3","Verduras, tubérculos y legumbres","98.6187591411848"
"2015","01.1.8","3","Azúcar, repostería y postres","103.385268575016"
"2015","01.1.9","3","Otros alimentos","102.401647920627"
"2015","01.2","2","Bebidas no alcohólicas","105.451453283749"
"2015","02","1","Bebidas alcohólicas y tabaco","112.402547337503"
"2015","02.1","2","Bebidas alcohólicas","92.7384693607389"
"2015","02.1.1","3","Vinos","87.1296744646275"
"2015","02.1.2","3","Cerveza","110.988168755962"
"2015","02.2","2","Tabaco","128.636992334155"
"2015","03","1","Prendas de vestir y calzado","105.283018772402"
"2015","03.1","2","Prendas de vestir","106.370537686023"
"2015","03.2","2","Calzado","101.795755397936"
"2015","04","1","Vivienda, agua, electricidad, gas y otros combustibles","101.783710347104"
"2015","04.1","2","Alquiler de la vivienda","94.8721289518305"
"2015","04.2","2","Mantenimiento y reparación de la vivienda","126.585994108599"
"2015","04.3","2","Suministro de agua y otros servicios relacionados con la vivienda","101.65672155066"
"2015","04.3.1","3","Suministro de agua","161.792838130688"
"2015","04.3.2","3","Gastos comunes por la vivienda","94.3988359073885"
"2015","04.4","2","Electricidad, gas y otros combustibles","102.249247437666"
"2015","04.4.1","3","Electricidad","57.3978091530978"
"2015","04.4.2","3","Gas","161.519907091376"
"2015","05","1","Equipamiento y mantenimiento del hogar","98.1944338858671"
"2015","05.1","2","Muebles, accesorios y alfombras","100.586475951641"
"2015","05.2","2","Artículos textiles para el hogar","107.293852137859"
"2015","05.3","2","Electrodomésticos","106.406111235999"
"2015","05.4","2","Cristalería, vajilla y utensilios para el hogar","108.52995527746"
"2015","05.5","2","Herramientas y accesorios para la casa y el jardín","100.86306737866"
"2015","05.6","2","Bienes y servicios para la conservación del hogar","94.5164772332798"
"2015","06","1","Salud","93.4334142007769"
"2015","06.1","2","Medicamentos y productos medicinales","89.7590174730866"
"2015","06.1.1","3","Medicamentos","87.459252842815"
"2015","06.1.2","3","Productos medicinales","97.9937506777334"
"2015","06.1.3","3","Artefactos y equipos terapéuticos","103.375621646288"
"2015","06.1.4","3","Servicios para pacientes externos","97.111482397101"
"2015","06.2","2","Seguros médicos","95.1231232222859"
"2015","07","1","Transporte","103.14295477024"
"2015","07.1","2","Adquisición de vehículos","117.365035848815"
"2015","07.2","2","Funcionamiento de equipos de transporte personal","98.8147900031035"
"2015","07.3","2","Servicios de transporte de pasajeros","102.270267741301"
"2015","07.3.1","3","Transporte de pasajeros por ferrocarril","94.968975591207"
"2015","07.3.2","3","Transporte de pasajeros por carretera","102.658140429471"
"2015","07.3.3","3","Transporte de pasajeros por aire","104.965533346257"
"2015","08","1","Información y comunicación","89.6120166459253"
"2015","09","1","Recreación y cultura","106.096313412157"
"2015","09.1","2","Productos de recreación","106.231474469526"
"2015","09.2","2","Servicios de recreación","106.168350398148"
"2015","09.3","2","Servicios culturales","109.877457140961"
"2015","09.4","2","Diarios, libros y artículos de papelería y dibujo","109.594572383968"
"2015","09.5","2","Paquetes turísticos","96.887621676152"
"2015","10","1","Educación","104.517584017077"
"2015","11","1","Restaurantes y hoteles","93.6048118352218"
"2015","11.1","2","Servicios de alimentos y bebidas preparadas fuera del hogar","94.3519745922735"
"2015","11.2","2","Servicios de alojamiento","87.4456837171833"
"2015","12","1","Seguros y servicios financieros","94.6232718784429"
"2015","12.1","2","Seguros","97.2103494787839"
"2015","12.2","2","Servicios financieros","77.310559936004"
"2015","13","1","Cuidado personal, protección social y otros productos","100.917081546231"
"2015","13.1","2","Cuidado personal","101.842253795195"
"2015","13.2","2","Efectos personales","97.9470626394328"
"2015","13.3","2","Otros servicios","98.9592416196652"
"2016","01","1","Alimentos y bebidas no alcohólicas","95.9232094510511"
"2016","01.1","2","Alimentos","95.6897298593018"
"2016","01.1.1","3","Pan y cereales","89.947336937879"
"2016","01.1.2","3","Carnes y derivados","97.4526011459934"
"2016","01.1.3","3","Pescados y mariscos","99.8288034292256"
"2016","01.1.4","3","Leche, productos lácteos y huevos","94.3770275537795"
"2016","01.1.5","3","Aceites, mantecas y otras grasas","98.5041513620706"
"2016","01.1.6","3","Frutas","98.1628976903877"
"2016","01.1.7","3","Verduras, tubérculos y legumbres","98.3698915448703"
"2016","01.1.8","3","Azúcar, repostería y postres","98.5582419722938"
"2016","01.1.9","3","Otros alimentos","105.693003608556"
"2016","01.2","2","Bebidas no alcohólicas","97.5891415226217"
"2016","02","1","Bebidas alcohólicas y tabaco","127.204852684238"
"2016","02.1","2","Bebidas alcohólicas","94.6771885204901"
"2016","02.1.1","3","Vinos","87.5771792786279"
"2016","02.1.2","3","Cerveza","119.150211639238"
"2016","02.2","2","Tabaco","154.059513210056"
"2016","03","1","Prendas de vestir y calzado","102.082890758479"
"2016","03.1","2","Prendas de vestir","102.738514162434"
"2016","03.2","2","Calzado","99.9813502702491"
"2016","04","1","Vivienda, agua, electricidad, gas y otros combustibles","117.094029465316"
"2016","04.1","2","Alquiler de la vivienda","92.6198429932234"
"2016","04.2","2","Mantenimiento y reparación de la vivienda","110.710686821949"
"2016","04.3","2","Suministro de agua y otros servicios relacionados con la vivienda","119.026261396997"
"2016","04.3.1","3","Suministro de agua","336.967777581379"
"2016","04.3.2","3","Gastos comunes por la vivienda","92.718462565543"
"2016","04.4","2","Electricidad, gas y otros combustibles","174.579152211189"
"2016","04.4.1","3","Electricidad","134.83837703926"
"2016","04.4.2","3","Gas","227.094493897209"
"2016","05","1","Equipamiento y mantenimiento del hogar","95.5001425248023"
"2016","05.1","2","Muebles, accesorios y alfombras","97.5025876624151"
"2016","05.2","2","Artículos textiles para el hogar","104.254399947716"
"2016","05.3","2","Electrodomésticos","100.97313761221"
"2016","05.4","2","Cristalería, vajilla y utensilios para el hogar","96.2072161922018"
"2016","05.5","2","Herramientas y accesorios para la casa y el jardín","99.01890574459"
"2016","05.6","2","Bienes y servicios para la conservación del hogar","93.0848949894718"
"2016","06","1","Salud","94.2360223686452"
"2016","06.1","2","Medicamentos y productos medicinales","93.1793359010046"
"2016","06.1.1","3","Medicamentos","92.4454559003547"
"2016","06.1.2","3","Productos medicinales","95.2348313977521"
"2016","06.1.3","3","Artefactos y equipos terapéuticos","97.7280552442382"
"2016","06.1.4","3","Servicios para pacientes externos","94.0051046833268"
"2016","06.2","2","Seguros médicos","95.3346585281595"
"2016","07","1","Transporte","102.025985246304"
"2016","07.1","2","Adquisición de vehículos","119.684302242733"
"2016","07.2","2","Funcionamiento de equipos de transporte personal","94.4289316330929"
"2016","07.3","2","Servicios de transporte de pasajeros","103.295354715031"
"2016","07.3.1","3","Transporte de pasajeros por ferrocarril","82.6314627556965"
"2016","07.3.2","3","Transporte de pasajeros por carretera","106.183689658325"
"2016","07.3.3","3","Transporte de pasajeros por aire","98.4354003739779"
"2016","08","1","Información y comunicación","83.588691475744"
"2016","09","1","Recreación y cultura","102.162799864033"
"2016","09.1","2","Productos de recreación","99.5980088095921"
"2016","09.2","2","Servicios de recreación","105.147582742271"
"2016","09.3","2","Servicios culturales","105.67473724748"
"2016","09.4","2","Diarios, libros y artículos de papelería y dibujo","112.125337474277"
"2016","09.5","2","Paquetes turísticos","79.0642451782421"
"2016","10","1","Educación","99.3867714821704"
"2016","11","1","Restaurantes y hoteles","90.9623603364575"
"2016","11.1","2","Servicios de alimentos y bebidas preparadas fuera del hogar","92.3821386104924"
"2016","11.2","2","Servicios de alojamiento","79.25627085864"
"2016","12","1","Seguros y servicios financieros","87.7621989127061"
"2016","12.1","2","Seguros","90.9823520918059"
"2016","12.2","2","Servicios financieros","66.2208602339606"
"2016","13","1","Cuidado personal, protección social y otros productos","99.2303726674344"
"2016","13.1","2","Cuidado personal","99.8432343644325"
"2016","13.2","2","Efectos personales","89.7661143975525"
"2016","13.3","2","Otros servicios","102.175022169742"
"2017","01","1","Alimentos y bebidas no alcohólicas","92.4757262631323"
"2017","01.1","2","Alimentos","91.7647323270762"
"2017","01.1.1","3","Pan y cereales","85.8710096357959"
