"anio","fuente","valor","pais_nombre"
"1975","MDP","-2.54441433303222","Argentina"
"1976","MDP","-1.93109840877491","Argentina"
"1977","MDP","4.25330812854443","Argentina"
"1978","MDP","-5.98368087035358","Argentina"
"1979","MDP","5.38412086145934","Argentina"
"1980","MDP","-0.259264907732188","Argentina"
"1981","MDP","-7.30122324159022","Argentina"
"1982","MDP","-4.74226804123712","Argentina"
"1983","MDP","1.94805194805194","Argentina"
"1984","MDP","0.526539278131651","Argentina"
"1985","MDP","-7.95809749091831","Argentina"
"1986","MDP","5.69068379990823","Argentina"
"1987","MDP","1.02475032566218","Argentina"
"1988","MDP","-3.34393535631393","Argentina"
"1989","MDP","-7.56848096762718","Argentina"
"1990","MDP","-1.33743866063696","Argentina"
"1991","MDP","9.4595732059708","Argentina"
"1992","MDP","9.29348162902043","Argentina"
"1993","MDP","5.37789665953979","Argentina"
"1994","MDP","4.98642380170028","Argentina"
"1995","MDP","-3.57622437797926","Argentina"
"1996","MDP","4.80810495586456","Argentina"
"1997","MDP","7.34526037844785","Argentina"
"1998","MDP","3.14693941793223","Argentina"
"1999","MDP","-4.00453094817054","Argentina"
"2000","MDP","-1.43292590938565","Argentina"
"2001","MDP","-4.98966251402082","Argentina"
"2002","MDP","-11.4064629266456","Argentina"
"2003","MDP","8.21670804708042","Argentina"
"2004","MDP","8.36348466037677","Argentina"
"2005","MDP","8.18524690260749","Argentina"
"2006","MDP","7.47070326186288","Argentina"
"2007","MDP","8.49866331818762","Argentina"
"2008","MDP","3.51197552049902","Argentina"
"2009","MDP","-6.43255275822217","Argentina"
"2010","MDP","9.5274872223273","Argentina"
"2011","MDP","5.3899301591722","Argentina"
"2012","MDP","-2.14486234338972","Argentina"
"2013","MDP","1.265350772932","Argentina"
"2014","MDP","-3.57896466253062","Argentina"
"2015","MDP","1.62950126921176","Argentina"
"2016","MDP","-3.10973253116663","Argentina"
"2017","MDP","1.75815023938877","Argentina"
"2018","MDP","-3.6012153060647","Argentina"
"2019","MDP","-2.96970442263265","Argentina"
"2020","MDP","-10.8124623199727","Argentina"
"2021","MDP","9.35690240691383","Argentina"
"2022","WB","5.04819532337902","Argentina"
"2023","WB","-1.89294979737508","Argentina"
"2024","WB","-2.05840275449548","Argentina"
