"anio","geocodigoFundar","geonombreFundar","gdppc_ppp"
"2024","SLB","Islas Salomón","2353.24808229243"
"2024","SOM","Somalia","1409.33492233283"
"2024","ZAF","Sudáfrica","13597.6538495998"
"2024","ESP","España","48460.2914069661"
"2024","LKA","Sri Lanka","13752.836740386"
"2024","KNA","Saint Kitts y Nevis","30656.4410109367"
"2024","LCA","Santa Lucía","24252.4688588491"
"2024","VCT","San Vicente y las Granadinas","18714.198849353"
"2024","SDN","Sudán","1861.39794921875"
"2024","SUR","Suriname","19179.1018321639"
"2024","SWE","Suecia","62978.9390459835"
"2024","CHE","Suiza","82286.1801896488"
"2024","TJK","Tayikistán","4755.93296704719"
"2024","TZA","Tanzanía","3713.26293945313"
"2024","THA","Tailandia","21740.5403219261"
"2024","TLS","Timor-Leste","3890.95763434187"
"2024","TGO","Togo","2960.77542569109"
"2024","TTO","Trinidad y Tobago","31960.1568888983"
"2024","TUN","Túnez","12774.9158568021"
"2024","TUR","Turquía","36154.490436557"
"2024","TKM","Turkmenistán","18662.298799056"
"2024","TCA","Islas Turcas y Caicos","33390.5267148059"
"2024","UGA","Uganda","2879.67009290376"
"2024","UKR","Ucrania","16319.8447265625"
"2024","ARE","Emiratos Árabes Unidos","69701.8047983545"
"2024","GBR","Reino Unido","52621.1790252979"
"2024","USA","Estados Unidos","75489.2664334817"
"2024","URY","Uruguay","32038.7727288227"
"2024","UZB","Uzbekistán","10450.2051402852"
"2024","VUT","Vanuatu","3172.04772751391"
"2024","VNM","Vietnam","14415.2159532813"
"2024","PSE","Palestina","3845.50297375419"
"2024","ZMB","Zambia","3708.06904295647"
"2024","ZWE","Zimbabwe","5215.25301075742"
"2024","HIC","Países de altos ingresos","58334.8145706326"
"2024","LCN","América Latina y el Caribe","19959.4404021983"
"2024","LMY","Países de ingreso bajo y medio","13825.5004622754"
"2024","LIC","Países de bajos ingresos","2252.95101397201"
"2024","LMC","Países de ingreso medio bajo","8995.87438825602"
"2024","MIC","Países de ingreso medio","15048.5525186633"
"2024","UMC","Países de ingreso medio alto","21737.6362169538"
"2024","WLD","Mundo","21405.1179795843"
