fecha,metodología,tasa_pobreza
2002-10-01,Metodología actual (serie empalmada),65.50542
2003-06-01,Metodología tradicional (serie empalmada),54
2003-06-01,Metodología actual (serie empalmada),62.00337
2003-12-01,Metodología tradicional (serie empalmada),47.8
2003-12-01,Metodología actual (serie empalmada),57.7262
2004-06-01,Metodología tradicional (serie empalmada),44.3
2004-06-01,Metodología actual (serie empalmada),55.32725
2004-12-01,Metodología tradicional (serie empalmada),40.2
2004-12-01,Metodología actual (serie empalmada),49.96734
2005-06-01,Metodología tradicional (serie empalmada),38.9
2005-06-01,Metodología actual (serie empalmada),48.72581
2005-12-01,Metodología tradicional (serie empalmada),33.8
2005-12-01,Metodología actual (serie empalmada),44.53982
2006-06-01,Metodología tradicional (serie empalmada),31.4
2006-06-01,Metodología actual (serie empalmada),41.54914
2006-12-01,Metodología tradicional (serie empalmada),26.9
2006-12-01,Metodología actual (serie empalmada),37.95842
2007-06-01,Metodología actual (serie empalmada),35.6411
2007-12-01,Metodología actual (serie empalmada),36.72438
2008-06-01,Metodología actual (serie empalmada),34.60476
2008-12-01,Metodología actual (serie empalmada),34.21962
2009-06-01,Metodología actual (serie empalmada),33.04388
2009-12-01,Metodología actual (serie empalmada),30.44369
2010-06-01,Metodología actual (serie empalmada),30.02719
2010-12-01,Metodología actual (serie empalmada),29.3639
2011-06-01,Metodología actual (serie empalmada),27.27001
2011-12-01,Metodología actual (serie empalmada),26.03307
2012-06-01,Metodología actual (serie empalmada),27.23999
2012-12-01,Metodología actual (serie empalmada),26.43833
2013-06-01,Metodología actual (serie empalmada),26.36926
2013-12-01,Metodología actual (serie empalmada),26.11601
2014-06-01,Metodología actual (serie empalmada),30.25439
2014-12-01,Metodología actual (serie empalmada),31.9991
2015-06-01,Metodología actual (serie empalmada),29.79939
2016-12-01,Metodología actual (serie empalmada),30.3
2017-06-01,Metodología actual (serie empalmada),28.6
2017-12-01,Metodología actual (serie empalmada),25.7
2018-06-01,Metodología actual (serie empalmada),27.3
2018-12-01,Metodología actual (serie empalmada),32
2019-06-01,Metodología actual (serie empalmada),35.4
2019-12-01,Metodología actual (serie empalmada),35.5
2020-06-01,Metodología actual (serie empalmada),40.9
2020-12-01,Metodología actual (serie empalmada),42
2021-06-01,Metodología actual (serie empalmada),40.6
2021-12-01,Metodología actual (serie empalmada),37.3
2022-06-01,Metodología actual (serie empalmada),36.5
2022-12-01,Metodología actual (serie empalmada),39.2
2023-06-01,Metodología actual (serie empalmada),40.1
2023-12-01,Metodología actual (serie empalmada),41.7
2024-06-01,Metodología actual (serie empalmada),52.9
2024-12-01,Metodología actual (serie empalmada),38.1
2025-06-01,Metodología actual (serie empalmada),31.6
