"provincia","anio","prop"
"Santa Fe","2011",0.0508395648666064
"Santa Fe","2012",0.0507006371414129
"Santa Fe","2013",0.052254848098291
"Santa Fe","2014",0.0497488612175992
"Santa Fe","2015",0.049571633152523
"Santa Fe","2016",0.050002656889314
"Santa Fe","2017",0.052384342546937
"Santa Fe","2018",0.0536937907400495
"Santa Fe","2019",0.0526781531003021
"Santa Fe","2020",0.0527937374200865
"Santa Fe","2021",0.0523967798213218
"Santa Fe","2022",0.0522953049940628
