rama,anio,empleo,sbc_perc,total_perc
Ss. publicidad,2001,11159.0,0.0610180705680356,0.0028462474787824
Ss. publicidad,2002,8737.0,0.0576383895291688,0.0024794973916606
Ss. publicidad,2003,9621.5,0.0576809517671779,0.0025803491188355
Ss. publicidad,2004,11292.25,0.0586517460869836,0.0026991270219251
Ss. publicidad,2005,13445.25,0.0592920149098234,0.0028649099168254
Ss. publicidad,2006,15361.5,0.0595116914914533,0.0029891307256038
Ss. publicidad,2007,17116.25,0.059104807979516,0.0030640479786099
Ss. publicidad,2008,18496.0,0.0606552014475133,0.0031214661001077
Ss. publicidad,2009,17499.0,0.0592529636640063,0.0029953436861179
Ss. publicidad,2010,18178.0,0.06012212616948,0.0030330109403547
Ss. publicidad,2011,19165.0,0.0591217649227314,0.0030506212108984
Ss. publicidad,2012,19018.5,0.0590780671685489,0.0029872637811956
Ss. publicidad,2013,18723.75,0.0585793137862987,0.00291467401281
Ss. publicidad,2014,18841.25,0.060205111982387,0.002928086976441
Ss. publicidad,2015,19743.5,0.0616827276802939,0.0030003555642075
Ss. publicidad,2016,19993.25,0.0644785471948813,0.0030545095102751
Ss. publicidad,2017,20320.75,0.064926672630839,0.0030779078405861
Ss. publicidad,2018,20178.75,0.0636680662624325,0.0030477932036345
Ss. publicidad,2019,19546.75,0.0618824576010941,0.0030208369635123
Ss. publicidad,2020,17467.25,0.0569255525002546,0.0028231273482203
Ss. publicidad,2021,18169.5,0.0560197878311621,0.0028955565370581
Ss. publicidad,2022,20644.0,0.060011758746567,0.0031436812638561
