"provincia","anio","prop"
"Córdoba","2014",0.0613604643034203
"Córdoba","2015",0.0584507660151856
"Córdoba","2016",0.0645978355208389
"Córdoba","2017",0.0683673200326963
"Córdoba","2018",0.0686196692447372
"Córdoba","2019",0.0669986655257663
"Córdoba","2020",0.0660184095897789
"Córdoba","2021",0.0649661274819517
"Córdoba","2022",0.0659323863198049
"Entre Ríos","1996",0.0196858773594524
"Entre Ríos","1997",0.0166482149722761
"Entre Ríos","1998",0.0152157108737376
"Entre Ríos","1999",0.014855885333079
"Entre Ríos","2000",0.0138879621774647
"Entre Ríos","2001",0.0148090551557704
"Entre Ríos","2002",0.0150450471392659
"Entre Ríos","2003",0.0151144080920402
"Entre Ríos","2004",0.0137407161717459
"Entre Ríos","2005",0.0145821273099353
"Entre Ríos","2006",0.0111945187133339
"Entre Ríos","2007",0.0105984051857809
"Entre Ríos","2008",0.0105493091164534
"Entre Ríos","2009",0.0104443753331396
"Entre Ríos","2010",0.0102514069055042
"Entre Ríos","2011",0.0105372023890101
"Entre Ríos","2012",0.0107794529694784
"Entre Ríos","2013",0.0113793648211157
"Entre Ríos","2014",0.0113641202991328
"Entre Ríos","2015",0.0113452975222409
"Entre Ríos","2016",0.00971133300162473
"Entre Ríos","2017",0.00936142399755817
"Entre Ríos","2018",0.00905080704473118
"Entre Ríos","2019",0.0077382123417929
"Entre Ríos","2020",0.00747676021159475
"Entre Ríos","2021",0.00737476634003652
"Entre Ríos","2022",0.00718371019453839
"Formosa","1996",0.00409958485443075
"Formosa","1997",0.00391577380538789
"Formosa","1998",0.00456998685764484
"Formosa","1999",0.0040958396056493
"Formosa","2000",0.00351590531838552
"Formosa","2001",0.00328239830987917
"Formosa","2002",0.00288746683315124
"Formosa","2003",0.00313951819424825
"Formosa","2004",0.00277962045238746
"Formosa","2005",0.00295816714468216
"Formosa","2006",0.00267562098766031
"Formosa","2007",0.00279623747545626
"Formosa","2008",0.00333386004828857
"Formosa","2009",0.00304391044191783
"Formosa","2010",0.00199109560823329
"Formosa","2011",0.00205298305244699
"Formosa","2012",0.00165681728831117
"Formosa","2013",0.00189027299314707
"Formosa","2014",0.00151221624853057
"Formosa","2015",0.00196948473766839
"Formosa","2016",0.00159815917826439
"Formosa","2017",0.00151655707983658
"Formosa","2018",0.00147565794343364
"Formosa","2019",0.00110060545151292
"Formosa","2020",0.000968155021958407
"Formosa","2021",0.000879615770287149
"Formosa","2022",0.00103170305985392
"GBA","1996",0.149969324659575
"GBA","1997",0.145739048263147
