"anio","sector","balanza","exportaciones","importaciones"
"2008","Investigación y desarrollo",155.015538235,179.40783639,24.392298155
"2009","Investigación y desarrollo",162.345233482,189.747670682,27.4024372
"2010","Investigación y desarrollo",199.288073538,227.71262978,28.424556242
"2011","Investigación y desarrollo",223.876810035,260.663668801,36.786858766
"2012","Investigación y desarrollo",214.47387713,257.107285558,42.633408428
"2013","Investigación y desarrollo",254.273108297,298.549086846,44.275978549
"2014","Investigación y desarrollo",291.31330859,322.939587617,31.626279027
"2015","Investigación y desarrollo",303.102476901,328.440110143,25.337633242
"2016","Investigación y desarrollo",296.624520617,337.840065195,41.2155445779999
"2017","Investigación y desarrollo",355.476168844,409.234513029,53.7583441850001
"2018","Investigación y desarrollo",301.133315368,357.351462994,56.218147626
"2019","Investigación y desarrollo",407.891858671,470.855435502,62.963576831
"2020","Investigación y desarrollo",402.314252092,451.282906985,48.968654893
"2021","Investigación y desarrollo",534.71212279,576.19885381,41.48673102
"2022","Investigación y desarrollo",587.33570198,666.91242098,79.5767189999999
"2006","Servicios profesionales",479.61875659,981.50165534,501.88289875
"2007","Servicios profesionales",733.69031984,1335.97878399,602.28846415
"2008","Servicios profesionales",830.30081065,1615.00841685,784.7076062
"2009","Servicios profesionales",799.11832656,1616.04673671,816.92841015
"2010","Servicios profesionales",974.62839533,1856.11830764,881.48991231
"2011","Servicios profesionales",1193.72610999,2202.81129356,1009.08518357
"2012","Servicios profesionales",1359.99629223,2323.04150397,963.04521174
"2013","Servicios profesionales",1162.09670417,2248.29291468,1086.19621051
"2014","Servicios profesionales",1026.52267799,2095.01331889,1068.4906409
"2015","Servicios profesionales",1039.13292056,2196.98645387,1157.85353331
"2016","Servicios profesionales",1049.95141282,2131.30247026,1081.35105744
"2017","Servicios profesionales",1506.2434929,2572.04593894,1065.80244604
"2018","Servicios profesionales",1267.87842052,2409.23395341,1141.35553289
"2019","Servicios profesionales",1194.47045454,2241.92653367,1047.45607913
"2020","Servicios profesionales",1013.62062437,1937.93689423,924.31626986
"2021","Servicios profesionales",763.0379402,2007.5689486,1244.5310084
"2022","Servicios profesionales",867.38080826,2451.71450886,1584.3337006
"2006","Ss. arquitectura, ingeniería y otros",226.78366012,792.80061546,566.01695534
"2007","Ss. arquitectura, ingeniería y otros",193.346806106,918.07208611,724.725280004
"2008","Ss. arquitectura, ingeniería y otros",340.765995699,1225.51853198,884.752536281
"2009","Ss. arquitectura, ingeniería y otros",248.355324099,1250.72160631,1002.366282211
"2010","Ss. arquitectura, ingeniería y otros",165.213351735,1380.70660235,1215.493250615
"2011","Ss. arquitectura, ingeniería y otros",-29.262496136,1665.96151703,1695.224013166
"2012","Ss. arquitectura, ingeniería y otros",53.6828117023,1679.46627211,1625.7834604077
"2013","Ss. arquitectura, ingeniería y otros",-229.58172768,1511.13779169,1740.71951937
"2014","Ss. arquitectura, ingeniería y otros",-290.99423544,1322.02737513,1613.02161057
"2015","Ss. arquitectura, ingeniería y otros",-266.00207761,1162.93781143,1428.93988904
"2016","Ss. arquitectura, ingeniería y otros",-33.2257896023,1497.14460032,1530.3703899223
"2017","Ss. arquitectura, ingeniería y otros",-103.521178694,1666.44990631,1769.971085004
"2018","Ss. arquitectura, ingeniería y otros",-436.31439452,1453.9951671,1890.30956162
"2019","Ss. arquitectura, ingeniería y otros",-162.667034686,1547.91686956,1710.583904246
"2020","Ss. arquitectura, ingeniería y otros",-558.21182611,1147.55255863,1705.76438474
"2021","Ss. arquitectura, ingeniería y otros",-262.36563676,1436.99935956,1699.36499632
"2022","Ss. arquitectura, ingeniería y otros",64.2086618255,1760.95640633,1696.7477445045
"2006","Ss. audiovisuales",80.4070926467,204.914360223,124.5072675763
"2007","Ss. audiovisuales",109.801268509,256.934113202,147.132844693
"2008","Ss. audiovisuales",121.124393323,315.225987274,194.101593951
"2009","Ss. audiovisuales",71.418055395,269.173397574,197.755342179
"2010","Ss. audiovisuales",37.7943099487,272.185883862,234.3915739133
"2011","Ss. audiovisuales",26.1317358223,325.627509297,299.4957734747
"2012","Ss. audiovisuales",-82.18866817,256.896831516,339.085499686
"2013","Ss. audiovisuales",-105.17436781,236.298677414,341.473045224
"2014","Ss. audiovisuales",-186.54091264,184.589699511,371.130612151
"2015","Ss. audiovisuales",-129.6123212536,212.61697863,342.2292998836
"2016","Ss. audiovisuales",-312.03601808,222.212015141,534.248033221
"2017","Ss. audiovisuales",-391.2626319,343.199062543,734.461694443
"2018","Ss. audiovisuales",-339.37090176,358.157340032,697.528241792
"2019","Ss. audiovisuales",-403.13884747,318.579975108,721.718822578
"2020","Ss. audiovisuales",-401.19344318,237.040494754,638.233937934
"2021","Ss. audiovisuales",-329.3191347,295.058218822,624.377353522
"2022","Ss. audiovisuales",-401.81701666,338.532420156,740.349436816
