anio,edad,apertura_sexo,tasa_informalidad_legal
2017,55,masculino,0.210778466418237
2017,55,total,0.256700019912851
2017,56,femenino,0.296137770459326
2017,56,masculino,0.215866152352711
2017,56,total,0.257497402922376
2017,57,femenino,0.270051440287776
2017,57,masculino,0.208291938055161
2017,57,total,0.239819288319235
2017,58,femenino,0.268216240468531
2017,58,masculino,0.203701739030493
2017,58,total,0.236196113750627
2017,59,femenino,0.280857883170669
2017,59,masculino,0.191229237768846
2017,59,total,0.236022747467567
2017,60,femenino,0.312142556137499
2017,60,masculino,0.224287663723626
2017,60,total,0.265687981962336
2017,61,femenino,0.335671941445216
2017,61,masculino,0.248707629323804
2017,61,total,0.286919966046454
2017,62,femenino,0.369897880598854
2017,62,masculino,0.275818908052475
2017,62,total,0.313994459279769
2017,63,femenino,0.394790892418118
2017,63,masculino,0.289534034062166
2017,63,total,0.330570945024872
2017,64,femenino,0.441425833271102
2017,64,masculino,0.299979272917293
2017,64,total,0.352263107918117
2017,65,femenino,0.474286543765423
2017,65,masculino,0.290672067386833
2017,65,total,0.355377041532474
2017,66,femenino,0.504616202935626
2017,66,masculino,0.286804968256628
2017,66,total,0.369787532779588
2017,67,femenino,0.528993348726609
2017,67,masculino,0.281831391886419
2017,67,total,0.382849738013409
2017,68,femenino,0.593613280451404
2017,68,masculino,0.300238562132321
2017,68,total,0.427270892422746
2017,69,femenino,0.586997071901095
2017,69,masculino,0.340121555241029
2017,69,total,0.447338922381311
2017,70,femenino,0.643962848297214
2017,70,masculino,0.371447060580417
2017,70,total,0.504400695953654
2018,18,femenino,0.855393586005831
2018,18,masculino,0.956719484640865
2018,18,total,0.931089673556789
2018,19,femenino,0.782253480310748
2018,19,masculino,0.876009607659063
2018,19,total,0.850222411610162
2018,20,femenino,0.713592666116477
2018,20,masculino,0.805822605579877
2018,20,total,0.774342068949766
2018,21,femenino,0.739666909594065
2018,21,masculino,0.736138937642812
2018,21,total,0.737484137076151
2018,22,femenino,0.734070486713804
2018,22,masculino,0.688709478614569
2018,22,total,0.706125438248544
2018,23,femenino,0.681068613680447
2018,23,masculino,0.634051197911398
2018,23,total,0.652439014099957
2018,24,femenino,0.625152398422934
2018,24,masculino,0.583449534577272
2018,24,total,0.600350119987929
2018,25,femenino,0.580644932155865
2018,25,masculino,0.566252194764553
2018,25,total,0.571986376576995
2018,26,femenino,0.526001076146009
2018,26,masculino,0.521357420415903
2018,26,total,0.523181992090236
2018,27,femenino,0.470688707905113
2018,27,masculino,0.475644096096083
2018,27,total,0.473659723134445
2018,28,femenino,0.444869543907508
2018,28,masculino,0.450762400262787
2018,28,total,0.44842539244503
2018,29,femenino,0.460814021691101
2018,29,masculino,0.430085689325876
2018,29,total,0.442532202208788
2018,30,femenino,0.431470405826113
2018,30,masculino,0.40032434741673
2018,30,total,0.412880846139088
2018,31,femenino,0.393517327041651
2018,31,masculino,0.380853713107259
2018,31,total,0.386074160097225
2018,32,femenino,0.383441557486297
2018,32,masculino,0.373283145127562
2018,32,total,0.377663606715864
2018,33,femenino,0.363977813867709
2018,33,masculino,0.347290446173042
2018,33,total,0.354921154785341
2018,34,femenino,0.342661392287254
2018,34,masculino,0.338007355575574
2018,34,total,0.340118457179668
2018,35,femenino,0.353207050371181
2018,35,masculino,0.312791666427262
2018,35,total,0.331196769746159
2018,36,femenino,0.350716771871866
2018,36,masculino,0.29615204087159
2018,36,total,0.320775813979981
2018,37,femenino,0.334994029254497
2018,37,masculino,0.285977556456629
2018,37,total,0.307763201594155
2018,38,femenino,0.330237639598983
2018,38,masculino,0.28633076477906
2018,38,total,0.305813756007544
2018,39,femenino,0.308848406993761
2018,39,masculino,0.274911074951426
2018,39,total,0.289765843727708
2018,40,femenino,0.309660163360952
2018,40,masculino,0.258424771927304
2018,40,total,0.281239843852145
2018,41,femenino,0.327403603809473
2018,41,masculino,0.255214453584019
2018,41,total,0.288460336061519
2018,42,femenino,0.320306024692953
2018,42,masculino,0.240252048645666
2018,42,total,0.277220561827773
2018,43,femenino,0.332967749626586
2018,43,masculino,0.218700977083459
2018,43,total,0.270519052576882
2018,44,femenino,0.332997032887689
2018,44,masculino,0.213554548210961
2018,44,total,0.270267122453881
2018,45,femenino,0.320904484920335
2018,45,masculino,0.207262350557459
2018,45,total,0.262447179676069
2018,46,femenino,0.298867051886723
2018,46,masculino,0.209198617558327
2018,46,total,0.252422829193386
2018,47,femenino,0.301801687087385
2018,47,masculino,0.208240323251242
2018,47,total,0.252512156740434
2018,48,femenino,0.279183770841394
2018,48,masculino,0.210762473174044
2018,48,total,0.244712271341463
2018,49,femenino,0.281105412425176
2018,49,masculino,0.207671560382527
2018,49,total,0.244040007428435
2018,50,femenino,0.281771068765956
2018,50,masculino,0.210857491316279
2018,50,total,0.245199422820778
2018,51,femenino,0.283803685800406
2018,51,masculino,0.206425942287339
2018,51,total,0.24420239605536
2018,52,femenino,0.290951685627638
2018,52,masculino,0.215563486565182
2018,52,total,0.25427763664335
2018,53,femenino,0.332225026327222
2018,53,masculino,0.211222698558651
2018,53,total,0.272001562261203
2018,54,femenino,0.330475187646992
2018,54,masculino,0.194589267651717
2018,54,total,0.260394686079474
2018,55,femenino,0.345154885771109
2018,55,masculino,0.192715937549955
2018,55,total,0.270739329030379
2018,56,femenino,0.341663761290964
2018,56,masculino,0.179583451663944
2018,56,total,0.264294762379698
2018,57,femenino,0.344017982433345
2018,57,masculino,0.170932878812405
2018,57,total,0.258586088360783
2018,58,femenino,0.289796273105443
2018,58,masculino,0.194907130991402
2018,58,total,0.243009772900228
2018,59,femenino,0.284157984558438
2018,59,masculino,0.231999161777033
2018,59,total,0.259396854837729
2018,60,femenino,0.28338450780936
2018,60,masculino,0.251114132487348
2018,60,total,0.267708869692415
2018,61,femenino,0.311448550680886
2018,61,masculino,0.291810473446689
2018,61,total,0.301440377676905
2018,62,femenino,0.339759081169964
2018,62,masculino,0.302260557469102
2018,62,total,0.320323915306768
2018,63,femenino,0.399984819158222
2018,63,masculino,0.303149866435091
2018,63,total,0.347041955022509
2018,64,femenino,0.457528779171825
2018,64,masculino,0.285313444843401
2018,64,total,0.357038827012873
2018,65,femenino,0.50550743298607
2018,65,masculino,0.292518302704318
2018,65,total,0.37549363856081
2018,66,femenino,0.509439872203472
2018,66,masculino,0.315586521186626
2018,66,total,0.385141874559232
2018,67,femenino,0.537906892681164
2018,67,masculino,0.376978487773803
2018,67,total,0.435560218706391
2018,68,femenino,0.608481132414404
2018,68,masculino,0.38269297635605
2018,68,total,0.467792968661843
2018,69,femenino,0.646069541787136
2018,69,masculino,0.516189671089953
2018,69,total,0.57120232874253
2018,70,femenino,0.593274323173216
2018,70,masculino,0.544586855740387
2018,70,total,0.564655863337633
2019,18,femenino,0.864190325792166
2019,18,masculino,0.942428290054561
2019,18,total,0.928329270857822
2019,19,femenino,0.83437955741551
2019,19,masculino,0.858292996147387
2019,19,total,0.852611996505287
2019,20,femenino,0.827923551843109
2019,20,masculino,0.830302992507039
2019,20,total,0.829608562299473
2019,21,femenino,0.76668281349516
2019,21,masculino,0.776281539277361
2019,21,total,0.77312241761843
2019,22,femenino,0.767500753523249
2019,22,masculino,0.738985531242155
2019,22,total,0.750028362852518
2019,23,femenino,0.700997491919388
2019,23,masculino,0.697016834862648
2019,23,total,0.698582299231413
2019,24,femenino,0.663312030752156
2019,24,masculino,0.660125229564169
2019,24,total,0.661430352760748
2019,25,femenino,0.570770528594394
2019,25,masculino,0.614859803552651
2019,25,total,0.596160324250687
2019,26,femenino,0.538486979581651
2019,26,masculino,0.564168418272927
2019,26,total,0.553520361223793
2019,27,femenino,0.48341181143403
2019,27,masculino,0.520914801813432
2019,27,total,0.505398946600643
2019,28,femenino,0.463625177583576
2019,28,masculino,0.450461187798228
2019,28,total,0.456007016933962
2019,29,femenino,0.439510178248744
2019,29,masculino,0.447276265191711
2019,29,total,0.444090602213192
2019,30,femenino,0.429667802206676
2019,30,masculino,0.405437170451688
2019,30,total,0.415371551195586
2019,31,femenino,0.39490789749065
2019,31,masculino,0.371017306219096
2019,31,total,0.380997877530332
2019,32,femenino,0.363830719729767
2019,32,masculino,0.369397986664418
2019,32,total,0.367098937023565
2019,33,femenino,0.329747235112478
2019,33,masculino,0.360927202288686
2019,33,total,0.347623008667988
2019,34,femenino,0.302388338428568
2019,34,masculino,0.316781659213623
2019,34,total,0.310321409117963
2019,35,femenino,0.317347712961812
2019,35,masculino,0.303079606617998
2019,35,total,0.309441833676528
2019,36,femenino,0.3234343841413
2019,36,masculino,0.30401713350238
2019,36,total,0.312818245263956
2019,37,femenino,0.321507147959249
2019,37,masculino,0.272785721061341
2019,37,total,0.294709409130611
2019,38,femenino,0.337292972728974
2019,38,masculino,0.264677982900507
2019,38,total,0.297888017384809
2019,39,femenino,0.340136381728872
2019,39,masculino,0.272423518246283
2019,39,total,0.303312570875582
2019,40,femenino,0.319674160816947
2019,40,masculino,0.271638733162034
2019,40,total,0.293846132711795
2019,41,femenino,0.313548412905917
2019,41,masculino,0.270443158263935
2019,41,total,0.290696050856218
2019,42,femenino,0.32090552681249
2019,42,masculino,0.272487442784296
2019,42,total,0.296766314110987
2019,43,femenino,0.303206309205275
2019,43,masculino,0.272031509864261
2019,43,total,0.287555589997675
2019,44,femenino,0.294343092714746
2019,44,masculino,0.258216700146069
2019,44,total,0.276371649706626
2019,45,femenino,0.30582369391538
2019,45,masculino,0.244610015459466
2019,45,total,0.275576736089329
2019,46,femenino,0.306245377272267
2019,46,masculino,0.24114740005601
2019,46,total,0.275052074987983
2019,47,femenino,0.287331617406733
2019,47,masculino,0.22541007128181
2019,47,total,0.256110847459589
2019,48,femenino,0.297329010988029
2019,48,masculino,0.214519365568047
2019,48,total,0.255327095945698
2019,49,femenino,0.302789541252602
2019,49,masculino,0.200414353782289
2019,49,total,0.251729848419149
2019,50,femenino,0.295252648865949
2019,50,masculino,0.2089903286755
2019,50,total,0.251743153286713
2019,51,femenino,0.284340017387139
2019,51,masculino,0.200530441188151
2019,51,total,0.24090953111129
2019,52,femenino,0.296050406027351
2019,52,masculino,0.194973344707112
2019,52,total,0.243476060296287
2019,53,femenino,0.314713615006895
2019,53,masculino,0.219485168333921
2019,53,total,0.266227035496938
2019,54,femenino,0.339824364830829
2019,54,masculino,0.217692476501106
2019,54,total,0.274674544791644
2019,55,femenino,0.346130829898865
2019,55,masculino,0.217192664463162
2019,55,total,0.278047233396107
2019,56,femenino,0.372760722016893
2019,56,masculino,0.221751067835308
2019,56,total,0.292533871655757
2019,57,femenino,0.345944444911938
2019,57,masculino,0.242297349059163
2019,57,total,0.292746087462267
2019,58,femenino,0.325933664752476
2019,58,masculino,0.215638741799557
2019,58,total,0.267048834214672
2019,59,femenino,0.302877955204064
2019,59,masculino,0.272488967676234
2019,59,total,0.286651114132107
2019,60,femenino,0.288893155664785
2019,60,masculino,0.283768499195514
2019,60,total,0.286180191945794
2019,61,femenino,0.281227406235879
2019,61,masculino,0.287849336854183
2019,61,total,0.284747386148805
2019,62,femenino,0.313954941354866
2019,62,masculino,0.276099598973579
2019,62,total,0.292490546283
2019,63,femenino,0.342189288059282
2019,63,masculino,0.296120440389921
2019,63,total,0.315674308683106
2019,64,femenino,0.377734446407897
2019,64,masculino,0.261141778863718
2019,64,total,0.309752551289618
2019,65,femenino,0.417624589674724
2019,65,masculino,0.275963722942149
2019,65,total,0.329583987529792
2019,66,femenino,0.473220836390315
2019,66,masculino,0.316724449395263
2019,66,total,0.37345574761098
2019,67,femenino,0.494391593420676
2019,67,masculino,0.384319949056501
2019,67,total,0.42808205835194
2019,68,femenino,0.566087979298988
2019,68,masculino,0.43462446202971
2019,68,total,0.490434817344758
2019,69,femenino,0.634931419593189
2019,69,masculino,0.482519095481845
2019,69,total,0.551901951971544
2019,70,femenino,0.67228560584072
2019,70,masculino,0.536156762059319
2019,70,total,0.606991617726504
2020,18,femenino,0.973081424510951
2020,18,masculino,0.97508880641903
2020,18,total,0.974848863352486
2020,19,femenino,0.745919621977386
2020,19,masculino,0.922597964062711
2020,19,total,0.887984129982996
2020,20,femenino,0.795746696712076
2020,20,masculino,0.887372907004327
2020,20,total,0.86519016769474
2020,21,femenino,0.786181818181818
2020,21,masculino,0.834693097532308
2020,21,total,0.820953412829032
2020,22,femenino,0.748513412745454
2020,22,masculino,0.73631218978575
2020,22,total,0.740389391952439
2020,23,femenino,0.685763652739739
2020,23,masculino,0.697974309329003
2020,23,total,0.693559470721544
2020,24,femenino,0.640749072370392
2020,24,masculino,0.660751486279372
2020,24,total,0.652954681109365
2020,25,femenino,0.588502242335083
2020,25,masculino,0.584600900644444
2020,25,total,0.58617135503754
