provincia_id,provincia_nombre,anio,pbg_pc_relativo
62,Río Negro,2021,86.3
66,Salta,2004,58.8
66,Salta,2005,57.7
66,Salta,2006,58.8
66,Salta,2007,58.3
66,Salta,2008,58.4
66,Salta,2009,59.2
66,Salta,2010,58
66,Salta,2011,57.8
66,Salta,2012,55.4
66,Salta,2013,51.8
66,Salta,2014,55.4
66,Salta,2015,58
66,Salta,2016,57.1
66,Salta,2017,57.6
66,Salta,2018,58.4
66,Salta,2019,59.7
66,Salta,2020,60.9
66,Salta,2021,59.5
70,San Juan,2004,68
70,San Juan,2005,68.3
70,San Juan,2006,71.1
70,San Juan,2007,70.1
70,San Juan,2008,72.2
70,San Juan,2009,77.4
70,San Juan,2010,82
70,San Juan,2011,81.8
70,San Juan,2012,83.7
70,San Juan,2013,83.9
70,San Juan,2014,81.3
70,San Juan,2015,76.4
70,San Juan,2016,74.4
70,San Juan,2017,74.1
70,San Juan,2018,75
70,San Juan,2019,73.8
70,San Juan,2020,73.6
70,San Juan,2021,74
74,San Luis,2004,104.8
74,San Luis,2005,101.5
74,San Luis,2006,96.8
74,San Luis,2007,95
74,San Luis,2008,94.1
74,San Luis,2009,94
74,San Luis,2010,90.8
74,San Luis,2011,91.2
74,San Luis,2012,90.9
74,San Luis,2013,94.9
74,San Luis,2014,94.2
74,San Luis,2015,96.6
74,San Luis,2016,95.4
74,San Luis,2017,94
74,San Luis,2018,91
74,San Luis,2019,90
74,San Luis,2020,86.8
74,San Luis,2021,92.4
78,Santa Cruz,2004,308.5
78,Santa Cruz,2005,281.5
78,Santa Cruz,2006,277.7
78,Santa Cruz,2007,251
78,Santa Cruz,2008,236.3
78,Santa Cruz,2009,250.1
78,Santa Cruz,2010,226.9
78,Santa Cruz,2011,210.4
78,Santa Cruz,2012,224.2
78,Santa Cruz,2013,217.6
78,Santa Cruz,2014,220.4
78,Santa Cruz,2015,230.4
78,Santa Cruz,2016,214.1
78,Santa Cruz,2017,200.6
78,Santa Cruz,2018,200.1
78,Santa Cruz,2019,195.9
78,Santa Cruz,2020,185.3
78,Santa Cruz,2021,175.2
82,Santa Fe,2004,103.6
82,Santa Fe,2005,105.4
82,Santa Fe,2006,103.3
82,Santa Fe,2007,102.8
82,Santa Fe,2008,102.3
82,Santa Fe,2009,97.6
82,Santa Fe,2010,103
82,Santa Fe,2011,100.8
82,Santa Fe,2012,98.9
82,Santa Fe,2013,101.3
82,Santa Fe,2014,99.9
82,Santa Fe,2015,99.4
82,Santa Fe,2016,96.4
82,Santa Fe,2017,99.7
82,Santa Fe,2018,98.1
82,Santa Fe,2019,101
82,Santa Fe,2020,102.1
82,Santa Fe,2021,104.2
86,Santiago del Estero,2004,57
86,Santiago del Estero,2005,52.7
86,Santiago del Estero,2006,60.6
86,Santiago del Estero,2007,62.9
86,Santiago del Estero,2008,63.3
86,Santiago del Estero,2009,57.6
86,Santiago del Estero,2010,69.1
86,Santiago del Estero,2011,69.5
86,Santiago del Estero,2012,64.9
86,Santiago del Estero,2013,71.3
86,Santiago del Estero,2014,84.1
86,Santiago del Estero,2015,80.6
86,Santiago del Estero,2016,84.7
86,Santiago del Estero,2017,87.5
86,Santiago del Estero,2018,79.2
86,Santiago del Estero,2019,84.6
86,Santiago del Estero,2020,84.9
86,Santiago del Estero,2021,82
90,Tucumán,2004,48.9
90,Tucumán,2005,49.6
90,Tucumán,2006,51.1
90,Tucumán,2007,50.9
90,Tucumán,2008,51.8
90,Tucumán,2009,52.6
90,Tucumán,2010,51
90,Tucumán,2011,52.3
90,Tucumán,2012,52.5
90,Tucumán,2013,51
90,Tucumán,2014,50.7
90,Tucumán,2015,50.6
90,Tucumán,2016,52.5
90,Tucumán,2017,52.7
90,Tucumán,2018,54.6
90,Tucumán,2019,55.9
90,Tucumán,2020,55.7
90,Tucumán,2021,55.2
94,Tierra del Fuego,2004,276
94,Tierra del Fuego,2005,270.7
94,Tierra del Fuego,2006,279.9
94,Tierra del Fuego,2007,264.8
94,Tierra del Fuego,2008,250.7
94,Tierra del Fuego,2009,235.7
94,Tierra del Fuego,2010,264.9
94,Tierra del Fuego,2011,305.7
94,Tierra del Fuego,2012,327.9
94,Tierra del Fuego,2013,315.4
94,Tierra del Fuego,2014,280.8
94,Tierra del Fuego,2015,277.9
94,Tierra del Fuego,2016,266.3
94,Tierra del Fuego,2017,257
94,Tierra del Fuego,2018,257.5
94,Tierra del Fuego,2019,233.3
94,Tierra del Fuego,2020,237.4
94,Tierra del Fuego,2021,243.1
