geocodigoFundar,geonombreFundar,anio,pib_per_capita,cambio_relativo
AUT,Austria,1997,31173.0487744938,15.0603033356485
AUT,Austria,1998,32376.329513091,15.6802315884034
AUT,Austria,1999,33608.2965466276,16.3149389730178
AUT,Austria,2000,34796.259482554,16.9269755190902
AUT,Austria,2001,35272.223953776,17.1721916299722
AUT,Austria,2002,35823.5873741604,17.4562531551573
AUT,Austria,2003,36063.1204896524,17.5796602213562
AUT,Austria,2004,36957.1122496145,18.0402433022228
AUT,Austria,2005,37642.7621500192,18.3934890005251
AUT,Austria,2006,38866.8493387811,19.0241367021026
AUT,Austria,2007,40305.2743067797,19.7652108741781
AUT,Austria,2008,40964.793352369,20.1049939991597
AUT,Austria,2009,39463.6569569054,19.3316110030425
AUT,Austria,2010,40288.3492939002,19.7564911354458
AUT,Austria,2011,41446.0,20.3529108706852
AUT,Austria,2012,41540.9419379778,20.4018248006068
AUT,Austria,2013,41301.9421470415,20.2786925023398
AUT,Austria,2014,41250.5059739566,20.2521926707659
AUT,Austria,2015,41255.7166647847,20.25487721009
AUT,Austria,2016,41545.4987022567,20.4041724380508
AUT,Austria,2017,42216.9196973467,20.7500874277932
AUT,Austria,2018,43032.2164038714,21.1701269468683
AUT,Austria,2019,43488.6681205035,21.405290118755
AUT,Austria,2020,40503.0408055729,19.8670998483116
AUT,Austria,2021,42184.6961214896,20.7334858946366
AUT,Austria,2022,43792.8563998972,21.5620074188033
BEL,Bélgica,1820,2358.0,0.0
BEL,Bélgica,1846,2700.0,0.145038167938931
BEL,Bélgica,1847,2809.0,0.191263782866836
BEL,Bélgica,1848,2796.0,0.185750636132316
BEL,Bélgica,1849,2853.0,0.209923664122137
BEL,Bélgica,1850,2944.0,0.248515691263783
BEL,Bélgica,1851,3006.0,0.274809160305344
BEL,Bélgica,1852,3067.0,0.300678541136556
BEL,Bélgica,1853,3127.0,0.326123833757421
BEL,Bélgica,1854,3300.0,0.399491094147583
BEL,Bélgica,1855,3301.0,0.399915182357931
BEL,Bélgica,1856,3459.0,0.466921119592875
BEL,Bélgica,1857,3524.0,0.494486853265479
BEL,Bélgica,1858,3526.0,0.495335029686175
BEL,Bélgica,1859,3502.0,0.485156912637829
BEL,Bélgica,1860,3655.0,0.550042408821035
BEL,Bélgica,1861,3682.0,0.561492790500424
BEL,Bélgica,1862,3752.0,0.591178965224767
BEL,Bélgica,1863,3832.0,0.625106022052587
BEL,Bélgica,1864,3931.0,0.667090754877014
BEL,Bélgica,1865,3902.0,0.65479219677693
BEL,Bélgica,1866,3990.0,0.692111959287532
BEL,Bélgica,1867,3980.0,0.687871077184054
BEL,Bélgica,1868,4095.0,0.736641221374046
BEL,Bélgica,1869,4245.0,0.800254452926209
BEL,Bélgica,1870,4291.0,0.819762510602205
BEL,Bélgica,1871,4275.0,0.812977099236641
BEL,Bélgica,1872,4501.0,0.908821034775233
BEL,Bélgica,1873,4495.0,0.906276505513147
BEL,Bélgica,1874,4607.0,0.953774385072095
BEL,Bélgica,1875,4560.0,0.933842239185751
BEL,Bélgica,1876,4583.0,0.943596268023749
BEL,Bélgica,1877,4597.0,0.949533502968617
BEL,Bélgica,1878,4689.0,0.988549618320611
BEL,Bélgica,1879,4694.0,0.990670059372349
BEL,Bélgica,1880,4886.0,1.07209499575912
BEL,Bélgica,1881,4894.0,1.0754877014419
BEL,Bélgica,1882,4999.0,1.12001696352841
BEL,Bélgica,1883,5013.0,1.12595419847328
BEL,Bélgica,1884,4999.0,1.12001696352841
BEL,Bélgica,1885,5002.0,1.12128922815946
BEL,Bélgica,1886,5026.0,1.1314673452078
BEL,Bélgica,1887,5180.0,1.19677692960136
BEL,Bélgica,1888,5176.0,1.19508057675997
BEL,Bélgica,1889,5386.0,1.28413910093299
BEL,Bélgica,1890,5464.0,1.31721798134012
