"geocodigoFundar","geonombreFundar","anio","vab_pb","region","participacion"
"AR-C","CABA","2015","124247.15235","Pampeana y AMBA","0.20617"
"AR-C","CABA","2016","123199.88143","Pampeana y AMBA","0.20906"
"AR-C","CABA","2017","125973.65213","Pampeana y AMBA","0.20839"
"AR-C","CABA","2018","124075.62719","Pampeana y AMBA","0.21092"
"AR-C","CABA","2019","118237.39023","Pampeana y AMBA","0.20429"
"AR-C","CABA","2020","103834.72485","Pampeana y AMBA","0.19913"
"AR-C","CABA","2021","113402.66449","Pampeana y AMBA","0.19689"
"AR-C","CABA","2022","119077.26183","Pampeana y AMBA","0.19676"
"AR-C","CABA","2023","119523.87813","Pampeana y AMBA","0.20063"
"AR-K","Catamarca","2004","3857.95922","NOA","0.00936"
"AR-K","Catamarca","2005","4349.61188","NOA","0.00966"
"AR-K","Catamarca","2006","4585.24073","NOA","0.00947"
"AR-K","Catamarca","2007","4733.58214","NOA","0.00905"
"AR-K","Catamarca","2008","4554.03060","NOA","0.00839"
"AR-K","Catamarca","2009","4155.25444","NOA","0.00812"
"AR-K","Catamarca","2010","4255.86006","NOA","0.00756"
"AR-K","Catamarca","2011","4227.89416","NOA","0.00713"
"AR-K","Catamarca","2012","4321.49662","NOA","0.00739"
"AR-K","Catamarca","2013","4132.67677","NOA","0.00691"
"AR-K","Catamarca","2014","4257.00248","NOA","0.00725"
"AR-K","Catamarca","2015","3848.44705","NOA","0.00639"
"AR-K","Catamarca","2016","3850.06628","NOA","0.00653"
"AR-K","Catamarca","2017","3789.79185","NOA","0.00627"
"AR-K","Catamarca","2018","3615.68863","NOA","0.00615"
"AR-K","Catamarca","2019","3268.24478","NOA","0.00565"
"AR-K","Catamarca","2020","2943.72343","NOA","0.00565"
"AR-K","Catamarca","2021","3427.65145","NOA","0.00595"
"AR-K","Catamarca","2022","3815.29756","NOA","0.00630"
"AR-K","Catamarca","2023","4091.15760","NOA","0.00687"
"AR-H","Chaco","2004","5596.91671","NEA","0.01358"
"AR-H","Chaco","2005","6253.33643","NEA","0.01389"
"AR-H","Chaco","2006","6855.53318","NEA","0.01416"
"AR-H","Chaco","2007","7470.88792","NEA","0.01428"
"AR-H","Chaco","2008","7888.93250","NEA","0.01454"
"AR-H","Chaco","2009","7512.65108","NEA","0.01469"
"AR-H","Chaco","2010","8460.05237","NEA","0.01504"
"AR-H","Chaco","2011","9350.02845","NEA","0.01576"
"AR-H","Chaco","2012","8518.86285","NEA","0.01457"
"AR-H","Chaco","2013","8938.59576","NEA","0.01496"
"AR-H","Chaco","2014","9649.59064","NEA","0.01644"
"AR-H","Chaco","2015","9540.61072","NEA","0.01583"
"AR-H","Chaco","2016","9426.65297","NEA","0.01600"
"AR-H","Chaco","2017","9798.35839","NEA","0.01621"
"AR-H","Chaco","2018","9672.04863","NEA","0.01644"
"AR-H","Chaco","2019","9147.18655","NEA","0.01580"
"AR-H","Chaco","2020","8556.29712","NEA","0.01641"
"AR-H","Chaco","2021","9150.91982","NEA","0.01589"
"AR-H","Chaco","2022","9866.36124","NEA","0.01630"
"AR-H","Chaco","2023","9606.25193","NEA","0.01612"
"AR-U","Chubut","2004","9546.84094","Patagonia","0.02316"
"AR-U","Chubut","2005","9965.73522","Patagonia","0.02214"
"AR-U","Chubut","2006","10999.40447","Patagonia","0.02271"
"AR-U","Chubut","2007","11203.24495","Patagonia","0.02141"
"AR-U","Chubut","2008","11325.99594","Patagonia","0.02087"
"AR-U","Chubut","2009","10718.51859","Patagonia","0.02095"
"AR-U","Chubut","2010","11457.59881","Patagonia","0.02036"
"AR-U","Chubut","2011","11920.21044","Patagonia","0.02009"
"AR-U","Chubut","2012","11497.36946","Patagonia","0.01966"
"AR-U","Chubut","2013","11855.44009","Patagonia","0.01984"
"AR-U","Chubut","2014","12167.04083","Patagonia","0.02073"
"AR-U","Chubut","2015","12269.62817","Patagonia","0.02036"
"AR-U","Chubut","2016","11798.80914","Patagonia","0.02002"
"AR-U","Chubut","2017","12125.93710","Patagonia","0.02006"
"AR-U","Chubut","2018","12073.81915","Patagonia","0.02052"
"AR-U","Chubut","2019","12216.79016","Patagonia","0.02111"
"AR-U","Chubut","2020","10964.93071","Patagonia","0.02103"
"AR-U","Chubut","2021","11392.28361","Patagonia","0.01978"
"AR-U","Chubut","2022","11544.86543","Patagonia","0.01908"
"AR-U","Chubut","2023","11292.64554","Patagonia","0.01896"
"AR-W","Corrientes","2004","4777.10316","NEA","0.01159"
"AR-W","Corrientes","2005","5418.79521","NEA","0.01204"
"AR-W","Corrientes","2006","5701.32128","NEA","0.01177"
"AR-W","Corrientes","2007","6082.05080","NEA","0.01162"
"AR-W","Corrientes","2008","6338.25489","NEA","0.01168"
"AR-W","Corrientes","2009","6140.48110","NEA","0.01200"
"AR-W","Corrientes","2010","6489.82857","NEA","0.01153"
"AR-W","Corrientes","2011","7120.27598","NEA","0.01200"
"AR-W","Corrientes","2012","7156.20167","NEA","0.01224"
"AR-W","Corrientes","2013","7340.99906","NEA","0.01228"
"AR-W","Corrientes","2014","7367.16699","NEA","0.01255"
"AR-W","Corrientes","2015","7568.68710","NEA","0.01256"
"AR-W","Corrientes","2016","7413.74327","NEA","0.01258"
"AR-W","Corrientes","2017","7769.95661","NEA","0.01285"
"AR-W","Corrientes","2018","7861.25618","NEA","0.01336"
"AR-W","Corrientes","2019","7578.93887","NEA","0.01309"
"AR-W","Corrientes","2020","6917.27289","NEA","0.01327"
"AR-W","Corrientes","2021","7557.40760","NEA","0.01312"
"AR-W","Corrientes","2022","7705.76533","NEA","0.01273"
"AR-W","Corrientes","2023","7868.32684","NEA","0.01321"
"AR-X","Córdoba","2004","32365.85741","Pampeana y AMBA","0.07853"
"AR-X","Córdoba","2005","37646.15021","Pampeana y AMBA","0.08363"
"AR-X","Córdoba","2006","39981.30146","Pampeana y AMBA","0.08255"
"AR-X","Córdoba","2007","45313.50286","Pampeana y AMBA","0.08661"
"AR-X","Córdoba","2008","46362.13231","Pampeana y AMBA","0.08543"
"AR-X","Córdoba","2009","42126.60408","Pampeana y AMBA","0.08235"
"AR-X","Córdoba","2010","47510.27578","Pampeana y AMBA","0.08443"
"AR-X","Córdoba","2011","49640.75541","Pampeana y AMBA","0.08368"
"AR-X","Córdoba","2012","47356.02811","Pampeana y AMBA","0.08098"
"AR-X","Córdoba","2013","50887.61618","Pampeana y AMBA","0.08514"
"AR-X","Córdoba","2014","50214.05266","Pampeana y AMBA","0.08557"
"AR-X","Córdoba","2015","52202.43246","Pampeana y AMBA","0.08662"
"AR-X","Córdoba","2016","51381.02054","Pampeana y AMBA","0.08719"
"AR-X","Córdoba","2017","52454.12947","Pampeana y AMBA","0.08677"
"AR-X","Córdoba","2018","49000.60229","Pampeana y AMBA","0.08330"
"AR-X","Córdoba","2019","50159.29851","Pampeana y AMBA","0.08666"
"AR-X","Córdoba","2020","44623.41279","Pampeana y AMBA","0.08558"
"AR-X","Córdoba","2021","50042.17702","Pampeana y AMBA","0.08688"
"AR-X","Córdoba","2022","51617.31157","Pampeana y AMBA","0.08529"
"AR-X","Córdoba","2023","47892.30709","Pampeana y AMBA","0.08039"
"AR-E","Entre Ríos","2004","10433.91389","Pampeana y AMBA","0.02532"
"AR-E","Entre Ríos","2005","11702.55493","Pampeana y AMBA","0.02600"
"AR-E","Entre Ríos","2006","12454.63235","Pampeana y AMBA","0.02572"
"AR-E","Entre Ríos","2007","13762.56224","Pampeana y AMBA","0.02630"
"AR-E","Entre Ríos","2008","14098.56780","Pampeana y AMBA","0.02598"
"AR-E","Entre Ríos","2009","13007.23472","Pampeana y AMBA","0.02543"
"AR-E","Entre Ríos","2010","14942.72964","Pampeana y AMBA","0.02656"
"AR-E","Entre Ríos","2011","15639.21995","Pampeana y AMBA","0.02636"
"AR-E","Entre Ríos","2012","15577.67133","Pampeana y AMBA","0.02664"
"AR-E","Entre Ríos","2013","16092.82088","Pampeana y AMBA","0.02693"
"AR-E","Entre Ríos","2014","15862.12016","Pampeana y AMBA","0.02703"
"AR-E","Entre Ríos","2015","16422.06225","Pampeana y AMBA","0.02725"
"AR-E","Entre Ríos","2016","15653.69330","Pampeana y AMBA","0.02656"
"AR-E","Entre Ríos","2017","16435.78803","Pampeana y AMBA","0.02719"
"AR-E","Entre Ríos","2018","15785.99497","Pampeana y AMBA","0.02684"
"AR-E","Entre Ríos","2019","16031.45610","Pampeana y AMBA","0.02770"
"AR-E","Entre Ríos","2020","14945.62228","Pampeana y AMBA","0.02866"
"AR-E","Entre Ríos","2021","15947.94813","Pampeana y AMBA","0.02769"
"AR-E","Entre Ríos","2022","16840.81750","Pampeana y AMBA","0.02783"
"AR-E","Entre Ríos","2023","16133.86054","Pampeana y AMBA","0.02708"
"AR-P","Formosa","2004","2263.40847","NEA","0.00549"
"AR-P","Formosa","2005","2557.01038","NEA","0.00568"
"AR-P","Formosa","2006","2733.81651","NEA","0.00564"
"AR-P","Formosa","2007","2959.86686","NEA","0.00566"
"AR-P","Formosa","2008","2946.20296","NEA","0.00543"
"AR-P","Formosa","2009","2943.61768","NEA","0.00575"
"AR-P","Formosa","2010","3096.91270","NEA","0.00550"
"AR-P","Formosa","2011","3368.90592","NEA","0.00568"
"AR-P","Formosa","2012","3371.47900","NEA","0.00577"
"AR-P","Formosa","2013","3455.85720","NEA","0.00578"
"AR-P","Formosa","2014","3413.80015","NEA","0.00582"
"AR-P","Formosa","2015","3616.80673","NEA","0.00600"
"AR-P","Formosa","2016","3602.64240","NEA","0.00611"
"AR-P","Formosa","2017","3694.74799","NEA","0.00611"
"AR-P","Formosa","2018","3675.23797","NEA","0.00625"
"AR-P","Formosa","2019","3463.43944","NEA","0.00598"
"AR-P","Formosa","2020","3211.23966","NEA","0.00616"
"AR-P","Formosa","2021","3594.98704","NEA","0.00624"
"AR-P","Formosa","2022","3880.46032","NEA","0.00641"
"AR-P","Formosa","2023","3796.36074","NEA","0.00637"
"AR-Y","Jujuy","2004","3654.78649","NOA","0.00887"
"AR-Y","Jujuy","2005","3854.75236","NOA","0.00856"
"AR-Y","Jujuy","2006","4095.18809","NOA","0.00846"
"AR-Y","Jujuy","2007","4428.65266","NOA","0.00846"
"AR-Y","Jujuy","2008","4636.75197","NOA","0.00854"
"AR-Y","Jujuy","2009","4578.59374","NOA","0.00895"
"AR-Y","Jujuy","2010","5056.44939","NOA","0.00899"
"AR-Y","Jujuy","2011","5312.88093","NOA","0.00896"
"AR-Y","Jujuy","2012","5440.96873","NOA","0.00930"
"AR-Y","Jujuy","2013","5461.99011","NOA","0.00914"
"AR-Y","Jujuy","2014","5507.38171","NOA","0.00938"
"AR-Y","Jujuy","2015","5765.10691","NOA","0.00957"
"AR-Y","Jujuy","2016","5554.71010","NOA","0.00943"
"AR-Y","Jujuy","2017","5722.25899","NOA","0.00947"
"AR-Y","Jujuy","2018","5656.35622","NOA","0.00962"
"AR-Y","Jujuy","2019","5731.21069","NOA","0.00990"
"AR-Y","Jujuy","2020","5324.04597","NOA","0.01021"
"AR-Y","Jujuy","2021","5996.41133","NOA","0.01041"
"AR-Y","Jujuy","2022","6600.85236","NOA","0.01091"
"AR-Y","Jujuy","2023","6832.04884","NOA","0.01147"
"AR-L","La Pampa","2004","3826.12818","Pampeana y AMBA","0.00928"
"AR-L","La Pampa","2005","4607.33584","Pampeana y AMBA","0.01023"
"AR-L","La Pampa","2006","4615.95390","Pampeana y AMBA","0.00953"
"AR-L","La Pampa","2007","5170.19400","Pampeana y AMBA","0.00988"
"AR-L","La Pampa","2008","5578.67973","Pampeana y AMBA","0.01028"
"AR-L","La Pampa","2009","5164.53701","Pampeana y AMBA","0.01010"
"AR-L","La Pampa","2010","5514.96058","Pampeana y AMBA","0.00980"
"AR-L","La Pampa","2011","5896.91550","Pampeana y AMBA","0.00994"
"AR-L","La Pampa","2012","5900.32283","Pampeana y AMBA","0.01009"
"AR-L","La Pampa","2013","5955.27362","Pampeana y AMBA","0.00996"
"AR-L","La Pampa","2014","5675.19045","Pampeana y AMBA","0.00967"
"AR-L","La Pampa","2015","5982.80443","Pampeana y AMBA","0.00993"
"AR-L","La Pampa","2016","6190.16840","Pampeana y AMBA","0.01050"
"AR-L","La Pampa","2017","6008.98602","Pampeana y AMBA","0.00994"
"AR-L","La Pampa","2018","5907.97462","Pampeana y AMBA","0.01004"
"AR-L","La Pampa","2019","6048.17603","Pampeana y AMBA","0.01045"
"AR-L","La Pampa","2020","5434.24529","Pampeana y AMBA","0.01042"
"AR-L","La Pampa","2021","5867.06870","Pampeana y AMBA","0.01019"
"AR-L","La Pampa","2022","6427.55033","Pampeana y AMBA","0.01062"
"AR-L","La Pampa","2023","6122.83651","Pampeana y AMBA","0.01028"
"AR-F","La Rioja","2004","2520.35051","NOA","0.00612"
"AR-F","La Rioja","2005","2718.37520","NOA","0.00604"
"AR-F","La Rioja","2006","2851.10114","NOA","0.00589"
"AR-F","La Rioja","2007","3127.93441","NOA","0.00598"
"AR-F","La Rioja","2008","3082.22835","NOA","0.00568"
"AR-F","La Rioja","2009","2970.52021","NOA","0.00581"
"AR-F","La Rioja","2010","3280.83257","NOA","0.00583"
"AR-F","La Rioja","2011","3458.64013","NOA","0.00583"
"AR-F","La Rioja","2012","3331.50859","NOA","0.00570"
"AR-F","La Rioja","2013","3487.61567","NOA","0.00584"
"AR-F","La Rioja","2014","3364.37644","NOA","0.00573"
"AR-F","La Rioja","2015","3439.16634","NOA","0.00571"
"AR-F","La Rioja","2016","3389.21485","NOA","0.00575"
"AR-F","La Rioja","2017","3499.09438","NOA","0.00579"
"AR-F","La Rioja","2018","3374.54258","NOA","0.00574"
"AR-F","La Rioja","2019","3290.80729","NOA","0.00569"
"AR-F","La Rioja","2020","2906.70028","NOA","0.00557"
"AR-F","La Rioja","2021","3212.70152","NOA","0.00558"
"AR-F","La Rioja","2022","3474.28500","NOA","0.00574"
"AR-F","La Rioja","2023","3455.50286","NOA","0.00580"
"AR-M","Mendoza","2004","16294.44500","Cuyo","0.03954"
"AR-M","Mendoza","2005","16879.17681","Cuyo","0.03750"
"AR-M","Mendoza","2006","18534.74032","Cuyo","0.03827"
"AR-M","Mendoza","2007","19720.40391","Cuyo","0.03769"
"AR-M","Mendoza","2008","20453.00115","Cuyo","0.03769"
"AR-M","Mendoza","2009","19270.77310","Cuyo","0.03767"
"AR-M","Mendoza","2010","20134.09121","Cuyo","0.03578"
"AR-M","Mendoza","2011","21275.28219","Cuyo","0.03586"
"AR-M","Mendoza","2012","21433.73714","Cuyo","0.03665"
"AR-M","Mendoza","2013","21570.80424","Cuyo","0.03609"
"AR-M","Mendoza","2014","21024.73075","Cuyo","0.03583"
"AR-M","Mendoza","2015","21772.88357","Cuyo","0.03613"
"AR-M","Mendoza","2016","20724.67863","Cuyo","0.03517"
"AR-M","Mendoza","2017","20972.77504","Cuyo","0.03469"
"AR-M","Mendoza","2018","20971.26996","Cuyo","0.03565"
"AR-M","Mendoza","2019","20673.89843","Cuyo","0.03572"
"AR-M","Mendoza","2020","17878.81394","Cuyo","0.03429"
"AR-M","Mendoza","2021","19083.22153","Cuyo","0.03313"
"AR-M","Mendoza","2022","19749.18888","Cuyo","0.03263"
"AR-M","Mendoza","2023","19617.11122","Cuyo","0.03293"
"AR-N","Misiones","2004","5385.67090","NEA","0.01307"
"AR-N","Misiones","2005","5744.00582","NEA","0.01276"
"AR-N","Misiones","2006","6067.00841","NEA","0.01253"
"AR-N","Misiones","2007","6351.36544","NEA","0.01214"
"AR-N","Misiones","2008","6295.85788","NEA","0.01160"
"AR-N","Misiones","2009","5977.04180","NEA","0.01168"
"AR-N","Misiones","2010","6459.00421","NEA","0.01148"
"AR-N","Misiones","2011","6879.94475","NEA","0.01160"
"AR-N","Misiones","2012","6960.39410","NEA","0.01190"
"AR-N","Misiones","2013","7262.95609","NEA","0.01215"
"AR-N","Misiones","2014","7326.81037","NEA","0.01249"
"AR-N","Misiones","2015","7540.40452","NEA","0.01251"
"AR-N","Misiones","2016","7356.69336","NEA","0.01248"
"AR-N","Misiones","2017","7534.87876","NEA","0.01246"
"AR-N","Misiones","2018","7423.19954","NEA","0.01262"
"AR-N","Misiones","2019","7243.15488","NEA","0.01251"
"AR-N","Misiones","2020","6921.47917","NEA","0.01327"
"AR-N","Misiones","2021","7781.66092","NEA","0.01351"
"AR-N","Misiones","2022","8045.46512","NEA","0.01329"
"AR-N","Misiones","2023","7912.89641","NEA","0.01328"
"AR-Q","Neuquén","2004","13372.49943","Patagonia","0.03245"
"AR-Q","Neuquén","2005","13195.53666","Patagonia","0.02931"
"AR-Q","Neuquén","2006","13627.67329","Patagonia","0.02814"
"AR-Q","Neuquén","2007","13948.42233","Patagonia","0.02666"
"AR-Q","Neuquén","2008","14017.21107","Patagonia","0.02583"
"AR-Q","Neuquén","2009","13328.12656","Patagonia","0.02605"
"AR-Q","Neuquén","2010","13369.56624","Patagonia","0.02376"
"AR-Q","Neuquén","2011","13371.85245","Patagonia","0.02254"
"AR-Q","Neuquén","2012","12835.65572","Patagonia","0.02195"
"AR-Q","Neuquén","2013","12814.84721","Patagonia","0.02144"
"AR-Q","Neuquén","2014","13271.45174","Patagonia","0.02262"
"AR-Q","Neuquén","2015","13970.79876","Patagonia","0.02318"
"AR-Q","Neuquén","2016","13716.59111","Patagonia","0.02328"
"AR-Q","Neuquén","2017","13625.86521","Patagonia","0.02254"
"AR-Q","Neuquén","2018","14449.93386","Patagonia","0.02456"
"AR-Q","Neuquén","2019","15780.52711","Patagonia","0.02727"
"AR-Q","Neuquén","2020","14829.65880","Patagonia","0.02844"
"AR-Q","Neuquén","2021","17377.60855","Patagonia","0.03017"
"AR-Q","Neuquén","2022","20651.42287","Patagonia","0.03412"
"AR-Q","Neuquén","2023","23045.15142","Patagonia","0.03868"
"AR-R","Río Negro","2004","5843.68911","Patagonia","0.01418"
"AR-R","Río Negro","2005","6406.65150","Patagonia","0.01423"
"AR-R","Río Negro","2006","7019.02501","Patagonia","0.01449"
"AR-R","Río Negro","2007","7358.55825","Patagonia","0.01406"
"AR-R","Río Negro","2008","7499.82182","Patagonia","0.01382"
"AR-R","Río Negro","2009","7266.71131","Patagonia","0.01421"
"AR-R","Río Negro","2010","7694.11342","Patagonia","0.01367"
"AR-R","Río Negro","2011","8275.05115","Patagonia","0.01395"
"AR-R","Río Negro","2012","8429.29765","Patagonia","0.01441"
"AR-R","Río Negro","2013","8704.87251","Patagonia","0.01456"
"AR-R","Río Negro","2014","8527.59701","Patagonia","0.01453"
"AR-R","Río Negro","2015","8787.31694","Patagonia","0.01458"
"AR-R","Río Negro","2016","8532.31556","Patagonia","0.01448"
"AR-R","Río Negro","2017","8631.82755","Patagonia","0.01428"
"AR-R","Río Negro","2018","8678.63808","Patagonia","0.01475"
"AR-R","Río Negro","2019","8538.39794","Patagonia","0.01475"
"AR-R","Río Negro","2020","7727.14629","Patagonia","0.01482"
"AR-R","Río Negro","2021","8232.61745","Patagonia","0.01429"
"AR-R","Río Negro","2022","8504.37264","Patagonia","0.01405"
"AR-R","Río Negro","2023","8497.82898","Patagonia","0.01426"
"AR-A","Salta","2004","7264.36634","NOA","0.01763"
"AR-A","Salta","2005","7804.94905","NOA","0.01734"
"AR-A","Salta","2006","8573.35409","NOA","0.01770"
"AR-A","Salta","2007","9204.38366","NOA","0.01759"
"AR-A","Salta","2008","9590.55993","NOA","0.01767"
"AR-A","Salta","2009","9179.51506","NOA","0.01794"
"AR-A","Salta","2010","9908.62593","NOA","0.01761"
"AR-A","Salta","2011","10451.40683","NOA","0.01762"
"AR-A","Salta","2012","9919.34995","NOA","0.01696"
"AR-A","Salta","2013","9502.62943","NOA","0.01590"
"AR-A","Salta","2014","10020.66380","NOA","0.01708"
"AR-A","Salta","2015","10794.89399","NOA","0.01791"
"AR-A","Salta","2016","10431.20568","NOA","0.01770"
"AR-A","Salta","2017","10819.74634","NOA","0.01790"
"AR-A","Salta","2018","10709.29141","NOA","0.01821"
"AR-A","Salta","2019","10816.21645","NOA","0.01869"
"AR-A","Salta","2020","9911.73606","NOA","0.01901"
"AR-A","Salta","2021","10724.00151","NOA","0.01862"
"AR-A","Salta","2022","11152.57350","NOA","0.01843"
"AR-A","Salta","2023","11613.85117","NOA","0.01949"
"AR-J","San Juan","2004","4791.38169","Cuyo","0.01163"
"AR-J","San Juan","2005","5256.17460","Cuyo","0.01168"
"AR-J","San Juan","2006","5878.56414","Cuyo","0.01214"
"AR-J","San Juan","2007","6263.18481","Cuyo","0.01197"
"AR-J","San Juan","2008","6694.73337","Cuyo","0.01234"
"AR-J","San Juan","2009","6762.17027","Cuyo","0.01322"
"AR-J","San Juan","2010","7877.72093","Cuyo","0.01400"
"AR-J","San Juan","2011","8291.94964","Cuyo","0.01398"
"AR-J","San Juan","2012","8364.79515","Cuyo","0.01430"
"AR-J","San Juan","2013","8571.77442","Cuyo","0.01434"
"AR-J","San Juan","2014","8160.63078","Cuyo","0.01391"
"AR-J","San Juan","2015","7890.64586","Cuyo","0.01309"
"AR-J","San Juan","2016","7514.06462","Cuyo","0.01275"
"AR-J","San Juan","2017","7687.30313","Cuyo","0.01272"
"AR-J","San Juan","2018","7573.83207","Cuyo","0.01288"
"AR-J","San Juan","2019","7342.34498","Cuyo","0.01269"
"AR-J","San Juan","2020","6599.16229","Cuyo","0.01266"
"AR-J","San Juan","2021","7362.78452","Cuyo","0.01278"
"AR-J","San Juan","2022","7844.68713","Cuyo","0.01296"
"AR-J","San Juan","2023","7740.46991","Cuyo","0.01299"
"AR-D","San Luis","2004","4486.51860","Cuyo","0.01089"
"AR-D","San Luis","2005","4784.65167","Cuyo","0.01063"
"AR-D","San Luis","2006","4948.98224","Cuyo","0.01022"
"AR-D","San Luis","2007","5283.48361","Cuyo","0.01010"
"AR-D","San Luis","2008","5472.06658","Cuyo","0.01008"
"AR-D","San Luis","2009","5191.37239","Cuyo","0.01015"
"AR-D","San Luis","2010","5558.16248","Cuyo","0.00988"
"AR-D","San Luis","2011","5904.01021","Cuyo","0.00995"
"AR-D","San Luis","2012","5819.02647","Cuyo","0.00995"
"AR-D","San Luis","2013","6228.93115","Cuyo","0.01042"
"AR-D","San Luis","2014","6085.01611","Cuyo","0.01037"
"AR-D","San Luis","2015","6427.08067","Cuyo","0.01066"
"AR-D","San Luis","2016","6225.77792","Cuyo","0.01056"
"AR-D","San Luis","2017","6310.85027","Cuyo","0.01044"
"AR-D","San Luis","2018","5962.77233","Cuyo","0.01014"
"AR-D","San Luis","2019","5815.62420","Cuyo","0.01005"
"AR-D","San Luis","2020","5071.68028","Cuyo","0.00973"
"AR-D","San Luis","2021","5970.13114","Cuyo","0.01037"
"AR-D","San Luis","2022","6234.93895","Cuyo","0.01030"
"AR-D","San Luis","2023","6074.73655","Cuyo","0.01020"
"AR-Z","Santa Cruz","2004","7427.58479","Patagonia","0.01802"
"AR-Z","Santa Cruz","2005","7584.31812","Patagonia","0.01685"
"AR-Z","Santa Cruz","2006","8245.58178","Patagonia","0.01703"
"AR-Z","Santa Cruz","2007","8248.96001","Patagonia","0.01577"
"AR-Z","Santa Cruz","2008","8251.80411","Patagonia","0.01520"
"AR-Z","Santa Cruz","2009","8433.21645","Patagonia","0.01649"
"AR-Z","Santa Cruz","2010","8619.34365","Patagonia","0.01532"
"AR-Z","Santa Cruz","2011","8599.20757","Patagonia","0.01450"
"AR-Z","Santa Cruz","2012","9216.29961","Patagonia","0.01576"
"AR-Z","Santa Cruz","2013","9318.38989","Patagonia","0.01559"
"AR-Z","Santa Cruz","2014","9435.88056","Patagonia","0.01608"
"AR-Z","Santa Cruz","2015","10311.90367","Patagonia","0.01711"
"AR-Z","Santa Cruz","2016","9534.39618","Patagonia","0.01618"
"AR-Z","Santa Cruz","2017","9315.96165","Patagonia","0.01541"
"AR-Z","Santa Cruz","2018","9190.08080","Patagonia","0.01562"
"AR-Z","Santa Cruz","2019","8994.25107","Patagonia","0.01554"
"AR-Z","Santa Cruz","2020","7784.12494","Patagonia","0.01493"
"AR-Z","Santa Cruz","2021","8274.13049","Patagonia","0.01437"
"AR-Z","Santa Cruz","2022","8406.63453","Patagonia","0.01389"
"AR-Z","Santa Cruz","2023","8409.22727","Patagonia","0.01412"
"AR-S","Santa Fe","2004","34938.59990","Pampeana y AMBA","0.08477"
"AR-S","Santa Fe","2005","38666.08652","Pampeana y AMBA","0.08589"
"AR-S","Santa Fe","2006","40611.59504","Pampeana y AMBA","0.08385"
"AR-S","Santa Fe","2007","43483.68354","Pampeana y AMBA","0.08311"
"AR-S","Santa Fe","2008","44717.87809","Pampeana y AMBA","0.08240"
"AR-S","Santa Fe","2009","40018.58860","Pampeana y AMBA","0.07823"
"AR-S","Santa Fe","2010","46302.52598","Pampeana y AMBA","0.08229"
"AR-S","Santa Fe","2011","47618.04652","Pampeana y AMBA","0.08027"
"AR-S","Santa Fe","2012","45913.25155","Pampeana y AMBA","0.07851"
"AR-S","Santa Fe","2013","47923.84431","Pampeana y AMBA","0.08018"
"AR-S","Santa Fe","2014","46266.56440","Pampeana y AMBA","0.07884"
"AR-S","Santa Fe","2015","47172.40828","Pampeana y AMBA","0.07828"
"AR-S","Santa Fe","2016","44649.22149","Pampeana y AMBA","0.07577"
"AR-S","Santa Fe","2017","47253.46779","Pampeana y AMBA","0.07817"
