"anio","iso3","pib_per_capita","cambio_relativo"
"1991","AUS","26861.2749592856","3.19904251356662"
"1992","AUS","27560.1782773384","3.30829737022641"
"1993","AUS","28622.4757584582","3.47435919313088"
"1994","AUS","29844.1713244349","3.66533864693371"
"1995","AUS","30690.0624398521","3.79757111768831"
"1996","AUS","31740.4697474047","3.96177422970216"
"1997","AUS","32857.9937806025","4.13646924817923"
"1998","AUS","34337.139432097","4.36769414289464"
"1999","AUS","35551.0195059737","4.55745185336465"
"2000","AUS","36603.0449959447","4.72190792495618"
"2001","AUS","37275.9912489095","4.82710508815218"
"2002","AUS","38567.0654883377","5.02893004351066"
"2003","AUS","39523.6551974459","5.17846728113896"
"2004","AUS","40887.725336397","5.39170319468454"
"2005","AUS","41904.4458707113","5.55064027992986"
"2006","AUS","42650.9859308496","5.66734186819597"
"2007","AUS","44033.5837617713","5.88347409125704"
"2008","AUS","44421.6404707281","5.9441363874829"
"2009","AUS","44686.541383463","5.98554656611896"
"2010","AUS","45400.2233987967","6.09711167716066"
"2011","AUS","46132","6.21150539315304"
"2012","AUS","47045.1294679427","6.3542487834833"
"2013","AUS","47260.9548315436","6.38798731148095"
"2014","AUS","47753.8457765661","6.46503763898173"
"2015","AUS","48145.5309992905","6.52626715636868"
"2016","AUS","48675.1353283578","6.60905664035608"
"2017","AUS","49001.9004397101","6.66013763322027"
"2018","AUS","49614.3859762769","6.75588337912723"
"2019","AUS","49814.6699559703","6.78719242707056"
"2020","AUS","48268.9450765119","6.54555964929059"
"2021","AUS","50704.934853449","6.9263615528293"
"2022","AUS","52049.427952179","7.13653711930264"
"1900","AUT","4594","0"
"1901","AUT","4565","-0.00631258162821069"
"1902","AUT","4694","0.0217675228558989"
"1903","AUT","4688","0.020461471484545"
"1904","AUT","4712","0.0256856769699607"
"1905","AUT","4925","0.0720505006530257"
"1906","AUT","5062","0.101872006965607"
"1907","AUT","5321","0.158249891162386"
"1908","AUT","5292","0.151937309534175"
"1909","AUT","5222","0.136700043535046"
"1910","AUT","5244","0.141488898563344"
"1911","AUT","5364","0.167609925990422"
"1912","AUT","5587","0.216151501959077"
"1913","AUT","5523","0.202220287331302"
"1914","AUT","4584","-0.00217675228558989"
"1915","AUT","4229","-0.0794514584240313"
"1916","AUT","4189","-0.0881584675663909"
"1917","AUT","4122","-0.102742707879843"
"1918","AUT","4073","-0.113408794079234"
"1919","AUT","3601","-0.216151501959077"
"1920","AUT","3845","-0.163038746190683"
"1921","AUT","4224","-0.0805398345668263"
"1922","AUT","4586","-0.00174140182847193"
"1923","AUT","4530","-0.0139312146277754"
"1924","AUT","5042","0.0975185023944276"
"1925","AUT","5367","0.168262951676099"
"1926","AUT","5440","0.184153243360905"
"1927","AUT","5587","0.216151501959077"
"1928","AUT","5829","0.268828907270353"
"1929","AUT","5896","0.283413147583805"
"1930","AUT","5716","0.244231606443187"
"1931","AUT","5241","0.140835872877666"
"1932","AUT","4686","0.0200261210274271"
"1933","AUT","4516","-0.0169786678276013"
"1934","AUT","4546","-0.0104484109708315"
"1935","AUT","4634","0.00870700914235956"
"1936","AUT","4774","0.0391815411406182"
"1937","AUT","5031","0.0951240748802786"
"1938","AUT","5673","0.23487157161515"
"1939","AUT","6529","0.421201567261646"
"1940","AUT","6311","0.373748367435786"
"1941","AUT","6722","0.463212886373531"
"1942","AUT","6349","0.382020026121027"
"1943","AUT","6480","0.410535481062255"
"1944","AUT","6618","0.440574662603396"
"1945","AUT","2750","-0.401393121462778"
"1946","AUT","3118","-0.321288637353069"
"1947","AUT","3453","-0.248367435785808"
"1948","AUT","4406","-0.0409229429690902"
"1949","AUT","5249","0.142577274706138"
"1950","AUT","5907","0.285807575097954"
"1951","AUT","6311","0.373748367435786"
"1952","AUT","6323","0.376360470178494"
"1953","AUT","6594","0.43535045711798"
"1954","AUT","7261","0.580539834566826"
"1955","AUT","8054","0.753156290814105"
"1956","AUT","8603","0.872659991292991"
"1957","AUT","9111","0.983239007400958"
"1958","AUT","9416","1.04962995211145"
"1959","AUT","9645","1.09947757945146"
"1960","AUT","10391","1.26186329995646"
"1961","AUT","10882","1.36874183717893"
"1962","AUT","11078","1.41140618197649"
"1963","AUT","11454","1.49325206791467"
"1964","AUT","12062","1.62559860687854"
"1965","AUT","12328","1.68350021767523"
"1966","AUT","12930","1.81454070526774"
"1967","AUT","13225","1.87875489769264"
"1968","AUT","13742","1.99129299085764"
"1969","AUT","14555","2.1682629516761"
"1970","AUT","15537","2.38202002612103"
"1971","AUT","16259","2.53918154114062"
"1972","AUT","17169","2.7372659991293"
"1973","AUT","17908","2.89812799303439"
"1974","AUT","18583","3.04505877231171"
"1975","AUT","18564","3.04092294296909"
