geocodigoFundar,geonombreFundar,anio,valor_en_porcentaje
NLD,Países Bajos,2000,2.0304074
NLD,Países Bajos,2001,2.059483
NLD,Países Bajos,2002,2.2342243
NLD,Países Bajos,2003,2.2253366
NLD,Países Bajos,2004,2.4738512
NLD,Países Bajos,2005,3.0655951
NLD,Países Bajos,2006,3.1845133
NLD,Países Bajos,2007,3.4464781
NLD,Países Bajos,2008,3.9404101
NLD,Países Bajos,2009,4.485137
NLD,Países Bajos,2010,4.0394363
NLD,Países Bajos,2011,4.645456
NLD,Países Bajos,2012,4.7294273
NLD,Países Bajos,2013,4.4526076
NLD,Países Bajos,2014,4.8333406
NLD,Países Bajos,2015,5.222233
NLD,Países Bajos,2016,5.2917852
NLD,Países Bajos,2017,5.8344474
NLD,Países Bajos,2018,6.6066003
NLD,Países Bajos,2019,7.9541073
NLD,Países Bajos,2020,11.1617155
NLD,Países Bajos,2021,12.891318
NLD,Países Bajos,2022,16.1188
NLD,Países Bajos,2023,18.828804
DEU,Alemania,1965,1.6256839
DEU,Alemania,1966,1.7668713
DEU,Alemania,1967,1.7753115
DEU,Alemania,1968,1.7341964
DEU,Alemania,1969,1.5954081
DEU,Alemania,1970,2.0274239
DEU,Alemania,1971,1.6637679
DEU,Alemania,1972,1.8386331
DEU,Alemania,1973,2.0752115
DEU,Alemania,1974,2.4660115
DEU,Alemania,1975,3.254713
DEU,Alemania,1976,3.207044
DEU,Alemania,1977,4.31802
DEU,Alemania,1978,4.407154
DEU,Alemania,1979,4.7160487
DEU,Alemania,1980,5.1990204
DEU,Alemania,1981,6.1013775
DEU,Alemania,1982,6.94745
DEU,Alemania,1983,7.0113754
DEU,Alemania,1984,8.540656
DEU,Alemania,1985,10.49098
DEU,Alemania,1986,10.113061
DEU,Alemania,1987,10.880976
DEU,Alemania,1988,11.835427
DEU,Alemania,1989,12.167329
DEU,Alemania,1990,11.657906
DEU,Alemania,1991,11.495505
DEU,Alemania,1992,12.759153
DEU,Alemania,1993,12.495624
DEU,Alemania,1994,12.589749
DEU,Alemania,1995,12.890035
DEU,Alemania,1996,12.851331
DEU,Alemania,1997,13.72767
DEU,Alemania,1998,13.378138
DEU,Alemania,1999,14.39818
DEU,Alemania,2000,14.95426
DEU,Alemania,2001,14.827655
DEU,Alemania,2002,15.047561
DEU,Alemania,2003,15.095839
DEU,Alemania,2004,16.037397
DEU,Alemania,2005,16.513754
DEU,Alemania,2006,17.274813
DEU,Alemania,2007,17.447783
DEU,Alemania,2008,18.01379
DEU,Alemania,2009,18.247934
DEU,Alemania,2010,18.523378
DEU,Alemania,2011,18.269775
DEU,Alemania,2012,18.85614
DEU,Alemania,2013,18.640545
DEU,Alemania,2014,20.140373
DEU,Alemania,2015,21.151949
DEU,Alemania,2016,20.325397
DEU,Alemania,2017,21.277893
DEU,Alemania,2018,22.262854
DEU,Alemania,2019,23.969318
DEU,Alemania,2020,25.83526
DEU,Alemania,2021,23.964064
DEU,Alemania,2022,23.905636
DEU,Alemania,2023,24.961706
ITA,Italia,1965,15.472531
ITA,Italia,1966,14.876864
ITA,Italia,1967,13.2155075
ITA,Italia,1968,12.211649
ITA,Italia,1969,10.840629
ITA,Italia,1970,10.050793
ITA,Italia,1971,9.320574
ITA,Italia,1972,9.287752
ITA,Italia,1973,8.123724
ITA,Italia,1974,8.301662
ITA,Italia,1975,9.101361
ITA,Italia,1976,8.264039
ITA,Italia,1977,10.263176
ITA,Italia,1978,9.231106
ITA,Italia,1979,8.741142
ITA,Italia,1980,8.802953
ITA,Italia,1981,8.595571
ITA,Italia,1982,9.199923
ITA,Italia,1983,9.190798
ITA,Italia,1984,9.424901
ITA,Italia,1985,9.136989
ITA,Italia,1986,9.223572
ITA,Italia,1987,7.3135414
ITA,Italia,1988,7.320364
ITA,Italia,1989,6.0404835
ITA,Italia,1990,5.5439982
ITA,Italia,1991,7.0200934
ITA,Italia,1992,7.082338
ITA,Italia,1993,7.147924
