"anio","tipo_energia","valor_en_twh","porcentaje"
2023,"Solar","4264.261","2.32727139037426"
1800,"Carbón","97","1.71590306032195"
1810,"Carbón","128","2.14729072303305"
1820,"Carbón","153","2.44252873563218"
1830,"Carbón","264","3.96813467608598"
1840,"Carbón","356","4.87671232876712"
1850,"Carbón","569","7.30329867796175"
1860,"Carbón","1061","13.2542161149282"
1870,"Carbón","1642","19.110800744879"
1880,"Carbón","2542","26.7044857653115"
1890,"Carbón","3856","36.0917268955237"
1900,"Carbón","5728","47.2170066306806"
1910,"Carbón","8656","55.2193420894753"
1920,"Carbón","9833","54.3957563959144"
1930,"Carbón","10125","50.4487097584282"
1940,"Carbón","11586","50.6617304842901"
1950,"Carbón","12603","44.1219717126453"
1960,"Carbón","15442","36.9303128846262"
1965,"Carbón","16177.694","30.8009449507535"
1966,"Carbón","16359.431","29.7707094742683"
1967,"Carbón","16095.517","28.3944343609535"
1968,"Carbón","16333.143","27.4144740895247"
1969,"Carbón","16847","26.7038917948216"
1970,"Carbón","17087.004","25.6524645273356"
1971,"Carbón","16986.387","24.6402299979339"
1972,"Carbón","17168.227","23.761274027203"
1973,"Carbón","17683.568","23.2869722877242"
1974,"Carbón","17696.432","23.1768950369338"
1975,"Carbón","18045.436","23.4749178792256"
1976,"Carbón","18699.785","23.2245698473251"
1977,"Carbón","19267.412","23.1770108589481"
1978,"Carbón","19467.49","22.6210857555546"
1979,"Carbón","20370.578","22.9797179031984"
1980,"Carbón","20877.783","23.7238782841965"
1981,"Carbón","21158.002","24.1071403970245"
1982,"Carbón","21395.426","24.4543779569972"
1983,"Carbón","22050.97","24.7979781382532"
1984,"Carbón","23008.44","24.8578013115554"
1985,"Carbón","23996.738","25.2928662717459"
1986,"Carbón","24263.818","25.050084027662"
1987,"Carbón","25228.486","25.2054767696783"
1988,"Carbón","25983.078","25.0965352398545"
1989,"Carbón","26231.049","24.8770638605324"
1990,"Carbón","25916.205","24.2989265858781"
1991,"Carbón","25667.406","23.8651399898674"
1992,"Carbón","25567.281","23.6183096698778"
1993,"Carbón","25689.945","23.533081274798"
1994,"Carbón","25791.27","23.3311257670878"
1995,"Carbón","25975.748","23.0194907004197"
1996,"Carbón","26592.398","22.9451055192057"
1997,"Carbón","26547.277","22.6726786500404"
1998,"Carbón","26380.13","22.3862491352933"
1999,"Carbón","26492.459","22.1060404475753"
2000,"Carbón","27441.488","22.3341113890343"
2001,"Carbón","27864.717","22.4814147737155"
2002,"Carbón","28967.592","22.9392699836367"
2003,"Carbón","31511.33","24.2135552966304"
2004,"Carbón","33689.836","24.7921796512264"
2005,"Carbón","36190.766","25.8596205265672"
2006,"Carbón","38073.164","26.5352063432855"
2007,"Carbón","40233.902","27.2895078198643"
