"anio","geocodigoFundar","fuente_energia","valor_en_twh","porcentaje","tipo_energia","geonombreFundar"
"1998","AUT","Otras renovables","5.758678","1.50571424665942","Limpias","Austria"
"1999","AUT","Otras renovables","4.9903493","1.29487233497641","Limpias","Austria"
"2000","AUT","Otras renovables","4.7758727","1.23229867385307","Limpias","Austria"
"2001","AUT","Otras renovables","5.2119126","1.30507866460155","Limpias","Austria"
"2002","AUT","Otras renovables","4.7513876","1.18938069134408","Limpias","Austria"
"2003","AUT","Otras renovables","5.349753","1.33178003226485","Limpias","Austria"
"2004","AUT","Otras renovables","6.4366565","1.54783546961013","Limpias","Austria"
"2005","AUT","Otras renovables","7.6254463","1.796549355331","Limpias","Austria"
"2006","AUT","Otras renovables","10.171143","2.42618387373005","Limpias","Austria"
"2007","AUT","Otras renovables","12.747267","3.08486696027834","Limpias","Austria"
"2008","AUT","Otras renovables","13.056207","3.12832020349081","Limpias","Austria"
"2009","AUT","Otras renovables","13.421102","3.3362939812661","Limpias","Austria"
"2010","AUT","Otras renovables","14.062893","3.39427874720113","Limpias","Austria"
"2011","AUT","Otras renovables","14.288163","3.66874467044864","Limpias","Austria"
"2012","AUT","Otras renovables","14.660207","3.60725854740912","Limpias","Austria"
"2013","AUT","Otras renovables","14.719604","3.65388468244825","Limpias","Austria"
"2014","AUT","Otras renovables","14.254726","3.68270389924129","Limpias","Austria"
"2015","AUT","Otras renovables","14.570719","3.74430526371035","Limpias","Austria"
"2016","AUT","Otras renovables","14.986004","3.73052239662659","Limpias","Austria"
"2017","AUT","Otras renovables","15.416996","3.76211350380109","Limpias","Austria"
"2018","AUT","Otras renovables","15.447946","3.85299836796814","Limpias","Austria"
"2019","AUT","Otras renovables","14.588332","3.47660710392456","Limpias","Austria"
"2020","AUT","Otras renovables","14.378555","3.66943647803578","Limpias","Austria"
"2021","AUT","Otras renovables","13.999028","3.51206830344683","Limpias","Austria"
