"anio","iso3","valor_en_twh"
"1988","JPN","173.89693"
"1989","JPN","185.8142"
"1990","JPN","194.57127"
"1991","JPN","208.69353"
"1992","JPN","217.03513"
"1993","JPN","247.69992"
"1994","JPN","258.248"
"1995","JPN","286.88828"
"1996","JPN","296.50116"
"1997","JPN","321.15695"
"1998","JPN","325.97385"
"1999","JPN","317.23492"
"2000","JPN","319.12"
"2001","JPN","320.54"
"2002","JPN","314.26"
"2003","JPN","230.08"
"2004","JPN","285.87"
"2005","JPN","293.04"
"2006","JPN","304.29"
"2007","JPN","279.01"
"2008","JPN","251.74"
"2009","JPN","274.65"
"2010","JPN","292.36"
"2011","JPN","162.93"
"2012","JPN","17.99"
"2013","JPN","14.6"
"2014","JPN","0"
"2015","JPN","4.52"
"2016","JPN","17.68"
"2017","JPN","29.07"
"2018","JPN","49.11"
"2019","JPN","65.64"
"2020","JPN","43"
"2021","JPN","61.22"
"2022","JPN","51.77"
"2023","JPN","77.44"
"1965","DZA","0"
"1966","DZA","0"
"1967","DZA","0"
"1968","DZA","0"
"1969","DZA","0"
"1970","DZA","0"
"1971","DZA","0"
"1972","DZA","0"
"1973","DZA","0"
"1974","DZA","0"
"1975","DZA","0"
"1976","DZA","0"
"1977","DZA","0"
"1978","DZA","0"
"1979","DZA","0"
"1980","DZA","0"
"1981","DZA","0"
"1982","DZA","0"
"1983","DZA","0"
"1984","DZA","0"
"1985","DZA","0"
"1986","DZA","0"
"1987","DZA","0"
"1988","DZA","0"
"1989","DZA","0"
"1990","DZA","0"
"1991","DZA","0"
"1992","DZA","0"
"1993","DZA","0"
"1994","DZA","0"
"1995","DZA","0"
"1996","DZA","0"
"1997","DZA","0"
"1998","DZA","0"
"1999","DZA","0"
"2000","DZA","0"
"2001","DZA","0"
"2002","DZA","0"
"2003","DZA","0"
"2004","DZA","0"
"2005","DZA","0"
"2006","DZA","0"
"2007","DZA","0"
"2008","DZA","0"
"2009","DZA","0"
"2010","DZA","0"
"2011","DZA","0"
"2012","DZA","0"
"2013","DZA","0"
"2014","DZA","0"
"2015","DZA","0"
"2016","DZA","0"
"2017","DZA","0"
"2018","DZA","0"
"2019","DZA","0"
"2020","DZA","0"
"2021","DZA","0"
"2022","DZA","0"
"2023","DZA","0"
"1965","AGO","0"
"1966","AGO","0"
"1967","AGO","0"
"1968","AGO","0"
"1969","AGO","0"
"1970","AGO","0"
"1971","AGO","0"
"1972","AGO","0"
"1973","AGO","0"
"1974","AGO","0"
"1975","AGO","0"
"1976","AGO","0"
"1977","AGO","0"
"1978","AGO","0"
"1979","AGO","0"
"1980","AGO","0"
"1981","AGO","0"
"1982","AGO","0"
"1983","AGO","0"
"1984","AGO","0"
"1985","AGO","0"
"1986","AGO","0"
"1987","AGO","0"
"1988","AGO","0"
"1989","AGO","0"
"1990","AGO","0"
"1991","AGO","0"
"1992","AGO","0"
"1993","AGO","0"
"1994","AGO","0"
"1995","AGO","0"
"1996","AGO","0"
"1997","AGO","0"
"1998","AGO","0"
"1999","AGO","0"
"2000","AGO","0"
"2001","AGO","0"
"2002","AGO","0"
"2003","AGO","0"
"2004","AGO","0"
"2005","AGO","0"
"2006","AGO","0"
"2007","AGO","0"
"2008","AGO","0"
"2009","AGO","0"
"2010","AGO","0"
"2011","AGO","0"
"2012","AGO","0"
"2013","AGO","0"
"2014","AGO","0"
"2015","AGO","0"
"2016","AGO","0"
"2017","AGO","0"
"2018","AGO","0"
"2019","AGO","0"
"2020","AGO","0"
"2021","AGO","0"
"2022","AGO","0"
"2023","AGO","0"
"1965","ARG","0"
"1966","ARG","0"
"1967","ARG","0"
"1968","ARG","0"
"1969","ARG","0"
"1970","ARG","0"
"1971","ARG","0"
"1972","ARG","0"
"1973","ARG","0"
"1974","ARG","1.036"
"1975","ARG","2.517"
"1976","ARG","2.572"
"1977","ARG","1.637"
"1978","ARG","2.896"
"1979","ARG","2.692"
"1980","ARG","2.34"
"1981","ARG","2.816"
"1982","ARG","1.87"
"1983","ARG","3.405"
"1984","ARG","4.641"
"1985","ARG","5.766"
"1986","ARG","5.711"
"1987","ARG","6.465"
"1988","ARG","5.798"
"1989","ARG","5.039"
"1990","ARG","7.281"
"1991","ARG","7.756"
"1992","ARG","7.081"
"1993","ARG","7.75"
"1994","ARG","8.235"
"1995","ARG","7.066"
"1996","ARG","7.459"
"1997","ARG","7.961"
"1998","ARG","7.453"
"1999","ARG","7.106"
"2000","ARG","6.18"
"2001","ARG","7.06"
"2002","ARG","5.82"
"2003","ARG","7.57"
"2004","ARG","7.87"
"2005","ARG","6.87"
"2006","ARG","7.72"
"2007","ARG","7.25"
"2008","ARG","7.39"
"2009","ARG","8.18"
"2010","ARG","7.21"
"2011","ARG","6.4"
"2012","ARG","6.4"
"2013","ARG","6.21"
"2014","ARG","5.51"
"2015","ARG","7.04"
"2016","ARG","8.28"
"2017","ARG","6.09"
"2018","ARG","6.87"
"2019","ARG","8.44"
"2020","ARG","10.01"
"2021","ARG","10.17"
"2022","ARG","7.47"
"2023","ARG","8.95"
"1965","AUS","0"
"1966","AUS","0"
"1967","AUS","0"
"1968","AUS","0"
"1969","AUS","0"
"1970","AUS","0"
"1971","AUS","0"
"1972","AUS","0"
"1973","AUS","0"
"1974","AUS","0"
"1975","AUS","0"
"1976","AUS","0"
"1977","AUS","0"
"1978","AUS","0"
"1979","AUS","0"
"1980","AUS","0"
"1981","AUS","0"
"1982","AUS","0"
"1983","AUS","0"
"1984","AUS","0"
"1985","AUS","0"
"1986","AUS","0"
"1987","AUS","0"
"1988","AUS","0"
"1989","AUS","0"
"1990","AUS","0"
"1991","AUS","0"
"1992","AUS","0"
"1993","AUS","0"
"1994","AUS","0"
"1995","AUS","0"
"1996","AUS","0"
"1997","AUS","0"
"1998","AUS","0"
"1999","AUS","0"
