"anio","iso3","valor_en_gw"
"2014","BOL","0.005535"
"2015","BOL","0.005535"
"2016","BOL","0.005535"
"2017","BOL","0.0075350003"
"2018","BOL","0.06992"
"2019","BOL","0.12032001"
"2020","BOL","0.12032001"
"2021","BOL","0.17033"
"2022","BOL","0.17033"
"2000","BOL","0.000295"
"2001","BOL","0.000394"
"2002","BOL","0.00047600004"
"2003","BOL","0.00065600005"
"2004","BOL","0.000783"
"2005","BOL","0.00080800004"
"2006","BOL","0.001068"
"2007","BOL","0.001435"
"2008","BOL","0.002391"
"2009","BES",
"2010","BES",
"2011","BES",
"2012","BES",
"2013","BES",
"2014","BES",
"2015","BES","3e-04"
"2016","BES","0.002245"
"2017","BES","0.0045050005"
"2018","BES","0.0056450004"
"2019","BES","0.006645"
"2020","BES","0.006645"
"2021","BES","0.006645"
"2022","BES","0.006645"
"2000","BES",
"2001","BES",
"2002","BES",
"2003","BES",
"2004","BES",
"2005","BES",
"2006","BES",
"2007","BES",
"2008","BES",
"2009","BIH","3e-04"
"2010","BIH","3e-04"
"2011","BIH","3e-04"
"2012","BIH","0.000349"
"2013","BIH","0.0013390001"
"2014","BIH","0.007166"
"2015","BIH","0.00817"
"2016","BIH","0.01412"
"2017","BIH","0.016"
"2018","BIH","0.01815"
"2019","BIH","0.022350002"
"2020","BIH","0.03489"
"2021","BIH","0.05651"
"2022","BIH","0.107465"
"2000","BIH",
"2001","BIH",
"2002","BIH",
"2003","BIH","0.000100000005"
"2004","BIH","0.00020000001"
"2005","BIH","3e-04"
"2006","BIH","3e-04"
"2007","BIH","3e-04"
"2008","BIH","3e-04"
"2009","BWA","2.0000001e-05"
"2010","BWA","0.00013900001"
"2011","BWA","0.000169"
"2012","BWA","0.0016150001"
"2013","BWA","0.0017150001"
"2014","BWA","0.0018600001"
"2015","BWA","0.0021530003"
"2016","BWA","0.00328"
"2017","BWA","0.0034150002"
"2018","BWA","0.0037200002"
"2019","BWA","0.0059200004"
"2020","BWA","0.0059190006"
"2021","BWA","0.0062690005"
"2022","BWA","0.0062690005"
"2000","BWA",
"2001","BWA",
"2002","BWA",
"2003","BWA",
"2004","BWA",
"2005","BWA",
"2006","BWA",
"2007","BWA",
"2008","BWA",
"2009","BRA","0.000814"
"2010","BRA","0.00085400004"
"2011","BRA","0.0060970006"
"2012","BRA","0.006608"
"2013","BRA","0.012528"
"2014","BRA","0.020697001"
"2015","BRA","0.045567002"
"2016","BRA","0.127789"
"2017","BRA","1.206787"
"2018","BRA","2.435022"
"2019","BRA","4.634943"
"2020","BRA","8.2905035"
"2021","BRA","14.197052"
"2022","BRA","24.078857"
"2000","BRA",
"2001","BRA","3.6e-05"
"2002","BRA","3.6e-05"
"2003","BRA","0.00071600004"
