"anio","iso3","valor_en_gco2_por_kwh"
"2005","AUS","791.80023"
"2006","AUS","790.4954"
"2007","AUS","791.1509"
"2008","AUS","791.507"
"2009","AUS","785.1141"
"2010","AUS","775.6704"
"2011","AUS","749.4147"
"2012","AUS","746.988"
"2013","AUS","726.1581"
"2014","AUS","734.18134"
"2015","AUS","729.71375"
"2016","AUS","713.51117"
"2017","AUS","718.0755"
"2018","AUS","688.421"
"2019","AUS","670.1015"
"2020","AUS","642.33466"
"2021","AUS","605.90765"
"2022","AUS","570.35284"
"2023","AUS","548.69226"
"1990","AUS",
"1991","AUS",
"1992","AUS",
"1993","AUS",
"1994","AUS",
"1995","AUS",
"1996","AUS",
"1997","AUS",
"1998","AUS",
"1999","AUS",
"2000","AUT","203.387"
"2001","AUT","229.0915"
"2002","AUT","226.12569"
"2003","AUT","282.38745"
"2004","AUT","259.33713"
"2005","AUT","254.00029"
"2006","AUT","253.01398"
"2007","AUT","232.69138"
"2008","AUT","220.41006"
"2009","AUT","195.89186"
"2010","AUT","226.77676"
"2011","AUT","238.5852"
"2012","AUT","185.87035"
"2013","AUT","173.35397"
"2014","AUT","150.4468"
"2015","AUT","172.06215"
"2016","AUT","154.61691"
"2017","AUT","162.9155"
"2018","AUT","157.87846"
"2019","AUT","152.77974"
"2020","AUT","133.40092"
"2021","AUT","136.0228"
"2022","AUT","141.78989"
"2023","AUT","110.81243"
"1990","AUT","249.84778"
"1991","AUT","262.7592"
"1992","AUT","201.64362"
"1993","AUT","183.58994"
"1994","AUT","196.15013"
"1995","AUT","207.26613"
"1996","AUT","233.30214"
"1997","AUT","233.31535"
"1998","AUT","210.31886"
"1999","AUT","204.62157"
"2000","AZE","617.773"
"2001","AZE","648.7342"
"2002","AZE","623.6616"
"2003","AZE","615.2399"
"2004","AZE","611.87854"
"2005","AZE","609.8949"
"2006","AZE","630.76294"
"2007","AZE","631.07245"
"2008","AZE","639.6855"
"2009","AZE","629.1777"
"2010","AZE","588.64484"
"2011","AZE","623.58167"
"2012","AZE","659.5559"
"2013","AZE","669.2473"
"2014","AZE","677.2229"
"2015","AZE","663.8177"
"2016","AZE","651.5091"
"2017","AZE","658.95953"
"2018","AZE","661.75885"
"2019","AZE","667.8227"
"2020","AZE","680"
"2021","AZE","676.1426"
"2022","AZE","671.38904"
"2023","AZE",
"1990","AZE",
"1991","AZE",
"1992","AZE",
"1993","AZE",
"1994","AZE",
"1995","AZE",
"1996","AZE",
"1997","AZE",
"1998","AZE",
"1999","AZE",
"2000","BHS","658.82355"
"2001","BHS","655.3672"
"2002","BHS","656.08466"
"2003","BHS","660"
"2004","BHS","656.5656"
"2005","BHS","660.2871"
"2006","BHS","655.6604"
"2007","BHS","657.77783"
"2008","BHS","657.77783"
"2009","BHS","658.8784"
"2010","BHS","656.71643"
"2011","BHS","658.5366"
"2012","BHS","657.8947"
"2013","BHS","659.57446"
"2014","BHS","656.25"
"2015","BHS","660"
"2016","BHS","659.89844"
"2017","BHS","658.2914"
"2018","BHS","660"
"2019","BHS","656.71643"
"2020","BHS","658.41583"
"2021","BHS","660.0986"
"2022","BHS","660.0986"
"2023","BHS",
"1990","BHS",
"1991","BHS",
"1992","BHS",
"1993","BHS",
"1994","BHS",
"1995","BHS",
"1996","BHS",
"1997","BHS",
"1998","BHS",
"1999","BHS",
"2000","BHR","904.7619"
"2001","BHR","904.92474"
"2002","BHR","904.98035"
"2003","BHR","904.4586"
"2004","BHR","904.6439"
"2005","BHR","904.49146"
"2006","BHR","898.7642"
"2007","BHR","901.4733"
"2008","BHR","904.90796"
"2009","BHR","904.69855"
"2010","BHR","904.7019"
"2011","BHR","904.6836"
"2012","BHR","904.72345"
"2013","BHR","904.67004"
"2014","BHR","904.2553"
"2015","BHR","904.52795"
"2016","BHR","904.2778"
"2017","BHR","904.5502"
"2018","BHR","904.5685"
"2019","BHR","904.5318"
"2020","BHR","904.4052"
"2021","BHR","904.3683"
"2022","BHR","904.6145"
"2023","BHR",
"1990","BHR",
"1991","BHR",
"1992","BHR",
"1993","BHR",
"1994","BHR",
"1995","BHR",
"1996","BHR",
"1997","BHR",
"1998","BHR",
"1999","BHR",
"2000","BGD","645.54584"
"2001","BGD","647.2958"
"2002","BGD","647.4934"
"2003","BGD","648.2312"
"2004","BGD","653.0044"
"2005","BGD","654.67365"
"2006","BGD","655.8356"
"2007","BGD","673.12036"
"2008","BGD","672.5095"
"2009","BGD","681.9769"
"2010","BGD","675.2325"
"2011","BGD","672.5463"
"2012","BGD","673.79675"
"2013","BGD","673.7907"
"2014","BGD","676.53876"
"2015","BGD","675.8306"
"2016","BGD","672.6011"
"2017","BGD","672.15796"
"2018","BGD","672.58655"
"2019","BGD","675.43036"
"2020","BGD","677.21375"
"2021","BGD","678.8626"
"2022","BGD","678.1058"
"2023","BGD","691.4112"
"1990","BGD",
"1991","BGD",
"1992","BGD",
"1993","BGD",
"1994","BGD",
"1995","BGD",
"1996","BGD",
"1997","BGD",
"1998","BGD",
"1999","BGD",
"2000","BRB","658.22784"
"2001","BRB","650.6024"
"2002","BRB","662.7907"
"2003","BRB","666.6666"
"2004","BRB","662.9213"
"2005","BRB","656.5656"
"2006","BRB","656.8628"
"2007","BRB","657.1429"
"2008","BRB","657.1429"
"2009","BRB","663.55133"
"2010","BRB","660.1942"
"2011","BRB","663.46155"
"2012","BRB","654.86725"
"2013","BRB","653.46533"
"2014","BRB","650.4855"
"2015","BRB","644.23083"
"2016","BRB","638.0953"
"2017","BRB","634.6154"
"2018","BRB","634.6154"
"2019","BRB","632.0755"
"2020","BRB","613.2075"
"2021","BRB","603.7736"
"2022","BRB","605.5046"
"2023","BRB",
"1990","BRB",
"1991","BRB",
"1992","BRB",
"1993","BRB",
"1994","BRB",
"1995","BRB",
"1996","BRB",
"1997","BRB",
"1998","BRB",
"1999","BRB",
"2000","BLR","518.0076"
"2001","BLR","516.55365"
"2002","BLR","515.4951"
"2003","BLR","514.08185"
"2004","BLR","515.0641"
"2005","BLR","512.5969"
"2006","BLR","515.24677"
"2007","BLR","508.95386"
"2008","BLR","512.12555"
"2009","BLR","534.07965"
"2010","BLR","511.17477"
"2011","BLR","509.1643"
"2012","BLR","510.22397"
"2013","BLR","505.87112"
"2014","BLR","507.1963"
"2015","BLR","506.89352"
"2016","BLR","506.10663"
"2017","BLR","499.8551"
"2018","BLR","501.15414"
"2019","BLR","498.76425"
"2020","BLR","498.7026"
"2021","BLR","432.72018"
"2022","BLR","441.74"
"2023","BLR",
"1990","BLR",
"1991","BLR",
"1992","BLR",
"1993","BLR",
"1994","BLR",
"1995","BLR",
"1996","BLR",
"1997","BLR",
"1998","BLR",
"1999","BLR",
"2000","BEL","269.59778"
"2001","BEL","252.82971"
"2002","BEL","249.81467"
"2003","BEL","249.13245"
"2004","BEL","247.61789"
"2005","BEL","241.05238"
"2006","BEL","231.58148"
"2007","BEL","224.2829"
"2008","BEL","218.27592"
"2009","BEL","216.91174"
"2010","BEL","212.88031"
"2011","BEL","192.98442"
"2012","BEL","202.67453"
"2013","BEL","184.2587"
"2014","BEL","189.88765"
"2015","BEL","215.40259"
"2016","BEL","158.7998"
"2017","BEL","159.83127"
"2018","BEL","187.33083"
"2019","BEL","156.86696"
"2020","BEL","166.85545"
"2021","BEL","131.90462"
"2022","BEL","139.79181"
"2023","BEL","138.1068"
"1990","BEL","312.98904"
"1991","BEL","310.71777"
"1992","BEL","301.7362"
"1993","BEL","310.78766"
"1994","BEL","325.76395"
"1995","BEL","319.91296"
"1996","BEL","304.09903"
"1997","BEL","272.85568"
"1998","BEL","291.75296"
"1999","BEL","245.65192"
"2000","BLZ","230.76924"
