"anio","geonombreFundar","geocodigoFundar","sector","valor_en_mtco2e"
"1996","Argentina","ARG","Residuos","13.7845802841282"
"1997","Argentina","ARG","Residuos","14.2171810795415"
"1998","Argentina","ARG","Residuos","14.3906630878008"
"1999","Argentina","ARG","Residuos","14.7568201440279"
"2000","Argentina","ARG","Residuos","15.2217224723941"
"2001","Argentina","ARG","Residuos","15.7833617429901"
"2002","Argentina","ARG","Residuos","16.1326622754217"
"2003","Argentina","ARG","Residuos","16.7635043625383"
"2004","Argentina","ARG","Residuos","17.221074471916"
"2005","Argentina","ARG","Residuos","17.7680480689176"
"2006","Argentina","ARG","Residuos","18.2584976419518"
"2007","Argentina","ARG","Residuos","18.3115439888064"
"2008","Argentina","ARG","Residuos","18.0236417048577"
"2009","Argentina","ARG","Residuos","17.6814547793121"
"2010","Argentina","ARG","Residuos","18.187101250126"
"2011","Argentina","ARG","Residuos","18.5948593828847"
"2012","Argentina","ARG","Residuos","19.1605269926857"
"2013","Argentina","ARG","Residuos","19.5286381010075"
"2014","Argentina","ARG","Residuos","20.1605177309422"
"2015","Argentina","ARG","Residuos","20.7577148346256"
"2016","Argentina","ARG","Residuos","21.2160788296897"
"2017","Argentina","ARG","Residuos","21.6013600080785"
"2018","Argentina","ARG","Residuos","22.0418240236555"
"2019","Argentina","ARG","Residuos","22.5936332523777"
"2020","Argentina","ARG","Residuos","22.6259483915691"
"2021","Argentina","ARG","Residuos","22.9807172424513"
"2022","Argentina","ARG","Residuos","23.3143967593166"
