"geocodigoFundar","temperature_anomaly_40_69","temperature_anomaly_20_adel","dif","geonombreFundar"
"DNK","-1.15610525966667","0.7310613276","1.88716658726667","Dinamarca"
,"-1.06536323833333","0.819831254","1.88519449233333","América del Norte"
"SWE","-1.26075860173333","0.6229041126","1.88366271433333","Suecia"
"ISR","-0.996375141466667","0.88719549","1.88357063146667","Israel"
"FRA","-1.01068084","0.8550669608","1.8657478008","Francia"
"AZE","-0.912006327666667","0.95373714","1.86574346766667","Azerbaiyán"
"UGA","-1.271529618","0.5732240314","1.8447536494","Uganda"
"BTN","-1.17926526566667","0.643238028","1.82250329366667","Bhután"
"HUN","-0.795033304966667","1.0199273068","1.81496061176667","Hungría"
"GNQ","-1.036816276","0.74725269","1.784068966","Guinea Ecuatorial"
"USA","-1.08914047533333","0.693282202","1.78242267733333","Estados Unidos"
"EGY","-1.29936679066667","0.4756328828","1.77499967346667","Egipto"
"ISL","-2.061525072","-0.29365525","1.767869822","Islandia"
"JAM","-0.964694957666667","0.80181612","1.76651107766667","Jamaica"
"GRL","-1.04304848733333","0.7185060716","1.76155455893333","Groenlandia"
,"-1.11872814333333","0.640213032","1.75894117533333","África"
"SLV","-1.057246477","0.68971585","1.746962327","El Salvador"
"NZL","-0.982481141333333","0.764088628","1.74656976933333","Nueva Zelanda"
"PSE","-0.867964800033333","0.877621348","1.74558614803333","Palestina"
"SEN","-1.24811275333333","0.4959101716","1.74402292493333","Senegal"
"UZB","-0.745212259333333","0.9810261264","1.72623838573333","Uzbekistán"
"COD","-0.870376968666667","0.853702054","1.72407902266667","Rep. Dem. Congo"
"BOL","-0.989723053333333","0.731507558","1.72123061133333","Bolivia"
"BFA","-1.241496844","0.476343152","1.717839996","Burkina Faso"
"BRN","-1.23374726766667","0.482319684","1.71606695166667","Brunei"
"MEX","-1.075561872","0.623531799","1.699093671","México"
"MMR","-1.10952218833333","0.589092672","1.69861486033333","Myanmar"
"RWA","-0.863688309666667","0.83478415","1.69847245966667","Ruanda"
"TKM","-0.7697628971","0.92185895","1.6916218471","Turkmenistán"
"ALB","-0.675573796066667","1.012105814","1.68767961006667","Albania"
"TGO","-1.09059092866667","0.590130262","1.68072119066667","Togo"
,"-1.16237245266667","0.512653518","1.67502597066667","Antártida"
"MYS","-1.20666018066667","0.454274558","1.66093473866667","Malasia"
"BEN","-1.14036426233333","0.5176555704","1.65801983273333","Benin"
"TJK","-0.698091596666667","0.956285439","1.65437703566667","Tayikistán"
"GHA","-1.03617330966667","0.591628025","1.62780133466667","Ghana"
"IDN","-1.08491418866667","0.53563961","1.62055379866667","Indonesia"
"GIN","-0.964058166333333","0.646223828","1.61028199433333","Guinea"
"KEN","-1.13271882466667","0.474042738","1.60676156266667","Kenia"
"GAB","-0.978248735","0.62722539","1.605474125","Gabón"
"THA","-1.12176425966667","0.48212786348","1.60389212314667","Tailandia"
"LAO","-0.925370191","0.658780426","1.584150617","Laos"
"PRY","-0.734649598333333","0.828678126","1.56332772433333","Paraguay"
"CHN","-0.827047077166667","0.720434494","1.54748157116667","China"
"PHL","-1.03633695366667","0.507707838","1.54404479166667","Filipinas"
"PNG","-0.943600587666667","0.59544284","1.53904342766667","Papúa Nueva Guinea"
"ECU","-0.807865246333333","0.730262156","1.53812740233333","Ecuador"
"KHM","-1.27345499933333","0.2620403792","1.53549537853333","Camboya"
"GBR","-0.9279917458","0.605805152","1.5337968978","Reino Unido"
"BDI","-0.827597740666667","0.699547136","1.52714487666667","Burundi"
"PER","-0.933032918333333","0.591918142","1.52495106033333","Perú"
"CIV","-1.01945012933333","0.5050561508","1.52450628013333","Costa de Marfil"
"LBR","-0.749225987333333","0.75414567","1.50337165733333","Liberia"
"CYP","-0.916098855566667","0.576924896","1.49302375156667","Chipre"
"GRC","-0.614390672","0.86867097","1.483061642","Grecia"
"SLE","-0.757157309","0.725418664","1.482575973","Sierra Leona"
,"-0.816825348333333","0.65113345","1.46795879833333","Oceanía"
"GMB","-1.03645913279","0.4239863374","1.46044547019","Gambia"
"NPL","-1.0338469072","0.418712048","1.4525589552","Nepal"
"OMN","-0.977943363333333","0.4459332206","1.42387658393333","Omán"
"COL","-0.8009687723","0.597683002","1.3986517743","Colombia"
"MDG","-0.972515158333333","0.4191925651","1.39170772343333","Madagascar"
"VNM","-0.910222988","0.4767788892","1.3870018772","Vietnam"
"CAF","-0.450004404166667","0.933505418","1.38350982216667","Rep. Centroafricana"
"GNB","-0.937898013666667","0.428758938","1.36665695166667","Guinea-Bissau"
"COG","-0.69719854","0.656246836","1.353445376","Congo"
"MNG","-0.7184741471","0.633427716","1.3519018631","Mongolia"
,"-0.4953894246","0.844340948","1.3397303726","Región Mediterránea"
"NAM","-0.87839759","0.457950694","1.336348284","Namibia"
"HKG","-0.806000325666667","0.5198745928","1.32587491846667","Hong Kong"
"CMR","-0.6945148965","0.616097268","1.3106121645","Camerún"
"NIC","-0.784718536333333","0.5199423654","1.30466090173333","Nicaragua"
"VEN","-0.883739306666667","0.402768304","1.28650761066667","Venezuela"
"NCL","-0.888715861333333","0.3975036","1.28621946133333","Nueva Caledonia"
"LSO","-0.861322830866667","0.4248655396","1.28618837046667","Lesotho"
"PRT","-0.555492425533333","0.71928504","1.27477746553333","Portugal"
"SOM","-0.722744093","0.537538328","1.260282421","Somalia"
"HTI","-0.6592658425","0.59933925","1.2586050925","Haití"
"ZWE","-0.759569198","0.4879195236","1.2474887216","Zimbabwe"
"KGZ","-0.5496674038","0.69559176","1.2452591638","Kirguistán"
"DOM","-0.6174027665","0.61859285","1.2359956165","Rep. Dominicana"
"NGA","-0.868438734666667","0.366959348","1.23539808266667","Nigeria"
"SGS","-0.732195562733333","0.493547613","1.22574317573333","Islas Georgias y Sandwich del Sur"
"AGO","-0.753404433466667","0.4344090172","1.18781345066667","Angola"
"FJI","-0.511553226","0.672127614","1.18368084","Fiyi"
"PRI","-0.682487928433333","0.4691332902","1.15162121863333","Puerto Rico"
"GUY","-0.695574887333333","0.44745725252","1.14303213985333","Guyana"
"TZA","-0.846527017333333","0.282620492","1.12914750933333","Tanzanía"
,"-0.714846144","0.410715806","1.12556195","América del Sur"
"LKA","-0.863437853333333","0.2591857868","1.12262364013333","Sri Lanka"
"WLD","-0.654787605666667","0.46539419","1.12018179566667","Mundo"
"BHR","-0.362583604","0.755634122","1.118217726","Bahrein"
"STP","-0.659165596333333","0.450097588","1.10926318433333","Santo Tomé y Príncipe"
"PAN","-0.7461185925","0.361255013","1.1073736055","Panamá"
"IMN","-0.544175021666667","0.55582438","1.09999940166667","Isla de Man"
"ZAF","-0.731102279133333","0.3509190556","1.08202133473333","Sudáfrica"
,"-0.572712792666667","0.507115144","1.07982793666667","Océano Austral"
"ARG","-0.51555704732","0.55128681","1.06684385732","Argentina"
"PAK","-0.570569256433333","0.495814598","1.06638385443333","Pakistán"
"TLS","-0.604703605","0.45199627","1.056699875","Timor-Leste"
"SLB","-0.500508791","0.554399766","1.054908557","Islas Salomón"
"CHL","-0.760187859333333","0.294616782","1.05480464133333","Chile"
"TTO","-0.7012729361","0.339493434","1.0407663701","Trinidad y Tobago"
"SUR","-0.690476512666667","0.338160136","1.02863664866667","Suriname"
"ZMB","-0.698736286366667","0.319261655","1.01799794136667","Zambia"
"MWI","-0.640910904133333","0.3516310352","0.992541939333333","Malawi"
"MOZ","-0.490180513333333","0.484224336","0.974404849333333","Mozambique"
"BHS","-0.347728009866667","0.615990864","0.963718873866667","Bahamas"
"BGD","-0.488817107166667","0.4644825428","0.953299649966667","Bangladesh"
"CUB","-0.362603921433333","0.589120432","0.951724353433333","Cuba"
"CRI","-0.616041614343333","0.3305318794","0.946573493743333","Costa Rica"
"BRA","-0.681455111616667","0.260318726","0.941773837616667","Brasil"
,"-0.503160859333333","0.426790624","0.929951483333333","Mares del Sur de China y del Archipiélago Oriental"
"CYM","-0.352866752766667","0.568568196","0.921434948766667","Islas Caimán"
,"-0.510370669666667","0.375104412","0.885475081666667","Océano Atlántico Sur"
"IND","-0.6429368622","0.24239752714","0.88533438934","India"
,"-0.357989174333333","0.51538754","0.873376714333333","Océano Atlántico Norte"
"BWA","-0.638672028033333","0.191723026","0.830395054033333","Botswana"
"COM","-0.471644776333333","0.351685175","0.823329951333333","Comoras"
,"-0.394710585","0.426928928","0.821639513","Océano Pacífico Norte"
"FLK","-0.529864860533333","0.279297196","0.809162056533333","Islas Malvinas"
"HMD","-0.484897707166667","0.31669134","0.801589047166667","Islas Heard y McDonald"
"SYC","-0.483946218533333","0.3117708106","0.795717029133333","Seychelles"
"VUT","-0.33334637808","0.459591284","0.79293766208","Vanuatu"
"VCT","-0.4128331221","0.3767224952","0.7895556173","San Vicente y las Granadinas"
"CPV","-0.2820114389","0.5024584054","0.7844698443","Cabo Verde"
"IRL","-0.269100163966667","0.515214966","0.784315129966667","Irlanda"
,"-0.472411221333333","0.300428748","0.772839969333333","Océano Índico"
"SWZ","-0.518214742576667","0.246016464","0.764231206576667","Eswatini"
"AIA","-0.335532442153333","0.4274118408","0.762944282953333","Anguila"
"VIR","-0.340084530046","0.4174832364","0.757567766446","Islas Vírgenes de EEUU"
"ATG","-0.354792742666667","0.3780625532","0.732855295866667","Antigua y Barbuda"
"COK","-0.444560477333333","0.2841498688","0.728710346133333","Islas Cook"
"SHN","-0.367504099473333","0.350447776","0.717951875473333","Santa Elena"
"MUS","-0.478876128333333","0.158494414","0.637370542333333","Mauricio"
"FRO","-0.390190146666667","0.239498992","0.629689138666667","Islas Feroe"
"ASM","-0.419560316333333","0.1629423472","0.582502663533333","Samoa Americana"
"WSM","-0.383663069466667","0.1927348467","0.576397916166667","Samoa"
,"-0.392992840666667","0.180998962","0.573991802666667","Océano Pacífico Sur"
"AUS","-0.286190356366667","0.160045062","0.446235418366667","Australia"
"PYF","-0.399207531666667","0.00557950320000001","0.404787034866667","Polinesia Francesa"
"URY","-0.246951889416667","0.122277171","0.369229060416667","Uruguay"
"KIR","-0.328029650733333","0.0118569068","0.339886557533333","Kiribati"
