"anio","sector","subsector","valor_en_mtco2e"
2002,"AGSyOUT","Ganado","59.19"
2002,"AGSyOUT","Tierras","97.47"
2003,"AGSyOUT","Emisiones de la quema de biomasa","12.26"
2003,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","39.23"
2003,"AGSyOUT","Ganado","60.6"
2003,"AGSyOUT","Tierras","98.67"
2004,"AGSyOUT","Emisiones de la quema de biomasa","5.62"
2004,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","40.52"
2004,"AGSyOUT","Ganado","61.55"
2004,"AGSyOUT","Tierras","104.9"
2005,"AGSyOUT","Emisiones de la quema de biomasa","6.53"
2005,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","40.64"
2005,"AGSyOUT","Ganado","61.66"
2005,"AGSyOUT","Tierras","94.24"
2006,"AGSyOUT","Emisiones de la quema de biomasa","6.42"
2006,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","41.71"
2006,"AGSyOUT","Ganado","62"
2006,"AGSyOUT","Tierras","110.16"
2007,"AGSyOUT","Emisiones de la quema de biomasa","6.06"
2007,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","42.25"
2007,"AGSyOUT","Ganado","61.64"
2007,"AGSyOUT","Tierras","114.6"
2008,"AGSyOUT","Emisiones de la quema de biomasa","5.68"
2008,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","39.53"
2008,"AGSyOUT","Ganado","61.96"
2008,"AGSyOUT","Tierras","91.19"
2009,"AGSyOUT","Emisiones de la quema de biomasa","5.01"
2009,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","36.84"
2009,"AGSyOUT","Ganado","59.72"
2009,"AGSyOUT","Tierras","68.01"
2010,"AGSyOUT","Emisiones de la quema de biomasa","3.62"
2010,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","38.15"
2010,"AGSyOUT","Ganado","55.28"
2010,"AGSyOUT","Tierras","69.43"
2011,"AGSyOUT","Emisiones de la quema de biomasa","3.35"
2011,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","39.35"
2011,"AGSyOUT","Ganado","53.97"
2011,"AGSyOUT","Tierras","57.1"
2012,"AGSyOUT","Emisiones de la quema de biomasa","4.69"
2012,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","38.19"
2012,"AGSyOUT","Ganado","55.3"
2012,"AGSyOUT","Tierras","93.22"
2013,"AGSyOUT","Emisiones de la quema de biomasa","5.02"
2013,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","39.21"
2013,"AGSyOUT","Ganado","56.22"
2013,"AGSyOUT","Tierras","89.25"
2014,"AGSyOUT","Emisiones de la quema de biomasa","4.28"
2014,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","40.62"
2014,"AGSyOUT","Ganado","56.72"
2014,"AGSyOUT","Tierras","61.56"
2015,"AGSyOUT","Emisiones de la quema de biomasa","3.27"
2015,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","39.63"
2015,"AGSyOUT","Ganado","56.56"
2015,"AGSyOUT","Tierras","39.78"
2016,"AGSyOUT","Emisiones de la quema de biomasa","3.85"
2016,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","41.34"
2016,"AGSyOUT","Ganado","56.61"
2016,"AGSyOUT","Tierras","31.37"
2017,"AGSyOUT","Emisiones de la quema de biomasa","6.4"
2017,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","42.52"
2017,"AGSyOUT","Ganado","57.72"
2017,"AGSyOUT","Tierras","41.01"
2018,"AGSyOUT","Emisiones de la quema de biomasa","4.52"
2018,"AGSyOUT","Emisiones directas e indirectas de N2O y otros","42.64"
2018,"AGSyOUT","Ganado","57.85"
2018,"AGSyOUT","Tierras","39.28"
