"anio","sector","valor_en_ggco2e"
1911,"Otros","51700"
1911,"PIUP","325514"
1911,"Residuos","321000"
1912,"AGSyOUT","9550000"
1912,"Energía","7540000"
1912,"Otros","51300"
1912,"PIUP","327272"
1912,"Residuos","326000"
1913,"AGSyOUT","9390000"
1913,"Energía","8080000"
1913,"Otros","52700"
1913,"PIUP","329736"
1913,"Residuos","333000"
1914,"AGSyOUT","9370000"
1914,"Energía","7480000"
1914,"Otros","53700"
1914,"PIUP","327212"
1914,"Residuos","339000"
1915,"AGSyOUT","9360000"
1915,"Energía","7420000"
1915,"Otros","54700"
1915,"PIUP","326788"
1915,"Residuos","345000"
1916,"AGSyOUT","9440000"
1916,"Energía","7930000"
1916,"Otros","56100"
1916,"PIUP","327798"
1916,"Residuos","352000"
1917,"AGSyOUT","9530000"
1917,"Energía","8260000"
1917,"Otros","57500"
1917,"PIUP","329194"
1917,"Residuos","358000"
1918,"AGSyOUT","9630000"
1918,"Energía","8190000"
1918,"Otros","59200"
1918,"PIUP","328920"
1918,"Residuos","365000"
1919,"AGSyOUT","9710000"
1919,"Energía","7280000"
1919,"Otros","60100"
1919,"PIUP","324240"
1919,"Residuos","372000"
1920,"AGSyOUT","9790000"
1920,"Energía","8270000"
1920,"Otros","60500"
1920,"PIUP","328860"
1920,"Residuos","380000"
1921,"AGSyOUT","10170000"
1921,"Energía","7400000"
1921,"Otros","60700"
1921,"PIUP","331220"
1921,"Residuos","386000"
1922,"AGSyOUT","10170000"
1922,"Energía","7730000"
1922,"Otros","61500"
1922,"PIUP","345550"
1922,"Residuos","395000"
1923,"AGSyOUT","10280000"
1923,"Energía","8640000"
1923,"Otros","64100"
1923,"PIUP","366330"
1923,"Residuos","404000"
1924,"AGSyOUT","10370000"
1924,"Energía","8650000"
1924,"Otros","65000"
1924,"PIUP","390210"
1924,"Residuos","412000"
1925,"AGSyOUT","10440000"
1925,"Energía","8730000"
1925,"Otros","65600"
1925,"PIUP","415530"
1925,"Residuos","421000"
1926,"AGSyOUT","10510000"
1926,"Energía","8610000"
1926,"Otros","66400"
1926,"PIUP","440620"
1926,"Residuos","430000"
1927,"AGSyOUT","10840000"
1927,"Energía","9290000"
1927,"Otros","67700"
1927,"PIUP","468600"
1927,"Residuos","441000"
1928,"AGSyOUT","10890000"
1928,"Energía","9250000"
1928,"Otros","68200"
1928,"PIUP","587100"
1928,"Residuos","450000"
1929,"AGSyOUT","11140000"
1929,"Energía","9870000"
1929,"Otros","69600"
1929,"PIUP","610300"
1929,"Residuos","460000"
1930,"AGSyOUT","11720000"
1930,"Energía","9250000"
1930,"Otros","70000"
1930,"PIUP","612600"
1930,"Residuos","469000"
1931,"AGSyOUT","11820000"
1931,"Energía","8430000"
1931,"Otros","69600"
1931,"PIUP","598100"
1931,"Residuos","478000"
1932,"AGSyOUT","11110000"
1932,"Energía","7790000"
1932,"Otros","69000"
1932,"PIUP","575600"
1932,"Residuos","489000"
1933,"AGSyOUT","11100000"
1933,"Energía","8160000"
1933,"Otros","69900"
1933,"PIUP","568700"
1933,"Residuos","500000"
1934,"AGSyOUT","11030000"
1934,"Energía","8780000"
1934,"Otros","71800"
1934,"PIUP","576500"
1934,"Residuos","511000"
1935,"AGSyOUT","11020000"
1935,"Energía","9180000"
1935,"Otros","73500"
1935,"PIUP","579800"
1935,"Residuos","524000"
1936,"AGSyOUT","11090000"
1936,"Energía","9970000"
1936,"Otros","75200"
1936,"PIUP","595020"
1936,"Residuos","537000"
1937,"AGSyOUT","10940000"
1937,"Energía","10600000"
1937,"Otros","76000"
1937,"PIUP","599100"
1937,"Residuos","550000"
1938,"AGSyOUT","10980000"
1938,"Energía","10110000"
1938,"Otros","76300"
1938,"PIUP","591260"
1938,"Residuos","563000"
1939,"AGSyOUT","10980000"
1939,"Energía","10630000"
1939,"Otros","78500"
1939,"PIUP","587970"
1939,"Residuos","577000"
1940,"AGSyOUT","10910000"
1940,"Energía","11470000"
1940,"Otros","82300"
1940,"PIUP","593250"
1940,"Residuos","592000"
1941,"AGSyOUT","10840000"
1941,"Energía","11730000"
1941,"Otros","86900"
1941,"PIUP","642100"
1941,"Residuos","609000"
1942,"AGSyOUT","11120000"
1942,"Energía","11810000"
1942,"Otros","91600"
1942,"PIUP","651580"
1942,"Residuos","629000"
1943,"AGSyOUT","11250000"
1943,"Energía","12190000"
1943,"Otros","94300"
1943,"PIUP","669700"
1943,"Residuos","653000"
1944,"AGSyOUT","11520000"
1944,"Energía","12190000"
1944,"Otros","101000"
1944,"PIUP","672200"
1944,"Residuos","678000"
1945,"AGSyOUT","11750000"
1945,"Energía","10610000"
1945,"Otros","103500"
1945,"PIUP","703870"
1945,"Residuos","703000"
1946,"AGSyOUT","12600000"
1946,"Energía","11360000"
1946,"Otros","108200"
1946,"PIUP","784560"
1946,"Residuos","732000"
1947,"AGSyOUT","13060000"
1947,"Energía","12400000"
1947,"Otros","116000"
1947,"PIUP","850030"
1947,"Residuos","761000"
1948,"AGSyOUT","13310000"
1948,"Energía","12970000"
1948,"Otros","121600"
1948,"PIUP","920060"
1948,"Residuos","789000"
1949,"AGSyOUT","13540000"
1949,"Energía","12570000"
1949,"Otros","130000"
1949,"PIUP","980730"
1949,"Residuos","817000"
1950,"AGSyOUT","13730000"
1950,"Energía","13280000"
1950,"Otros","137500"
1950,"PIUP","1051890"
1950,"Residuos","841000"
1951,"AGSyOUT","15410000"
1951,"Energía","14170000"
1951,"Otros","143500"
1951,"PIUP","1131910"
1951,"Residuos","867000"
1952,"AGSyOUT","15690000"
1952,"Energía","14390000"
1952,"Otros","149100"
1952,"PIUP","1215690"
1952,"Residuos","895000"
1953,"AGSyOUT","15760000"
1953,"Energía","14820000"
1953,"Otros","152200"
1953,"PIUP","1322640"
1953,"Residuos","925000"
1954,"AGSyOUT","16280000"
1954,"Energía","15150000"
1954,"Otros","157200"
1954,"PIUP","1436450"
1954,"Residuos","956000"
1955,"AGSyOUT","16720000"
1955,"Energía","16520000"
1955,"Otros","163700"
1955,"PIUP","1571600"
1955,"Residuos","987000"
1956,"AGSyOUT","17270000"
1956,"Energía","17580000"
1956,"Otros","168900"
1956,"PIUP","1701500"
1956,"Residuos","1020000"
1957,"AGSyOUT","17610000"
1957,"Energía","18160000"
1957,"Otros","176400"
1957,"PIUP","1821900"
1957,"Residuos","1052000"
1958,"AGSyOUT","18110000"
1958,"Energía","18720000"
1958,"Otros","206000"
1958,"PIUP","1948100"
1958,"Residuos","1082000"
1959,"AGSyOUT","17310000"
1959,"Energía","19650000"
1959,"Otros","230000"
1959,"PIUP","2086900"
1959,"Residuos","1111000"
1960,"AGSyOUT","17320000"
1960,"Energía","20600000"
1960,"Otros","242000"
1960,"PIUP","2207200"
1960,"Residuos","1139000"
1961,"AGSyOUT","18120000"
1961,"Energía","20700000"
1961,"Otros","224000"
1961,"PIUP","2316600"
1961,"Residuos","1166000"
1962,"AGSyOUT","18270000"
1962,"Energía","21400000"
1962,"Otros","220000"
1962,"PIUP","2430100"
1962,"Residuos","1194000"
1963,"AGSyOUT","18520000"
1963,"Energía","22600000"
1963,"Otros","228000"
1963,"PIUP","2549100"
1963,"Residuos","1225000"
1964,"AGSyOUT","18790000"
1964,"Energía","23600000"
1964,"Otros","236000"
1964,"PIUP","2687900"
1964,"Residuos","1255000"
1965,"AGSyOUT","19100000"
1965,"Energía","24800000"
1965,"Otros","250000"
1965,"PIUP","2798200"
1965,"Residuos","1286000"
1966,"AGSyOUT","19580000"
1966,"Energía","25900000"
1966,"Otros","264000"
1966,"PIUP","2929600"
1966,"Residuos","1318000"
1967,"AGSyOUT","19850000"
1967,"Energía","26800000"
1967,"Otros","263000"
1967,"PIUP","3050400"
1967,"Residuos","1350000"
1968,"AGSyOUT","19510000"
1968,"Energía","28200000"
1968,"Otros","277000"
1968,"PIUP","3183500"
1968,"Residuos","1384000"
1969,"AGSyOUT","19650000"
1969,"Energía","30100000"
1969,"Otros","295000"
1969,"PIUP","3327700"
1969,"Residuos","1417000"
1970,"AGSyOUT","19360000"
1970,"Energía","32100000"
1970,"Otros","326000"
1970,"PIUP","3347700"
1970,"Residuos","1465000"
1971,"AGSyOUT","18060000"
1971,"Energía","33000000"
1971,"Otros","279000"
1971,"PIUP","3441200"
1971,"Residuos","1499000"
1972,"AGSyOUT","18350000"
1972,"Energía","34400000"
1972,"Otros","336000"
1972,"PIUP","3605100"
1972,"Residuos","1536000"
1973,"AGSyOUT","18270000"
1973,"Energía","36300000"
1973,"Otros","319000"
1973,"PIUP","3869100"
1973,"Residuos","1576000"
1974,"AGSyOUT","18230000"
1974,"Energía","36100000"
1974,"Otros","289000"
1974,"PIUP","3953700"
1974,"Residuos","1615000"
1975,"AGSyOUT","18490000"
1975,"Energía","36100000"
1975,"Otros","301000"
1975,"PIUP","3751900"
1975,"Residuos","1647000"
1976,"AGSyOUT","19180000"
1976,"Energía","38100000"
1976,"Otros","322000"
1976,"PIUP","3997400"
1976,"Residuos","1691000"
1977,"AGSyOUT","19470000"
1977,"Energía","39100000"
1977,"Otros","358000"
1977,"PIUP","4150000"
1977,"Residuos","1734000"
1978,"AGSyOUT","19480000"
1978,"Energía","40300000"
1978,"Otros","340000"
1978,"PIUP","4598900"
1978,"Residuos","1779000"
1979,"AGSyOUT","19590000"
1979,"Energía","41400000"
1979,"Otros","373000"
1979,"PIUP","4761100"
1979,"Residuos","1823000"
1980,"AGSyOUT","19460000"
1980,"Energía","41100000"
1980,"Otros","378000"
1980,"PIUP","4673900"
1980,"Residuos","1869000"
1981,"AGSyOUT","19530000"
1981,"Energía","40000000"
1981,"Otros","351000"
1981,"PIUP","4611400"
1981,"Residuos","1908000"
1982,"AGSyOUT","21870000"
1982,"Energía","39900000"
1982,"Otros","479000"
1982,"PIUP","4298300"
1982,"Residuos","1948000"
1983,"AGSyOUT","21930000"
1983,"Energía","40300000"
1983,"Otros","401000"
1983,"PIUP","4427300"
1983,"Residuos","1999000"
1984,"AGSyOUT","21890000"
1984,"Energía","41500000"
1984,"Otros","340000"
1984,"PIUP","4674500"
1984,"Residuos","2042000"
1985,"AGSyOUT","22110000"
1985,"Energía","42900000"
1985,"Otros","340000"
1985,"PIUP","4648200"
1985,"Residuos","2095000"
1986,"AGSyOUT","22560000"
1986,"Energía","43500000"
1986,"Otros","373000"
1986,"PIUP","4705000"
1986,"Residuos","2147000"
1987,"AGSyOUT","23170000"
1987,"Energía","44900000"
1987,"Otros","440000"
1987,"PIUP","4854400"
1987,"Residuos","2190000"
1988,"AGSyOUT","22830000"
1988,"Energía","46600000"
1988,"Otros","354000"
1988,"PIUP","5146800"
1988,"Residuos","2250000"
1989,"AGSyOUT","23040000"
1989,"Energía","47400000"
1989,"Otros","363000"
1989,"PIUP","5559100"
1989,"Residuos","2300000"
1990,"AGSyOUT","21110000"
1990,"Energía","47000000"
1990,"Otros","418000"
1990,"PIUP","5525200"
1990,"Residuos","2380000"
1991,"AGSyOUT","20730000"
1991,"Energía","47800000"
1991,"Otros","510000"
1991,"PIUP","5348200"
1991,"Residuos","2430000"
1992,"AGSyOUT","20760000"
1992,"Energía","46200000"
1992,"Otros","491000"
1992,"PIUP","5185200"
1992,"Residuos","2460000"
1993,"AGSyOUT","21030000"
1993,"Energía","46800000"
1993,"Otros","404000"
1993,"PIUP","5125700"
1993,"Residuos","2500000"
1994,"AGSyOUT","21240000"
1994,"Energía","47000000"
1994,"Otros","448000"
1994,"PIUP","5298800"
1994,"Residuos","2540000"
1995,"AGSyOUT","21390000"
1995,"Energía","48000000"
1995,"Otros","393000"
1995,"PIUP","5741300"
1995,"Residuos","2640000"
1996,"AGSyOUT","21300000"
1996,"Energía","49400000"
1996,"Otros","395000"
1996,"PIUP","5795200"
1996,"Residuos","2730000"
1997,"AGSyOUT","21270000"
1997,"Energía","49400000"
1997,"Otros","654000"
1997,"PIUP","6097100"
1997,"Residuos","2820000"
1998,"AGSyOUT","21340000"
1998,"Energía","49200000"
1998,"Otros","456000"
1998,"PIUP","6109900"
1998,"Residuos","2900000"
1999,"AGSyOUT","21070000"
1999,"Energía","49800000"
