"geocodigoFundar","year","near_surface_temperature_anomaly","geonombreFundar"
"WLD","1926","0.23974274","Mundo"
"WLD","1927","0.13318415","Mundo"
"WLD","1928","0.15583193","Mundo"
"WLD","1929","-0.030145284","Mundo"
"WLD","1930","0.18549232","Mundo"
"WLD","1931","0.25890008","Mundo"
"WLD","1932","0.21683604","Mundo"
"WLD","1933","0.039953325","Mundo"
"WLD","1934","0.1879609","Mundo"
"WLD","1935","0.15623851","Mundo"
"WLD","1936","0.1927768","Mundo"
"WLD","1937","0.3430988","Mundo"
"WLD","1938","0.350097","Mundo"
"WLD","1939","0.32150054","Mundo"
"WLD","1940","0.43823355","Mundo"
"WLD","1941","0.40042704","Mundo"
"WLD","1942","0.36370382","Mundo"
"WLD","1943","0.36871934","Mundo"
"WLD","1944","0.5064029","Mundo"
"WLD","1945","0.4053861","Mundo"
"WLD","1946","0.24348314","Mundo"
"WLD","1947","0.27109215","Mundo"
"WLD","1948","0.23763648","Mundo"
"WLD","1949","0.21849552","Mundo"
"WLD","1950","0.13567594","Mundo"
"WLD","1951","0.3011438","Mundo"
"WLD","1952","0.3776523","Mundo"
"WLD","1953","0.4399285","Mundo"
"WLD","1954","0.24554752","Mundo"
"WLD","1955","0.1649878","Mundo"
"WLD","1956","0.09913213","Mundo"
"WLD","1957","0.32696283","Mundo"
"WLD","1958","0.3446652","Mundo"
"WLD","1959","0.31429294","Mundo"
"WLD","1960","0.24683817","Mundo"
"WLD","1961","0.34229797","Mundo"
"WLD","1962","0.29825503","Mundo"
"WLD","1963","0.32548714","Mundo"
"WLD","1964","0.056436215","Mundo"
"WLD","1965","0.15787727","Mundo"
"WLD","1966","0.21340014","Mundo"
"WLD","1967","0.24475846","Mundo"
"WLD","1968","0.19365019","Mundo"
"WLD","1969","0.33091152","Mundo"
"WLD","1970","0.27723366","Mundo"
"WLD","1971","0.1564087","Mundo"
"WLD","1972","0.26850644","Mundo"
"WLD","1973","0.4122479","Mundo"
"WLD","1974","0.18977118","Mundo"
"WLD","1975","0.25154352","Mundo"
"WLD","1976","0.14646085","Mundo"
"WLD","1977","0.46538624","Mundo"
"WLD","1978","0.3675537","Mundo"
"WLD","1979","0.45315588","Mundo"
"WLD","1980","0.5583698","Mundo"
"WLD","1981","0.6123098","Mundo"
"WLD","1982","0.39656603","Mundo"
"WLD","1983","0.5861076","Mundo"
"WLD","1984","0.41029125","Mundo"
"WLD","1985","0.41202748","Mundo"
"WLD","1986","0.45798472","Mundo"
"WLD","1987","0.60532415","Mundo"
"WLD","1988","0.6444495","Mundo"
"WLD","1989","0.5415481","Mundo"
"WLD","1990","0.7228801","Mundo"
"WLD","1991","0.7011943","Mundo"
"WLD","1992","0.48719457","Mundo"
"WLD","1993","0.52800494","Mundo"
"WLD","1994","0.59584755","Mundo"
"WLD","1995","0.7391639","Mundo"
"WLD","1996","0.6389871","Mundo"
"WLD","1997","0.7846063","Mundo"
"WLD","1998","0.93963945","Mundo"
"WLD","1999","0.6867827","Mundo"
"WLD","2000","0.6933825","Mundo"
"WLD","2001","0.8515781","Mundo"
"WLD","2002","0.9057643","Mundo"
"WLD","2003","0.9064679","Mundo"
"WLD","2004","0.82966846","Mundo"
"WLD","2005","0.96916026","Mundo"
"WLD","2006","0.93485045","Mundo"
"WLD","2007","0.9539991","Mundo"
"WLD","2008","0.8279476","Mundo"
"WLD","2009","0.9590794","Mundo"
"WLD","2010","1.0426692","Mundo"
"WLD","2011","0.8999955","Mundo"
"WLD","2012","0.9399048","Mundo"
"WLD","2013","0.9858731","Mundo"
"WLD","2014","1.0351694","Mundo"
"WLD","2015","1.1874121","Mundo"
"WLD","2016","1.2952248","Mundo"
"WLD","2017","1.207472","Mundo"
"WLD","2018","1.1249518","Mundo"
"WLD","2019","1.2533703","Mundo"
"WLD","2020","1.2852182","Mundo"
"WLD","2021","1.1242033","Mundo"
"WLD","2022","1.1636031","Mundo"
"WLD","2023","1.4626105","Mundo"
"WLD","2024","1.5430979","Mundo"
"WLD","2025","1.5525805","Mundo"
