"anio","sector","geocodigoFundar","unit","entity","valor_en_ggco2e","geonombreFundar"
"1769","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","88700","Mundo"
"1770","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","588000","Mundo"
"1770","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","173000","Mundo"
"1770","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","8040","Mundo"
"1770","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","257","Mundo"
"1770","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","88800","Mundo"
"1771","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","593000","Mundo"
"1771","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","175000","Mundo"
"1771","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","8450","Mundo"
"1771","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","279","Mundo"
"1771","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","89800","Mundo"
"1772","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","597000","Mundo"
"1772","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","176000","Mundo"
"1772","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","8850","Mundo"
"1772","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","280","Mundo"
"1772","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","90800","Mundo"
"1773","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","601000","Mundo"
"1773","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","178000","Mundo"
"1773","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","9250","Mundo"
"1773","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","280","Mundo"
"1773","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","91700","Mundo"
"1774","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","605000","Mundo"
"1774","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","179000","Mundo"
"1774","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","9650","Mundo"
"1774","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","280","Mundo"
"1774","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","92700","Mundo"
"1775","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","610000","Mundo"
"1775","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","180000","Mundo"
"1775","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","10100","Mundo"
"1775","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","281","Mundo"
"1775","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","93600","Mundo"
"1776","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","614000","Mundo"
"1776","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","183000","Mundo"
"1776","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","10500","Mundo"
