"year","semester","age_group","poverty_line","poverty_rate"
"2020","I","child_2more_siblings","Indigencia","25.122086"
"2020","II","old_and_child","Indigencia","2.7913079"
"2020","II","old_and_old","Indigencia","0.86467326"
"2020","II","child_no_siblings","Indigencia","9.9751482"
"2020","II","child_1_sibling","Indigencia","15.594604"
"2020","II","child_2more_siblings","Indigencia","21.872517"
"2021","I","old_and_child","Indigencia","8.3224602"
"2021","I","old_and_old","Indigencia","0.6943565"
"2021","I","child_no_siblings","Indigencia","9.9363594"
"2021","I","child_1_sibling","Indigencia","11.280561"
"2021","I","child_2more_siblings","Indigencia","29.782524"
"2021","II","old_and_child","Indigencia","1.7607117"
"2021","II","old_and_old","Indigencia","0.27523792"
"2021","II","child_no_siblings","Indigencia","8.5226173"
"2021","II","child_1_sibling","Indigencia","8.1558037"
"2021","II","child_2more_siblings","Indigencia","23.106321"
"2022","I","old_and_child","Indigencia","5.208817"
"2022","I","old_and_old","Indigencia","1.2449287"
"2022","I","child_no_siblings","Indigencia","7.4779229"
"2022","I","child_1_sibling","Indigencia","9.0045328"
"2022","I","child_2more_siblings","Indigencia","22.599329"
"2022","II","old_and_child","Indigencia","5.4299378"
"2022","II","old_and_old","Indigencia","0.5036912"
"2022","II","child_no_siblings","Indigencia","7.4780736"
"2022","II","child_1_sibling","Indigencia","8.473258"
"2022","II","child_2more_siblings","Indigencia","19.222019"
"2023","I","old_and_child","Indigencia","4.3270097"
"2023","I","old_and_old","Indigencia","0.48794392"
"2023","I","child_no_siblings","Indigencia","8.9902611"
"2023","I","child_1_sibling","Indigencia","8.5807991"
"2023","I","child_2more_siblings","Indigencia","23.384659"
"2023","II","old_and_child","Indigencia","6.7191644"
"2023","II","old_and_old","Indigencia","1.1514382"
"2023","II","child_no_siblings","Indigencia","9.9201422"
"2023","II","child_1_sibling","Indigencia","13.761837"
"2023","II","child_2more_siblings","Indigencia","35.341312"
"2024","I","old_and_child","Indigencia","10.467226"
"2024","I","old_and_old","Indigencia","1.6696504"
"2024","I","child_no_siblings","Indigencia","15.533257"
"2024","I","child_1_sibling","Indigencia","21.263308"
"2024","I","child_2more_siblings","Indigencia","42.06385"
"2003","II","old_and_child","Pobreza","69.987465"
"2003","II","old_and_old","Pobreza","29.429348"
"2003","II","child_no_siblings","Pobreza","54.849697"
"2003","II","child_1_sibling","Pobreza","64.435287"
"2003","II","child_2more_siblings","Pobreza","86.625999"
"2004","I","old_and_child","Pobreza","67.700211"
"2004","I","old_and_old","Pobreza","33.522247"
"2004","I","child_no_siblings","Pobreza","50.572342"
"2004","I","child_1_sibling","Pobreza","60.397087"
"2004","I","child_2more_siblings","Pobreza","85.373375"
"2004","II","old_and_child","Pobreza","62.714485"
"2004","II","old_and_old","Pobreza","20.660536"
"2004","II","child_no_siblings","Pobreza","49.326317"
"2004","II","child_1_sibling","Pobreza","56.904545"
"2004","II","child_2more_siblings","Pobreza","82.995689"
"2005","I","old_and_child","Pobreza","59.216015"
"2005","I","old_and_old","Pobreza","18.588688"
"2005","I","child_no_siblings","Pobreza","46.963596"
"2005","I","child_1_sibling","Pobreza","54.355389"
"2005","I","child_2more_siblings","Pobreza","82.037338"
"2005","II","old_and_child","Pobreza","53.481571"
"2005","II","old_and_old","Pobreza","18.036873"
"2005","II","child_no_siblings","Pobreza","41.306282"
"2005","II","child_1_sibling","Pobreza","50.076805"
"2005","II","child_2more_siblings","Pobreza","79.264191"
"2006","I","old_and_child","Pobreza","52.650578"
"2006","I","old_and_old","Pobreza","17.41861"
"2006","I","child_no_siblings","Pobreza","37.548904"
"2006","I","child_1_sibling","Pobreza","47.553432"
"2006","I","child_2more_siblings","Pobreza","77.086388"
"2006","II","old_and_child","Pobreza","43.925053"
"2006","II","old_and_old","Pobreza","14.282481"
"2006","II","child_no_siblings","Pobreza","33.213596"
"2006","II","child_1_sibling","Pobreza","40.337776"
"2006","II","child_2more_siblings","Pobreza","73.918625"
"2007","I","old_and_child","Pobreza","40.729477"
"2007","I","old_and_old","Pobreza","7.7378588"
"2007","I","child_no_siblings","Pobreza","30.561853"
"2007","I","child_1_sibling","Pobreza","38.450932"
"2007","I","child_2more_siblings","Pobreza","73.653465"
"2007","II","old_and_child","Pobreza","39.803593"
"2007","II","old_and_old","Pobreza","7.0573001"
"2007","II","child_no_siblings","Pobreza","31.036682"
"2007","II","child_1_sibling","Pobreza","40.764008"
"2007","II","child_2more_siblings","Pobreza","73.379959"
"2008","I","old_and_child","Pobreza","36.518356"
"2008","I","old_and_old","Pobreza","6.3307843"
"2008","I","child_no_siblings","Pobreza","29.399809"
"2008","I","child_1_sibling","Pobreza","37.181602"
"2008","I","child_2more_siblings","Pobreza","73.412865"
"2008","II","old_and_child","Pobreza","34.972466"
"2008","II","old_and_old","Pobreza","5.0361905"
"2008","II","child_no_siblings","Pobreza","28.639345"
"2008","II","child_1_sibling","Pobreza","39.81673"
"2008","II","child_2more_siblings","Pobreza","71.640251"
"2009","I","old_and_child","Pobreza","34.01955"
"2009","I","old_and_old","Pobreza","6.1333885"
"2009","I","child_no_siblings","Pobreza","32.166237"
"2009","I","child_1_sibling","Pobreza","38.8144"
"2009","I","child_2more_siblings","Pobreza","71.286179"
"2009","II","old_and_child","Pobreza","30.738943"
"2009","II","old_and_old","Pobreza","4.5533943"
"2009","II","child_no_siblings","Pobreza","29.898716"
"2009","II","child_1_sibling","Pobreza","35.467442"
"2009","II","child_2more_siblings","Pobreza","66.633514"
"2010","I","old_and_child","Pobreza","38.863487"
"2010","I","old_and_old","Pobreza","4.9283524"
"2010","I","child_no_siblings","Pobreza","32.003944"
"2010","I","child_1_sibling","Pobreza","36.26796"
"2010","I","child_2more_siblings","Pobreza","68.161774"
"2010","II","old_and_child","Pobreza","32.771435"
"2010","II","old_and_old","Pobreza","4.5066571"
"2010","II","child_no_siblings","Pobreza","24.901382"
"2010","II","child_1_sibling","Pobreza","36.761047"
"2010","II","child_2more_siblings","Pobreza","66.362381"
"2011","I","old_and_child","Pobreza","27.780748"
"2011","I","old_and_old","Pobreza","3.5889838"
"2011","I","child_no_siblings","Pobreza","24.737486"
"2011","I","child_1_sibling","Pobreza","33.249702"
"2011","I","child_2more_siblings","Pobreza","62.940281"
"2011","II","old_and_child","Pobreza","25.801161"
"2011","II","old_and_old","Pobreza","3.3954897"
"2011","II","child_no_siblings","Pobreza","22.863405"
"2011","II","child_1_sibling","Pobreza","31.154663"
"2011","II","child_2more_siblings","Pobreza","60.126221"
"2012","I","old_and_child","Pobreza","21.814344"
"2012","I","old_and_old","Pobreza","2.1343229"
"2012","I","child_no_siblings","Pobreza","26.316275"
"2012","I","child_1_sibling","Pobreza","32.187107"
"2012","I","child_2more_siblings","Pobreza","62.846558"
"2012","II","old_and_child","Pobreza","23.235157"
"2012","II","old_and_old","Pobreza","2.3317118"
"2012","II","child_no_siblings","Pobreza","22.958626"
"2012","II","child_1_sibling","Pobreza","29.793777"
"2012","II","child_2more_siblings","Pobreza","60.33419"
"2013","I","old_and_child","Pobreza","23.86911"
"2013","I","old_and_old","Pobreza","2.1640551"
"2013","I","child_no_siblings","Pobreza","24.860983"
"2013","I","child_1_sibling","Pobreza","30.314909"
"2013","I","child_2more_siblings","Pobreza","62.071693"
"2013","II","old_and_child","Pobreza","23.418314"
"2013","II","old_and_old","Pobreza","2.36748"
"2013","II","child_no_siblings","Pobreza","22.863132"
"2013","II","child_1_sibling","Pobreza","29.98057"
"2013","II","child_2more_siblings","Pobreza","60.316212"
"2014","I","old_and_child","Pobreza","27.902388"
"2014","I","old_and_old","Pobreza","2.3522429"
"2014","I","child_no_siblings","Pobreza","27.248156"
"2014","I","child_1_sibling","Pobreza","34.921913"
"2014","I","child_2more_siblings","Pobreza","64.670097"
"2015","II",,"Pobreza","32.192917"
"2015","II",,"Pobreza","1.9482957"
"2015","II",,"Pobreza","29.073875"
"2015","II",,"Pobreza","35.949673"
"2015","II",,"Pobreza","66.505867"
"2016","I",,"Pobreza","26.199644"
"2016","I",,"Pobreza","1.6171777"
"2016","I",,"Pobreza","27.756289"
"2016","I",,"Pobreza","34.434246"
"2016","I",,"Pobreza","64.695641"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"2016","II","old_and_child","Pobreza","23.275738"
"2016","II","old_and_old","Pobreza","1.721367"
"2016","II","child_no_siblings","Pobreza","28.818348"
"2016","II","child_1_sibling","Pobreza","36.803322"
"2016","II","child_2more_siblings","Pobreza","64.089775"
"2017","I","old_and_child","Pobreza","22.117512"
"2017","I","old_and_old","Pobreza","1.2826903"
"2017","I","child_no_siblings","Pobreza","27.403215"
"2017","I","child_1_sibling","Pobreza","31.904541"
"2017","I","child_2more_siblings","Pobreza","61.800732"
"2017","II","old_and_child","Pobreza","23.372581"
"2017","II","old_and_old","Pobreza","1.5654479"
"2017","II","child_no_siblings","Pobreza","23.056334"
"2017","II","child_1_sibling","Pobreza","29.847755"
"2017","II","child_2more_siblings","Pobreza","58.312038"
"2018","I","old_and_child","Pobreza","25.587481"
"2018","I","old_and_old","Pobreza","1.3346139"
"2018","I","child_no_siblings","Pobreza","24.606642"
"2018","I","child_1_sibling","Pobreza","31.644531"
"2018","I","child_2more_siblings","Pobreza","61.698036"
"2018","II","old_and_child","Pobreza","34.474918"
"2018","II","old_and_old","Pobreza","1.2543952"
"2018","II","child_no_siblings","Pobreza","29.052473"
"2018","II","child_1_sibling","Pobreza","37.521961"
"2018","II","child_2more_siblings","Pobreza","67.583794"
"2019","I","old_and_child","Pobreza","37.817726"
"2019","I","old_and_old","Pobreza","1.9185351"
"2019","I","child_no_siblings","Pobreza","32.250397"
"2019","I","child_1_sibling","Pobreza","41.708496"
"2019","I","child_2more_siblings","Pobreza","75.030655"
"2019","II","old_and_child","Pobreza","41.087669"
"2019","II","old_and_old","Pobreza","1.8107702"
"2019","II","child_no_siblings","Pobreza","31.341314"
"2019","II","child_1_sibling","Pobreza","45.435883"
"2019","II","child_2more_siblings","Pobreza","74.373199"
"2020","I","old_and_child","Pobreza","39.805809"
"2020","I","old_and_old","Pobreza","0.91900438"
"2020","I","child_no_siblings","Pobreza","39.914906"
"2020","I","child_1_sibling","Pobreza","47.885845"
"2020","I","child_2more_siblings","Pobreza","77.687424"
"2020","II","old_and_child","Pobreza","36.303547"
"2020","II","old_and_old","Pobreza","1.9425349"
"2020","II","child_no_siblings","Pobreza","41.418659"
"2020","II","child_1_sibling","Pobreza","52.97068"
"2020","II","child_2more_siblings","Pobreza","73.670616"
