year,semester,region,k_value,pov_rate
2023,I,Pampeana,.25,.072986998
2023,I,NEA,.25,.076859854
2023,I,NOA,.25,.081109717
2023,I,Cuyo,.25,.054442484
2023,I,Patagonia,.25,.021179531
2003,II,Total,.35,.15315677
2003,II,Partidos,.35,.21303278
2003,II,CABA,.35,.02113515
2003,II,Pampeana,.35,.11352417
2003,II,NEA,.35,.2123774
2003,II,NOA,.35,.18725955
2003,II,Cuyo,.35,.10554513
2003,II,Patagonia,.35,.033746555
2004,I,Total,.35,.13664511
2004,I,Partidos,.35,.19170809
2004,I,CABA,.35,.016633915
2004,I,Pampeana,.35,.09648817
2004,I,NEA,.35,.1940487
2004,I,NOA,.35,.16922705
2004,I,Cuyo,.35,.10684849
2004,I,Patagonia,.35,.030439131
2004,II,Total,.35,.13769372
2004,II,Partidos,.35,.19772246
2004,II,CABA,.35,.013066217
2004,II,Pampeana,.35,.095119819
2004,II,NEA,.35,.17811497
2004,II,NOA,.35,.16777037
2004,II,Cuyo,.35,.10100238
2004,II,Patagonia,.35,.052665554
2005,I,Total,.35,.13309497
2005,I,Partidos,.35,.18781891
2005,I,CABA,.35,.020543728
2005,I,Pampeana,.35,.090361871
2005,I,NEA,.35,.18047453
2005,I,NOA,.35,.16888246
2005,I,Cuyo,.35,.09946654
2005,I,Patagonia,.35,.037158251
2005,II,Total,.35,.12832017
2005,II,Partidos,.35,.17926385
2005,II,CABA,.35,.015867179
2005,II,Pampeana,.35,.094916888
2005,II,NEA,.35,.16001779
2005,II,NOA,.35,.16656531
2005,II,Cuyo,.35,.092608586
2005,II,Patagonia,.35,.039299577
2006,I,Total,.35,.1249516
2006,I,Partidos,.35,.17499179
2006,I,CABA,.35,.019632177
2006,I,Pampeana,.35,.089011066
2006,I,NEA,.35,.16619229
2006,I,NOA,.35,.16149139
2006,I,Cuyo,.35,.089008942
2006,I,Patagonia,.35,.021505091
2006,II,Total,.35,.12103072
2006,II,Partidos,.35,.1711888
2006,II,CABA,.35,.019515293
2006,II,Pampeana,.35,.087967239
2006,II,NEA,.35,.17140502
2006,II,NOA,.35,.1550148
2006,II,Cuyo,.35,.069527991
2006,II,Patagonia,.35,.037438147
2007,I,Total,.35,.11017147
2007,I,Partidos,.35,.1535081
2007,I,CABA,.35,.021843903
2007,I,Pampeana,.35,.079942197
2007,I,NEA,.35,.15407537
2007,I,NOA,.35,.13403468
2007,I,Cuyo,.35,.081960514
2007,I,Patagonia,.35,.031527665
2007,II,Total,.35,.10576306
2007,II,Partidos,.35,.15096129
2007,II,CABA,.35,.031473093
2007,II,Pampeana,.35,.075613342
2007,II,NEA,.35,.13112628
2007,II,NOA,.35,.12493135
2007,II,Cuyo,.35,.061493941
2007,II,Patagonia,.35,.029696755
2008,I,Total,.35,.10033976
2008,I,Partidos,.35,.14411977
2008,I,CABA,.35,.012991296
2008,I,Pampeana,.35,.074177347
2008,I,NEA,.35,.11437023
2008,I,NOA,.35,.12193213
2008,I,Cuyo,.35,.071087308
2008,I,Patagonia,.35,.039411169
2008,II,Total,.35,.093910187
2008,II,Partidos,.35,.12996142
2008,II,CABA,.35,.028499875
2008,II,Pampeana,.35,.068054385
2008,II,NEA,.35,.10541292
2008,II,NOA,.35,.1237845
2008,II,Cuyo,.35,.059731774
2008,II,Patagonia,.35,.032349192
2009,I,Total,.35,.093029819
2009,I,Partidos,.35,.12489104
2009,I,CABA,.35,.029671155
2009,I,Pampeana,.35,.068970442
2009,I,NEA,.35,.091475688
2009,I,NOA,.35,.13670939
2009,I,Cuyo,.35,.057305235
2009,I,Patagonia,.35,.04526291
2009,II,Total,.35,.0940734
2009,II,Partidos,.35,.13478684
2009,II,CABA,.35,.022936409
2009,II,Pampeana,.35,.068776168
2009,II,NEA,.35,.10548861
2009,II,NOA,.35,.10833251
2009,II,Cuyo,.35,.057260238
2009,II,Patagonia,.35,.034756027
2010,I,Total,.35,.076665275
2010,I,Partidos,.35,.10618137
2010,I,CABA,.35,.011778589
2010,I,Pampeana,.35,.061121624
2010,I,NEA,.35,.091049343
2010,I,NOA,.35,.10132105
2010,I,Cuyo,.35,.043851495
2010,I,Patagonia,.35,.027005071
2010,II,Total,.35,.0754527
2010,II,Partidos,.35,.10106824
2010,II,CABA,.35,.011632674
2010,II,Pampeana,.35,.060061317
2010,II,NEA,.35,.09834443
2010,II,NOA,.35,.098671243
2010,II,Cuyo,.35,.056362018
2010,II,Patagonia,.35,.031925801
2011,I,Total,.35,.071602307
2011,I,Partidos,.35,.10080515
2011,I,CABA,.35,.009296719
2011,I,Pampeana,.35,.052851524
2011,I,NEA,.35,.084944703
2011,I,NOA,.35,.096977949
2011,I,Cuyo,.35,.04408611
2011,I,Patagonia,.35,.029191136
2011,II,Total,.35,.070780501
2011,II,Partidos,.35,.099249005
2011,II,CABA,.35,.0031458247
2011,II,Pampeana,.35,.051300477
2011,II,NEA,.35,.08408998
2011,II,NOA,.35,.094503738
2011,II,Cuyo,.35,.061284743
2011,II,Patagonia,.35,.023910837
2012,I,Total,.35,.066010632
2012,I,Partidos,.35,.098150373
2012,I,CABA,.35,.0034268673
2012,I,Pampeana,.35,.044763498
2012,I,NEA,.35,.055118836
2012,I,NOA,.35,.086473048
2012,I,Cuyo,.35,.05180547
2012,I,Patagonia,.35,.024761626
2012,II,Total,.35,.062556446
2012,II,Partidos,.35,.092520103
2012,II,CABA,.35,.0010524227
2012,II,Pampeana,.35,.043823019
2012,II,NEA,.35,.064427674
2012,II,NOA,.35,.077611089
2012,II,Cuyo,.35,.047671821
2012,II,Patagonia,.35,.023160027
2013,I,Total,.35,.057286873
2013,I,Partidos,.35,.081456691
2013,I,CABA,.35,.013835127
2013,I,Pampeana,.35,.045664027
2013,I,NEA,.35,.061615761
2013,I,NOA,.35,.065817073
2013,I,Cuyo,.35,.029757179
2013,I,Patagonia,.35,.014903957
2013,II,Total,.35,.060752854
2013,II,Partidos,.35,.091921814
2013,II,CABA,.35,.0096354568
2013,II,Pampeana,.35,.044138141
2013,II,NEA,.35,.056213193
2013,II,NOA,.35,.059092682
2013,II,Cuyo,.35,.040715657
2013,II,Patagonia,.35,.01424966
2014,I,Total,.35,.056687098
2014,I,Partidos,.35,.088678114
2014,I,CABA,.35,.0036747765
2014,I,Pampeana,.35,.043177955
2014,I,NEA,.35,.046208736
2014,I,NOA,.35,.047203623
2014,I,Cuyo,.35,.037928768
2014,I,Patagonia,.35,.02208194
2014,II,Total,.35,.059252005
2014,II,Partidos,.35,.094416477
2014,II,CABA,.35,.00038616909
2014,II,Pampeana,.35,.040029641
2014,II,NEA,.35,.044487271
2014,II,NOA,.35,.053782329
2014,II,Cuyo,.35,.048758645
2014,II,Patagonia,.35,.016797965
2015,I,Total,.35,.051875543
2015,I,Partidos,.35,.083506279
2015,I,CABA,.35,.0015130071
2015,I,Pampeana,.35,.035337459
2015,I,NEA,.35,.037740011
2015,I,NOA,.35,.042263422
2015,I,Cuyo,.35,.036075972
2015,I,Patagonia,.35,.023199329
2015,II,Total,.35,
2015,II,Partidos,.35,
2015,II,CABA,.35,
2015,II,Pampeana,.35,
2015,II,NEA,.35,
2015,II,NOA,.35,
2015,II,Cuyo,.35,
2015,II,Patagonia,.35,
2016,I,Total,.35,
2016,I,Partidos,.35,
2016,I,CABA,.35,
2016,I,Pampeana,.35,
2016,I,NEA,.35,
2016,I,NOA,.35,
2016,I,Cuyo,.35,
2016,I,Patagonia,.35,
2016,II,Total,.35,.052526709
2016,II,Partidos,.35,.082310714
2016,II,CABA,.35,.0031454929
2016,II,Pampeana,.35,.039065883
2016,II,NEA,.35,.035434023
2016,II,NOA,.35,.037895221
2016,II,Cuyo,.35,.025301863
2016,II,Patagonia,.35,.016626107
2017,I,Total,.35,.055723023
2017,I,Partidos,.35,.088879414
2017,I,CABA,.35,.0067452881
2017,I,Pampeana,.35,.040979434
2017,I,NEA,.35,.026968122
2017,I,NOA,.35,.036441866
2017,I,Cuyo,.35,.032588221
2017,I,Patagonia,.35,.010327578
2017,II,Total,.35,.048461519
2017,II,Partidos,.35,.075386479
2017,II,CABA,.35,.0022652028
2017,II,Pampeana,.35,.035042595
2017,II,NEA,.35,.032180745
2017,II,NOA,.35,.038693309
2017,II,Cuyo,.35,.025592029
2017,II,Patagonia,.35,.014643694
2018,I,Total,.35,.041809171
2018,I,Partidos,.35,.058489967
2018,I,CABA,.35,.0015561242
2018,I,Pampeana,.35,.040748328
2018,I,NEA,.35,.033675589
2018,I,NOA,.35,.0376768
2018,I,Cuyo,.35,.030856607
2018,I,Patagonia,.35,.0061143641
2018,II,Total,.35,.04866787
2018,II,Partidos,.35,.071856275
2018,II,CABA,.35,.0034985892
2018,II,Pampeana,.35,.040985223
2018,II,NEA,.35,.038104277
2018,II,NOA,.35,.044214521
2018,II,Cuyo,.35,.022670776
2018,II,Patagonia,.35,.010688469
2019,I,Total,.35,.046888679
2019,I,Partidos,.35,.06949456
2019,I,CABA,.35,.0076020057
2019,I,Pampeana,.35,.038435653
2019,I,NEA,.35,.029356129
2019,I,NOA,.35,.041292056
2019,I,Cuyo,.35,.029082527
2019,I,Patagonia,.35,.0083636129
2019,II,Total,.35,.052853055
2019,II,Partidos,.35,.076983012
2019,II,CABA,.35,.0093720108
2019,II,Pampeana,.35,.040211525
2019,II,NEA,.35,.029064696
2019,II,NOA,.35,.059770677
2019,II,Cuyo,.35,.030321008
2019,II,Patagonia,.35,.010338038
2020,I,Total,.35,.051666718
2020,I,Partidos,.35,.081156425
2020,I,CABA,.35,.0039283293
2020,I,Pampeana,.35,.039892033
2020,I,NEA,.35,.025485909
2020,I,NOA,.35,.044792134
2020,I,Cuyo,.35,.021937462
2020,I,Patagonia,.35,.013737527
2020,II,Total,.35,.052513905
2020,II,Partidos,.35,.08565364
2020,II,CABA,.35,.0045951749
2020,II,Pampeana,.35,.031756047
2020,II,NEA,.35,.031253751
2020,II,NOA,.35,.046635251
2020,II,Cuyo,.35,.025077332
2020,II,Patagonia,.35,.0074529438
2021,I,Total,.35,.029267473
2021,I,Partidos,.35,.035298254
2021,I,CABA,.35,0
2021,I,Pampeana,.35,.03223234
2021,I,NEA,.35,.023953345
2021,I,NOA,.35,.044837482
2021,I,Cuyo,.35,.019478973
2021,I,Patagonia,.35,.0051745549
2021,II,Total,.35,.036060125
2021,II,Partidos,.35,.052174602
2021,II,CABA,.35,.00019896144
2021,II,Pampeana,.35,.029627563
2021,II,NEA,.35,.024939246
2021,II,NOA,.35,.03981242
2021,II,Cuyo,.35,.020152574
2021,II,Patagonia,.35,.0048687202
2022,I,Total,.35,.031570036
2022,I,Partidos,.35,.043402001
2022,I,CABA,.35,.0013762276
2022,I,Pampeana,.35,.030054124
2022,I,NEA,.35,.02514663
2022,I,NOA,.35,.033460502
2022,I,Cuyo,.35,.019952439
2022,I,Patagonia,.35,.0052203503
2022,II,Total,.35,.037009593
2022,II,Partidos,.35,.055799734
2022,II,CABA,.35,.00012784715
2022,II,Pampeana,.35,.026939759
2022,II,NEA,.35,.02420247
2022,II,NOA,.35,.037721898
2022,II,Cuyo,.35,.024755582
2022,II,Patagonia,.35,.0036010444
2023,I,Total,.35,.030895775
2023,I,Partidos,.35,.040471241
2023,I,CABA,.35,.0068103382
2023,I,Pampeana,.35,.031522699
2023,I,NEA,.35,.02722773
2023,I,NOA,.35,.029617924
2023,I,Cuyo,.35,.020512134
2023,I,Patagonia,.35,.0041196998
