"year","semester","region","poverty_line","poverty_rate"
"2017","I","Cuyo","Pobreza","29.14627"
"2017","I","Patagonia","Pobreza","21.23338"
"2017","II","Total","Pobreza","25.61108"
"2017","II","Partidos del GBA","Pobreza","29.40150"
"2017","II","CABA","Pobreza","9.00005"
"2017","II","Pampeana","Pobreza","25.43762"
"2017","II","NEA","Pobreza","33.04782"
"2017","II","NOA","Pobreza","25.63985"
"2017","II","Cuyo","Pobreza","26.17654"
"2017","II","Patagonia","Pobreza","18.90691"
"2018","I","Total","Pobreza","27.30210"
"2018","I","Partidos del GBA","Pobreza","31.78975"
"2018","I","CABA","Pobreza","11.02297"
"2018","I","Pampeana","Pobreza","26.57034"
"2018","I","NEA","Pobreza","30.03051"
"2018","I","NOA","Pobreza","28.84446"
"2018","I","Cuyo","Pobreza","25.76253"
"2018","I","Patagonia","Pobreza","20.33693"
"2018","II","Total","Pobreza","31.81441"
"2018","II","Partidos del GBA","Pobreza","35.49105"
"2018","II","CABA","Pobreza","12.14709"
"2018","II","Pampeana","Pobreza","32.07822"
"2018","II","NEA","Pobreza","39.75973"
"2018","II","NOA","Pobreza","34.74583"
"2018","II","Cuyo","Pobreza","31.65469"
"2018","II","Patagonia","Pobreza","25.27230"
"2019","I","Total","Pobreza","35.32981"
"2019","I","Partidos del GBA","Pobreza","39.70617"
"2019","I","CABA","Pobreza","13.77035"
"2019","I","Pampeana","Pobreza","34.59323"
