"year","semester","age_group","poverty_line","poverty_rate"
"2017","II","0_14_years","Indigencia","7.63132"
"2017","II","15_29_years","Indigencia","6.17645"
"2017","II","30_64_years","Indigencia","3.62487"
"2017","II","65_and_more_years","Indigencia","0.92615"
"2018","I","Total","Indigencia","4.88203"
"2018","I","0_14_years","Indigencia","8.07761"
"2018","I","15_29_years","Indigencia","5.78727"
"2018","I","30_64_years","Indigencia","3.95098"
"2018","I","65_and_more_years","Indigencia","0.83985"
"2018","II","Total","Indigencia","6.67857"
"2018","II","0_14_years","Indigencia","10.87468"
"2018","II","15_29_years","Indigencia","8.31312"
"2018","II","30_64_years","Indigencia","5.39952"
"2018","II","65_and_more_years","Indigencia","0.70560"
"2019","I","Total","Indigencia","7.60912"
"2019","I","0_14_years","Indigencia","12.90695"
"2019","I","15_29_years","Indigencia","9.42045"
"2019","I","30_64_years","Indigencia","5.84415"
"2019","I","65_and_more_years","Indigencia","1.12540"
"2019","II","Total","Indigencia","8.14325"
"2019","II","0_14_years","Indigencia","13.92461"
"2019","II","15_29_years","Indigencia","9.67329"
"2019","II","30_64_years","Indigencia","6.56281"
"2019","II","65_and_more_years","Indigencia","0.95550"
"2020","I","Total","Indigencia","10.50723"
"2020","I","0_14_years","Indigencia","15.71481"
"2020","I","15_29_years","Indigencia","12.79675"
"2020","I","30_64_years","Indigencia","9.07973"
"2020","I","65_and_more_years","Indigencia","1.33444"
"2020","II","Total","Indigencia","10.59834"
"2020","II","0_14_years","Indigencia","15.85751"
"2020","II","15_29_years","Indigencia","12.51232"
"2020","II","30_64_years","Indigencia","9.10042"
"2020","II","65_and_more_years","Indigencia","0.99140"
"2021","I","Total","Indigencia","10.73689"
"2021","I","0_14_years","Indigencia","16.68831"
"2021","I","15_29_years","Indigencia","12.71341"
"2021","I","30_64_years","Indigencia","8.75667"
"2021","I","65_and_more_years","Indigencia","2.17079"
"2021","II","Total","Indigencia","8.44981"
"2021","II","0_14_years","Indigencia","12.85177"
"2021","II","15_29_years","Indigencia","10.86740"
"2021","II","30_64_years","Indigencia","6.87098"
"2021","II","65_and_more_years","Indigencia","0.81224"
"2022","I","Total","Indigencia","8.51118"
"2022","I","0_14_years","Indigencia","12.60350"
"2022","I","15_29_years","Indigencia","10.68359"
"2022","I","30_64_years","Indigencia","6.95889"
"2022","I","65_and_more_years","Indigencia","1.97690"
"2022","II","Total","Indigencia","7.91812"
"2022","II","0_14_years","Indigencia","11.78096"
"2022","II","15_29_years","Indigencia","9.34524"
"2022","II","30_64_years","Indigencia","6.85115"
"2022","II","65_and_more_years","Indigencia","1.64929"
"2023","I","Total","Indigencia","9.37775"
"2023","I","0_14_years","Indigencia","13.64231"
"2023","I","15_29_years","Indigencia","12.38920"
"2023","I","30_64_years","Indigencia","7.78191"
"2023","I","65_and_more_years","Indigencia","1.29080"
"2023","II","Total","Indigencia","12.29243"
"2023","II","0_14_years","Indigencia","19.98596"
"2023","II","15_29_years","Indigencia","13.81735"
"2023","II","30_64_years","Indigencia","10.18608"
"2023","II","65_and_more_years","Indigencia","2.46123"
"2024","I","Total","Indigencia","17.96750"
"2024","I","0_14_years","Indigencia","26.56956"
"2024","I","15_29_years","Indigencia","21.28216"
"2024","I","30_64_years","Indigencia","15.70083"
"2024","I","65_and_more_years","Indigencia","3.92274"
"2024","II","Total","Indigencia","8.26137"
"2024","II","0_14_years","Indigencia","11.51877"
"2024","II","15_29_years","Indigencia","10.51303"
"2024","II","30_64_years","Indigencia","7.18114"
"2024","II","65_and_more_years","Indigencia","1.97198"
"2025","I","Total","Indigencia","6.91832"
"2025","I","0_14_years","Indigencia","10.09185"
"2025","I","15_29_years","Indigencia","8.13868"
"2025","I","30_64_years","Indigencia","6.16375"
"2025","I","65_and_more_years","Indigencia","1.60461"
"2003","II","Total","Pobreza","59.91735"
"2003","II","0_14_years","Pobreza","74.41318"
"2003","II","15_29_years","Pobreza","62.84711"
"2003","II","30_64_years","Pobreza","53.82489"
"2003","II","65_and_more_years","Pobreza","38.96484"
"2004","I","Total","Pobreza","57.53551"
"2004","I","0_14_years","Pobreza","71.54900"
"2004","I","15_29_years","Pobreza","60.27589"
"2004","I","30_64_years","Pobreza","50.97836"
"2004","I","65_and_more_years","Pobreza","40.79428"
"2004","II","Total","Pobreza","52.85196"
"2004","II","0_14_years","Pobreza","68.67114"
"2004","II","15_29_years","Pobreza","55.28048"
"2004","II","30_64_years","Pobreza","46.82471"
"2004","II","65_and_more_years","Pobreza","30.47349"
"2005","I","Total","Pobreza","51.08396"
"2005","I","0_14_years","Pobreza","67.13551"
"2005","I","15_29_years","Pobreza","54.96223"
"2005","I","30_64_years","Pobreza","44.22867"
"2005","I","65_and_more_years","Pobreza","28.28817"
"2005","II","Total","Pobreza","46.76885"
"2005","II","0_14_years","Pobreza","62.78226"
"2005","II","15_29_years","Pobreza","49.10692"
"2005","II","30_64_years","Pobreza","40.37505"
"2005","II","65_and_more_years","Pobreza","26.14769"
"2006","I","Total","Pobreza","43.81374"
"2006","I","0_14_years","Pobreza","60.29208"
"2006","I","15_29_years","Pobreza","45.88268"
"2006","I","30_64_years","Pobreza","36.85662"
"2006","I","65_and_more_years","Pobreza","25.54151"
"2006","II","Total","Pobreza","39.54996"
"2006","II","0_14_years","Pobreza","55.43180"
"2006","II","15_29_years","Pobreza","41.34083"
"2006","II","30_64_years","Pobreza","33.19556"
"2006","II","65_and_more_years","Pobreza","21.09335"
"2007","I","Total","Pobreza","37.08015"
"2007","I","0_14_years","Pobreza","53.26743"
"2007","I","15_29_years","Pobreza","39.69917"
"2007","I","30_64_years","Pobreza","31.02280"
"2007","I","65_and_more_years","Pobreza","15.62008"
"2007","II","Total","Pobreza","37.56681"
"2007","II","0_14_years","Pobreza","54.19231"
"2007","II","15_29_years","Pobreza","39.45062"
"2007","II","30_64_years","Pobreza","31.76510"
"2007","II","65_and_more_years","Pobreza","15.78105"
"2008","I","Total","Pobreza","35.95625"
"2008","I","0_14_years","Pobreza","52.27217"
"2008","I","15_29_years","Pobreza","38.19557"
"2008","I","30_64_years","Pobreza","30.11698"
"2008","I","65_and_more_years","Pobreza","14.60803"
"2008","II","Total","Pobreza","35.78562"
"2008","II","0_14_years","Pobreza","52.20858"
"2008","II","15_29_years","Pobreza","38.48792"
"2008","II","30_64_years","Pobreza","29.83873"
"2008","II","65_and_more_years","Pobreza","13.45274"
"2009","I","Total","Pobreza","34.94580"
"2009","I","0_14_years","Pobreza","50.67164"
"2009","I","15_29_years","Pobreza","37.78969"
"2009","I","30_64_years","Pobreza","29.36513"
"2009","I","65_and_more_years","Pobreza","13.76400"
"2009","II","Total","Pobreza","32.87834"
"2009","II","0_14_years","Pobreza","48.05647"
"2009","II","15_29_years","Pobreza","36.27688"
"2009","II","30_64_years","Pobreza","27.47157"
"2009","II","65_and_more_years","Pobreza","11.16853"
"2010","I","Total","Pobreza","32.80850"
"2010","I","0_14_years","Pobreza","48.03674"
"2010","I","15_29_years","Pobreza","35.45388"
"2010","I","30_64_years","Pobreza","27.64132"
"2010","I","65_and_more_years","Pobreza","12.49121"
"2010","II","Total","Pobreza","31.94273"
"2010","II","0_14_years","Pobreza","46.88100"
"2010","II","15_29_years","Pobreza","35.50602"
"2010","II","30_64_years","Pobreza","26.36444"
"2010","II","65_and_more_years","Pobreza","11.69728"
"2011","I","Total","Pobreza","29.25113"
"2011","I","0_14_years","Pobreza","43.59157"
"2011","I","15_29_years","Pobreza","32.13130"
"2011","I","30_64_years","Pobreza","24.27467"
"2011","I","65_and_more_years","Pobreza","9.63819"
"2011","II","Total","Pobreza","28.00668"
"2011","II","0_14_years","Pobreza","41.23787"
"2011","II","15_29_years","Pobreza","31.77204"
"2011","II","30_64_years","Pobreza","23.03256"
"2011","II","65_and_more_years","Pobreza","8.80434"
"2012","I","Total","Pobreza","27.86271"
"2012","I","0_14_years","Pobreza","42.52372"
"2012","I","15_29_years","Pobreza","31.23432"
"2012","I","30_64_years","Pobreza","22.81588"
"2012","I","65_and_more_years","Pobreza","7.27884"
"2012","II","Total","Pobreza","27.46770"
"2012","II","0_14_years","Pobreza","41.26381"
"2012","II","15_29_years","Pobreza","30.56269"
"2012","II","30_64_years","Pobreza","22.94360"
"2012","II","65_and_more_years","Pobreza","7.51314"
"2013","I","Total","Pobreza","27.59178"
"2013","I","0_14_years","Pobreza","41.64388"
"2013","I","15_29_years","Pobreza","31.62297"
"2013","I","30_64_years","Pobreza","22.64102"
"2013","I","65_and_more_years","Pobreza","7.36105"
"2013","II","Total","Pobreza","27.00197"
"2013","II","0_14_years","Pobreza","40.89265"
"2013","II","15_29_years","Pobreza","30.67141"
"2013","II","30_64_years","Pobreza","22.34748"
"2013","II","65_and_more_years","Pobreza","6.81766"
"2014","I","Total","Pobreza","30.73007"
"2014","I","0_14_years","Pobreza","45.71842"
"2014","I","15_29_years","Pobreza","34.93846"
"2014","I","30_64_years","Pobreza","26.03774"
"2014","I","65_and_more_years","Pobreza","8.17402"
"2014","II","Total","Pobreza","32.25074"
"2014","II","0_14_years","Pobreza","47.67147"
"2014","II","15_29_years","Pobreza","37.23748"
"2014","II","30_64_years","Pobreza","27.21733"
"2014","II","65_and_more_years","Pobreza","9.25161"
"2015","I","Total","Pobreza","29.95272"
"2015","I","0_14_years","Pobreza","44.75681"
"2015","I","15_29_years","Pobreza","34.71830"
"2015","I","30_64_years","Pobreza","25.45122"
"2015","I","65_and_more_years","Pobreza","7.86982"
"2015","II","Total","Pobreza",""
"2015","II","0_14_years","Pobreza",""
"2015","II","15_29_years","Pobreza",""
"2015","II","30_64_years","Pobreza",""
"2015","II","65_and_more_years","Pobreza",""
"2016","I","Total","Pobreza",""
"2016","I","0_14_years","Pobreza",""
"2016","I","15_29_years","Pobreza",""
"2016","I","30_64_years","Pobreza",""
"2016","I","65_and_more_years","Pobreza",""
"2016","II","Total","Pobreza","30.34284"
"2016","II","0_14_years","Pobreza","45.72876"
"2016","II","15_29_years","Pobreza","36.27436"
"2016","II","30_64_years","Pobreza","25.83153"
"2016","II","65_and_more_years","Pobreza","7.40620"
"2017","I","Total","Pobreza","28.52414"
"2017","I","0_14_years","Pobreza","42.73184"
"2017","I","15_29_years","Pobreza","34.31977"
"2017","I","30_64_years","Pobreza","24.14842"
"2017","I","65_and_more_years","Pobreza","6.42445"
"2017","II","Total","Pobreza","25.61285"
"2017","II","0_14_years","Pobreza","39.60617"
"2017","II","15_29_years","Pobreza","31.27883"
"2017","II","30_64_years","Pobreza","21.04335"
"2017","II","65_and_more_years","Pobreza","6.20616"
"2018","I","Total","Pobreza","27.30531"
"2018","I","0_14_years","Pobreza","41.49692"
"2018","I","15_29_years","Pobreza","32.69166"
"2018","I","30_64_years","Pobreza","23.26696"
"2018","I","65_and_more_years","Pobreza","6.60948"
"2018","II","Total","Pobreza","31.81325"
"2018","II","0_14_years","Pobreza","46.73552"
"2018","II","15_29_years","Pobreza","38.30377"
"2018","II","30_64_years","Pobreza","27.43817"
"2018","II","65_and_more_years","Pobreza","8.80994"
"2019","I","Total","Pobreza","35.33179"
"2019","I","0_14_years","Pobreza","52.54888"
"2019","I","15_29_years","Pobreza","42.15710"
"2019","I","30_64_years","Pobreza","30.35088"
"2019","I","65_and_more_years","Pobreza","10.18301"
"2019","II","Total","Pobreza","35.71707"
"2019","II","0_14_years","Pobreza","52.72335"
"2019","II","15_29_years","Pobreza","42.92789"
"2019","II","30_64_years","Pobreza","30.62369"
"2019","II","65_and_more_years","Pobreza","11.19490"
"2020","I","Total","Pobreza","40.81469"
"2020","I","0_14_years","Pobreza","56.27646"
"2020","I","15_29_years","Pobreza","49.55434"
"2020","I","30_64_years","Pobreza","36.13304"
"2020","I","65_and_more_years","Pobreza","11.30968"
"2020","II","Total","Pobreza","42.07900"
"2020","II","0_14_years","Pobreza","58.07342"
"2020","II","15_29_years","Pobreza","48.89240"
"2020","II","30_64_years","Pobreza","37.26875"
"2020","II","65_and_more_years","Pobreza","11.67863"
"2021","I","Total","Pobreza","40.45977"
"2021","I","0_14_years","Pobreza","53.91557"
"2021","I","15_29_years","Pobreza","48.39401"
"2021","I","30_64_years","Pobreza","36.04286"
"2021","I","65_and_more_years","Pobreza","14.12874"
"2021","II","Total","Pobreza","37.27213"
"2021","II","0_14_years","Pobreza","51.57010"
"2021","II","15_29_years","Pobreza","44.02168"
"2021","II","30_64_years","Pobreza","32.50199"
"2021","II","65_and_more_years","Pobreza","13.33192"
"2022","I","Total","Pobreza","36.29463"
"2022","I","0_14_years","Pobreza","50.45459"
"2022","I","15_29_years","Pobreza","42.88330"
"2022","I","30_64_years","Pobreza","31.86591"
"2022","I","65_and_more_years","Pobreza","12.16553"
"2022","II","Total","Pobreza","39.36032"
"2022","II","0_14_years","Pobreza","54.03178"
"2022","II","15_29_years","Pobreza","45.21701"
"2022","II","30_64_years","Pobreza","35.28154"
"2022","II","65_and_more_years","Pobreza","14.82267"
"2023","I","Total","Pobreza","40.00256"
"2023","I","0_14_years","Pobreza","55.89263"
"2023","I","15_29_years","Pobreza","47.07175"
"2023","I","30_64_years","Pobreza","35.39510"
"2023","I","65_and_more_years","Pobreza","12.98955"
"2023","II","Total","Pobreza","41.90955"
"2023","II","0_14_years","Pobreza","58.65127"
"2023","II","15_29_years","Pobreza","47.51718"
"2023","II","30_64_years","Pobreza","37.17449"
"2023","II","65_and_more_years","Pobreza","16.81818"
"2024","I","Total","Pobreza","52.88592"
"2024","I","0_14_years","Pobreza","66.28521"
"2024","I","15_29_years","Pobreza","60.93075"
"2024","I","30_64_years","Pobreza","48.41864"
"2024","I","65_and_more_years","Pobreza","29.01868"
"2024","II","Total","Pobreza","38.08550"
"2024","II","0_14_years","Pobreza","51.91331"
"2024","II","15_29_years","Pobreza","44.85924"
"2024","II","30_64_years","Pobreza","33.63939"
"2024","II","65_and_more_years","Pobreza","15.91448"
"2025","I","Total","Pobreza","31.59775"
"2025","I","0_14_years","Pobreza","45.25369"
"2025","I","15_29_years","Pobreza","37.07502"
"2025","I","30_64_years","Pobreza","27.64580"
"2025","I","65_and_more_years","Pobreza","10.73531"
