"year","semester","hh_gender","poverty_line","poverty_rate"
"2018","I","Jefe_Varon","Indigencia","4.17893"
"2018","I","Jefa_Mujer","Indigencia","6.05756"
"2018","II","Total","Indigencia","6.68430"
"2018","II","Jefe_Varon","Indigencia","6.04992"
"2018","II","Jefa_Mujer","Indigencia","7.78759"
"2019","I","Total","Indigencia","7.61163"
"2019","I","Jefe_Varon","Indigencia","6.71853"
"2019","I","Jefa_Mujer","Indigencia","9.04074"
"2019","II","Total","Indigencia","8.14301"
"2019","II","Jefe_Varon","Indigencia","6.83311"
"2019","II","Jefa_Mujer","Indigencia","10.28182"
"2020","I","Total","Indigencia","10.50657"
"2020","I","Jefe_Varon","Indigencia","8.93124"
"2020","I","Jefa_Mujer","Indigencia","12.74641"
"2020","II","Total","Indigencia","10.59822"
"2020","II","Jefe_Varon","Indigencia","9.69429"
"2020","II","Jefa_Mujer","Indigencia","11.92887"
"2021","I","Total","Indigencia","10.73226"
"2021","I","Jefe_Varon","Indigencia","8.47229"
"2021","I","Jefa_Mujer","Indigencia","14.01500"
"2021","II","Total","Indigencia","8.44800"
"2021","II","Jefe_Varon","Indigencia","7.11933"
"2021","II","Jefa_Mujer","Indigencia","10.35754"
"2022","I","Total","Indigencia","8.50917"
"2022","I","Jefe_Varon","Indigencia","6.57811"
"2022","I","Jefa_Mujer","Indigencia","11.10172"
"2022","II","Total","Indigencia","7.91712"
"2022","II","Jefe_Varon","Indigencia","6.24730"
"2022","II","Jefa_Mujer","Indigencia","10.17461"
"2023","I","Total","Indigencia","9.37642"
"2023","I","Jefe_Varon","Indigencia","7.79352"
"2023","I","Jefa_Mujer","Indigencia","11.44341"
"2023","II","Total","Indigencia","12.28849"
"2023","II","Jefe_Varon","Indigencia","9.73768"
"2023","II","Jefa_Mujer","Indigencia","15.52115"
"2024","I","Total","Indigencia","17.96413"
"2024","I","Jefe_Varon","Indigencia","15.53980"
"2024","I","Jefa_Mujer","Indigencia","21.00631"
"2024","II","Total","Indigencia","8.25785"
"2024","II","Jefe_Varon","Indigencia","6.23278"
"2024","II","Jefa_Mujer","Indigencia","10.91364"
"2025","I","Total","Indigencia","6.91660"
"2025","I","Jefe_Varon","Indigencia","5.38664"
"2025","I","Jefa_Mujer","Indigencia","8.82282"
"2003","II","Total","Pobreza","59.93182"
"2003","II","Jefe_Varon","Pobreza","59.60357"
"2003","II","Jefa_Mujer","Pobreza","60.95977"
"2004","I","Total","Pobreza","57.53551"
"2004","I","Jefe_Varon","Pobreza","56.99981"
"2004","I","Jefa_Mujer","Pobreza","59.27070"
"2004","II","Total","Pobreza","52.85196"
"2004","II","Jefe_Varon","Pobreza","52.44348"
"2004","II","Jefa_Mujer","Pobreza","54.09255"
"2005","I","Total","Pobreza","51.08396"
"2005","I","Jefe_Varon","Pobreza","50.73454"
"2005","I","Jefa_Mujer","Pobreza","52.15910"
"2005","II","Total","Pobreza","46.76885"
"2005","II","Jefe_Varon","Pobreza","46.79337"
"2005","II","Jefa_Mujer","Pobreza","46.69800"
"2006","I","Total","Pobreza","43.81374"
"2006","I","Jefe_Varon","Pobreza","42.87769"
"2006","I","Jefa_Mujer","Pobreza","46.54983"
"2006","II","Total","Pobreza","39.54996"
"2006","II","Jefe_Varon","Pobreza","39.23029"
"2006","II","Jefa_Mujer","Pobreza","40.47105"
"2007","I","Total","Pobreza","37.08015"
"2007","I","Jefe_Varon","Pobreza","36.06146"
"2007","I","Jefa_Mujer","Pobreza","39.85973"
"2007","II","Total","Pobreza","37.56681"
"2007","II","Jefe_Varon","Pobreza","36.56479"
"2007","II","Jefa_Mujer","Pobreza","40.27604"
"2008","I","Total","Pobreza","35.95625"
"2008","I","Jefe_Varon","Pobreza","35.33624"
"2008","I","Jefa_Mujer","Pobreza","37.61109"
"2008","II","Total","Pobreza","35.78562"
"2008","II","Jefe_Varon","Pobreza","34.31376"
"2008","II","Jefa_Mujer","Pobreza","39.60244"
"2009","I","Total","Pobreza","34.94548"
"2009","I","Jefe_Varon","Pobreza","34.01832"
"2009","I","Jefa_Mujer","Pobreza","37.22434"
"2009","II","Total","Pobreza","32.87834"
"2009","II","Jefe_Varon","Pobreza","31.89558"
"2009","II","Jefa_Mujer","Pobreza","35.24965"
"2010","I","Total","Pobreza","32.80850"
"2010","I","Jefe_Varon","Pobreza","31.62893"
"2010","I","Jefa_Mujer","Pobreza","35.58834"
"2010","II","Total","Pobreza","31.94273"
"2010","II","Jefe_Varon","Pobreza","31.24991"
"2010","II","Jefa_Mujer","Pobreza","33.59272"
"2011","I","Total","Pobreza","29.25113"
"2011","I","Jefe_Varon","Pobreza","28.40778"
"2011","I","Jefa_Mujer","Pobreza","31.29301"
"2011","II","Total","Pobreza","28.00668"
"2011","II","Jefe_Varon","Pobreza","27.39327"
"2011","II","Jefa_Mujer","Pobreza","29.42916"
"2012","I","Total","Pobreza","27.86271"
"2012","I","Jefe_Varon","Pobreza","27.36721"
"2012","I","Jefa_Mujer","Pobreza","28.97922"
"2012","II","Total","Pobreza","27.46770"
"2012","II","Jefe_Varon","Pobreza","25.90271"
"2012","II","Jefa_Mujer","Pobreza","30.86814"
"2013","I","Total","Pobreza","27.59178"
"2013","I","Jefe_Varon","Pobreza","27.08665"
"2013","I","Jefa_Mujer","Pobreza","28.68459"
"2013","II","Total","Pobreza","27.00197"
"2013","II","Jefe_Varon","Pobreza","26.07136"
"2013","II","Jefa_Mujer","Pobreza","29.02422"
"2014","I","Total","Pobreza","30.73007"
"2014","I","Jefe_Varon","Pobreza","29.31570"
"2014","I","Jefa_Mujer","Pobreza","33.69367"
"2014","II","Total","Pobreza","32.25074"
"2014","II","Jefe_Varon","Pobreza","31.12386"
"2014","II","Jefa_Mujer","Pobreza","34.55455"
"2015","I","Total","Pobreza","29.95272"
"2015","I","Jefe_Varon","Pobreza","28.57472"
"2015","I","Jefa_Mujer","Pobreza","32.71030"
"2015","II","Total","Pobreza",""
"2015","II","Jefe_Varon","Pobreza",""
"2015","II","Jefa_Mujer","Pobreza",""
"2016","I","Total","Pobreza",""
"2016","I","Jefe_Varon","Pobreza",""
"2016","I","Jefa_Mujer","Pobreza",""
"2016","II","Total","Pobreza","30.34284"
"2016","II","Jefe_Varon","Pobreza","28.71226"
"2016","II","Jefa_Mujer","Pobreza","33.31847"
"2017","I","Total","Pobreza","28.51996"
"2017","I","Jefe_Varon","Pobreza","26.72716"
"2017","I","Jefa_Mujer","Pobreza","31.69122"
"2017","II","Total","Pobreza","25.61108"
"2017","II","Jefe_Varon","Pobreza","23.35685"
"2017","II","Jefa_Mujer","Pobreza","29.50538"
"2018","I","Total","Pobreza","27.30210"
"2018","I","Jefe_Varon","Pobreza","25.84150"
"2018","I","Jefa_Mujer","Pobreza","29.74734"
"2018","II","Total","Pobreza","31.81441"
"2018","II","Jefe_Varon","Pobreza","30.05285"
"2018","II","Jefa_Mujer","Pobreza","34.87804"
"2019","I","Total","Pobreza","35.32981"
"2019","I","Jefe_Varon","Pobreza","33.19957"
"2019","I","Jefa_Mujer","Pobreza","38.73856"
"2019","II","Total","Pobreza","35.71602"
"2019","II","Jefe_Varon","Pobreza","33.80936"
"2019","II","Jefa_Mujer","Pobreza","38.82920"
"2020","I","Total","Pobreza","40.81258"
"2020","I","Jefe_Varon","Pobreza","37.67490"
"2020","I","Jefa_Mujer","Pobreza","45.27380"
"2020","II","Total","Pobreza","42.07891"
"2020","II","Jefe_Varon","Pobreza","40.78351"
"2020","II","Jefa_Mujer","Pobreza","43.98580"
"2021","I","Total","Pobreza","40.44234"
"2021","I","Jefe_Varon","Pobreza","37.73136"
"2021","I","Jefa_Mujer","Pobreza","44.38019"
"2021","II","Total","Pobreza","37.26434"
"2021","II","Jefe_Varon","Pobreza","33.94989"
"2021","II","Jefa_Mujer","Pobreza","42.02780"
"2022","I","Total","Pobreza","36.28605"
"2022","I","Jefe_Varon","Pobreza","33.81428"
"2022","I","Jefa_Mujer","Pobreza","39.60452"
"2022","II","Total","Pobreza","39.35537"
"2022","II","Jefe_Varon","Pobreza","36.77639"
"2022","II","Jefa_Mujer","Pobreza","42.84196"
"2023","I","Total","Pobreza","39.99802"
"2023","I","Jefe_Varon","Pobreza","36.16656"
"2023","I","Jefa_Mujer","Pobreza","45.00124"
"2023","II","Total","Pobreza","41.90698"
"2023","II","Jefe_Varon","Pobreza","38.42543"
"2023","II","Jefa_Mujer","Pobreza","46.31917"
"2024","I","Total","Pobreza","52.87982"
"2024","I","Jefe_Varon","Pobreza","49.60225"
"2024","I","Jefa_Mujer","Pobreza","56.99270"
"2024","II","Total","Pobreza","38.09778"
"2024","II","Jefe_Varon","Pobreza","34.18439"
"2024","II","Jefa_Mujer","Pobreza","43.23002"
"2025","I","Total","Pobreza","31.59800"
"2025","I","Jefe_Varon","Pobreza","28.04748"
"2025","I","Jefa_Mujer","Pobreza","36.02167"
