"year","semester","educ_level","poverty_line","poverty_rate"
"2004","II","Secu_completa","Pobreza","40.86795"
"2004","II","Supe_incompleta","Pobreza","25.65836"
"2004","II","Supe_completa","Pobreza","12.81122"
"2005","I","Todos","Pobreza","45.42697"
"2005","I","Primaria_o_menos","Pobreza","69.06434"
"2005","I","Secu_incompleta","Pobreza","56.21286"
"2005","I","Secu_completa","Pobreza","38.48724"
"2005","I","Supe_incompleta","Pobreza","25.47919"
"2005","I","Supe_completa","Pobreza","12.24400"
"2005","II","Todos","Pobreza","41.05904"
"2005","II","Primaria_o_menos","Pobreza","66.44657"
"2005","II","Secu_incompleta","Pobreza","53.44673"
"2005","II","Secu_completa","Pobreza","32.98512"
"2005","II","Supe_incompleta","Pobreza","19.81291"
"2005","II","Supe_completa","Pobreza","9.57628"
"2006","I","Todos","Pobreza","37.47377"
"2006","I","Primaria_o_menos","Pobreza","60.08310"
"2006","I","Secu_incompleta","Pobreza","48.52958"
"2006","I","Secu_completa","Pobreza","30.93194"
"2006","I","Supe_incompleta","Pobreza","19.51693"
"2006","I","Supe_completa","Pobreza","8.49409"
"2006","II","Todos","Pobreza","33.41185"
"2006","II","Primaria_o_menos","Pobreza","57.80340"
"2006","II","Secu_incompleta","Pobreza","43.06722"
"2006","II","Secu_completa","Pobreza","26.39340"
"2006","II","Supe_incompleta","Pobreza","14.47286"
"2006","II","Supe_completa","Pobreza","6.66772"
"2007","I","Todos","Pobreza","31.73207"
"2007","I","Primaria_o_menos","Pobreza","53.34300"
"2007","I","Secu_incompleta","Pobreza","42.03519"
"2007","I","Secu_completa","Pobreza","25.85855"
"2007","I","Supe_incompleta","Pobreza","15.78219"
"2007","I","Supe_completa","Pobreza","7.38434"
"2007","II","Todos","Pobreza","32.13114"
"2007","II","Primaria_o_menos","Pobreza","55.17379"
"2007","II","Secu_incompleta","Pobreza","42.63314"
"2007","II","Secu_completa","Pobreza","25.44949"
"2007","II","Supe_incompleta","Pobreza","16.19655"
"2007","II","Supe_completa","Pobreza","7.03769"
"2008","I","Todos","Pobreza","30.69521"
"2008","I","Primaria_o_menos","Pobreza","51.64669"
"2008","I","Secu_incompleta","Pobreza","40.08428"
"2008","I","Secu_completa","Pobreza","25.94208"
"2008","I","Supe_incompleta","Pobreza","16.07335"
"2008","I","Supe_completa","Pobreza","6.56227"
"2008","II","Todos","Pobreza","30.48870"
"2008","II","Primaria_o_menos","Pobreza","52.49255"
"2008","II","Secu_incompleta","Pobreza","41.34461"
"2008","II","Secu_completa","Pobreza","24.62559"
"2008","II","Supe_incompleta","Pobreza","15.31481"
"2008","II","Supe_completa","Pobreza","6.28133"
"2009","I","Todos","Pobreza","30.14073"
"2009","I","Primaria_o_menos","Pobreza","52.15395"
"2009","I","Secu_incompleta","Pobreza","39.58256"
"2009","I","Secu_completa","Pobreza","25.29041"
"2009","I","Supe_incompleta","Pobreza","14.79722"
"2009","I","Supe_completa","Pobreza","6.55162"
"2009","II","Todos","Pobreza","28.27786"
"2009","II","Primaria_o_menos","Pobreza","49.54352"
"2009","II","Secu_incompleta","Pobreza","39.78965"
"2009","II","Secu_completa","Pobreza","22.31469"
"2009","II","Supe_incompleta","Pobreza","13.85288"
"2009","II","Supe_completa","Pobreza","5.98794"
"2010","I","Todos","Pobreza","28.15548"
"2010","I","Primaria_o_menos","Pobreza","49.34733"
"2010","I","Secu_incompleta","Pobreza","38.08496"
"2010","I","Secu_completa","Pobreza","24.53023"
"2010","I","Supe_incompleta","Pobreza","14.42279"
"2010","I","Supe_completa","Pobreza","5.98729"
"2010","II","Todos","Pobreza","26.90972"
"2010","II","Primaria_o_menos","Pobreza","47.48403"
"2010","II","Secu_incompleta","Pobreza","37.93431"
"2010","II","Secu_completa","Pobreza","22.18611"
"2010","II","Supe_incompleta","Pobreza","14.77382"
"2010","II","Supe_completa","Pobreza","5.80325"
"2011","I","Todos","Pobreza","24.85621"
"2011","I","Primaria_o_menos","Pobreza","44.36009"
"2011","I","Secu_incompleta","Pobreza","33.57446"
"2011","I","Secu_completa","Pobreza","21.84867"
"2011","I","Supe_incompleta","Pobreza","12.66420"
"2011","I","Supe_completa","Pobreza","4.93884"
"2011","II","Todos","Pobreza","23.48223"
"2011","II","Primaria_o_menos","Pobreza","41.29096"
"2011","II","Secu_incompleta","Pobreza","33.66687"
"2011","II","Secu_completa","Pobreza","20.38818"
"2011","II","Supe_incompleta","Pobreza","12.77214"
"2011","II","Supe_completa","Pobreza","4.80231"
"2012","I","Todos","Pobreza","23.48308"
"2012","I","Primaria_o_menos","Pobreza","41.71682"
"2012","I","Secu_incompleta","Pobreza","31.57140"
"2012","I","Secu_completa","Pobreza","21.14745"
"2012","I","Supe_incompleta","Pobreza","11.33592"
"2012","I","Supe_completa","Pobreza","5.84267"
"2012","II","Todos","Pobreza","23.17194"
"2012","II","Primaria_o_menos","Pobreza","41.53339"
"2012","II","Secu_incompleta","Pobreza","32.14663"
"2012","II","Secu_completa","Pobreza","20.67566"
"2012","II","Supe_incompleta","Pobreza","11.63549"
"2012","II","Supe_completa","Pobreza","5.93862"
"2013","I","Todos","Pobreza","23.31108"
"2013","I","Primaria_o_menos","Pobreza","41.60349"
"2013","I","Secu_incompleta","Pobreza","34.17527"
"2013","I","Secu_completa","Pobreza","20.43980"
"2013","I","Supe_incompleta","Pobreza","12.09982"
"2013","I","Supe_completa","Pobreza","6.54651"
"2013","II","Todos","Pobreza","22.74270"
"2013","II","Primaria_o_menos","Pobreza","39.77371"
"2013","II","Secu_incompleta","Pobreza","32.32986"
"2013","II","Secu_completa","Pobreza","20.49563"
"2013","II","Supe_incompleta","Pobreza","11.95110"
"2013","II","Supe_completa","Pobreza","5.93915"
"2014","I","Todos","Pobreza","26.82368"
"2014","I","Primaria_o_menos","Pobreza","46.11611"
"2014","I","Secu_incompleta","Pobreza","38.74601"
"2014","I","Secu_completa","Pobreza","24.38185"
"2014","I","Supe_incompleta","Pobreza","13.74662"
"2014","I","Supe_completa","Pobreza","6.56405"
"2014","II","Todos","Pobreza","28.16689"
"2014","II","Primaria_o_menos","Pobreza","47.68583"
"2014","II","Secu_incompleta","Pobreza","40.66778"
"2014","II","Secu_completa","Pobreza","25.89521"
"2014","II","Supe_incompleta","Pobreza","15.03810"
"2014","II","Supe_completa","Pobreza","7.06624"
"2015","I","Todos","Pobreza","26.41813"
"2015","I","Primaria_o_menos","Pobreza","45.83870"
"2015","I","Secu_incompleta","Pobreza","37.30682"
"2015","I","Secu_completa","Pobreza","23.91554"
"2015","I","Supe_incompleta","Pobreza","13.17651"
"2015","I","Supe_completa","Pobreza","7.00093"
"2015","II","Todos","Pobreza",""
"2015","II","Primaria_o_menos","Pobreza",""
"2015","II","Secu_incompleta","Pobreza",""
"2015","II","Secu_completa","Pobreza",""
"2015","II","Supe_incompleta","Pobreza",""
"2015","II","Supe_completa","Pobreza",""
"2016","I","Todos","Pobreza",""
"2016","I","Primaria_o_menos","Pobreza",""
"2016","I","Secu_incompleta","Pobreza",""
"2016","I","Secu_completa","Pobreza",""
"2016","I","Supe_incompleta","Pobreza",""
"2016","I","Supe_completa","Pobreza",""
"2016","II","Todos","Pobreza","27.36331"
"2016","II","Primaria_o_menos","Pobreza","48.03958"
"2016","II","Secu_incompleta","Pobreza","42.09236"
"2016","II","Secu_completa","Pobreza","23.34158"
"2016","II","Supe_incompleta","Pobreza","14.82649"
"2016","II","Supe_completa","Pobreza","6.16607"
"2017","I","Todos","Pobreza","25.52718"
"2017","I","Primaria_o_menos","Pobreza","43.86545"
"2017","I","Secu_incompleta","Pobreza","37.19352"
"2017","I","Secu_completa","Pobreza","24.24516"
"2017","I","Supe_incompleta","Pobreza","13.37425"
"2017","I","Supe_completa","Pobreza","6.29995"
"2017","II","Todos","Pobreza","22.23823"
"2017","II","Primaria_o_menos","Pobreza","40.03446"
"2017","II","Secu_incompleta","Pobreza","34.43206"
"2017","II","Secu_completa","Pobreza","20.66851"
"2017","II","Supe_incompleta","Pobreza","11.58679"
"2017","II","Supe_completa","Pobreza","4.38634"
"2018","I","Todos","Pobreza","24.44888"
"2018","I","Primaria_o_menos","Pobreza","43.99955"
"2018","I","Secu_incompleta","Pobreza","35.01081"
"2018","I","Secu_completa","Pobreza","22.52404"
"2018","I","Supe_incompleta","Pobreza","16.02646"
"2018","I","Supe_completa","Pobreza","5.97286"
"2018","II","Todos","Pobreza","28.78568"
"2018","II","Primaria_o_menos","Pobreza","50.55080"
"2018","II","Secu_incompleta","Pobreza","43.58418"
"2018","II","Secu_completa","Pobreza","27.69341"
"2018","II","Supe_incompleta","Pobreza","16.50413"
"2018","II","Supe_completa","Pobreza","7.81924"
"2019","I","Todos","Pobreza","32.24855"
"2019","I","Primaria_o_menos","Pobreza","56.19057"
"2019","I","Secu_incompleta","Pobreza","49.15982"
"2019","I","Secu_completa","Pobreza","32.56513"
"2019","I","Supe_incompleta","Pobreza","20.21851"
"2019","I","Supe_completa","Pobreza","7.47983"
"2019","II","Todos","Pobreza","32.56493"
"2019","II","Primaria_o_menos","Pobreza","56.99038"
"2019","II","Secu_incompleta","Pobreza","51.43142"
"2019","II","Secu_completa","Pobreza","33.38708"
"2019","II","Supe_incompleta","Pobreza","19.56384"
"2019","II","Supe_completa","Pobreza","7.24783"
"2020","I","Todos","Pobreza","38.51789"
"2020","I","Primaria_o_menos","Pobreza","61.92821"
"2020","I","Secu_incompleta","Pobreza","57.60112"
"2020","I","Secu_completa","Pobreza","38.48842"
"2020","I","Supe_incompleta","Pobreza","25.14851"
"2020","I","Supe_completa","Pobreza","11.30375"
"2020","II","Todos","Pobreza","39.24352"
"2020","II","Primaria_o_menos","Pobreza","63.20908"
"2020","II","Secu_incompleta","Pobreza","57.02158"
"2020","II","Secu_completa","Pobreza","41.14598"
"2020","II","Supe_incompleta","Pobreza","24.92862"
"2020","II","Supe_completa","Pobreza","12.89038"
"2021","I","Todos","Pobreza","37.42189"
"2021","I","Primaria_o_menos","Pobreza","61.94992"
"2021","I","Secu_incompleta","Pobreza","56.79869"
"2021","I","Secu_completa","Pobreza","39.42459"
"2021","I","Supe_incompleta","Pobreza","26.17261"
"2021","I","Supe_completa","Pobreza","12.31298"
"2021","II","Todos","Pobreza","34.46709"
"2021","II","Primaria_o_menos","Pobreza","60.39294"
"2021","II","Secu_incompleta","Pobreza","52.81536"
"2021","II","Secu_completa","Pobreza","36.48222"
"2021","II","Supe_incompleta","Pobreza","22.71931"
"2021","II","Supe_completa","Pobreza","10.30936"
"2022","I","Todos","Pobreza","33.23980"
"2022","I","Primaria_o_menos","Pobreza","54.56662"
"2022","I","Secu_incompleta","Pobreza","50.03132"
"2022","I","Secu_completa","Pobreza","35.86197"
"2022","I","Supe_incompleta","Pobreza","21.61595"
"2022","I","Supe_completa","Pobreza","11.19155"
"2022","II","Todos","Pobreza","36.47798"
"2022","II","Primaria_o_menos","Pobreza","60.35641"
"2022","II","Secu_incompleta","Pobreza","52.93464"
"2022","II","Secu_completa","Pobreza","37.82397"
"2022","II","Supe_incompleta","Pobreza","25.81236"
"2022","II","Supe_completa","Pobreza","12.90969"
"2023","I","Todos","Pobreza","36.45821"
"2023","I","Primaria_o_menos","Pobreza","59.91465"
"2023","I","Secu_incompleta","Pobreza","55.85373"
"2023","I","Secu_completa","Pobreza","39.20873"
"2023","I","Supe_incompleta","Pobreza","22.95236"
"2023","I","Supe_completa","Pobreza","11.57048"
"2023","II","Todos","Pobreza","38.47623"
"2023","II","Primaria_o_menos","Pobreza","64.36944"
"2023","II","Secu_incompleta","Pobreza","56.98861"
"2023","II","Secu_completa","Pobreza","41.77267"
"2023","II","Supe_incompleta","Pobreza","26.02811"
"2023","II","Supe_completa","Pobreza","12.19337"
"2024","I","Todos","Pobreza","49.66621"
"2024","I","Primaria_o_menos","Pobreza","76.99268"
"2024","I","Secu_incompleta","Pobreza","71.07655"
"2024","I","Secu_completa","Pobreza","53.73374"
"2024","I","Supe_incompleta","Pobreza","36.48631"
"2024","I","Supe_completa","Pobreza","20.52064"
"2024","II","Todos","Pobreza","34.95107"
"2024","II","Primaria_o_menos","Pobreza","65.18950"
"2024","II","Secu_incompleta","Pobreza","54.76600"
"2024","II","Secu_completa","Pobreza","37.56304"
"2024","II","Supe_incompleta","Pobreza","23.69697"
"2024","II","Supe_completa","Pobreza","10.25846"
"2025","I","Todos","Pobreza","28.95721"
"2025","I","Primaria_o_menos","Pobreza","51.95950"
"2025","I","Secu_incompleta","Pobreza","45.16917"
"2025","I","Secu_completa","Pobreza","30.10370"
"2025","I","Supe_incompleta","Pobreza","17.72477"
"2025","I","Supe_completa","Pobreza","9.34493"
