"geocodigoFundar","geonombreFundar","anio","poverty_line","poverty_rate"
"LTU","Lituania","2022","3.00000","0.00802"
"LUX","Luxemburgo","2022","3.00000","0.00104"
"LVA","Letonia","2022","3.00000","0.00424"
"MDA","Moldavia","2022","3.00000","0.00040"
"MEX","México","2022","3.00000","0.02330"
"MLI","Malí","2021","3.00000","0.36103"
"MLT","Malta","2022","3.00000","0.00110"
"MNE","Montenegro","2021","3.00000","0.02494"
"MNG","Mongolia","2022","3.00000","0.00440"
"MYS","Malasia","2021","3.00000","0.00013"
"NER","Níger","2021","3.00000","0.60490"
"NLD","Países Bajos","2021","3.00000","0.00097"
"NOR","Noruega","2022","3.00000","0.00295"
"NPL","Nepal","2022","3.00000","0.02436"
"PAN","Panamá","2023","3.00000","0.03732"
"PER","Perú","2023","3.00000","0.05879"
"PHL","Filipinas","2023","3.00000","0.05325"
"POL","Polonia","2022","3.00000","0.00324"
"PRT","Portugal","2022","3.00000","0.00225"
"PRY","Paraguay","2023","3.00000","0.02556"
"PSE","Palestina","2023","3.00000","0.02073"
"ROU","Rumania","2022","3.00000","0.01453"
"RUS","Rusia","2021","3.00000","0.00226"
"SEN","Senegal","2021","3.00000","0.17887"
"SLV","El Salvador","2023","3.00000","0.04637"
"SRB","Serbia","2022","3.00000","0.02039"
"SUR","Suriname","2022","3.00000","0.02178"
"SVK","Eslovaquia","2022","3.00000","0.00696"
"SVN","Eslovenia","2022","3.00000","0.00000"
"SWE","Suecia","2022","3.00000","0.01271"
"SYR","Siria","2022","3.00000","0.16470"
"TCD","Chad","2022","3.00000","0.39475"
"TGO","Togo","2021","3.00000","0.34661"
"THA","Tailandia","2023","3.00000","0.00005"
"TON","Tonga","2021","3.00000","0.00409"
"TUN","Túnez","2021","3.00000","0.00654"
"TUR","Turquía","2022","3.00000","0.00530"
"TWN","Taiwán","2021","3.00000","0.00000"
"URY","Uruguay","2023","3.00000","0.00169"
"USA","Estados Unidos","2023","3.00000","0.01250"
"UZB","Uzbekistán","2023","3.00000","0.04066"
"VNM","Vietnam","2022","3.00000","0.01603"
"XKX","Kosovo","2021","3.00000","0.24981"
"ZMB","Zambia","2022","3.00000","0.71656"
"ARG","Argentina","2023","4.20000","0.03111"
"ARM","Armenia","2023","4.20000","0.08418"
"AUT","Austria","2022","4.20000","0.00707"
"BEL","Bélgica","2022","4.20000","0.00071"
"BEN","Benin","2021","4.20000","0.49999"
"BFA","Burkina Faso","2021","4.20000","0.64554"
"BGD","Bangladesh","2022","4.20000","0.24433"
"BGR","Bulgaria","2022","4.20000","0.01705"
"BOL","Bolivia","2023","4.20000","0.05108"
"BRA","Brasil","2023","4.20000","0.07467"
"BTN","Bhután","2022","4.20000","0.00503"
"CAF","Rep. Centroafricana","2021","4.20000","0.83917"
"CHE","Suiza","2021","4.20000","0.00059"
"CHL","Chile","2022","4.20000","0.00882"
"CHN","China","2021","4.20000","0.00325"
"CIV","Costa de Marfil","2021","4.20000","0.41711"
"CMR","Camerún","2021","4.20000","0.41259"
"COL","Colombia","2023","4.20000","0.13914"
"CRI","Costa Rica","2024","4.20000","0.02633"
"CYP","Chipre","2022","4.20000","0.00005"
"CZE","Chequia","2022","4.20000","0.00110"
"DNK","Dinamarca","2022","4.20000","0.00262"
"DOM","Rep. Dominicana","2023","4.20000","0.03000"
"ECU","Ecuador","2023","4.20000","0.09956"
"EGY","Egipto","2021","4.20000","0.07091"
"ESP","España","2022","4.20000","0.01013"
"EST","Estonia","2022","4.20000","0.00659"
"ETH","Etiopía","2021","4.20000","0.63749"
"FIN","Finlandia","2022","4.20000","0.00109"
"FRA","Francia","2022","4.20000","0.00112"
"GBR","Reino Unido","2021","4.20000","0.00498"
"GEO","Georgia","2023","4.20000","0.14021"
"GNB","Guinea-Bissau","2021","4.20000","0.62075"
"GNQ","Guinea Ecuatorial","2022","4.20000","0.21471"
"GRC","Grecia","2022","4.20000","0.01049"
"GTM","Guatemala","2023","4.20000","0.17616"
"HND","Honduras","2023","4.20000","0.26607"
"HRV","Croacia","2022","4.20000","0.00565"
"HUN","Hungría","2022","4.20000","0.02717"
"IDN","Indonesia","2024","4.20000","0.19884"
"IND","India","2022","4.20000","0.23892"
