anio,provincia,exportaciones,fob,geocodigoFundar,geonombreFundar
2017,san_juan,mineras,1121908720,AR-J,San Juan
2018,san_juan,mineras,940634516,AR-J,San Juan
2019,san_juan,mineras,890412133,AR-J,San Juan
2020,san_juan,mineras,818611947,AR-J,San Juan
2021,san_juan,mineras,857180560,AR-J,San Juan
2022,san_juan,mineras,863378277,AR-J,San Juan
1998,san_juan,otras,128380326,AR-J,San Juan
1999,san_juan,otras,159059432,AR-J,San Juan
2000,san_juan,otras,149955248,AR-J,San Juan
2001,san_juan,otras,130187210,AR-J,San Juan
2002,san_juan,otras,131144244,AR-J,San Juan
2003,san_juan,otras,138387860,AR-J,San Juan
2004,san_juan,otras,194126815,AR-J,San Juan
2005,san_juan,otras,257879719,AR-J,San Juan
2006,san_juan,otras,312919664,AR-J,San Juan
2007,san_juan,otras,371801590,AR-J,San Juan
2008,san_juan,otras,473219784,AR-J,San Juan
2009,san_juan,otras,381945736,AR-J,San Juan
2010,san_juan,otras,458445367,AR-J,San Juan
2011,san_juan,otras,575408674,AR-J,San Juan
2012,san_juan,otras,545822804,AR-J,San Juan
2013,san_juan,otras,509184324,AR-J,San Juan
2014,san_juan,otras,394581463,AR-J,San Juan
2015,san_juan,otras,326816643,AR-J,San Juan
2016,san_juan,otras,297917707,AR-J,San Juan
2017,san_juan,otras,318316280,AR-J,San Juan
2018,san_juan,otras,338241484,AR-J,San Juan
2019,san_juan,otras,355573867,AR-J,San Juan
2020,san_juan,otras,301241053,AR-J,San Juan
2021,san_juan,otras,348580440,AR-J,San Juan
2022,san_juan,otras,299554723,AR-J,San Juan
1998,santa_cruz,mineras,20270,AR-Z,Santa Cruz
1999,santa_cruz,mineras,36089,AR-Z,Santa Cruz
2000,santa_cruz,mineras,29798422,AR-Z,Santa Cruz
2001,santa_cruz,mineras,94070160,AR-Z,Santa Cruz
2002,santa_cruz,mineras,92107820,AR-Z,Santa Cruz
2003,santa_cruz,mineras,94490610,AR-Z,Santa Cruz
2004,santa_cruz,mineras,119987736,AR-Z,Santa Cruz
2005,santa_cruz,mineras,128699128,AR-Z,Santa Cruz
2006,santa_cruz,mineras,196541893,AR-Z,Santa Cruz
2007,santa_cruz,mineras,217618942,AR-Z,Santa Cruz
2008,santa_cruz,mineras,322717859,AR-Z,Santa Cruz
2009,santa_cruz,mineras,532970628,AR-Z,Santa Cruz
2010,santa_cruz,mineras,746076783,AR-Z,Santa Cruz
2011,santa_cruz,mineras,1002476553,AR-Z,Santa Cruz
2012,santa_cruz,mineras,990449625,AR-Z,Santa Cruz
