anio,sector,exportaciones_sector_perc
2001,piedras_preciosas_semipreciosas,0.0016277094899747
2002,piedras_preciosas_semipreciosas,0.0005990464004368
2003,piedras_preciosas_semipreciosas,0.0014238194030265
2004,piedras_preciosas_semipreciosas,0.0020205856216794
2005,piedras_preciosas_semipreciosas,0.0024806538469052
2006,piedras_preciosas_semipreciosas,0.0005833035958551
2007,piedras_preciosas_semipreciosas,0.0013089980676776
2008,piedras_preciosas_semipreciosas,0.0006679379769198
2009,piedras_preciosas_semipreciosas,0.0018641778867396
2010,piedras_preciosas_semipreciosas,0.0020855774246183
2011,piedras_preciosas_semipreciosas,0.0021504735428504
2012,piedras_preciosas_semipreciosas,0.0022238193934236
2013,piedras_preciosas_semipreciosas,0.002940099437389
2014,piedras_preciosas_semipreciosas,0.0042948814296783
2015,piedras_preciosas_semipreciosas,0.0047942197574632
2016,piedras_preciosas_semipreciosas,0.0032578357939168
2017,piedras_preciosas_semipreciosas,0.0026468642180216
2018,piedras_preciosas_semipreciosas,0.0019552096056931
2019,piedras_preciosas_semipreciosas,0.002540089111127
2020,piedras_preciosas_semipreciosas,0.0021213963062898
2021,piedras_preciosas_semipreciosas,0.001792870801429
2022,piedras_preciosas_semipreciosas,0.0021886390154635
1994,rocas_de_aplicacion,0.0778299843559146
1995,rocas_de_aplicacion,0.0994241788956103
1996,rocas_de_aplicacion,0.0937710107595668
1997,rocas_de_aplicacion,0.0971581925745497
1998,rocas_de_aplicacion,0.0862397595675036
1999,rocas_de_aplicacion,0.0941814327179605
2000,rocas_de_aplicacion,0.0841840372365118
2001,rocas_de_aplicacion,0.0890835442448526
2002,rocas_de_aplicacion,0.0981199986012023
2003,rocas_de_aplicacion,0.106339982140872
2004,rocas_de_aplicacion,0.112672184785081
2005,rocas_de_aplicacion,0.113800789506205
2006,rocas_de_aplicacion,0.114480956878071
2007,rocas_de_aplicacion,0.0962854490368292
2008,rocas_de_aplicacion,0.0817701242485629
2009,rocas_de_aplicacion,0.103946317686824
2010,rocas_de_aplicacion,0.093549240272454
2011,rocas_de_aplicacion,0.0788798937507277
2012,rocas_de_aplicacion,0.0958810896864898
2013,rocas_de_aplicacion,0.096273881778934
2014,rocas_de_aplicacion,0.0926379885676644
2015,rocas_de_aplicacion,0.0919708531677422
2016,rocas_de_aplicacion,0.0894864493569983
2017,rocas_de_aplicacion,0.0856515725521067
2018,rocas_de_aplicacion,0.0841443357632722
2019,rocas_de_aplicacion,0.0773795527857689
2020,rocas_de_aplicacion,0.0832952711852835
2021,rocas_de_aplicacion,0.0560615633313973
2022,rocas_de_aplicacion,0.0542027746393244
1994,otros,0.0003355848551313
1995,otros,4.65245897697994e-05
1996,otros,2.7050844373985e-05
1997,otros,2.22505098681068e-05
1998,otros,2.63300276790633e-05
1999,otros,0.000131509760224
2000,otros,1.78034053948084e-05
2001,otros,1.95985898358744e-05
2002,otros,3.07829068631107e-05
2003,otros,0.0015927607470077
2004,otros,0.0031087844987243
2005,otros,0.001868951146196
2006,otros,0.0039956849325751
2007,otros,0.0013707526761017
2008,otros,0.0012491209437094
2009,otros,0.0045611591645064
2010,otros,0.0011479526344477
2011,otros,0.0018464326919028
2012,otros,0.0056012002568415
2013,otros,0.0020446954974486
2014,otros,0.0001548905226612
2015,otros,2.10640497405052e-05
2019,otros,0.0028332917020686
2022,otros,0.0
