"provincia","anio","vab_min_provincial"
"Entre_Rios","2015",28.9895131928966
"Entre_Rios","2016",28.3992092593502
"Entre_Rios","2017",27.6244683286691
"Entre_Rios","2018",30.6036815822784
"Entre_Rios","2019",29.9729099295181
"Entre_Rios","2020",27.2111868695476
"Entre_Rios","2021",28.8756973735488
"Entre_Rios","2022",36.5646601095864
"Formosa","2004",3.2320352242474
"Formosa","2005",3.62676843013828
"Formosa","2006",4.00284474507411
"Formosa","2007",3.35687719991486
"Formosa","2008",3.09505282971715
"Formosa","2009",4.39310591050591
"Formosa","2010",5.21717877640772
"Formosa","2011",4.37594977310097
"Formosa","2012",4.26168294996941
"Formosa","2013",3.18287593025052
"Formosa","2014",3.65190379810877
"Formosa","2015",3.9679413942175
"Formosa","2016",3.70332088895231
"Formosa","2017",3.86827683975694
