"anio","prov_desc","apertura_edad","tasa_empleo"
"2016","La Pampa","Edad, entre 18 y 65","0.659097361883355"
"2016","La Pampa","Edad, mayor a 65","0.0637747690162124"
"2016","La Pampa","Edad, menor de 18","0.0068490119276815"
"2016","La Pampa","Edad, total","0.3887652455624523"
"2016","La Rioja","Edad, entre 18 y 65","0.6181875585713354"
"2016","La Rioja","Edad, mayor a 65","0.1082174907619215"
"2016","La Rioja","Edad, menor de 18","0.0079876856512875"
"2016","La Rioja","Edad, total","0.3975309572486912"
"2016","Mendoza","Edad, entre 18 y 65","0.6558260380747373"
"2016","Mendoza","Edad, mayor a 65","0.1249546648495972"
"2016","Mendoza","Edad, menor de 18","0.0083995263125868"
"2016","Mendoza","Edad, total","0.4043974698381262"
"2016","Misiones","Edad, entre 18 y 65","0.6404631224853007"
"2016","Misiones","Edad, mayor a 65","0.1543454362001717"
"2016","Misiones","Edad, menor de 18","0.0096175822900076"
"2016","Misiones","Edad, total","0.4125255531588624"
"2016","Neuquén","Edad, entre 18 y 65","0.6356968641621438"
"2016","Neuquén","Edad, mayor a 65","0.1160581150831581"
"2016","Neuquén","Edad, menor de 18","0.0029912221872718"
"2016","Neuquén","Edad, total","0.3988162055545916"
"2016","Río Negro","Edad, entre 18 y 65","0.6409684138927858"
"2016","Río Negro","Edad, mayor a 65","0.1000179913364795"
"2016","Río Negro","Edad, menor de 18","0.0105197943886251"
"2016","Río Negro","Edad, total","0.4090273701833235"
"2016","Salta","Edad, entre 18 y 65","0.6075207882446748"
"2016","Salta","Edad, mayor a 65","0.1412140718899817"
"2016","Salta","Edad, menor de 18","0.0117773046249984"
"2016","Salta","Edad, total","0.3736363077767387"
"2016","San Juan","Edad, entre 18 y 65","0.5703590848915197"
"2016","San Juan","Edad, mayor a 65","0.0793780484785461"
"2016","San Juan","Edad, menor de 18","0.0131006501442049"
"2016","San Juan","Edad, total","0.3447255851429133"
"2016","San Luis","Edad, entre 18 y 65","0.6248473035433236"
"2016","San Luis","Edad, mayor a 65","0.0586531325560795"
"2016","San Luis","Edad, menor de 18","0.005036633906011"
"2016","San Luis","Edad, total","0.3945893462918078"
"2016","Santa Cruz","Edad, entre 18 y 65","0.6557363453055427"
"2016","Santa Cruz","Edad, mayor a 65","0.0685616827743035"
"2016","Santa Cruz","Edad, menor de 18","0.0125064357594196"
"2016","Santa Cruz","Edad, total","0.4066567087043934"
"2016","Santa Fe","Edad, entre 18 y 65","0.6480273249307587"
"2016","Santa Fe","Edad, mayor a 65","0.0815828381733478"
"2016","Santa Fe","Edad, menor de 18","0.0085908284866359"
"2016","Santa Fe","Edad, total","0.4003925253265186"
"2016","Santiago del Estero","Edad, entre 18 y 65","0.6118798286833216"
"2016","Santiago del Estero","Edad, mayor a 65","0.0521338313597711"
"2016","Santiago del Estero","Edad, menor de 18","0.0050477109271053"
"2016","Santiago del Estero","Edad, total","0.3657106224640297"
"2016","Tierra del Fuego","Edad, entre 18 y 65","0.6573234349919743"
"2016","Tierra del Fuego","Edad, mayor a 65","0.0736224028906955"
"2016","Tierra del Fuego","Edad, menor de 18","0.0035907053334553"
"2016","Tierra del Fuego","Edad, total","0.4409847646721672"
"2016","Total","Edad, entre 18 y 65","0.6508803090674804"
"2016","Total","Edad, mayor a 65","0.1274945010068906"
"2016","Total","Edad, menor de 18","0.0118875620650446"
"2016","Total","Edad, total","0.4076582304528113"
"2016","Tucumán","Edad, entre 18 y 65","0.6422546115481291"
"2016","Tucumán","Edad, mayor a 65","0.1376371344901438"
"2016","Tucumán","Edad, menor de 18","0.0175305110022217"
"2016","Tucumán","Edad, total","0.4063491201390397"
"2017","Buenos Aires","Edad, entre 18 y 65","0.6638446382091513"
"2017","Buenos Aires","Edad, mayor a 65","0.1299301735770277"
"2017","Buenos Aires","Edad, menor de 18","0.0102248985140013"
"2017","Buenos Aires","Edad, total","0.4133267767626855"
"2017","CABA","Edad, entre 18 y 65","0.7716779927686839"
"2017","CABA","Edad, mayor a 65","0.1494797757793281"
"2017","CABA","Edad, menor de 18","0.0016160839733613"
"2017","CABA","Edad, total","0.4997570492376801"
"2017","Catamarca","Edad, entre 18 y 65","0.6528427501276294"
"2017","Catamarca","Edad, mayor a 65","0.089624355155126"
"2017","Catamarca","Edad, menor de 18","0.0069479011116641"
"2017","Catamarca","Edad, total","0.4066155988857938"
"2017","Chaco","Edad, entre 18 y 65","0.607357839782978"
"2017","Chaco","Edad, mayor a 65","0.1056861623671773"
"2017","Chaco","Edad, menor de 18","0.0171774307908046"
"2017","Chaco","Edad, total","0.3774457544048329"
"2017","Chubut","Edad, entre 18 y 65","0.640752997002997"
"2017","Chubut","Edad, mayor a 65","0.0975251677852349"
"2017","Chubut","Edad, menor de 18","0.0055858747993579"
"2017","Chubut","Edad, total","0.3969652306642214"
"2017","Corrientes","Edad, entre 18 y 65","0.6200041804899749"
"2017","Corrientes","Edad, mayor a 65","0.1197381531439836"
"2017","Corrientes","Edad, menor de 18","0.0119103412748519"
"2017","Corrientes","Edad, total","0.3964778399993854"
"2017","Córdoba","Edad, entre 18 y 65","0.6456828380237617"
"2017","Córdoba","Edad, mayor a 65","0.1456347211881922"
"2017","Córdoba","Edad, menor de 18","0.0100662353244106"
"2017","Córdoba","Edad, total","0.4105285321545545"
"2017","Entre Ríos","Edad, entre 18 y 65","0.6329687246293544"
"2017","Entre Ríos","Edad, mayor a 65","0.150042555977478"
"2017","Entre Ríos","Edad, menor de 18","0.0077626324301132"
"2017","Entre Ríos","Edad, total","0.3998410413573979"
"2017","Formosa","Edad, entre 18 y 65","0.4721481632237712"
"2017","Formosa","Edad, mayor a 65","0.0379782425330363"
"2017","Formosa","Edad, menor de 18","0.0"
"2017","Formosa","Edad, total","0.2926368458751596"
"2017","Jujuy","Edad, entre 18 y 65","0.63575806487883"
"2017","Jujuy","Edad, mayor a 65","0.1398340951413577"
"2017","Jujuy","Edad, menor de 18","0.0062287655719139"
"2017","Jujuy","Edad, total","0.4040538838842835"
"2017","La Pampa","Edad, entre 18 y 65","0.621391261280458"
"2017","La Pampa","Edad, mayor a 65","0.0961007957559681"
"2017","La Pampa","Edad, menor de 18","0.0021039661505556"
"2017","La Pampa","Edad, total","0.3756376757496578"
"2017","La Rioja","Edad, entre 18 y 65","0.6233264292863726"
"2017","La Rioja","Edad, mayor a 65","0.0654276565543194"
"2017","La Rioja","Edad, menor de 18","0.0005150402717659"
"2017","La Rioja","Edad, total","0.395300004329513"
"2017","Mendoza","Edad, entre 18 y 65","0.6470468883817074"
"2017","Mendoza","Edad, mayor a 65","0.1132102344981942"
"2017","Mendoza","Edad, menor de 18","0.0059406753864217"
"2017","Mendoza","Edad, total","0.4005944394752534"
"2017","Misiones","Edad, entre 18 y 65","0.664485895499414"
"2017","Misiones","Edad, mayor a 65","0.1952452572641903"
"2017","Misiones","Edad, menor de 18","0.017580373438158"
"2017","Misiones","Edad, total","0.4236565010190298"
"2017","Neuquén","Edad, entre 18 y 65","0.6321984311832826"
"2017","Neuquén","Edad, mayor a 65","0.0992987503371392"
"2017","Neuquén","Edad, menor de 18","0.0057851395405807"
"2017","Neuquén","Edad, total","0.4165930138723437"
"2017","Río Negro","Edad, entre 18 y 65","0.6227860691362885"
"2017","Río Negro","Edad, mayor a 65","0.0604022113160715"
"2017","Río Negro","Edad, menor de 18","0.0021562589211416"
"2017","Río Negro","Edad, total","0.3942614735941238"
"2017","Salta","Edad, entre 18 y 65","0.6272897175907209"
"2017","Salta","Edad, mayor a 65","0.1327213035019455"
"2017","Salta","Edad, menor de 18","0.0112666777360592"
"2017","Salta","Edad, total","0.3962260085702471"
"2017","San Juan","Edad, entre 18 y 65","0.5762380959868342"
