"anio","provincia","tasa_empleo","tasa_menor_18"
"2020","Ciudad de Buenos Aires","0.428938579884812","0.245180514078498"
"2020","Catamarca","0.364837662238486","0.301964425899509"
"2020","Chaco","0.355330659821214","0.30456744703252"
"2020","Chubut","0.389793514901059","0.303059900424536"
"2020","Corrientes","0.365466378546523","0.301505194024269"
"2020","Córdoba","0.39382709974823","0.29287633747259"
"2020","Entre Ríos","0.360327391233018","0.295817006503801"
"2020","Formosa","0.286697764648115","0.327007751688387"
"2020","Jujuy","0.361054469583746","0.293517216886903"
"2020","La Pampa","0.376013771375676","0.269470743946603"
"2020","La Rioja","0.391847644503842","0.28841499731257"
"2020","Mendoza","0.414310790493049","0.273713680499493"
"2020","Misiones","0.396453810944613","0.3162884839632"
"2020","Neuquén","0.367332147217392","0.299195503970349"
"2020","Río Negro","0.384834638585693","0.275088939406101"
