geocodigoFundar,geonombreFundar,anio,pbi_precios_constantes_base1900,pbi_per_capita_precios_constantes_base1900,poblacion_base1900
ARG,Argentina,1951,686.6051382,183.9345819,373.2876825
ARG,Argentina,1952,652.0477952,171.1632046,380.9509157
ARG,Argentina,1953,686.6051382,176.7361909,388.4915334
ARG,Argentina,1954,714.9493352,180.568105,395.9444194
ARG,Argentina,1955,765.450836,189.7759748,403.3444363
ARG,Argentina,1956,786.7155469,191.5695658,410.6683354
ARG,Argentina,1957,827.4685341,198.0097289,417.8928677
ARG,Argentina,1958,877.9700349,206.5554663,425.0529171
ARG,Argentina,1959,821.264139,190.0267805,432.1833675
ARG,Argentina,1960,885.9421138,201.6625716,439.31906
ARG,Argentina,1961,948.8436538,212.5313955,446.4487006
ARG,Argentina,1962,933.783338,205.8836541,453.5490405
ARG,Argentina,1963,911.6347851,197.9073981,460.6370422
ARG,Argentina,1964,1005.540799,214.9832872,467.7297533
ARG,Argentina,1965,1097.679129,231.1662172,474.8440936
ARG,Argentina,1966,1104.767366,229.2784857,481.8451947
ARG,Argentina,1967,1134.004155,232.0347468,488.7216984
ARG,Argentina,1968,1182.729222,238.6093361,495.6760036
ARG,Argentina,1969,1283.723472,255.2588499,502.9104662
ARG,Argentina,1970,1352.829407,264.9347024,510.6274848
ARG,Argentina,1971,1403.72336,270.4769748,518.9807231
ARG,Argentina,1972,1432.878302,271.4631708,527.8352486
ARG,Argentina,1973,1486.547448,276.8448025,536.9605766
ARG,Argentina,1974,1566.904697,286.9125773,546.1261797
ARG,Argentina,1975,1557.607801,280.5987113,555.101552
ARG,Argentina,1976,1557.422789,276.2293956,563.8150079
ARG,Argentina,1977,1656.882615,289.4521298,572.4202536
ARG,Argentina,1978,1603.490989,275.9763641,581.0247535
ARG,Argentina,1979,1714.71455,290.7596698,589.7360358
ARG,Argentina,1980,1740.951685,290.8073048,598.6616075
ARG,Argentina,1981,1649.54027,271.378362,607.8378015
ARG,Argentina,1982,1594.068896,258.2774314,617.1924848
ARG,Argentina,1983,1660.590484,264.9854439,626.6723407
ARG,Argentina,1984,1693.348312,266.1559187,636.2241805
ARG,Argentina,1985,1576.709743,244.1502634,645.7948153
ARG,Argentina,1986,1687.371684,257.4440432,655.432405
ARG,Argentina,1987,1732.41544,260.4461349,665.1722594
ARG,Argentina,1988,1702.121202,252.1875941,674.94248
ARG,Argentina,1989,1584.00762,231.3531781,684.6707847
ARG,Argentina,1990,1550.550589,223.3304937,694.2852108
ARG,Argentina,1991,1714.415527,243.5853615,703.8253516
ARG,Argentina,1992,1882.318809,263.8742919,713.3392176
ARG,Argentina,1993,1988.406557,275.1101861,722.7673338
ARG,Argentina,1994,2105.332442,287.5939386,732.0503529
ARG,Argentina,1995,2047.079892,276.2110524,741.128885
ARG,Argentina,1996,2157.539869,287.6704909,750.003889
ARG,Argentina,1997,2332.668236,307.4498724,758.7149795
ARG,Argentina,1998,2425.081043,316.0700338,767.2606649
ARG,Argentina,1999,2342.339663,301.98823,775.6393894
ARG,Argentina,2000,2324.415374,296.5384407,783.8495976
ARG,Argentina,2001,2225.385382,281.0596797,791.7839317
ARG,Argentina,2002,1978.951372,247.3590315,800.0319858
ARG,Argentina,2003,2152.049633,266.2221986,808.3659604
ARG,Argentina,2004,2346.360261,287.2671795,816.7867504
ARG,Argentina,2005,2554.052091,309.4713146,825.2952602
ARG,Argentina,2006,2759.580533,330.9276497,833.8924036
ARG,Argentina,2007,3008.153913,357.0173885,842.5791039
ARG,Argentina,2008,3130.201729,367.6723542,851.356294
ARG,Argentina,2009,2944.939955,342.3453446,860.2249165
ARG,Argentina,2010,3243.126851,373.1223391,869.185924
ARG,Argentina,2011,3437.84262,390.9899856,879.2661568
ARG,Argentina,2012,3402.5559,382.6021382,889.3196247
ARG,Argentina,2013,3484.398386,387.4446768,899.3279802
ARG,Argentina,2014,3396.848858,373.5796571,909.2702972
ARG,Argentina,2015,3489.62223,379.6677513,919.1252662
ARG,Argentina,2016,3417.026647,367.8598416,928.8936329
ARG,Argentina,2017,3508.213091,373.7797451,938.5776348
ARG,Argentina,2018,3419.99593,360.6980449,948.1603735
ARG,Argentina,2019,3351.587979,349.9868842,957.6324515
ARG,Argentina,2020,3018.305738,312.0662,967.2004652
ARG,Argentina,2021,3332.16547,341.1045812,976.875027
ARG,Argentina,2022,3506.840538,355.4344973,986.6348273
AUS,Australia,1900,100.0,100.0,100.0
AUS,Australia,1901,97.03494734,95.65421291,101.4434643
AUS,Australia,1902,98.03905591,95.26340472,102.9136594
AUS,Australia,1903,105.771279,101.5632328,104.1432772
AUS,Australia,1904,112.8833571,107.0189151,105.4798182
AUS,Australia,1905,114.1912076,106.6906362,107.0302058
AUS,Australia,1906,121.938875,112.3026419,108.5805934
AUS,Australia,1907,126.8908169,115.0226669,110.3180968
AUS,Australia,1908,131.2002205,116.9454432,112.1892542
AUS,Australia,1909,141.9375236,124.1206816,114.3544507
AUS,Australia,1910,151.8286167,129.8264812,116.9473403
AUS,Australia,1911,152.9887143,127.1846178,120.2886929
AUS,Australia,1912,158.2675436,127.0282945,124.592355
AUS,Australia,1913,165.5941118,128.4977333,128.8692863
AUS,Australia,1914,165.1741952,125.2618415,131.8631382
AUS,Australia,1915,162.1467511,122.0259497,132.8789094
AUS,Australia,1916,160.982993,121.5413475,132.4512163
AUS,Australia,1917,157.9661126,119.3840863,132.3175621
AUS,Australia,1918,154.2538087,114.6787557,134.5094894
AUS,Australia,1919,163.1168454,117.508207,138.8131516
AUS,Australia,1920,170.0907816,118.7587932,143.223737
AUS,Australia,1921,178.6318659,122.3698609,145.9770115
AUS,Australia,1922,188.011346,126.1841488,148.9975942
AUS,Australia,1923,197.0165195,129.3731437,152.2854852
AUS,Australia,1924,209.9648713,134.9851493,155.5466453
AUS,Australia,1925,219.8032007,138.3617321,158.861267
AUS,Australia,1926,225.0892716,138.8619665,162.0956963
AUS,Australia,1927,228.5025764,138.1428795,165.4103181
AUS,Australia,1928,228.9137722,135.8449273,168.5110933
AUS,Australia,1929,224.2097996,131.1395967,170.9703288
AUS,Australia,1930,202.8457522,117.3049867,172.9216787
AUS,Australia,1931,189.2818728,108.4883539,174.4720663
AUS,Australia,1932,199.999461,113.7251837,175.862069
AUS,Australia,1933,213.8551648,120.6503048,177.2520716
AUS,Australia,1934,225.2167204,126.0903549,178.6153435
AUS,Australia,1935,238.4636744,132.5152415,179.9518845
AUS,Australia,1936,249.1985079,137.4394247,181.3151564
AUS,Australia,1937,261.8204654,143.176489,182.865544
AUS,Australia,1938,270.6650325,146.662498,184.5495857
AUS,Australia,1939,271.4274271,145.6620291,186.3405507
AUS,Australia,1940,289.1992149,153.6345162,188.2384389
AUS,Australia,1941,321.5095522,169.1417852,190.0828655
AUS,Australia,1942,358.5724137,187.0095357,191.7401764
AUS,Australia,1943,371.2462952,191.9337189,193.4242181
AUS,Australia,1944,358.4074239,183.445365,195.375568
AUS,Australia,1945,340.439227,172.3620447,197.5140337
AUS,Australia,1946,328.3026489,164.3270283,199.7861534
AUS,Australia,1947,336.3541877,166.0465843,202.5661588
AUS,Australia,1948,358.0061064,173.5969986,206.2282812
AUS,Australia,1949,381.734605,180.3345318,211.6813686
AUS,Australia,1950,408.164574,184.6959512,220.9927025
AUS,Australia,1951,425.5446341,187.0564327,227.4953221
AUS,Australia,1952,429.4184556,184.8366422,232.3232291
AUS,Australia,1953,442.8003888,187.0095357,236.7795777
AUS,Australia,1954,470.3739692,194.1378771,242.2886127
AUS,Australia,1955,496.0070629,200.0156323,247.9841486
AUS,Australia,1956,513.0789511,202.0322026,253.9589949
AUS,Australia,1957,523.3490073,201.5788651,259.6249399
AUS,Australia,1958,548.4824442,206.9407535,265.0432237
AUS,Australia,1959,582.2599905,214.9914022,270.8294306
AUS,Australia,1960,606.7086402,219.0558074,276.9653301
AUS,Australia,1961,610.8744317,215.6166953,283.314996
AUS,Australia,1962,649.0645845,224.9335626,288.5583534
AUS,Australia,1963,688.7886032,234.2191652,294.0786688
AUS,Australia,1964,735.927675,245.4119118,299.8744721
AUS,Australia,1965,773.5186276,252.9623261,305.7841219
AUS,Australia,1966,795.0197138,255.1821166,311.5499332
AUS,Australia,1967,848.7283869,267.4378615,317.3553595
AUS,Australia,1968,898.6039349,277.7864624,323.4873029
AUS,Australia,1969,953.2639717,288.072534,330.9110933
AUS,Australia,1970,1013.926839,299.6091918,338.4164662
AUS,Australia,1971,1059.035868,306.2372987,345.8219727
AUS,Australia,1972,1088.68713,309.0823824,352.2320235
AUS,Australia,1973,1147.705651,320.8847897,357.6690724
AUS,Australia,1974,1176.181898,323.5579178,363.5151029
AUS,Australia,1975,1208.060098,328.1694544,368.1208233
AUS,Australia,1976,1256.752652,337.8614976,371.9727346
AUS,Australia,1977,1269.841292,337.5332187,376.2122427
AUS,Australia,1978,1306.78183,343.0983273,380.8767709
AUS,Australia,1979,1375.587542,356.823511,385.5092221
AUS,Australia,1980,1403.008531,359.1058309,390.6950013
AUS,Australia,1981,1457.206805,365.2962326,398.9109864
AUS,Australia,1982,1455.429727,359.1058309,405.2927025
AUS,Australia,1983,1455.647401,354.8069408,410.2646351
AUS,Australia,1984,1556.043775,375.3165546,414.5950281
AUS,Australia,1985,1634.809959,389.6670314,419.5402299
AUS,Australia,1986,1668.720264,392.6215413,425.0200481
AUS,Australia,1987,1751.247032,405.9871815,431.3552526
AUS,Australia,1988,1829.884088,417.414413,438.3854584
AUS,Australia,1989,1910.378946,428.435204,445.896819
AUS,Australia,1990,1939.464106,427.9037049,453.2477947
AUS,Australia,1991,1926.373341,419.9042514,458.7649053
AUS,Australia,1992,1996.73939,430.829737,463.4636885
AUS,Australia,1993,2092.837257,447.4359193,467.7401092
AUS,Australia,1994,2203.594807,466.5338647,472.3333017
AUS,Australia,1995,2294.80094,479.7571118,478.3255702
AUS,Australia,1996,2400.849124,496.177423,483.8690784
AUS,Australia,1997,2509.784979,513.6469248,488.620657
AUS,Australia,1998,2650.538372,536.7694143,493.794598
AUS,Australia,1999,2775.487595,555.7451853,499.4172992
AUS,Australia,2000,2891.151786,572.1907925,505.2775794
AUS,Australia,2001,2981.991927,582.7105088,511.7450057
AUS,Australia,2002,3120.12861,602.8930044,517.5260929
AUS,Australia,2003,3233.725581,617.8467281,523.3863731
AUS,Australia,2004,3382.281346,639.1703195,529.1674603
AUS,Australia,2005,3512.382816,655.064028,536.1892374
AUS,Australia,2006,3630.573651,666.7341868,544.5308975
AUS,Australia,2007,3818.766872,688.3474091,554.7731889
AUS,Australia,2008,3936.7428,694.4136387,566.9161118
AUS,Australia,2009,4032.135706,698.5546566,577.2111985
AUS,Australia,2010,4153.860559,709.7111677,585.288882
AUS,Australia,2011,4287.442329,721.1505393,594.5280625
AUS,Australia,2012,4446.761577,734.7037674,605.2455118
AUS,Australia,2013,4542.652414,738.6274816,615.0126454
AUS,Australia,2014,4669.525329,748.2726278,624.0406445
AUS,Australia,2015,4786.17007,755.9324683,633.1478367
AUS,Australia,2016,4916.102939,763.5610442,643.8388883
AUS,Australia,2017,5036.70613,770.1362123,654.0019868
AUS,Australia,2018,5175.506616,778.971382,664.4026642
AUS,Australia,2019,5275.628673,782.4040609,674.2844187
AUS,Australia,2020,5179.795582,764.864697,677.2172388
AUS,Australia,2021,5451.704096,800.6112689,680.9427131
AUS,Australia,2022,5714.339355,823.3349786,694.0479275
AUT,Austria,1900,100.0,100.0,100.0
AUT,Austria,1901,100.4001937,99.36874184,101.0380044
AUT,Austria,1902,104.3321634,102.1767523,102.1094927
AUT,Austria,1903,105.3093004,102.0461471,103.1977231
AUT,Austria,1904,106.9474367,102.5685677,104.2692115
AUT,Austria,1905,112.93055,107.2050501,105.3406998
AUT,Austria,1906,117.2710589,110.1872007,106.4289302
AUT,Austria,1907,124.5123481,115.8249891,107.5004186
AUT,Austria,1908,125.0680303,115.193731,108.5719069
AUT,Austria,1909,124.6506828,113.6700044,109.6601373
AUT,Austria,1910,126.3989214,114.1488899,110.7316256
AUT,Austria,1911,130.3664925,116.7609926,111.652436
AUT,Austria,1912,136.9061225,121.6151502,112.5732463
AUT,Austria,1913,136.2033264,120.2220287,113.2931525
AUT,Austria,1914,113.6980583,99.78232477,113.9460907
AUT,Austria,1915,105.4631453,92.05485416,114.565545
AUT,Austria,1916,104.1908331,91.18415324,114.2641888
AUT,Austria,1917,101.9235012,89.72572921,113.5945086
AUT,Austria,1918,99.85098011,88.65912059,112.6234723
AUT,Austria,1919,84.25091842,78.3848498,107.4836765
AUT,Austria,1920,90.45010704,83.69612538,108.0696467
AUT,Austria,1921,100.120022,91.94601654,108.890005
AUT,Austria,1922,109.1014922,99.82585982,109.2918132
AUT,Austria,1923,108.016877,98.60687854,109.5429432
AUT,Austria,1924,120.5745256,109.7518502,109.8610414
AUT,Austria,1925,128.7377657,116.8262952,110.1958815
AUT,Austria,1926,130.9051376,118.4153243,110.5474636
AUT,Austria,1927,134.8496802,121.6151502,110.8823037
AUT,Austria,1928,141.1155271,126.8828907,111.2171438
AUT,Austria,1929,143.1887697,128.3413148,111.5687259
AUT,Austria,1930,139.2339537,124.4231606,111.903566
AUT,Austria,1931,128.0646999,114.0835873,112.2551482
AUT,Austria,1932,114.844729,102.0026121,112.5899883
AUT,Austria,1933,111.023973,98.30213322,112.9415704
AUT,Austria,1934,111.9934496,98.9551589,113.1759585
AUT,Austria,1935,114.1782704,100.8707009,113.1927005
AUT,Austria,1936,117.575571,103.9181541,113.1424745
AUT,Austria,1937,123.850044,109.5124075,113.0922485
AUT,Austria,1938,139.6130541,123.4871572,113.0587644
AUT,Austria,1939,158.2999167,142.1201567,111.3845639
AUT,Austria,1940,154.2103265,137.3748367,112.2551482
AUT,Austria,1941,165.2330641,146.3212886,112.9248284
AUT,Austria,1942,156.9436102,138.2020026,113.5610246
AUT,Austria,1943,160.7722343,141.0535481,113.9795748
AUT,Austria,1944,164.8231583,144.0574663,114.4148669
AUT,Austria,1945,68.13876054,59.86068785,113.8288967
AUT,Austria,1946,79.54092648,67.87113626,117.1940398
AUT,Austria,1947,87.72192542,75.16325642,116.7085217
AUT,Austria,1948,111.6916124,95.9077057,116.4573916
AUT,Austria,1949,132.8128917,114.2577275,116.2397455
AUT,Austria,1950,149.291882,128.5807575,116.1074837
AUT,Austria,1951,159.5105389,137.3748367,116.1133601
AUT,Austria,1952,159.6368915,137.636047,115.9847983
AUT,Austria,1953,166.5920416,143.5350457,116.0636698
AUT,Austria,1954,183.6476944,158.0539835,116.1930186
AUT,Austria,1955,203.9004711,175.3156291,116.3047882
AUT,Austria,1956,217.970945,187.2659991,116.396434
AUT,Austria,1957,231.2902272,198.3239007,116.6224678
AUT,Austria,1958,239.7706051,204.9629952,116.9823874
AUT,Austria,1959,246.5499861,209.9477579,117.4339695
AUT,Austria,1960,266.8732481,226.18633,117.9882304
AUT,Austria,1961,281.0248269,236.8741837,118.6388582
AUT,Austria,1962,287.8452725,241.1406182,119.3682237
AUT,Austria,1963,299.532992,249.3252068,120.1374686
AUT,Austria,1964,317.5423044,262.5598607,120.9409175
AUT,Austria,1965,326.6605092,268.3500218,121.729265
AUT,Austria,1966,345.0234857,281.4540705,122.5860707
AUT,Austria,1967,355.5427611,287.8754898,123.5057425
AUT,Austria,1968,371.3651937,299.1292991,124.1487192
AUT,Austria,1969,394.6964487,316.8262952,124.5781852
AUT,Austria,1970,422.7998391,338.2020026,125.0139963
AUT,Austria,1971,444.4260413,353.9181541,125.5731123
AUT,Austria,1972,472.0355916,373.7265999,126.3050561
AUT,Austria,1973,495.0886864,389.8127993,127.0067805
AUT,Austria,1974,514.6250682,404.5058772,127.2231375
AUT,Austria,1975,512.7366987,404.0922943,126.8860372
AUT,Austria,1976,536.2045698,423.3347845,126.6620626
AUT,Austria,1977,561.2892266,442.9690901,126.7106981
AUT,Austria,1978,559.2640958,441.7283413,126.6081534
AUT,Austria,1979,589.7583761,466.6086199,126.3925163
AUT,Austria,1980,603.4052254,477.4053113,126.3926503
AUT,Austria,1981,602.8003162,475.9686548,126.6470618
AUT,Austria,1982,614.3063817,484.4144536,126.814214
AUT,Austria,1983,631.5374847,499.4340444,126.4506278
AUT,Austria,1984,633.6229697,501.0013061,126.4713209
AUT,Austria,1985,647.8163959,511.8415324,126.5658128
AUT,Austria,1986,663.0219438,523.2694819,126.7075506
AUT,Austria,1987,674.1752898,531.3234654,126.8860372
AUT,Austria,1988,695.5037022,546.626034,127.2357442
AUT,Austria,1989,724.9257822,567.653461,127.7056923
AUT,Austria,1990,757.9424647,586.1993905,129.2977231
AUT,Austria,1991,787.1460153,602.7377291,130.5951125
AUT,Austria,1992,806.855505,611.0674869,132.0403265
AUT,Austria,1993,814.3708004,611.6941366,133.1336614
AUT,Austria,1994,837.2798048,626.4858596,133.6470396
AUT,Austria,1995,863.064048,644.7906383,133.8518267
AUT,Austria,1996,887.3218329,662.0190834,134.0326669
AUT,Austria,1997,910.5233807,678.5600517,134.1846427
AUT,Austria,1998,946.707792,704.7524927,134.3319537
AUT,Austria,1999,984.6453128,731.5693632,134.5935686
AUT,Austria,2000,1021.904328,757.4283736,134.9176191
AUT,Austria,2001,1039.855511,767.7889411,135.4350727
AUT,Austria,2002,1061.318771,779.7907569,136.1030202
AUT,Austria,2003,1073.632617,785.0047995,136.7676501
AUT,Austria,2004,1107.094882,804.4647856,137.6188122
AUT,Austria,2005,1135.342714,819.3896855,138.5595565
AUT,Austria,2006,1178.077161,846.0350313,139.2468535
AUT,Austria,2007,1225.643045,877.3459797,139.6989413
AUT,Austria,2008,1249.604096,891.7020756,140.1369505
AUT,Austria,2009,1206.970477,859.0260548,140.5045249
AUT,Austria,2010,1235.158772,876.9775641,140.8426877
AUT,Austria,2011,1274.940331,902.1767523,141.3182425
AUT,Austria,2012,1284.443878,904.7670875,141.9640365
AUT,Austria,2013,1286.130558,900.6312582,142.8032335
AUT,Austria,2014,1295.062427,899.8258598,143.9236728
AUT,Austria,2015,1308.26758,898.8680888,145.5461148
AUT,Austria,2016,1327.32795,902.1549848,147.1285946
AUT,Austria,2017,1360.198521,918.0968783,148.1541385
AUT,Austria,2018,1393.112148,935.743815,148.877516
AUT,Austria,2019,1414.218322,952.7085787,148.4418587
AUT,Austria,2020,1322.915471,886.9959003,149.1456128
AUT,Austria,2021,1383.198616,919.2561141,150.4693409
AUT,Austria,2022,1452.332114,960.3887146,151.2233632
BEL,Bélgica,1900,100.0,100.0,100.0
BEL,Bélgica,1901,100.8970318,99.68051118,101.2204197
BEL,Bélgica,1902,102.9630867,100.2185976,102.7385028
BEL,Bélgica,1903,105.2932421,101.1098033,104.1375205
BEL,Bélgica,1904,108.0157705,102.4213889,105.4621223
BEL,Bélgica,1905,111.1142172,104.0524634,106.7867242
BEL,Bélgica,1906,113.416771,104.9941147,108.0220271
BEL,Bélgica,1907,115.1076309,105.3976795,109.2126805
BEL,Bélgica,1908,116.2712934,105.4144947,110.2991517
BEL,Bélgica,1909,118.4640541,106.440222,111.2963239
BEL,Bélgica,1910,121.5580711,108.9288717,111.5939872
BEL,Bélgica,1911,124.386949,111.1821086,111.8767674
BEL,Bélgica,1912,127.3424502,112.7291071,112.9632386
BEL,Bélgica,1913,129.058812,113.1158567,114.0943593
BEL,Bélgica,1914,120.8570207,105.1454515,114.9426998
BEL,Bélgica,1915,119.4203358,103.4134858,115.4784938
BEL,Bélgica,1916,126.3236928,109.3492517,115.5231433
BEL,Bélgica,1917,108.4941115,94.31646208,115.0319988
BEL,Bélgica,1918,87.41602066,76.67731629,114.0050603
BEL,Bélgica,1919,103.1246968,90.83571549,113.5287989
BEL,Bélgica,1920,119.3528398,106.1879939,112.3976782
BEL,Bélgica,1921,121.4112065,108.7102741,111.6832862
BEL,Bélgica,1922,133.2763317,118.2781234,112.6804584
BEL,Bélgica,1923,138.0716195,121.506642,113.6329811
BEL,Bélgica,1924,142.5947334,124.3147806,114.7045691
BEL,Bélgica,1925,144.8029354,125.0714646,115.7761572
BEL,Bélgica,1926,149.7034491,128.2327224,116.743563
BEL,Bélgica,1927,155.2201163,131.9488818,117.6365531
BEL,Bélgica,1928,163.3366604,137.7333109,118.5890758
BEL,Bélgica,1929,161.9349449,135.4632588,119.5415985
BEL,Bélgica,1930,160.3966856,133.4454347,120.1964578
BEL,Bélgica,1931,157.5461499,130.2673617,120.9406162
BEL,Bélgica,1932,150.4328519,123.4740205,121.8336062
BEL,Bélgica,1933,153.6905137,125.4582142,122.5033487
BEL,Bélgica,1934,152.4084416,123.9448461,122.9647269
BEL,Bélgica,1935,161.8070502,131.1753825,123.3516892
BEL,Bélgica,1936,162.9584548,131.6798386,123.7535348
BEL,Bélgica,1937,165.1742949,132.974609,124.2149129
BEL,Bélgica,1938,161.4112836,129.5106777,124.6316416
BEL,Bélgica,1939,172.4063078,138.0359845,124.8995386
BEL,Bélgica,1940,151.890171,122.2801412,124.2149129
BEL,Bélgica,1941,143.884894,116.8152009,123.1730912
BEL,Bélgica,1942,131.4925114,107.1296452,122.7414794
BEL,Bélgica,1943,128.46317,104.7250715,122.6670636
BEL,Bélgica,1944,135.9911895,110.206827,123.3963387
BEL,Bélgica,1945,144.1454208,116.1425929,124.1107308
BEL,Bélgica,1946,152.6702046,122.5996301,124.5274594
BEL,Bélgica,1947,161.7976954,128.6531024,125.7627623
BEL,Bélgica,1948,171.491665,134.6561291,127.3552612
BEL,Bélgica,1949,178.4545847,139.1962334,128.2036017
BEL,Bélgica,1950,188.2340155,146.3931394,128.5811728
BEL,Bélgica,1951,198.9661821,154.0440558,129.1618693
BEL,Bélgica,1952,197.4058271,151.9253405,129.9360768
BEL,Bélgica,1953,203.7294464,155.9441735,130.642551
BEL,Bélgica,1954,212.1088862,161.594081,131.2603066
BEL,Bélgica,1955,222.167457,168.3201614,131.9909957
BEL,Bélgica,1956,228.6241701,172.137212,132.8150766
BEL,Bélgica,1957,232.9058396,174.0877753,133.7864414
BEL,Bélgica,1958,232.6278702,172.6584833,134.7329513
BEL,Bélgica,1959,239.9765612,177.1145115,135.4923203
BEL,Bélgica,1960,252.876984,186.3292416,135.7151362
BEL,Bélgica,1961,265.1936973,194.4005381,136.4161334
BEL,Bélgica,1962,278.850541,203.2453338,137.1989879
BEL,Bélgica,1963,291.1460051,210.7280982,138.1619289
BEL,Bélgica,1964,311.6637431,223.5580965,139.4106266
BEL,Bélgica,1965,322.5906539,229.4097864,140.6176514
BEL,Bélgica,1966,332.8619309,235.227846,141.5061765
BEL,Bélgica,1967,345.8554396,243.1646208,142.2309868
BEL,Bélgica,1968,360.2124571,252.3793509,142.7265962
BEL,Bélgica,1969,384.1674192,268.5219438,143.0674207
BEL,Bélgica,1970,407.9638263,284.4123087,143.4409882
BEL,Bélgica,1971,423.2789126,294.0306037,143.9574341
BEL,Bélgica,1972,445.5341467,308.3235245,144.5021581
BEL,Bélgica,1973,472.7857437,326.1980831,144.9382349
BEL,Bélgica,1974,492.6447783,338.8767446,145.3758
BEL,Bélgica,1975,486.1134164,333.4622499,145.7776455
BEL,Bélgica,1976,513.5577995,351.7067429,146.0187528
BEL,Bélgica,1977,516.8023875,353.5395998,146.179491
BEL,Bélgica,1978,531.4861534,363.2924163,146.297068
BEL,Bélgica,1979,543.9303239,371.5150496,146.4086918
BEL,Bélgica,1980,568.2662196,387.7585337,146.5515702
BEL,Bélgica,1981,561.1923131,382.7139734,146.6349159
BEL,Bélgica,1982,569.0859789,387.9435009,146.6930049
BEL,Bélgica,1983,569.0407698,387.9435009,146.6813514
BEL,Bélgica,1984,583.1606616,397.5786111,146.6780771
BEL,Bélgica,1985,588.9820282,401.4292921,146.7212383
BEL,Bélgica,1986,597.7859188,407.280982,146.7748177
BEL,Bélgica,1987,611.9056238,416.5461577,146.8998363
BEL,Bélgica,1988,640.7870906,435.5977804,147.105224
BEL,Bélgica,1989,663.7915891,448.7977131,147.9044054
BEL,Bélgica,1990,683.9167564,460.9382882,148.374907
BEL,Bélgica,1991,697.38902,468.2748304,148.9272911
BEL,Bélgica,1992,709.0565727,474.1814995,149.5327366
BEL,Bélgica,1993,703.1906661,468.425247,150.1180115
BEL,Bélgica,1994,726.8647026,482.7055755,150.581377
BEL,Bélgica,1995,745.2262304,493.863916,150.8970804
BEL,Bélgica,1996,758.1296486,501.434328,151.1922113
BEL,Bélgica,1997,787.3368472,519.4935732,151.5585347
BEL,Bélgica,1998,803.9976476,529.3550269,151.8824998
BEL,Bélgica,1999,833.7679914,547.6992517,152.2309897
BEL,Bélgica,2000,865.2527257,567.0047055,152.6006252
BEL,Bélgica,2001,873.475578,570.4278131,153.1264006
BEL,Bélgica,2002,890.2376233,578.7740668,153.8143594
