anio,iso3,pais,patentes_de_residentes,geocodigoFundar,geonombreFundar
1999,TKM,Turkmenistán,44,TKM,Turkmenistán
2023,UGA,Uganda,39,UGA,Uganda
2023,UKR,Ucrania,1246,UKR,Ucrania
2023,ARE,Emiratos Árabes Unidos,992,ARE,Emiratos Árabes Unidos
2023,GBR,Reino Unido,47240,GBR,Reino Unido
2015,TZA,Tanzanía,5,TZA,Tanzanía
2023,USA,Estados Unidos,516427,USA,Estados Unidos
2023,URY,Uruguay,73,URY,Uruguay
2023,UZB,Uzbekistán,541,UZB,Uzbekistán
2023,VUT,Vanuatu,1,VUT,Vanuatu
2023,VEN,Venezuela,16,VEN,Venezuela
2023,VNM,Vietnam,1126,VNM,Vietnam
2023,YEM,Yemen,11,YEM,Yemen
2003,SER,Yugoslavia,404,SER,Yugoslavia
1984,WIPO_ZAI,Zaire,8,,
2023,ZMB,Zambia,6,ZMB,Zambia
2023,ZWE,Zimbabwe,33,ZWE,Zimbabwe
2023,EUU,Unión Europea,331685,EUU,Unión Europea
2023,LDC,Países menos desarrollados,390,LDC,Países menos desarrollados
