geocodigoFundar,geonombreFundar,anio,disciplina,share
PRY,Paraguay,2022,Ciencias de la Vida,26.8326832683268
PRY,Paraguay,2022,Ciencias Físicas,24.1324132413241
PRY,Paraguay,2022,Ciencias Sociales,5.79057905790579
PER,Perú,2022,Ciencias de la Salud,31.8
PER,Perú,2022,Ciencias de la Vida,21.07
PER,Perú,2022,Ciencias Físicas,30.79
PER,Perú,2022,Ciencias Sociales,16.34
PRT,Portugal,2022,Ciencias de la Salud,22.62
PRT,Portugal,2022,Ciencias de la Vida,20.24
PRT,Portugal,2022,Ciencias Físicas,41.25
PRT,Portugal,2022,Ciencias Sociales,15.89
PRI,Puerto Rico,2022,Ciencias de la Salud,36.05
PRI,Puerto Rico,2022,Ciencias de la Vida,25.69
PRI,Puerto Rico,2022,Ciencias Físicas,27.81
PRI,Puerto Rico,2022,Ciencias Sociales,10.45
DOM,Rep. Dominicana,2022,Ciencias de la Salud,42.2157784221578
DOM,Rep. Dominicana,2022,Ciencias de la Vida,21.2278772122788
DOM,Rep. Dominicana,2022,Ciencias Físicas,19.3380661933807
DOM,Rep. Dominicana,2022,Ciencias Sociales,17.2182781721828
TTO,Trinidad y Tobago,2022,Ciencias de la Salud,27.5872412758724
TTO,Trinidad y Tobago,2022,Ciencias de la Vida,21.8378162183782
TTO,Trinidad y Tobago,2022,Ciencias Físicas,34.0965903409659
TTO,Trinidad y Tobago,2022,Ciencias Sociales,16.4783521647835
URY,Uruguay,2022,Ciencias de la Salud,25.5274472552745
URY,Uruguay,2022,Ciencias de la Vida,31.2268773122688
URY,Uruguay,2022,Ciencias Físicas,28.7871212878712
URY,Uruguay,2022,Ciencias Sociales,14.4585541445855
VEN,Venezuela,2022,Ciencias de la Salud,32.6832683268327
VEN,Venezuela,2022,Ciencias de la Vida,23.4623462346235
VEN,Venezuela,2022,Ciencias Físicas,31.4831483148315
VEN,Venezuela,2022,Ciencias Sociales,12.3712371237124
LCN,América Latina y el Caribe,2022,Ciencias de la Salud,24.9740394600208
LCN,América Latina y el Caribe,2022,Ciencias de la Vida,25.5140186915888
LCN,América Latina y el Caribe,2022,Ciencias Físicas,35.3167185877466
LCN,América Latina y el Caribe,2022,Ciencias Sociales,14.1952232606438
RICYT_IBE,Iberoamérica,2022,Ciencias de la Salud,25.9183254668582
RICYT_IBE,Iberoamérica,2022,Ciencias de la Vida,24.4100143648676
RICYT_IBE,Iberoamérica,2022,Ciencias Físicas,34.8655858813872
RICYT_IBE,Iberoamérica,2022,Ciencias Sociales,14.8060742868869
