"geocodigoFundar","geonombreFundar","anio","categoria","indicador","porcentaje_pbi","porcentaje_total"
"DEU","Alemania","2024","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.54626","0.00000"
"DEU","Alemania","2024","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.21817","0.00000"
"DEU","Alemania","2024","Otros","Ingreso no percibido (Revenue Forgone)","0.02290","0.00000"
"América Latina y el Caribe","América Latina y el Caribe","1990","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1990","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1990","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1991","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1991","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1991","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1992","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1992","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1992","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1993","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1993","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1993","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1994","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1994","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1994","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1995","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1995","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1995","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1996","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1996","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1996","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1997","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1997","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1997","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1998","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1998","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1998","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1999","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1999","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","1999","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","2000","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","2000","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","2000","Otros","Ingreso no percibido (Revenue Forgone)","0.00000",""
"América Latina y el Caribe","América Latina y el Caribe","2001","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.55000",""
"América Latina y el Caribe","América Latina y el Caribe","2001","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.83000",""
"América Latina y el Caribe","América Latina y el Caribe","2001","Otros","Ingreso no percibido (Revenue Forgone)","0.06000",""
"América Latina y el Caribe","América Latina y el Caribe","2002","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.79000",""
"América Latina y el Caribe","América Latina y el Caribe","2002","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.99000",""
"América Latina y el Caribe","América Latina y el Caribe","2002","Otros","Ingreso no percibido (Revenue Forgone)","0.01000",""
"América Latina y el Caribe","América Latina y el Caribe","2003","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.76000",""
"América Latina y el Caribe","América Latina y el Caribe","2003","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.60000",""
"América Latina y el Caribe","América Latina y el Caribe","2003","Otros","Ingreso no percibido (Revenue Forgone)","0.06000",""
"América Latina y el Caribe","América Latina y el Caribe","2004","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.90000",""
"América Latina y el Caribe","América Latina y el Caribe","2004","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.62000",""
"América Latina y el Caribe","América Latina y el Caribe","2004","Otros","Ingreso no percibido (Revenue Forgone)","0.04000",""
"América Latina y el Caribe","América Latina y el Caribe","2005","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.22000",""
"América Latina y el Caribe","América Latina y el Caribe","2005","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.95000",""
"América Latina y el Caribe","América Latina y el Caribe","2005","Otros","Ingreso no percibido (Revenue Forgone)","0.08000",""
"América Latina y el Caribe","América Latina y el Caribe","2006","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.15000",""
"América Latina y el Caribe","América Latina y el Caribe","2006","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.86000",""
"América Latina y el Caribe","América Latina y el Caribe","2006","Otros","Ingreso no percibido (Revenue Forgone)","0.08000",""
"América Latina y el Caribe","América Latina y el Caribe","2007","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.49000",""
"América Latina y el Caribe","América Latina y el Caribe","2007","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.86000",""
"América Latina y el Caribe","América Latina y el Caribe","2007","Otros","Ingreso no percibido (Revenue Forgone)","0.08000",""
"América Latina y el Caribe","América Latina y el Caribe","2008","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","3.03000",""
"América Latina y el Caribe","América Latina y el Caribe","2008","Al ingreso","Ingreso no percibido (Revenue Forgone)","1.82000",""
