"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"AR-A","Salta","2010","Porcentaje del PBG","3.20442"
"AR-J","San Juan","2010","Porcentaje del PBG","1.81332"
"AR-D","San Luis","2010","Porcentaje del PBG","3.85297"
"AR-Z","Santa Cruz","2010","Porcentaje del PBG","2.62190"
"AR-S","Santa Fe","2010","Porcentaje del PBG","3.33995"
"AR-G","Santiago del Estero","2010","Porcentaje del PBG","1.57747"
"AR-V","Tierra del Fuego","2010","Porcentaje del PBG","3.23515"
"ARG","Total","2010","Porcentaje del PBG","3.71065"
"AR-T","Tucumán","2010","Porcentaje del PBG","4.60102"
"AR-B","Buenos Aires","2011","Porcentaje del PBG","4.54745"
"AR-C","CABA","2011","Porcentaje del PBG","4.20114"
"AR-K","Catamarca","2011","Porcentaje del PBG","2.59255"
"AR-H","Chaco","2011","Porcentaje del PBG","2.68921"
"AR-U","Chubut","2011","Porcentaje del PBG","2.88527"
"AR-W","Corrientes","2011","Porcentaje del PBG","2.70693"
"AR-X","Córdoba","2011","Porcentaje del PBG","3.71105"
"AR-E","Entre Ríos","2011","Porcentaje del PBG","2.22205"
"AR-P","Formosa","2011","Porcentaje del PBG","2.40327"
"AR-Y","Jujuy","2011","Porcentaje del PBG","2.32981"
"AR-L","La Pampa","2011","Porcentaje del PBG","2.84651"
"AR-F","La Rioja","2011","Porcentaje del PBG","1.67653"
"AR-M","Mendoza","2011","Porcentaje del PBG","3.14406"
"AR-N","Misiones","2011","Porcentaje del PBG","5.03000"
"AR-Q","Neuquén","2011","Porcentaje del PBG","4.19931"
"AR-R","Río Negro","2011","Porcentaje del PBG","3.17081"
"AR-A","Salta","2011","Porcentaje del PBG","3.38345"
"AR-J","San Juan","2011","Porcentaje del PBG","1.98142"
"AR-D","San Luis","2011","Porcentaje del PBG","3.77799"
"AR-Z","Santa Cruz","2011","Porcentaje del PBG","2.94286"
"AR-S","Santa Fe","2011","Porcentaje del PBG","3.49128"
"AR-G","Santiago del Estero","2011","Porcentaje del PBG","1.63858"
"AR-V","Tierra del Fuego","2011","Porcentaje del PBG","3.20222"
"ARG","Total","2011","Porcentaje del PBG","3.85779"
"AR-T","Tucumán","2011","Porcentaje del PBG","4.50774"
"AR-B","Buenos Aires","2012","Porcentaje del PBG","4.78122"
"AR-C","CABA","2012","Porcentaje del PBG","4.40075"
"AR-K","Catamarca","2012","Porcentaje del PBG","2.40238"
"AR-H","Chaco","2012","Porcentaje del PBG","2.69888"
"AR-U","Chubut","2012","Porcentaje del PBG","3.13157"
"AR-W","Corrientes","2012","Porcentaje del PBG","2.85057"
"AR-X","Córdoba","2012","Porcentaje del PBG","3.87829"
"AR-E","Entre Ríos","2012","Porcentaje del PBG","2.37760"
"AR-P","Formosa","2012","Porcentaje del PBG","2.53709"
"AR-Y","Jujuy","2012","Porcentaje del PBG","2.32069"
"AR-L","La Pampa","2012","Porcentaje del PBG","2.93586"
"AR-F","La Rioja","2012","Porcentaje del PBG","1.81092"
"AR-M","Mendoza","2012","Porcentaje del PBG","4.30186"
"AR-N","Misiones","2012","Porcentaje del PBG","5.81612"
"AR-Q","Neuquén","2012","Porcentaje del PBG","4.56289"
"AR-R","Río Negro","2012","Porcentaje del PBG","3.33517"
"AR-A","Salta","2012","Porcentaje del PBG","3.46977"
"AR-J","San Juan","2012","Porcentaje del PBG","2.19620"
"AR-D","San Luis","2012","Porcentaje del PBG","4.11495"
"AR-Z","Santa Cruz","2012","Porcentaje del PBG","3.27296"
"AR-S","Santa Fe","2012","Porcentaje del PBG","3.75825"
"AR-G","Santiago del Estero","2012","Porcentaje del PBG","1.82821"
"AR-V","Tierra del Fuego","2012","Porcentaje del PBG","3.20208"
"ARG","Total","2012","Porcentaje del PBG","4.12084"
"AR-T","Tucumán","2012","Porcentaje del PBG","5.28020"
"AR-B","Buenos Aires","2013","Porcentaje del PBG","5.63649"
"AR-C","CABA","2013","Porcentaje del PBG","5.00425"
"AR-K","Catamarca","2013","Porcentaje del PBG","2.64687"
"AR-H","Chaco","2013","Porcentaje del PBG","3.27121"
"AR-U","Chubut","2013","Porcentaje del PBG","3.54136"
"AR-W","Corrientes","2013","Porcentaje del PBG","2.92791"
"AR-X","Córdoba","2013","Porcentaje del PBG","4.29202"
"AR-E","Entre Ríos","2013","Porcentaje del PBG","2.71787"
"AR-P","Formosa","2013","Porcentaje del PBG","2.76330"
"AR-Y","Jujuy","2013","Porcentaje del PBG","2.90100"
"AR-L","La Pampa","2013","Porcentaje del PBG","3.26007"
"AR-F","La Rioja","2013","Porcentaje del PBG","1.77069"
"AR-M","Mendoza","2013","Porcentaje del PBG","5.37011"
"AR-N","Misiones","2013","Porcentaje del PBG","5.79825"
"AR-Q","Neuquén","2013","Porcentaje del PBG","5.27967"
"AR-R","Río Negro","2013","Porcentaje del PBG","3.75053"
"AR-A","Salta","2013","Porcentaje del PBG","3.94755"
"AR-J","San Juan","2013","Porcentaje del PBG","2.44023"
"AR-D","San Luis","2013","Porcentaje del PBG","4.23041"
"AR-Z","Santa Cruz","2013","Porcentaje del PBG","3.96698"
"AR-S","Santa Fe","2013","Porcentaje del PBG","4.12231"
"AR-G","Santiago del Estero","2013","Porcentaje del PBG","1.80358"
"AR-V","Tierra del Fuego","2013","Porcentaje del PBG","3.87173"
"ARG","Total","2013","Porcentaje del PBG","4.72284"
"AR-T","Tucumán","2013","Porcentaje del PBG","5.98736"
"AR-B","Buenos Aires","2014","Porcentaje del PBG","5.70760"
"AR-C","CABA","2014","Porcentaje del PBG","4.98932"
"AR-K","Catamarca","2014","Porcentaje del PBG","2.80010"
"AR-H","Chaco","2014","Porcentaje del PBG","3.32341"
"AR-U","Chubut","2014","Porcentaje del PBG","3.62195"
"AR-W","Corrientes","2014","Porcentaje del PBG","3.25191"
"AR-X","Córdoba","2014","Porcentaje del PBG","4.45937"
"AR-E","Entre Ríos","2014","Porcentaje del PBG","3.32691"
"AR-P","Formosa","2014","Porcentaje del PBG","2.89843"
"AR-Y","Jujuy","2014","Porcentaje del PBG","2.98470"
"AR-L","La Pampa","2014","Porcentaje del PBG","3.26519"
"AR-F","La Rioja","2014","Porcentaje del PBG","2.02292"
"AR-M","Mendoza","2014","Porcentaje del PBG","5.48661"
"AR-N","Misiones","2014","Porcentaje del PBG","8.08088"
"AR-Q","Neuquén","2014","Porcentaje del PBG","5.23747"
"AR-R","Río Negro","2014","Porcentaje del PBG","4.20230"
"AR-A","Salta","2014","Porcentaje del PBG","3.99769"
"AR-J","San Juan","2014","Porcentaje del PBG","2.35251"
"AR-D","San Luis","2014","Porcentaje del PBG","4.18332"
"AR-Z","Santa Cruz","2014","Porcentaje del PBG","4.09910"
"AR-S","Santa Fe","2014","Porcentaje del PBG","4.22376"
"AR-G","Santiago del Estero","2014","Porcentaje del PBG","1.53014"
"AR-V","Tierra del Fuego","2014","Porcentaje del PBG","3.96399"
"ARG","Total","2014","Porcentaje del PBG","4.81134"
"AR-T","Tucumán","2014","Porcentaje del PBG","6.01953"
"AR-B","Buenos Aires","2015","Porcentaje del PBG","5.66135"
"AR-C","CABA","2015","Porcentaje del PBG","4.72845"
"AR-K","Catamarca","2015","Porcentaje del PBG","3.12553"
"AR-H","Chaco","2015","Porcentaje del PBG","3.30616"
"AR-U","Chubut","2015","Porcentaje del PBG","4.03638"
"AR-W","Corrientes","2015","Porcentaje del PBG","3.40785"
"AR-X","Córdoba","2015","Porcentaje del PBG","4.37822"
"AR-E","Entre Ríos","2015","Porcentaje del PBG","3.29505"
"AR-P","Formosa","2015","Porcentaje del PBG","3.02331"
"AR-Y","Jujuy","2015","Porcentaje del PBG","3.03743"
"AR-L","La Pampa","2015","Porcentaje del PBG","3.30427"
"AR-F","La Rioja","2015","Porcentaje del PBG","2.31708"
"AR-M","Mendoza","2015","Porcentaje del PBG","5.27034"
"AR-N","Misiones","2015","Porcentaje del PBG","8.25763"
"AR-Q","Neuquén","2015","Porcentaje del PBG","5.24703"
"AR-R","Río Negro","2015","Porcentaje del PBG","3.97518"
"AR-A","Salta","2015","Porcentaje del PBG","4.02694"
"AR-J","San Juan","2015","Porcentaje del PBG","2.42478"
"AR-D","San Luis","2015","Porcentaje del PBG","4.01443"
"AR-Z","Santa Cruz","2015","Porcentaje del PBG","3.67913"
"AR-S","Santa Fe","2015","Porcentaje del PBG","4.35930"
"AR-G","Santiago del Estero","2015","Porcentaje del PBG","1.72784"
"AR-V","Tierra del Fuego","2015","Porcentaje del PBG","3.92456"
"ARG","Total","2015","Porcentaje del PBG","4.76097"
"AR-T","Tucumán","2015","Porcentaje del PBG","6.07227"
"AR-B","Buenos Aires","2016","Porcentaje del PBG","5.38945"
"AR-C","CABA","2016","Porcentaje del PBG","4.57181"
"AR-K","Catamarca","2016","Porcentaje del PBG","3.05801"
"AR-H","Chaco","2016","Porcentaje del PBG","3.60860"
"AR-U","Chubut","2016","Porcentaje del PBG","3.35511"
"AR-W","Corrientes","2016","Porcentaje del PBG","3.30098"
"AR-X","Córdoba","2016","Porcentaje del PBG","4.00796"
"AR-E","Entre Ríos","2016","Porcentaje del PBG","3.16358"
"AR-P","Formosa","2016","Porcentaje del PBG","2.84133"
"AR-Y","Jujuy","2016","Porcentaje del PBG","2.98931"
"AR-L","La Pampa","2016","Porcentaje del PBG","3.38533"
"AR-F","La Rioja","2016","Porcentaje del PBG","2.29611"
"AR-M","Mendoza","2016","Porcentaje del PBG","5.17388"
"AR-N","Misiones","2016","Porcentaje del PBG","7.58051"
"AR-Q","Neuquén","2016","Porcentaje del PBG","5.48197"
"AR-R","Río Negro","2016","Porcentaje del PBG","4.01529"
"AR-A","Salta","2016","Porcentaje del PBG","3.97684"
"AR-J","San Juan","2016","Porcentaje del PBG","2.25081"
"AR-D","San Luis","2016","Porcentaje del PBG","3.93189"
"AR-Z","Santa Cruz","2016","Porcentaje del PBG","3.66864"
"AR-S","Santa Fe","2016","Porcentaje del PBG","4.64001"
"AR-G","Santiago del Estero","2016","Porcentaje del PBG","1.47290"
"AR-V","Tierra del Fuego","2016","Porcentaje del PBG","3.90050"
"ARG","Total","2016","Porcentaje del PBG","4.59145"
"AR-T","Tucumán","2016","Porcentaje del PBG","5.75076"
"AR-B","Buenos Aires","2017","Porcentaje del PBG","5.54195"
"AR-C","CABA","2017","Porcentaje del PBG","4.68511"
"AR-K","Catamarca","2017","Porcentaje del PBG","3.30847"
"AR-H","Chaco","2017","Porcentaje del PBG","3.78506"
"AR-U","Chubut","2017","Porcentaje del PBG","3.41545"
"AR-W","Corrientes","2017","Porcentaje del PBG","3.19380"
"AR-X","Córdoba","2017","Porcentaje del PBG","4.20472"
"AR-E","Entre Ríos","2017","Porcentaje del PBG","3.52674"
"AR-P","Formosa","2017","Porcentaje del PBG","3.00491"
"AR-Y","Jujuy","2017","Porcentaje del PBG","3.29080"
"AR-L","La Pampa","2017","Porcentaje del PBG","3.80362"
"AR-F","La Rioja","2017","Porcentaje del PBG","2.19292"
"AR-M","Mendoza","2017","Porcentaje del PBG","5.27592"
"AR-N","Misiones","2017","Porcentaje del PBG","7.45604"
"AR-Q","Neuquén","2017","Porcentaje del PBG","5.21504"
"AR-R","Río Negro","2017","Porcentaje del PBG","4.00038"
"AR-A","Salta","2017","Porcentaje del PBG","4.12225"
"AR-J","San Juan","2017","Porcentaje del PBG","2.32627"
"AR-D","San Luis","2017","Porcentaje del PBG","4.17673"
"AR-Z","Santa Cruz","2017","Porcentaje del PBG","3.87140"
"AR-S","Santa Fe","2017","Porcentaje del PBG","4.63007"
"AR-G","Santiago del Estero","2017","Porcentaje del PBG","1.64376"
"AR-V","Tierra del Fuego","2017","Porcentaje del PBG","3.89519"
"ARG","Total","2017","Porcentaje del PBG","4.70702"
"AR-T","Tucumán","2017","Porcentaje del PBG","5.64057"
"AR-B","Buenos Aires","2018","Porcentaje del PBG","5.00399"
"AR-C","CABA","2018","Porcentaje del PBG","4.79551"
"AR-K","Catamarca","2018","Porcentaje del PBG","3.25032"
"AR-H","Chaco","2018","Porcentaje del PBG","3.26013"
"AR-U","Chubut","2018","Porcentaje del PBG","3.29403"
"AR-W","Corrientes","2018","Porcentaje del PBG","2.94108"
"AR-X","Córdoba","2018","Porcentaje del PBG","4.09358"
"AR-E","Entre Ríos","2018","Porcentaje del PBG","3.54356"
"AR-P","Formosa","2018","Porcentaje del PBG","2.91908"
"AR-Y","Jujuy","2018","Porcentaje del PBG","3.23438"
"AR-L","La Pampa","2018","Porcentaje del PBG","3.74369"
"AR-F","La Rioja","2018","Porcentaje del PBG","2.35072"
"AR-M","Mendoza","2018","Porcentaje del PBG","4.69149"
"AR-N","Misiones","2018","Porcentaje del PBG","7.37286"
"AR-Q","Neuquén","2018","Porcentaje del PBG","5.75006"
"AR-R","Río Negro","2018","Porcentaje del PBG","4.12321"
"AR-A","Salta","2018","Porcentaje del PBG","4.91448"
"AR-J","San Juan","2018","Porcentaje del PBG","2.34923"
"AR-D","San Luis","2018","Porcentaje del PBG","4.06186"
"AR-Z","Santa Cruz","2018","Porcentaje del PBG","3.47573"
"AR-S","Santa Fe","2018","Porcentaje del PBG","4.51688"
"AR-G","Santiago del Estero","2018","Porcentaje del PBG","1.67049"
"AR-V","Tierra del Fuego","2018","Porcentaje del PBG","3.80314"
"ARG","Total","2018","Porcentaje del PBG","4.54329"
"AR-T","Tucumán","2018","Porcentaje del PBG","5.81402"
"AR-B","Buenos Aires","2019","Porcentaje del PBG","4.74710"
"AR-C","CABA","2019","Porcentaje del PBG","4.64777"
"AR-K","Catamarca","2019","Porcentaje del PBG","3.50523"
"AR-H","Chaco","2019","Porcentaje del PBG","2.90824"
"AR-U","Chubut","2019","Porcentaje del PBG","3.17106"
"AR-W","Corrientes","2019","Porcentaje del PBG","2.83113"
"AR-X","Córdoba","2019","Porcentaje del PBG","3.62986"
"AR-E","Entre Ríos","2019","Porcentaje del PBG","3.41627"
"AR-P","Formosa","2019","Porcentaje del PBG","2.85973"
"AR-Y","Jujuy","2019","Porcentaje del PBG","2.86139"
"AR-L","La Pampa","2019","Porcentaje del PBG","3.84104"
"AR-F","La Rioja","2019","Porcentaje del PBG","2.09798"
"AR-M","Mendoza","2019","Porcentaje del PBG","4.56011"
"AR-N","Misiones","2019","Porcentaje del PBG","7.51598"
"AR-Q","Neuquén","2019","Porcentaje del PBG","5.78351"
"AR-R","Río Negro","2019","Porcentaje del PBG","4.15008"
"AR-A","Salta","2019","Porcentaje del PBG","4.56520"
"AR-J","San Juan","2019","Porcentaje del PBG","2.30621"
"AR-D","San Luis","2019","Porcentaje del PBG","3.93402"
"AR-Z","Santa Cruz","2019","Porcentaje del PBG","3.23028"
"AR-S","Santa Fe","2019","Porcentaje del PBG","4.41412"
"AR-G","Santiago del Estero","2019","Porcentaje del PBG","1.71768"
"AR-V","Tierra del Fuego","2019","Porcentaje del PBG","3.29074"
"ARG","Total","2019","Porcentaje del PBG","4.34329"
"AR-T","Tucumán","2019","Porcentaje del PBG","5.41605"
"AR-B","Buenos Aires","2020","Porcentaje del PBG","4.78891"
"AR-C","CABA","2020","Porcentaje del PBG","5.25616"
"AR-K","Catamarca","2020","Porcentaje del PBG","3.51502"
"AR-H","Chaco","2020","Porcentaje del PBG","3.00054"
"AR-U","Chubut","2020","Porcentaje del PBG","3.16806"
"AR-W","Corrientes","2020","Porcentaje del PBG","3.05160"
"AR-X","Córdoba","2020","Porcentaje del PBG","4.37882"
"AR-E","Entre Ríos","2020","Porcentaje del PBG","3.46061"
"AR-P","Formosa","2020","Porcentaje del PBG","2.93372"
"AR-Y","Jujuy","2020","Porcentaje del PBG","2.73212"
"AR-L","La Pampa","2020","Porcentaje del PBG","4.18066"
"AR-F","La Rioja","2020","Porcentaje del PBG","2.11951"
"AR-M","Mendoza","2020","Porcentaje del PBG","4.65189"
"AR-N","Misiones","2020","Porcentaje del PBG","10.21420"
"AR-Q","Neuquén","2020","Porcentaje del PBG","5.40046"
"AR-R","Río Negro","2020","Porcentaje del PBG","3.95329"
"AR-A","Salta","2020","Porcentaje del PBG","4.66498"
"AR-J","San Juan","2020","Porcentaje del PBG","2.36187"
"AR-D","San Luis","2020","Porcentaje del PBG","4.16823"
"AR-Z","Santa Cruz","2020","Porcentaje del PBG","3.24759"
"AR-S","Santa Fe","2020","Porcentaje del PBG","4.80268"
"AR-G","Santiago del Estero","2020","Porcentaje del PBG","1.73904"
"AR-V","Tierra del Fuego","2020","Porcentaje del PBG","2.86606"
"ARG","Total","2020","Porcentaje del PBG","4.62465"
"AR-T","Tucumán","2020","Porcentaje del PBG","6.04154"
"AR-B","Buenos Aires","2021","Porcentaje del PBG","4.77171"
"AR-C","CABA","2021","Porcentaje del PBG","5.34326"
"AR-K","Catamarca","2021","Porcentaje del PBG","3.54140"
"AR-H","Chaco","2021","Porcentaje del PBG","3.12053"
"AR-U","Chubut","2021","Porcentaje del PBG","3.48983"
"AR-W","Corrientes","2021","Porcentaje del PBG","3.20943"
"AR-X","Córdoba","2021","Porcentaje del PBG","4.07074"
"AR-E","Entre Ríos","2021","Porcentaje del PBG","3.66289"
"AR-P","Formosa","2021","Porcentaje del PBG","3.38300"
