"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"MEX","México","1992","Porcentaje del PBI","12.19628"
"PRY","Paraguay","1992","Porcentaje del PBI","8.49089"
"OECD","Países miembros de OCDE","1992","Porcentaje del PBI","31.53925"
"PER","Perú","1992","Porcentaje del PBI","14.10460"
"URY","Uruguay","1992","Porcentaje del PBI","20.04688"
"LAC","América Latina y el Caribe","1993","Porcentaje del PBI","15.25415"
"ARG","Argentina","1993","Porcentaje del PBI","19.34348"
"BOL","Bolivia","1993","Porcentaje del PBI","9.38513"
"BRA","Brasil","1993","Porcentaje del PBI","25.21580"
"CHL","Chile","1993","Porcentaje del PBI","18.52744"
"COL","Colombia","1993","Porcentaje del PBI","14.37237"
"CRI","Costa Rica","1993","Porcentaje del PBI","18.79832"
"ECU","Ecuador","1993","Porcentaje del PBI","7.71871"
"MEX","México","1993","Porcentaje del PBI","11.33542"
"PRY","Paraguay","1993","Porcentaje del PBI","8.85076"
"OECD","Países miembros de OCDE","1993","Porcentaje del PBI","31.91928"
"PER","Perú","1993","Porcentaje del PBI","13.93175"
"URY","Uruguay","1993","Porcentaje del PBI","19.60767"
"LAC","América Latina y el Caribe","1994","Porcentaje del PBI","15.54208"
"ARG","Argentina","1994","Porcentaje del PBI","19.19753"
"BOL","Bolivia","1994","Porcentaje del PBI","10.94253"
"BRA","Brasil","1994","Porcentaje del PBI","29.10242"
"CHL","Chile","1994","Porcentaje del PBI","18.27960"
"COL","Colombia","1994","Porcentaje del PBI","15.74492"
"CRI","Costa Rica","1994","Porcentaje del PBI","19.58553"
"ECU","Ecuador","1994","Porcentaje del PBI","7.98178"
"MEX","México","1994","Porcentaje del PBI","11.44239"
"PRY","Paraguay","1994","Porcentaje del PBI","10.62947"
"OECD","Países miembros de OCDE","1994","Porcentaje del PBI","31.94967"
"PER","Perú","1994","Porcentaje del PBI","15.44776"
"URY","Uruguay","1994","Porcentaje del PBI","19.36019"
"LAC","América Latina y el Caribe","1995","Porcentaje del PBI","15.76745"
"ARG","Argentina","1995","Porcentaje del PBI","18.12522"
"BOL","Bolivia","1995","Porcentaje del PBI","12.21139"
"BRA","Brasil","1995","Porcentaje del PBI","26.77454"
"CHL","Chile","1995","Porcentaje del PBI","18.17587"
"COL","Colombia","1995","Porcentaje del PBI","16.03204"
"CRI","Costa Rica","1995","Porcentaje del PBI","18.92693"
"ECU","Ecuador","1995","Porcentaje del PBI","8.30057"
"MEX","México","1995","Porcentaje del PBI","9.57542"
"PRY","Paraguay","1995","Porcentaje del PBI","12.10087"
"OECD","Países miembros de OCDE","1995","Porcentaje del PBI","32.11053"
"PER","Perú","1995","Porcentaje del PBI","15.76712"
"URY","Uruguay","1995","Porcentaje del PBI","19.60914"
"LAC","América Latina y el Caribe","1996","Porcentaje del PBI","15.81136"
"ARG","Argentina","1996","Porcentaje del PBI","17.65954"
"BOL","Bolivia","1996","Porcentaje del PBI","12.42684"
"BRA","Brasil","1996","Porcentaje del PBI","25.92436"
"CHL","Chile","1996","Porcentaje del PBI","19.40823"
"COL","Colombia","1996","Porcentaje del PBI","16.70765"
"CRI","Costa Rica","1996","Porcentaje del PBI","19.86161"
"ECU","Ecuador","1996","Porcentaje del PBI","7.47849"
"MEX","México","1996","Porcentaje del PBI","9.42618"
"PRY","Paraguay","1996","Porcentaje del PBI","11.35264"
"OECD","Países miembros de OCDE","1996","Porcentaje del PBI","32.31952"
"PER","Perú","1996","Porcentaje del PBI","16.22001"
"URY","Uruguay","1996","Porcentaje del PBI","19.80069"
"LAC","América Latina y el Caribe","1997","Porcentaje del PBI","16.13076"
"ARG","Argentina","1997","Porcentaje del PBI","18.44783"
"BOL","Bolivia","1997","Porcentaje del PBI","13.40775"
"BRA","Brasil","1997","Porcentaje del PBI","26.07959"
"CHL","Chile","1997","Porcentaje del PBI","18.87626"
"COL","Colombia","1997","Porcentaje del PBI","17.38175"
"CRI","Costa Rica","1997","Porcentaje del PBI","20.15327"
"ECU","Ecuador","1997","Porcentaje del PBI","8.38350"
"MEX","México","1997","Porcentaje del PBI","10.03779"
"PRY","Paraguay","1997","Porcentaje del PBI","11.35081"
"OECD","Países miembros de OCDE","1997","Porcentaje del PBI","32.57793"
"PER","Perú","1997","Porcentaje del PBI","16.92561"
"URY","Uruguay","1997","Porcentaje del PBI","20.38837"
"LAC","América Latina y el Caribe","1998","Porcentaje del PBI","16.14649"
"ARG","Argentina","1998","Porcentaje del PBI","18.81372"
"BOL","Bolivia","1998","Porcentaje del PBI","14.86410"
"BRA","Brasil","1998","Porcentaje del PBI","26.63598"
"CHL","Chile","1998","Porcentaje del PBI","18.73947"
"COL","Colombia","1998","Porcentaje del PBI","16.35214"
"CRI","Costa Rica","1998","Porcentaje del PBI","20.46613"
"ECU","Ecuador","1998","Porcentaje del PBI","9.46687"
"MEX","México","1998","Porcentaje del PBI","10.35437"
"PRY","Paraguay","1998","Porcentaje del PBI","10.80892"
"OECD","Países miembros de OCDE","1998","Porcentaje del PBI","32.73104"
"PER","Perú","1998","Porcentaje del PBI","16.09730"
"URY","Uruguay","1998","Porcentaje del PBI","20.49066"
"LAC","América Latina y el Caribe","1999","Porcentaje del PBI","16.41753"
"ARG","Argentina","1999","Porcentaje del PBI","18.93376"
"BOL","Bolivia","1999","Porcentaje del PBI","14.01189"
"BRA","Brasil","1999","Porcentaje del PBI","27.92453"
"CHL","Chile","1999","Porcentaje del PBI","17.97814"
"COL","Colombia","1999","Porcentaje del PBI","16.20364"
"CRI","Costa Rica","1999","Porcentaje del PBI","21.19925"
"ECU","Ecuador","1999","Porcentaje del PBI","10.13886"
"MEX","México","1999","Porcentaje del PBI","11.15207"
"PRY","Paraguay","1999","Porcentaje del PBI","11.59194"
"OECD","Países miembros de OCDE","1999","Porcentaje del PBI","32.97354"
"PER","Perú","1999","Porcentaje del PBI","15.31929"
"URY","Uruguay","1999","Porcentaje del PBI","21.32361"
"LAC","América Latina y el Caribe","2000","Porcentaje del PBI","16.83119"
"ARG","Argentina","2000","Porcentaje del PBI","19.22330"
"BOL","Bolivia","2000","Porcentaje del PBI","17.62180"
"BRA","Brasil","2000","Porcentaje del PBI","29.39357"
"CHL","Chile","2000","Porcentaje del PBI","18.71845"
"COL","Colombia","2000","Porcentaje del PBI","15.68287"
"CRI","Costa Rica","2000","Porcentaje del PBI","21.13905"
"ECU","Ecuador","2000","Porcentaje del PBI","12.12087"
"MEX","México","2000","Porcentaje del PBI","10.93429"
"PRY","Paraguay","2000","Porcentaje del PBI","11.61962"
"OECD","Países miembros de OCDE","2000","Porcentaje del PBI","32.92068"
"PER","Perú","2000","Porcentaje del PBI","15.08313"
"URY","Uruguay","2000","Porcentaje del PBI","21.30366"
"LAC","América Latina y el Caribe","2001","Porcentaje del PBI","17.14059"
"ARG","Argentina","2001","Porcentaje del PBI","18.73227"
"BOL","Bolivia","2001","Porcentaje del PBI","16.57934"
"BRA","Brasil","2001","Porcentaje del PBI","30.44974"
"CHL","Chile","2001","Porcentaje del PBI","18.90321"
"COL","Colombia","2001","Porcentaje del PBI","17.32806"
"CRI","Costa Rica","2001","Porcentaje del PBI","21.76336"
"ECU","Ecuador","2001","Porcentaje del PBI","13.83930"
"MEX","México","2001","Porcentaje del PBI","11.59121"
"PRY","Paraguay","2001","Porcentaje del PBI","10.75488"
"OECD","Países miembros de OCDE","2001","Porcentaje del PBI","32.45540"
"PER","Perú","2001","Porcentaje del PBI","15.04645"
"URY","Uruguay","2001","Porcentaje del PBI","21.55583"
"LAC","América Latina y el Caribe","2002","Porcentaje del PBI","17.19183"
"ARG","Argentina","2002","Porcentaje del PBI","17.81786"
"BOL","Bolivia","2002","Porcentaje del PBI","16.88964"
"BRA","Brasil","2002","Porcentaje del PBI","31.35571"
"CHL","Chile","2002","Porcentaje del PBI","18.93974"
"COL","Colombia","2002","Porcentaje del PBI","17.15313"
"CRI","Costa Rica","2002","Porcentaje del PBI","21.83888"
"ECU","Ecuador","2002","Porcentaje del PBI","14.63935"
"MEX","México","2002","Porcentaje del PBI","12.00986"
"PRY","Paraguay","2002","Porcentaje del PBI","9.50479"
"OECD","Países miembros de OCDE","2002","Porcentaje del PBI","32.27968"
"PER","Perú","2002","Porcentaje del PBI","14.73929"
"URY","Uruguay","2002","Porcentaje del PBI","21.14224"
"LAC","América Latina y el Caribe","2003","Porcentaje del PBI","17.52593"
"ARG","Argentina","2003","Porcentaje del PBI","20.96360"
"BOL","Bolivia","2003","Porcentaje del PBI","16.34168"
"BRA","Brasil","2003","Porcentaje del PBI","30.59384"
"CHL","Chile","2003","Porcentaje del PBI","18.62679"
"COL","Colombia","2003","Porcentaje del PBI","17.29150"
"CRI","Costa Rica","2003","Porcentaje del PBI","21.84244"
"ECU","Ecuador","2003","Porcentaje del PBI","13.82300"
"MEX","México","2003","Porcentaje del PBI","12.07128"
"PRY","Paraguay","2003","Porcentaje del PBI","9.92470"
"OECD","Países miembros de OCDE","2003","Porcentaje del PBI","32.16595"
"PER","Perú","2003","Porcentaje del PBI","15.46602"
"URY","Uruguay","2003","Porcentaje del PBI","21.77846"
"LAC","América Latina y el Caribe","2004","Porcentaje del PBI","18.00469"
"ARG","Argentina","2004","Porcentaje del PBI","24.32660"
"BOL","Bolivia","2004","Porcentaje del PBI","18.68994"
"BRA","Brasil","2004","Porcentaje del PBI","31.51538"
"CHL","Chile","2004","Porcentaje del PBI","19.11152"
"COL","Colombia","2004","Porcentaje del PBI","17.96861"
"CRI","Costa Rica","2004","Porcentaje del PBI","21.32570"
"ECU","Ecuador","2004","Porcentaje del PBI","13.77437"
"MEX","México","2004","Porcentaje del PBI","11.03385"
"PRY","Paraguay","2004","Porcentaje del PBI","10.96566"
"OECD","Países miembros de OCDE","2004","Porcentaje del PBI","32.16636"
"PER","Perú","2004","Porcentaje del PBI","15.68142"
"URY","Uruguay","2004","Porcentaje del PBI","22.26743"
"LAC","América Latina y el Caribe","2005","Porcentaje del PBI","18.55164"
"ARG","Argentina","2005","Porcentaje del PBI","24.53156"
"BOL","Bolivia","2005","Porcentaje del PBI","19.95441"
"BRA","Brasil","2005","Porcentaje del PBI","32.67547"
"CHL","Chile","2005","Porcentaje del PBI","20.83496"
"COL","Colombia","2005","Porcentaje del PBI","18.25889"
"CRI","Costa Rica","2005","Porcentaje del PBI","21.76996"
"ECU","Ecuador","2005","Porcentaje del PBI","14.21198"
"MEX","México","2005","Porcentaje del PBI","10.86526"
"PRY","Paraguay","2005","Porcentaje del PBI","10.67120"
"OECD","Países miembros de OCDE","2005","Porcentaje del PBI","32.63745"
"PER","Perú","2005","Porcentaje del PBI","16.40918"
"URY","Uruguay","2005","Porcentaje del PBI","22.91452"
"LAC","América Latina y el Caribe","2006","Porcentaje del PBI","19.08306"
"ARG","Argentina","2006","Porcentaje del PBI","25.07923"
"BOL","Bolivia","2006","Porcentaje del PBI","19.26902"
"BRA","Brasil","2006","Porcentaje del PBI","32.42133"
"CHL","Chile","2006","Porcentaje del PBI","22.11411"
"COL","Colombia","2006","Porcentaje del PBI","19.26721"
"CRI","Costa Rica","2006","Porcentaje del PBI","22.04662"
"ECU","Ecuador","2006","Porcentaje del PBI","14.90980"
"MEX","México","2006","Porcentaje del PBI","11.07777"
"PRY","Paraguay","2006","Porcentaje del PBI","11.23776"
"OECD","Países miembros de OCDE","2006","Porcentaje del PBI","32.76596"
"PER","Perú","2006","Porcentaje del PBI","17.88323"
"URY","Uruguay","2006","Porcentaje del PBI","24.10608"
"LAC","América Latina y el Caribe","2007","Porcentaje del PBI","19.66495"
"ARG","Argentina","2007","Porcentaje del PBI","26.36831"
"BOL","Bolivia","2007","Porcentaje del PBI","19.83198"
"BRA","Brasil","2007","Porcentaje del PBI","32.79248"
"CHL","Chile","2007","Porcentaje del PBI","22.84725"
"COL","Colombia","2007","Porcentaje del PBI","19.29902"
"CRI","Costa Rica","2007","Porcentaje del PBI","23.13621"
"ECU","Ecuador","2007","Porcentaje del PBI","15.49346"
"MEX","México","2007","Porcentaje del PBI","11.47282"
"PRY","Paraguay","2007","Porcentaje del PBI","10.75957"
"OECD","Países miembros de OCDE","2007","Porcentaje del PBI","32.85920"
"PER","Perú","2007","Porcentaje del PBI","18.31383"
"URY","Uruguay","2007","Porcentaje del PBI","23.54336"
"LAC","América Latina y el Caribe","2008","Porcentaje del PBI","19.80235"
"ARG","Argentina","2008","Porcentaje del PBI","27.62396"
"BOL","Bolivia","2008","Porcentaje del PBI","21.16191"
"BRA","Brasil","2008","Porcentaje del PBI","32.65505"
"CHL","Chile","2008","Porcentaje del PBI","21.40280"
"COL","Colombia","2008","Porcentaje del PBI","19.03183"
"CRI","Costa Rica","2008","Porcentaje del PBI","23.69224"
"ECU","Ecuador","2008","Porcentaje del PBI","15.06632"
"MEX","México","2008","Porcentaje del PBI","12.04002"
"PRY","Paraguay","2008","Porcentaje del PBI","10.93929"
"OECD","Países miembros de OCDE","2008","Porcentaje del PBI","32.24518"
"PER","Perú","2008","Porcentaje del PBI","18.72730"
"URY","Uruguay","2008","Porcentaje del PBI","24.04384"
"LAC","América Latina y el Caribe","2009","Porcentaje del PBI","19.26418"
"ARG","Argentina","2009","Porcentaje del PBI","28.92403"
"BOL","Bolivia","2009","Porcentaje del PBI","21.67079"
"BRA","Brasil","2009","Porcentaje del PBI","31.17679"
"CHL","Chile","2009","Porcentaje del PBI","17.39718"
"COL","Colombia","2009","Porcentaje del PBI","18.81680"
"CRI","Costa Rica","2009","Porcentaje del PBI","22.10820"
"ECU","Ecuador","2009","Porcentaje del PBI","16.30971"
"MEX","México","2009","Porcentaje del PBI","11.89391"
"PRY","Paraguay","2009","Porcentaje del PBI","11.46326"
"OECD","Países miembros de OCDE","2009","Porcentaje del PBI","31.48490"
"PER","Perú","2009","Porcentaje del PBI","16.56686"
"URY","Uruguay","2009","Porcentaje del PBI","23.84777"
"LAC","América Latina y el Caribe","2010","Porcentaje del PBI","19.70092"
"ARG","Argentina","2010","Porcentaje del PBI","29.06707"
"BOL","Bolivia","2010","Porcentaje del PBI","22.88201"
"BRA","Brasil","2010","Porcentaje del PBI","31.69506"
"CHL","Chile","2010","Porcentaje del PBI","19.69291"
"COL","Colombia","2010","Porcentaje del PBI","18.09641"
"CRI","Costa Rica","2010","Porcentaje del PBI","22.13092"
"ECU","Ecuador","2010","Porcentaje del PBI","17.15806"
"MEX","México","2010","Porcentaje del PBI","12.28683"
"PRY","Paraguay","2010","Porcentaje del PBI","12.11417"
"OECD","Países miembros de OCDE","2010","Porcentaje del PBI","31.52188"
"PER","Perú","2010","Porcentaje del PBI","17.49411"
"URY","Uruguay","2010","Porcentaje del PBI","24.15029"
"LAC","América Latina y el Caribe","2011","Porcentaje del PBI","20.06706"
"ARG","Argentina","2011","Porcentaje del PBI","29.29883"
"BOL","Bolivia","2011","Porcentaje del PBI","25.11461"
"BRA","Brasil","2011","Porcentaje del PBI","32.52011"
"CHL","Chile","2011","Porcentaje del PBI","21.19536"
"COL","Colombia","2011","Porcentaje del PBI","18.93186"
"CRI","Costa Rica","2011","Porcentaje del PBI","22.64932"
"ECU","Ecuador","2011","Porcentaje del PBI","17.73434"
"MEX","México","2011","Porcentaje del PBI","12.26284"
"PRY","Paraguay","2011","Porcentaje del PBI","12.84059"
"OECD","Países miembros de OCDE","2011","Porcentaje del PBI","31.89654"
"PER","Perú","2011","Porcentaje del PBI","18.29905"
"URY","Uruguay","2011","Porcentaje del PBI","24.48977"
"LAC","América Latina y el Caribe","2012","Porcentaje del PBI","20.22920"
"ARG","Argentina","2012","Porcentaje del PBI","30.63524"
"BOL","Bolivia","2012","Porcentaje del PBI","25.90591"
"BRA","Brasil","2012","Porcentaje del PBI","31.79611"
"CHL","Chile","2012","Porcentaje del PBI","21.32343"
"COL","Colombia","2012","Porcentaje del PBI","19.72053"
"CRI","Costa Rica","2012","Porcentaje del PBI","22.56504"
"ECU","Ecuador","2012","Porcentaje del PBI","19.72975"
"MEX","México","2012","Porcentaje del PBI","12.10485"
"PRY","Paraguay","2012","Porcentaje del PBI","13.40589"
"OECD","Países miembros de OCDE","2012","Porcentaje del PBI","32.36181"
"PER","Perú","2012","Porcentaje del PBI","18.78181"
"URY","Uruguay","2012","Porcentaje del PBI","24.75459"
"LAC","América Latina y el Caribe","2013","Porcentaje del PBI","20.34345"
"ARG","Argentina","2013","Porcentaje del PBI","31.17895"
"BOL","Bolivia","2013","Porcentaje del PBI","26.72973"
"BRA","Brasil","2013","Porcentaje del PBI","31.74267"
"CHL","Chile","2013","Porcentaje del PBI","19.93914"
"COL","Colombia","2013","Porcentaje del PBI","20.02204"
"CRI","Costa Rica","2013","Porcentaje del PBI","22.97886"
"ECU","Ecuador","2013","Porcentaje del PBI","18.71482"
"MEX","México","2013","Porcentaje del PBI","12.77280"
"PRY","Paraguay","2013","Porcentaje del PBI","12.68715"
"OECD","Países miembros de OCDE","2013","Porcentaje del PBI","32.64406"
"PER","Perú","2013","Porcentaje del PBI","18.62567"
"URY","Uruguay","2013","Porcentaje del PBI","25.24550"
"LAC","América Latina y el Caribe","2014","Porcentaje del PBI","20.27270"
"ARG","Argentina","2014","Porcentaje del PBI","31.12297"
"BOL","Bolivia","2014","Porcentaje del PBI","27.85403"
"BRA","Brasil","2014","Porcentaje del PBI","31.04315"
"CHL","Chile","2014","Porcentaje del PBI","19.69920"
"COL","Colombia","2014","Porcentaje del PBI","19.55038"
"CRI","Costa Rica","2014","Porcentaje del PBI","22.60940"
"ECU","Ecuador","2014","Porcentaje del PBI","19.02020"
"MEX","México","2014","Porcentaje del PBI","13.20060"
"PRY","Paraguay","2014","Porcentaje del PBI","13.81729"
"OECD","Países miembros de OCDE","2014","Porcentaje del PBI","32.85774"
"PER","Perú","2014","Porcentaje del PBI","18.81287"
"URY","Uruguay","2014","Porcentaje del PBI","25.14850"
"LAC","América Latina y el Caribe","2015","Porcentaje del PBI","20.80293"
"ARG","Argentina","2015","Porcentaje del PBI","31.45372"
"BOL","Bolivia","2015","Porcentaje del PBI","29.49762"
"BRA","Brasil","2015","Porcentaje del PBI","31.26345"
"CHL","Chile","2015","Porcentaje del PBI","20.50999"
"COL","Colombia","2015","Porcentaje del PBI","19.90298"
"CRI","Costa Rica","2015","Porcentaje del PBI","22.94708"
"ECU","Ecuador","2015","Porcentaje del PBI","22.28246"
"MEX","México","2015","Porcentaje del PBI","15.35982"
"PRY","Paraguay","2015","Porcentaje del PBI","13.71793"
"OECD","Países miembros de OCDE","2015","Porcentaje del PBI","32.92214"
"PER","Perú","2015","Porcentaje del PBI","17.00079"
"URY","Uruguay","2015","Porcentaje del PBI","25.07564"
"LAC","América Latina y el Caribe","2016","Porcentaje del PBI","20.66489"
"ARG","Argentina","2016","Porcentaje del PBI","30.67257"
"BOL","Bolivia","2016","Porcentaje del PBI","27.92458"
"BRA","Brasil","2016","Porcentaje del PBI","31.52649"
"CHL","Chile","2016","Porcentaje del PBI","20.22341"
"COL","Colombia","2016","Porcentaje del PBI","19.07889"
"CRI","Costa Rica","2016","Porcentaje del PBI","23.48604"
"ECU","Ecuador","2016","Porcentaje del PBI","20.32726"
"MEX","México","2016","Porcentaje del PBI","16.10553"
"PRY","Paraguay","2016","Porcentaje del PBI","13.42127"
"OECD","Países miembros de OCDE","2016","Porcentaje del PBI","33.55773"
"PER","Perú","2016","Porcentaje del PBI","15.66884"
"URY","Uruguay","2016","Porcentaje del PBI","25.48634"
"LAC","América Latina y el Caribe","2017","Porcentaje del PBI","20.64688"
"ARG","Argentina","2017","Porcentaje del PBI","30.04056"
"BOL","Bolivia","2017","Porcentaje del PBI","25.87791"
"BRA","Brasil","2017","Porcentaje del PBI","31.65161"
"CHL","Chile","2017","Porcentaje del PBI","20.22254"
"COL","Colombia","2017","Porcentaje del PBI","18.98331"
"CRI","Costa Rica","2017","Porcentaje del PBI","22.98428"
"ECU","Ecuador","2017","Porcentaje del PBI","20.13619"
"MEX","México","2017","Porcentaje del PBI","15.65051"
"PRY","Paraguay","2017","Porcentaje del PBI","14.02469"
"OECD","Países miembros de OCDE","2017","Porcentaje del PBI","33.31605"
"PER","Perú","2017","Porcentaje del PBI","14.94607"
"URY","Uruguay","2017","Porcentaje del PBI","26.54849"
"LAC","América Latina y el Caribe","2018","Porcentaje del PBI","21.07857"
"ARG","Argentina","2018","Porcentaje del PBI","28.51320"
"BOL","Bolivia","2018","Porcentaje del PBI","24.97788"
"BRA","Brasil","2018","Porcentaje del PBI","31.91091"
"CHL","Chile","2018","Porcentaje del PBI","21.28156"
"COL","Colombia","2018","Porcentaje del PBI","19.26520"
"CRI","Costa Rica","2018","Porcentaje del PBI","23.15717"
"ECU","Ecuador","2018","Porcentaje del PBI","21.07941"
"MEX","México","2018","Porcentaje del PBI","15.70889"
"PRY","Paraguay","2018","Porcentaje del PBI","13.85861"
"OECD","Países miembros de OCDE","2018","Porcentaje del PBI","33.41962"
"PER","Perú","2018","Porcentaje del PBI","16.12695"
"URY","Uruguay","2018","Porcentaje del PBI","26.62305"
"LAC","América Latina y el Caribe","2019","Porcentaje del PBI","21.24024"
"ARG","Argentina","2019","Porcentaje del PBI","28.50328"
"BOL","Bolivia","2019","Porcentaje del PBI","24.69496"
"BRA","Brasil","2019","Porcentaje del PBI","31.86001"
"CHL","Chile","2019","Porcentaje del PBI","20.98161"
"COL","Colombia","2019","Porcentaje del PBI","19.69237"
"CRI","Costa Rica","2019","Porcentaje del PBI","23.40836"
"ECU","Ecuador","2019","Porcentaje del PBI","19.97154"
"MEX","México","2019","Porcentaje del PBI","15.90511"
"PRY","Paraguay","2019","Porcentaje del PBI","13.94648"
"OECD","Países miembros de OCDE","2019","Porcentaje del PBI","33.34974"
"PER","Perú","2019","Porcentaje del PBI","16.28071"
"URY","Uruguay","2019","Porcentaje del PBI","26.16004"
"LAC","América Latina y el Caribe","2020","Porcentaje del PBI","20.57780"
"ARG","Argentina","2020","Porcentaje del PBI","29.74564"
"BOL","Bolivia","2020","Porcentaje del PBI","22.15911"
"BRA","Brasil","2020","Porcentaje del PBI","30.45231"
"CHL","Chile","2020","Porcentaje del PBI","19.29039"
"COL","Colombia","2020","Porcentaje del PBI","18.77257"
"CRI","Costa Rica","2020","Porcentaje del PBI","22.56603"
"ECU","Ecuador","2020","Porcentaje del PBI","18.97871"
"MEX","México","2020","Porcentaje del PBI","17.22398"
"PRY","Paraguay","2020","Porcentaje del PBI","13.52202"
"OECD","Países miembros de OCDE","2020","Porcentaje del PBI","33.46422"
"PER","Perú","2020","Porcentaje del PBI","14.95912"
"URY","Uruguay","2020","Porcentaje del PBI","26.70615"
"LAC","América Latina y el Caribe","2021","Porcentaje del PBI","21.10398"
"ARG","Argentina","2021","Porcentaje del PBI","29.12883"
"BOL","Bolivia","2021","Porcentaje del PBI","22.63667"
"BRA","Brasil","2021","Porcentaje del PBI","32.09780"
"CHL","Chile","2021","Porcentaje del PBI","22.33053"
"COL","Colombia","2021","Porcentaje del PBI","19.19338"
"CRI","Costa Rica","2021","Porcentaje del PBI","24.84528"
"ECU","Ecuador","2021","Porcentaje del PBI","19.36317"
"MEX","México","2021","Porcentaje del PBI","16.68173"
"PRY","Paraguay","2021","Porcentaje del PBI","13.85420"
"OECD","Países miembros de OCDE","2021","Porcentaje del PBI","34.02231"
"PER","Perú","2021","Porcentaje del PBI","17.72086"
"URY","Uruguay","2021","Porcentaje del PBI","25.92657"
"LAC","América Latina y el Caribe","2022","Porcentaje del PBI","21.44441"
"ARG","Argentina","2022","Porcentaje del PBI","29.50190"
"BOL","Bolivia","2022","Porcentaje del PBI","23.68096"
"BRA","Brasil","2022","Porcentaje del PBI","32.53958"
"CHL","Chile","2022","Porcentaje del PBI","23.91095"
"COL","Colombia","2022","Porcentaje del PBI","19.63473"
"CRI","Costa Rica","2022","Porcentaje del PBI","25.18625"
"ECU","Ecuador","2022","Porcentaje del PBI","21.29080"
"MEX","México","2022","Porcentaje del PBI","16.76485"
"PRY","Paraguay","2022","Porcentaje del PBI","14.56221"
"OECD","Países miembros de OCDE","2022","Porcentaje del PBI","33.96427"
"PER","Perú","2022","Porcentaje del PBI","18.77827"
"URY","Uruguay","2022","Porcentaje del PBI","26.84723"
"LAC","América Latina y el Caribe","2023","Porcentaje del PBI","21.53908"
"ARG","Argentina","2023","Porcentaje del PBI","27.69838"
"BOL","Bolivia","2023","Porcentaje del PBI","23.86209"
"BRA","Brasil","2023","Porcentaje del PBI","31.65752"
"CHL","Chile","2023","Porcentaje del PBI","20.63242"
"COL","Colombia","2023","Porcentaje del PBI","22.07547"
"CRI","Costa Rica","2023","Porcentaje del PBI","24.93087"
"ECU","Ecuador","2023","Porcentaje del PBI","21.21213"
"MEX","México","2023","Porcentaje del PBI","17.73053"
"PRY","Paraguay","2023","Porcentaje del PBI","14.46664"
"OECD","Países miembros de OCDE","2023","Porcentaje del PBI","33.73146"
"PER","Perú","2023","Porcentaje del PBI","16.66591"
"URY","Uruguay","2023","Porcentaje del PBI","27.20058"
"LAC","América Latina y el Caribe","2024","Porcentaje del PBI","21.72472"
"ARG","Argentina","2024","Porcentaje del PBI","27.62704"
"BOL","Bolivia","2024","Porcentaje del PBI","23.60497"
"BRA","Brasil","2024","Porcentaje del PBI","33.67751"
"CHL","Chile","2024","Porcentaje del PBI","20.47945"
"COL","Colombia","2024","Porcentaje del PBI","19.86588"
"CRI","Costa Rica","2024","Porcentaje del PBI","24.84008"
"ECU","Ecuador","2024","Porcentaje del PBI","21.69420"
"MEX","México","2024","Porcentaje del PBI","18.28011"
"PRY","Paraguay","2024","Porcentaje del PBI","15.75633"
"OECD","Países miembros de OCDE","2024","Porcentaje del PBI","34.06272"
