"anio","indicador","valor"
"2000","Recaudación","0.72837"
"2001","Recaudación","-6.85047"
"2002","Recaudación","-15.24412"
"2003","Recaudación","28.05212"
"2004","Recaudación","22.63237"
"2005","Recaudación","9.76838"
"2006","Recaudación","10.45961"
"2007","Recaudación","14.60970"
"2008","Recaudación","9.01338"
"2009","Recaudación","-1.49082"
"2010","Recaudación","10.67004"
"2011","Recaudación","6.84912"
"2012","Recaudación","3.48811"
"2013","Recaudación","4.22277"
"2014","Recaudación","-2.68764"
"2015","Recaudación","3.82290"
"2016","Recaudación","-4.51214"
"2017","Recaudación","0.69993"
"2018","Recaudación","-7.56865"
"2019","Recaudación","-2.03495"
"2020","Recaudación","-5.97338"
"2021","Recaudación","8.15169"
"2022","Recaudación","7.37861"
"2023","Recaudación","-8.58163"
"2024","Recaudación","-0.64079"
"2025","Recaudación","1.05296"
"1864","PBI","9.57666"
"1865","PBI","4.92046"
"1866","PBI","6.84784"
"1867","PBI","2.64192"
"1868","PBI","3.74939"
"1869","PBI","5.42031"
"1870","PBI","0.08207"
"1871","PBI","8.61148"
"1872","PBI","5.34966"
"1873","PBI","-0.55548"
"1875","PBI","6.13035"
"1876","PBI","2.14425"
"1877","PBI","10.30534"
"1878","PBI","-5.01730"
"1879","PBI","4.37158"
"1880","PBI","-1.91972"
"1881","PBI","1.60142"
"1882","PBI","25.91944"
"1883","PBI","12.10014"
"1884","PBI","7.07196"
"1885","PBI","17.26535"
"1886","PBI","0.39526"
"1887","PBI","6.79134"
"1888","PBI","16.03687"
"1889","PBI","9.69023"
"1890","PBI","-8.25489"
"1891","PBI","-5.36701"
"1892","PBI","19.43286"
"1893","PBI","5.93575"
"1894","PBI","15.29334"
"1895","PBI","10.86335"
"1896","PBI","10.62403"
"1897","PBI","-18.88112"
"1898","PBI","8.44828"
"1900","PBI","-11.75676"
"1901","PBI","8.45623"
"1902","PBI","-2.01526"
"1903","PBI","14.30711"
"1904","PBI","10.66469"
"1905","PBI","13.27545"
"1906","PBI","5.03066"
"1907","PBI","2.10959"
"1908","PBI","9.79730"
"1909","PBI","4.93491"
"1910","PBI","7.27416"
"1911","PBI","1.79773"
"1912","PBI","8.16896"
"1913","PBI","1.04067"
"1914","PBI","-10.35623"
"1915","PBI","0.52704"
"1916","PBI","-2.87826"
"1917","PBI","-8.10256"
"1918","PBI","18.33294"
"1919","PBI","3.67833"
"1920","PBI","7.27760"
"1921","PBI","2.55735"
"1922","PBI","7.99861"
"1923","PBI","11.01664"
"1924","PBI","7.80008"
"1925","PBI","-0.41751"
"1926","PBI","4.82148"
"1927","PBI","7.09309"
"1928","PBI","6.19258"
"1929","PBI","4.60901"
"1930","PBI","-4.13752"
"1931","PBI","-6.94083"
"1932","PBI","-3.31287"
"1933","PBI","4.69948"
"1934","PBI","7.89324"
"1935","PBI","4.34940"
"1936","PBI","0.83202"
"1937","PBI","7.24657"
"1938","PBI","0.30825"
"1939","PBI","3.82781"
"1940","PBI","1.62195"
"1941","PBI","5.22625"
"1942","PBI","1.10272"
"1943","PBI","-0.68114"
"1944","PBI","11.26400"
"1945","PBI","-3.21072"
"1946","PBI","8.92989"
"1947","PBI","11.12281"
"1948","PBI","5.47924"
"1949","PBI","-1.29745"
"1950","PBI","1.21377"
"1951","PBI","3.88745"
"1952","PBI","-5.03307"
"1953","PBI","5.29982"
"1954","PBI","4.12817"
"1955","PBI","7.06365"
"1956","PBI","2.77806"
"1957","PBI","5.18014"
"1958","PBI","6.10313"
"1959","PBI","-6.45875"
"1960","PBI","7.87542"
"1961","PBI","7.09996"
"1962","PBI","-1.58723"
"1963","PBI","-2.37192"
"1964","PBI","10.30084"
"1965","PBI","9.16306"
"1966","PBI","0.64575"
"1967","PBI","2.64642"
"1968","PBI","4.29673"
"1969","PBI","8.53908"
"1970","PBI","5.38324"
"1971","PBI","3.76204"
"1972","PBI","2.07697"
"1973","PBI","3.74555"
"1974","PBI","5.40563"
"1975","PBI","-0.59333"
"1976","PBI","-0.01188"
"1977","PBI","6.38618"
"1978","PBI","-3.22241"
"1979","PBI","6.93634"
"1980","PBI","1.53012"
"1981","PBI","-5.25066"
"1982","PBI","-3.36284"
"1983","PBI","4.17307"
"1984","PBI","1.97266"
"1985","PBI","-6.88804"
"1986","PBI","7.01854"
"1987","PBI","2.66946"
"1988","PBI","-1.74867"
"1989","PBI","-6.93920"
"1990","PBI","-2.11218"
"1992","PBI","9.79362"
"1993","PBI","5.63601"
"1994","PBI","5.88038"
"1995","PBI","-2.76691"
"1996","PBI","5.39598"
"1997","PBI","8.11704"
"1998","PBI","3.96168"
"1999","PBI","-3.41190"
"2000","PBI","-0.76523"
"2001","PBI","-4.26043"
"2002","PBI","-11.07377"
"2003","PBI","8.74697"
"2004","PBI","9.02910"
"2005","PBI","8.85166"
"2006","PBI","8.04715"
"2007","PBI","9.00765"
"2008","PBI","4.05723"
"2009","PBI","-5.91853"
"2010","PBI","10.12540"
"2011","PBI","6.00395"
"2012","PBI","-1.02642"
"2013","PBI","2.40532"
"2014","PBI","-2.51262"
"2015","PBI","2.73116"
"2016","PBI","-2.08033"
"2017","PBI","2.81850"
"2018","PBI","-2.61740"
"2019","PBI","-2.00086"
"2020","PBI","-9.90048"
"2021","PBI","10.44181"
"2022","PBI","6.02075"
"2023","PBI","-1.85083"
"2024","PBI","-1.36776"
"2025","PBI","4.48324"
