"anio","indicador","valor"
"1997","Déficit fiscal","-1.36079"
"1998","Asistencia monetaria","0.55146"
"1998","Déficit fiscal","-1.25569"
"1999","Asistencia monetaria","1.23326"
"1999","Déficit fiscal","-1.55029"
"2000","Asistencia monetaria","0.52670"
"2000","Déficit fiscal","-2.20225"
"2001","Asistencia monetaria","4.91840"
"2001","Déficit fiscal","-2.98587"
"2002","Asistencia monetaria","30.05767"
"2002","Déficit fiscal","-1.34187"
"2003","Asistencia monetaria","1.84907"
"2003","Déficit fiscal","0.44315"
"2004","Asistencia monetaria","1.43066"
"2004","Déficit fiscal","2.40310"
"2005","Asistencia monetaria","0.46158"
"2005","Déficit fiscal","1.61674"
"2006","Asistencia monetaria","0.48635"
"2006","Déficit fiscal","1.62354"
"2007","Asistencia monetaria","0.46265"
"2007","Déficit fiscal","1.03638"
"2008","Asistencia monetaria","0.83939"
"2008","Déficit fiscal","1.27472"
"2009","Asistencia monetaria","1.15391"
"2009","Déficit fiscal","-0.57144"
"2010","Asistencia monetaria","1.79664"
"2010","Déficit fiscal","0.18462"
"2011","Asistencia monetaria","1.36052"
"2011","Déficit fiscal","-1.40718"
"2012","Asistencia monetaria","2.59001"
"2012","Déficit fiscal","-2.10634"
"2013","Asistencia monetaria","2.59984"
"2013","Déficit fiscal","-1.92567"
"2014","Asistencia monetaria","3.21611"
"2014","Déficit fiscal","-2.39611"
"2015","Asistencia monetaria","2.66225"
"2015","Déficit fiscal","-5.10136"
"2016","Asistencia monetaria","1.94450"
"2016","Déficit fiscal","-5.77025"
"2017","Asistencia monetaria","1.40710"
"2017","Déficit fiscal","-5.90090"
"2018","Asistencia monetaria","0.20685"
"2018","Déficit fiscal","-4.93684"
"2019","Asistencia monetaria","2.57089"
"2019","Déficit fiscal","-3.80086"
"2020","Asistencia monetaria","7.40432"
"2020","Déficit fiscal","-8.42648"
"2021","Asistencia monetaria","3.67881"
"2021","Déficit fiscal","-3.60129"
"2022","Asistencia monetaria","0.74876"
"2022","Déficit fiscal","-3.80722"
"2023","Asistencia monetaria","0.87550"
"2023","Déficit fiscal","-4.34062"
"2024","Asistencia monetaria","0.00000"
"2024","Déficit fiscal","0.30199"
"2025","Asistencia monetaria","1.40859"
"2025","Déficit fiscal","0.17099"
