"geocodigoFundar","geonombreFundar","anio","sector_institucional","indicador","valor"
"DEU","Alemania","2003","Gobierno municipal local","Porcentaje del total","6.77863"
"DEU","Alemania","2003","Gobierno nacional","Porcentaje del total","30.74401"
"DEU","Alemania","2003","Gobierno provincial o regional","Porcentaje del total","21.57028"
"DEU","Alemania","2004","European institutions and bodies (EU accounts)","Porcentaje del total","0.40587"
"DEU","Alemania","2004","Fondos de seguridad social","Porcentaje del total","40.08445"
"DEU","Alemania","2004","Gobierno municipal local","Porcentaje del total","7.12259"
"DEU","Alemania","2004","Gobierno nacional","Porcentaje del total","29.96648"
"DEU","Alemania","2004","Gobierno provincial o regional","Porcentaje del total","22.42061"
"DEU","Alemania","2005","European institutions and bodies (EU accounts)","Porcentaje del total","0.46527"
"DEU","Alemania","2005","Fondos de seguridad social","Porcentaje del total","39.29153"
"DEU","Alemania","2005","Gobierno municipal local","Porcentaje del total","7.48283"
"DEU","Alemania","2005","Gobierno nacional","Porcentaje del total","30.60055"
"DEU","Alemania","2005","Gobierno provincial o regional","Porcentaje del total","22.15980"
"DEU","Alemania","2006","European institutions and bodies (EU accounts)","Porcentaje del total","0.48580"
"DEU","Alemania","2006","Fondos de seguridad social","Porcentaje del total","37.74023"
"DEU","Alemania","2006","Gobierno municipal local","Porcentaje del total","7.99565"
"DEU","Alemania","2006","Gobierno nacional","Porcentaje del total","30.96194"
"DEU","Alemania","2006","Gobierno provincial o regional","Porcentaje del total","22.81638"
"DEU","Alemania","2007","European institutions and bodies (EU accounts)","Porcentaje del total","0.41972"
"DEU","Alemania","2007","Fondos de seguridad social","Porcentaje del total","35.94816"
"DEU","Alemania","2007","Gobierno municipal local","Porcentaje del total","8.08422"
"DEU","Alemania","2007","Gobierno nacional","Porcentaje del total","32.09154"
"DEU","Alemania","2007","Gobierno provincial o regional","Porcentaje del total","23.45636"
"DEU","Alemania","2008","European institutions and bodies (EU accounts)","Porcentaje del total","0.41973"
"DEU","Alemania","2008","Fondos de seguridad social","Porcentaje del total","35.64772"
"DEU","Alemania","2008","Gobierno municipal local","Porcentaje del total","8.26477"
"DEU","Alemania","2008","Gobierno nacional","Porcentaje del total","32.10553"
"DEU","Alemania","2008","Gobierno provincial o regional","Porcentaje del total","23.56224"
"DEU","Alemania","2009","European institutions and bodies (EU accounts)","Porcentaje del total","0.38045"
"DEU","Alemania","2009","Fondos de seguridad social","Porcentaje del total","37.96251"
"DEU","Alemania","2009","Gobierno municipal local","Porcentaje del total","7.51262"
"DEU","Alemania","2009","Gobierno nacional","Porcentaje del total","31.98171"
"DEU","Alemania","2009","Gobierno provincial o regional","Porcentaje del total","22.16271"
"DEU","Alemania","2010","European institutions and bodies (EU accounts)","Porcentaje del total","0.46117"
"DEU","Alemania","2010","Fondos de seguridad social","Porcentaje del total","38.52029"
"DEU","Alemania","2010","Gobierno municipal local","Porcentaje del total","7.61491"
"DEU","Alemania","2010","Gobierno nacional","Porcentaje del total","31.72760"
"DEU","Alemania","2010","Gobierno provincial o regional","Porcentaje del total","21.67603"
"DEU","Alemania","2011","European institutions and bodies (EU accounts)","Porcentaje del total","0.46766"
"DEU","Alemania","2011","Fondos de seguridad social","Porcentaje del total","37.70254"
"DEU","Alemania","2011","Gobierno municipal local","Porcentaje del total","7.74377"
"DEU","Alemania","2011","Gobierno nacional","Porcentaje del total","32.40555"
"DEU","Alemania","2011","Gobierno provincial o regional","Porcentaje del total","21.68048"
"DEU","Alemania","2012","European institutions and bodies (EU accounts)","Porcentaje del total","0.43720"
"DEU","Alemania","2012","Fondos de seguridad social","Porcentaje del total","37.38002"
"DEU","Alemania","2012","Gobierno municipal local","Porcentaje del total","7.85926"
"DEU","Alemania","2012","Gobierno nacional","Porcentaje del total","32.26638"
"DEU","Alemania","2012","Gobierno provincial o regional","Porcentaje del total","22.05714"
"DEU","Alemania","2013","European institutions and bodies (EU accounts)","Porcentaje del total","0.40655"
"DEU","Alemania","2013","Fondos de seguridad social","Porcentaje del total","37.04581"
"DEU","Alemania","2013","Gobierno municipal local","Porcentaje del total","7.89762"
"DEU","Alemania","2013","Gobierno nacional","Porcentaje del total","32.48798"
"DEU","Alemania","2013","Gobierno provincial o regional","Porcentaje del total","22.16204"
"DEU","Alemania","2014","European institutions and bodies (EU accounts)","Porcentaje del total","0.41049"
"DEU","Alemania","2014","Fondos de seguridad social","Porcentaje del total","37.02463"
"DEU","Alemania","2014","Gobierno municipal local","Porcentaje del total","7.85814"
"DEU","Alemania","2014","Gobierno nacional","Porcentaje del total","32.45961"
"DEU","Alemania","2014","Gobierno provincial o regional","Porcentaje del total","22.24713"
"DEU","Alemania","2015","European institutions and bodies (EU accounts)","Porcentaje del total","0.59017"
"DEU","Alemania","2015","Fondos de seguridad social","Porcentaje del total","36.89363"
"DEU","Alemania","2015","Gobierno municipal local","Porcentaje del total","7.97807"
"DEU","Alemania","2015","Gobierno nacional","Porcentaje del total","31.91930"
"DEU","Alemania","2015","Gobierno provincial o regional","Porcentaje del total","22.61882"
"DEU","Alemania","2016","European institutions and bodies (EU accounts)","Porcentaje del total","0.57370"
"DEU","Alemania","2016","Fondos de seguridad social","Porcentaje del total","36.88516"
"DEU","Alemania","2016","Gobierno municipal local","Porcentaje del total","8.16823"
"DEU","Alemania","2016","Gobierno nacional","Porcentaje del total","31.11176"
"DEU","Alemania","2016","Gobierno provincial o regional","Porcentaje del total","23.26115"
"DEU","Alemania","2017","European institutions and bodies (EU accounts)","Porcentaje del total","0.53561"
"DEU","Alemania","2017","Fondos de seguridad social","Porcentaje del total","37.11268"
"DEU","Alemania","2017","Gobierno municipal local","Porcentaje del total","8.26177"
"DEU","Alemania","2017","Gobierno nacional","Porcentaje del total","31.01582"
"DEU","Alemania","2017","Gobierno provincial o regional","Porcentaje del total","23.07412"
"DEU","Alemania","2018","European institutions and bodies (EU accounts)","Porcentaje del total","0.53149"
"DEU","Alemania","2018","Fondos de seguridad social","Porcentaje del total","36.96779"
"DEU","Alemania","2018","Gobierno municipal local","Porcentaje del total","8.32282"
"DEU","Alemania","2018","Gobierno nacional","Porcentaje del total","30.91010"
"DEU","Alemania","2018","Gobierno provincial o regional","Porcentaje del total","23.26780"
"DEU","Alemania","2019","European institutions and bodies (EU accounts)","Porcentaje del total","0.51770"
"DEU","Alemania","2019","Fondos de seguridad social","Porcentaje del total","37.19111"
"DEU","Alemania","2019","Gobierno municipal local","Porcentaje del total","8.30394"
"DEU","Alemania","2019","Gobierno nacional","Porcentaje del total","30.61930"
"DEU","Alemania","2019","Gobierno provincial o regional","Porcentaje del total","23.36795"
"DEU","Alemania","2020","European institutions and bodies (EU accounts)","Porcentaje del total","0.52933"
"DEU","Alemania","2020","Fondos de seguridad social","Porcentaje del total","38.93843"
"DEU","Alemania","2020","Gobierno municipal local","Porcentaje del total","8.08292"
"DEU","Alemania","2020","Gobierno nacional","Porcentaje del total","28.92667"
"DEU","Alemania","2020","Gobierno provincial o regional","Porcentaje del total","23.52265"
"DEU","Alemania","2021","European institutions and bodies (EU accounts)","Porcentaje del total","0.54177"
"DEU","Alemania","2021","Fondos de seguridad social","Porcentaje del total","37.15908"
"DEU","Alemania","2021","Gobierno municipal local","Porcentaje del total","8.68107"
"DEU","Alemania","2021","Gobierno nacional","Porcentaje del total","29.16233"
"DEU","Alemania","2021","Gobierno provincial o regional","Porcentaje del total","24.45575"
"DEU","Alemania","2022","European institutions and bodies (EU accounts)","Porcentaje del total","0.65377"
"DEU","Alemania","2022","Fondos de seguridad social","Porcentaje del total","36.76878"
"DEU","Alemania","2022","Gobierno municipal local","Porcentaje del total","8.87601"
"DEU","Alemania","2022","Gobierno nacional","Porcentaje del total","28.96326"
"DEU","Alemania","2022","Gobierno provincial o regional","Porcentaje del total","24.73818"
"DEU","Alemania","2023","European institutions and bodies (EU accounts)","Porcentaje del total","0.52600"
"DEU","Alemania","2023","Fondos de seguridad social","Porcentaje del total","38.40429"
"DEU","Alemania","2023","Gobierno municipal local","Porcentaje del total","8.90014"
"DEU","Alemania","2023","Gobierno nacional","Porcentaje del total","28.45571"
"DEU","Alemania","2023","Gobierno provincial o regional","Porcentaje del total","23.71386"
"DEU","Alemania","2024","European institutions and bodies (EU accounts)","Porcentaje del total","0.33920"
"DEU","Alemania","2024","Fondos de seguridad social","Porcentaje del total","39.08438"
"DEU","Alemania","2024","Gobierno municipal local","Porcentaje del total","8.74188"
"DEU","Alemania","2024","Gobierno nacional","Porcentaje del total","28.50106"
"DEU","Alemania","2024","Gobierno provincial o regional","Porcentaje del total","23.33349"
"ATG","Antigua y Barbuda","1991","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","1992","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","1993","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","1994","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","1995","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","1996","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","1997","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","1998","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","1999","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","2000","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","2001","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","2002","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","2003","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","2004","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","2005","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","2006","Gobierno nacional","Porcentaje del total","100.00000"
"ATG","Antigua y Barbuda","2007","Fondos de seguridad social","Porcentaje del total","10.17670"
"ATG","Antigua y Barbuda","2007","Gobierno nacional","Porcentaje del total","89.82330"
"ATG","Antigua y Barbuda","2008","Fondos de seguridad social","Porcentaje del total","10.76980"
"ATG","Antigua y Barbuda","2008","Gobierno nacional","Porcentaje del total","89.23020"
"ATG","Antigua y Barbuda","2009","Fondos de seguridad social","Porcentaje del total","11.86723"
"ATG","Antigua y Barbuda","2009","Gobierno nacional","Porcentaje del total","88.13277"
"ATG","Antigua y Barbuda","2010","Fondos de seguridad social","Porcentaje del total","12.60310"
"ATG","Antigua y Barbuda","2010","Gobierno nacional","Porcentaje del total","87.39690"
"ATG","Antigua y Barbuda","2011","Fondos de seguridad social","Porcentaje del total","12.76530"
"ATG","Antigua y Barbuda","2011","Gobierno nacional","Porcentaje del total","87.23470"
"ATG","Antigua y Barbuda","2012","Fondos de seguridad social","Porcentaje del total","12.03511"
"ATG","Antigua y Barbuda","2012","Gobierno nacional","Porcentaje del total","87.96489"
"ATG","Antigua y Barbuda","2013","Fondos de seguridad social","Porcentaje del total","16.84961"
"ATG","Antigua y Barbuda","2013","Gobierno nacional","Porcentaje del total","83.15039"
"ATG","Antigua y Barbuda","2014","Fondos de seguridad social","Porcentaje del total","14.85642"
"ATG","Antigua y Barbuda","2014","Gobierno nacional","Porcentaje del total","85.14358"
"ATG","Antigua y Barbuda","2015","Fondos de seguridad social","Porcentaje del total","15.33539"
"ATG","Antigua y Barbuda","2015","Gobierno nacional","Porcentaje del total","84.66461"
"ATG","Antigua y Barbuda","2016","Fondos de seguridad social","Porcentaje del total","15.61651"
"ATG","Antigua y Barbuda","2016","Gobierno nacional","Porcentaje del total","84.38349"
"ATG","Antigua y Barbuda","2017","Fondos de seguridad social","Porcentaje del total","17.98030"
"ATG","Antigua y Barbuda","2017","Gobierno nacional","Porcentaje del total","82.01970"
"ATG","Antigua y Barbuda","2018","Fondos de seguridad social","Porcentaje del total","17.41273"
"ATG","Antigua y Barbuda","2018","Gobierno nacional","Porcentaje del total","82.58727"
"ATG","Antigua y Barbuda","2019","Fondos de seguridad social","Porcentaje del total","18.02507"
"ATG","Antigua y Barbuda","2019","Gobierno nacional","Porcentaje del total","81.97493"
"ATG","Antigua y Barbuda","2020","Fondos de seguridad social","Porcentaje del total","16.54234"
"ATG","Antigua y Barbuda","2020","Gobierno nacional","Porcentaje del total","83.45766"
"ATG","Antigua y Barbuda","2021","Fondos de seguridad social","Porcentaje del total","17.06882"
"ATG","Antigua y Barbuda","2021","Gobierno nacional","Porcentaje del total","82.93118"
"ATG","Antigua y Barbuda","2022","Fondos de seguridad social","Porcentaje del total","17.54451"
"ATG","Antigua y Barbuda","2022","Gobierno nacional","Porcentaje del total","82.45549"
"ATG","Antigua y Barbuda","2023","Fondos de seguridad social","Porcentaje del total","17.62090"
"ATG","Antigua y Barbuda","2023","Gobierno nacional","Porcentaje del total","82.37910"
"ATG","Antigua y Barbuda","2024","Fondos de seguridad social","Porcentaje del total","15.15344"
"ATG","Antigua y Barbuda","2024","Gobierno nacional","Porcentaje del total","84.84656"
"ARG","Argentina","1990","Fondos de seguridad social","Porcentaje del total","25.28137"
"ARG","Argentina","1990","Gobierno nacional","Porcentaje del total","59.11921"
"ARG","Argentina","1990","Gobierno provincial o regional","Porcentaje del total","15.59942"
"ARG","Argentina","1991","Fondos de seguridad social","Porcentaje del total","25.35863"
"ARG","Argentina","1991","Gobierno nacional","Porcentaje del total","59.33372"
"ARG","Argentina","1991","Gobierno provincial o regional","Porcentaje del total","15.30765"
"ARG","Argentina","1992","Fondos de seguridad social","Porcentaje del total","25.13300"
"ARG","Argentina","1992","Gobierno nacional","Porcentaje del total","58.39198"
"ARG","Argentina","1992","Gobierno provincial o regional","Porcentaje del total","16.47502"
"ARG","Argentina","1993","Fondos de seguridad social","Porcentaje del total","25.78901"
"ARG","Argentina","1993","Gobierno nacional","Porcentaje del total","57.01177"
"ARG","Argentina","1993","Gobierno provincial o regional","Porcentaje del total","17.19922"
"ARG","Argentina","1994","Fondos de seguridad social","Porcentaje del total","25.17136"
"ARG","Argentina","1994","Gobierno nacional","Porcentaje del total","57.29993"
"ARG","Argentina","1994","Gobierno provincial o regional","Porcentaje del total","17.52872"
"ARG","Argentina","1995","Fondos de seguridad social","Porcentaje del total","23.42864"
"ARG","Argentina","1995","Gobierno nacional","Porcentaje del total","59.03174"
"ARG","Argentina","1995","Gobierno provincial o regional","Porcentaje del total","17.53962"
"ARG","Argentina","1996","Fondos de seguridad social","Porcentaje del total","20.02187"
"ARG","Argentina","1996","Gobierno nacional","Porcentaje del total","61.73680"
"ARG","Argentina","1996","Gobierno provincial o regional","Porcentaje del total","18.24133"
"ARG","Argentina","1997","Fondos de seguridad social","Porcentaje del total","18.38080"
"ARG","Argentina","1997","Gobierno nacional","Porcentaje del total","63.57890"
"ARG","Argentina","1997","Gobierno provincial o regional","Porcentaje del total","18.04030"
"ARG","Argentina","1998","Fondos de seguridad social","Porcentaje del total","17.51977"
"ARG","Argentina","1998","Gobierno nacional","Porcentaje del total","63.94614"
"ARG","Argentina","1998","Gobierno provincial o regional","Porcentaje del total","18.53409"
"ARG","Argentina","1999","Fondos de seguridad social","Porcentaje del total","16.75603"
"ARG","Argentina","1999","Gobierno nacional","Porcentaje del total","64.83360"
"ARG","Argentina","1999","Gobierno provincial o regional","Porcentaje del total","18.41038"
"ARG","Argentina","2000","Fondos de seguridad social","Porcentaje del total","15.83056"
"ARG","Argentina","2000","Gobierno nacional","Porcentaje del total","66.37405"
"ARG","Argentina","2000","Gobierno provincial o regional","Porcentaje del total","17.79538"
"ARG","Argentina","2001","Fondos de seguridad social","Porcentaje del total","15.42904"
"ARG","Argentina","2001","Gobierno nacional","Porcentaje del total","67.20081"
"ARG","Argentina","2001","Gobierno provincial o regional","Porcentaje del total","17.37015"
"ARG","Argentina","2002","Fondos de seguridad social","Porcentaje del total","14.19701"
"ARG","Argentina","2002","Gobierno nacional","Porcentaje del total","68.70096"
"ARG","Argentina","2002","Gobierno provincial o regional","Porcentaje del total","17.10202"
"ARG","Argentina","2003","Fondos de seguridad social","Porcentaje del total","12.06276"
"ARG","Argentina","2003","Gobierno nacional","Porcentaje del total","71.62959"
"ARG","Argentina","2003","Gobierno provincial o regional","Porcentaje del total","16.30765"
"ARG","Argentina","2004","Fondos de seguridad social","Porcentaje del total","11.52301"
"ARG","Argentina","2004","Gobierno nacional","Porcentaje del total","73.13289"
"ARG","Argentina","2004","Gobierno provincial o regional","Porcentaje del total","15.34410"
"ARG","Argentina","2005","Fondos de seguridad social","Porcentaje del total","12.17612"
"ARG","Argentina","2005","Gobierno nacional","Porcentaje del total","72.47772"
"ARG","Argentina","2005","Gobierno provincial o regional","Porcentaje del total","15.34616"
"ARG","Argentina","2006","Fondos de seguridad social","Porcentaje del total","13.78342"
"ARG","Argentina","2006","Gobierno nacional","Porcentaje del total","71.01739"
"ARG","Argentina","2006","Gobierno provincial o regional","Porcentaje del total","15.19919"
"ARG","Argentina","2007","Fondos de seguridad social","Porcentaje del total","15.47949"
"ARG","Argentina","2007","Gobierno nacional","Porcentaje del total","70.02174"
"ARG","Argentina","2007","Gobierno provincial o regional","Porcentaje del total","14.49876"
"ARG","Argentina","2008","Fondos de seguridad social","Porcentaje del total","16.55179"
"ARG","Argentina","2008","Gobierno nacional","Porcentaje del total","69.12980"
"ARG","Argentina","2008","Gobierno provincial o regional","Porcentaje del total","14.31841"
"ARG","Argentina","2009","Fondos de seguridad social","Porcentaje del total","21.39647"
"ARG","Argentina","2009","Gobierno nacional","Porcentaje del total","63.93401"
"ARG","Argentina","2009","Gobierno provincial o regional","Porcentaje del total","14.66952"
"ARG","Argentina","2010","Fondos de seguridad social","Porcentaje del total","21.21264"
"ARG","Argentina","2010","Gobierno nacional","Porcentaje del total","64.56005"
"ARG","Argentina","2010","Gobierno provincial o regional","Porcentaje del total","14.22732"
"ARG","Argentina","2011","Fondos de seguridad social","Porcentaje del total","21.48811"
"ARG","Argentina","2011","Gobierno nacional","Porcentaje del total","63.96021"
"ARG","Argentina","2011","Gobierno provincial o regional","Porcentaje del total","14.55168"
"ARG","Argentina","2012","Fondos de seguridad social","Porcentaje del total","22.24595"
"ARG","Argentina","2012","Gobierno nacional","Porcentaje del total","62.75486"
"ARG","Argentina","2012","Gobierno provincial o regional","Porcentaje del total","14.99919"
"ARG","Argentina","2013","Fondos de seguridad social","Porcentaje del total","22.61294"
"ARG","Argentina","2013","Gobierno nacional","Porcentaje del total","60.57923"
"ARG","Argentina","2013","Gobierno provincial o regional","Porcentaje del total","16.80782"
"ARG","Argentina","2014","Fondos de seguridad social","Porcentaje del total","21.58768"
"ARG","Argentina","2014","Gobierno nacional","Porcentaje del total","61.49648"
"ARG","Argentina","2014","Gobierno provincial o regional","Porcentaje del total","16.91583"
"ARG","Argentina","2015","Fondos de seguridad social","Porcentaje del total","22.17987"
"ARG","Argentina","2015","Gobierno nacional","Porcentaje del total","61.01763"
"ARG","Argentina","2015","Gobierno provincial o regional","Porcentaje del total","16.80250"
"ARG","Argentina","2016","Fondos de seguridad social","Porcentaje del total","22.03303"
"ARG","Argentina","2016","Gobierno nacional","Porcentaje del total","61.10845"
"ARG","Argentina","2016","Gobierno provincial o regional","Porcentaje del total","16.85851"
"ARG","Argentina","2017","Fondos de seguridad social","Porcentaje del total","22.89406"
"ARG","Argentina","2017","Gobierno nacional","Porcentaje del total","58.97194"
"ARG","Argentina","2017","Gobierno provincial o regional","Porcentaje del total","18.13400"
"ARG","Argentina","2018","Fondos de seguridad social","Porcentaje del total","21.75044"
"ARG","Argentina","2018","Gobierno nacional","Porcentaje del total","59.97861"
"ARG","Argentina","2018","Gobierno provincial o regional","Porcentaje del total","18.27094"
"ARG","Argentina","2019","Fondos de seguridad social","Porcentaje del total","19.94615"
"ARG","Argentina","2019","Gobierno nacional","Porcentaje del total","63.08932"
"ARG","Argentina","2019","Gobierno provincial o regional","Porcentaje del total","16.96453"
"ARG","Argentina","2020","Fondos de seguridad social","Porcentaje del total","19.12656"
"ARG","Argentina","2020","Gobierno nacional","Porcentaje del total","63.97676"
"ARG","Argentina","2020","Gobierno provincial o regional","Porcentaje del total","16.89669"
"ARG","Argentina","2021","Fondos de seguridad social","Porcentaje del total","17.81261"
"ARG","Argentina","2021","Gobierno nacional","Porcentaje del total","64.94057"
"ARG","Argentina","2021","Gobierno provincial o regional","Porcentaje del total","17.24682"
"ARG","Argentina","2022","Fondos de seguridad social","Porcentaje del total","17.73179"
"ARG","Argentina","2022","Gobierno nacional","Porcentaje del total","65.12107"
"ARG","Argentina","2022","Gobierno provincial o regional","Porcentaje del total","17.14713"
"ARG","Argentina","2023","Fondos de seguridad social","Porcentaje del total","18.24426"
"ARG","Argentina","2023","Gobierno nacional","Porcentaje del total","63.57513"
"ARG","Argentina","2023","Gobierno provincial o regional","Porcentaje del total","18.18061"
"ARG","Argentina","2024","Fondos de seguridad social","Porcentaje del total","18.60349"
"ARG","Argentina","2024","Gobierno nacional","Porcentaje del total","64.00932"
"ARG","Argentina","2024","Gobierno provincial o regional","Porcentaje del total","17.38719"
"ARM","Armenia","2010","Fondos de seguridad social","Porcentaje del total","15.09401"
"ARM","Armenia","2010","Gobierno nacional","Porcentaje del total","84.90599"
"ARM","Armenia","2011","Fondos de seguridad social","Porcentaje del total","15.90997"
"ARM","Armenia","2011","Gobierno nacional","Porcentaje del total","84.09003"
"ARM","Armenia","2012","Fondos de seguridad social","Porcentaje del total","14.72144"
"ARM","Armenia","2012","Gobierno nacional","Porcentaje del total","85.27856"
"ARM","Armenia","2013","Fondos de seguridad social","Porcentaje del total","1.76409"
"ARM","Armenia","2013","Gobierno nacional","Porcentaje del total","98.23591"
"ARM","Armenia","2014","Fondos de seguridad social","Porcentaje del total","1.12465"
"ARM","Armenia","2014","Gobierno nacional","Porcentaje del total","98.87535"
"ARM","Armenia","2015","Fondos de seguridad social","Porcentaje del total","1.02056"
"ARM","Armenia","2015","Gobierno nacional","Porcentaje del total","98.97944"
"ARM","Armenia","2016","Fondos de seguridad social","Porcentaje del total","1.24010"
"ARM","Armenia","2016","Gobierno nacional","Porcentaje del total","98.75990"
"ARM","Armenia","2017","Fondos de seguridad social","Porcentaje del total","1.36573"
"ARM","Armenia","2017","Gobierno nacional","Porcentaje del total","98.63427"
"ARM","Armenia","2018","Fondos de seguridad social","Porcentaje del total","1.38147"
