"year","iso3","country_name_abbreviation","microd","microd_name","import_value_pc"
2020,"GMB","Gambia",1,"Diferenciado","43.7788252343858"
2020,"GMB","Gambia",2,"No diferenciado","56.2211747656142"
2020,"GNB","Guinea-Bissau",1,"Diferenciado","44.3524200064416"
2020,"GNB","Guinea-Bissau",2,"No diferenciado","55.6475799935584"
2020,"GNQ","Equatorial Guinea",1,"Diferenciado","77.4338895515965"
2020,"GNQ","Equatorial Guinea",2,"No diferenciado","22.5661104484035"
2020,"GRC","Greece",1,"Diferenciado","53.8421601746655"
2020,"GRC","Greece",2,"No diferenciado","46.1578398253345"
2020,"GRD","Grenada",1,"Diferenciado","65.1071549636003"
2020,"GRD","Grenada",2,"No diferenciado","34.8928450363997"
2020,"GRL","Greenland",1,"Diferenciado","71.1342327549282"
2020,"GRL","Greenland",2,"No diferenciado","28.8657672450718"
2020,"GTM","Guatemala",1,"Diferenciado","57.62260268271"
2020,"GTM","Guatemala",2,"No diferenciado","42.37739731729"
2020,"GUM","Guam",1,"Diferenciado","32.0151192451752"
2020,"GUM","Guam",2,"No diferenciado","67.9848807548249"
2020,"GUY","Guyana",1,"Diferenciado","56.9757328463307"
2020,"GUY","Guyana",2,"No diferenciado","43.0242671536693"
2020,"HKG","China, Hong Kong SAR",1,"Diferenciado","84.8669982028991"
2020,"HKG","China, Hong Kong SAR",2,"No diferenciado","15.1330017971009"
2020,"HND","Honduras",1,"Diferenciado","56.5288293456812"
2020,"HND","Honduras",2,"No diferenciado","43.4711706543188"
2020,"HRV","Croatia",1,"Diferenciado","65.8506860591888"
2020,"HRV","Croatia",2,"No diferenciado","34.1493139408112"
2020,"HTI","Haiti",1,"Diferenciado","54.454741978213"
2020,"HTI","Haiti",2,"No diferenciado","45.545258021787"
2020,"HUN","Hungary",1,"Diferenciado","77.8291591370581"
2020,"HUN","Hungary",2,"No diferenciado","22.1708408629419"
2020,"IDN","Indonesia",1,"Diferenciado","53.8055720842946"
2020,"IDN","Indonesia",2,"No diferenciado","46.1944279157053"
2020,"IND","India",1,"Diferenciado","35.2183670066236"
2020,"IND","India",2,"No diferenciado","64.7816329933764"
2020,"IOT","Br. Indian Ocean Terr.",1,"Diferenciado","42.4111751234619"
2020,"IOT","Br. Indian Ocean Terr.",2,"No diferenciado","57.5888248765381"
2020,"IRL","Ireland",1,"Diferenciado","75.718832616519"
2020,"IRL","Ireland",2,"No diferenciado","24.281167383481"
2020,"IRN","Iran",1,"Diferenciado","53.0053817768745"
2020,"IRN","Iran",2,"No diferenciado","46.9946182231255"
2020,"IRQ","Iraq",1,"Diferenciado","74.939862633357"
2020,"IRQ","Iraq",2,"No diferenciado","25.060137366643"
2020,"ISL","Iceland",1,"Diferenciado","78.5021920149717"
2020,"ISL","Iceland",2,"No diferenciado","21.4978079850283"
2020,"ISR","Israel",1,"Diferenciado","72.1319760891617"
2020,"ISR","Israel",2,"No diferenciado","27.8680239108383"
2020,"ITA","Italy",1,"Diferenciado","60.4931050700229"
2020,"ITA","Italy",2,"No diferenciado","39.5068949299771"
2020,"JAM","Jamaica",1,"Diferenciado","57.7530397053215"
2020,"JAM","Jamaica",2,"No diferenciado","42.2469602946785"
2020,"JOR","Jordan",1,"Diferenciado","62.103277497684"
2020,"JOR","Jordan",2,"No diferenciado","37.896722502316"
2020,"JPN","Japan",1,"Diferenciado","60.606382955406"
2020,"JPN","Japan",2,"No diferenciado","39.3936170445939"
2020,"KAZ","Kazakhstan",1,"Diferenciado","76.8889126436984"
2020,"KAZ","Kazakhstan",2,"No diferenciado","23.1110873563016"
2020,"KEN","Kenya",1,"Diferenciado","52.1360334411998"
2020,"KEN","Kenya",2,"No diferenciado","47.8639665588002"
