geocodigoFundar,geonombreFundar,anio,country_name_abbreviation,sector_bp,sector_bp_name,export_value_pc
VNM,Vietnam,2020,Viet Nam,2,Alimentos procesados,2.06009209087848
GTM,Guatemala,2020,Guatemala,2,Alimentos procesados,15.6798045129507
SGP,Singapur,2020,Singapore,12,Transporte,2.55549530282572
BEN,Benin,2020,Benin,10,Metales,2.83917064821307
DOM,Rep. Dominicana,2020,Dominican Rep.,2,Alimentos procesados,15.9535803872176
JOR,Jordania,2020,Jordan,9,Piedra y vidrio,7.40441792455388
CRI,Costa Rica,2020,Costa Rica,6,Cueros y pieles,0.0649813890907961
IDN,Indonesia,2020,Indonesia,4,Químicos,6.46954221595595
ITA,Italia,2020,Italy,5,Plásticos y gomas,5.15543469315178
MHL,Islas Marshall,2020,Marshall Isds,5,Plásticos y gomas,0.0930613589953175
TUV,Tuvalu,2020,Tuvalu,5,Plásticos y gomas,0.0294385914755069
TCA,Islas Turcas y Caicos,2020,Turks and Caicos Isds,7,Madera,0.514806748031699
BOL,Bolivia,2020,Bolivia (Plurinational State of),4,Químicos,0.731157410305913
ETH,Etiopía,2020,Ethiopia,11,Maquinaria,11.8596854084616
SAU,Arabia Saudita,2020,Saudi Arabia,5,Plásticos y gomas,10.4498734538411
TKL,Tokelau,2020,Tokelau,1,Productos agropecuarios,2.33375829781302
NZL,Nueva Zelanda,2020,New Zealand,12,Transporte,1.75155079654216
PNG,Papúa Nueva Guinea,2020,Papua New Guinea,13,Otros productos industriales,0.126995459035153
STP,Santo Tomé y Príncipe,2020,Sao Tome and Principe,7,Madera,0.247628244579437
TON,Tonga,2020,Tonga,12,Transporte,0.291478436403927
ARM,Armenia,2020,Armenia,8,"Textiles, indumentaria y calzado",7.4392594115876
CXR,Isla Christmas,2020,Christmas Isds,1,Productos agropecuarios,0.163524549534921
HRV,Croacia,2020,Croatia,2,Alimentos procesados,7.22700703416756
WLF,Wallis y Futuna,2020,Wallis and Futuna Isds,5,Plásticos y gomas,0.309135911050628
CYM,Islas Caimán,2020,Cayman Isds,2,Alimentos procesados,0.0111053371689085
ERI,Eritrea,2020,Eritrea,4,Químicos,0.0847982125819624
IDN,Indonesia,2020,Indonesia,13,Otros productos industriales,2.87605779669498
TKL,Tokelau,2020,Tokelau,2,Alimentos procesados,0.561643062041395
ETH,Etiopía,2020,Ethiopia,5,Plásticos y gomas,0.2669733033624
