"iso3","location_name_short_en","partner_code","partner_name_short_en","export_value_pca","export_value_pcb"
"GIN","Guinea","TUN","Tunisia",,"0.0112033598858987"
"GIN","Guinea","ESP","Spain",,"2.78306455601874"
"GIN","Guinea","CAN","Canada",,"0.66366502582745"
"GIN","Guinea","GHA","Ghana",,"0.0740868501792415"
"GTM","Guatemala","RWA","Rwanda",,"0.0268633098917657"
"GTM","Guatemala","CMR","Cameroon",,"0.0196537213014788"
"GTM","Guatemala","COL","Colombia",,"0.388212725490944"
"GTM","Guatemala","RUS","Russian Federation",,"0.204898224111594"
"GTM","Guatemala","MEX","Mexico",,"4.45145915999461"
"GTM","Guatemala","GIB","Gibraltar",,"0.00996179208230866"
"GTM","Guatemala","DZA","Algeria",,"0.00153826757243531"
"GTM","Guatemala","TTO","Trinidad and Tobago",,"0.194209005602186"
"GTM","Guatemala","LUX","Luxembourg",,"0.00378730102661376"
"GTM","Guatemala","AZE","Azerbaijan",,"0.00188111360443491"
"GTM","Guatemala","MWI","Malawi",,"9.77969852392828e-05"
"NRU","Nauru","CHE","Switzerland",,"0"
"NRU","Nauru","COD","Congo (Democratic Republic of the)",,"0.327300806980602"
"NRU","Nauru","HKG","Hong Kong",,"0.0559724291555995"
"NRU","Nauru","CHN","China",,"0.313816249839088"
"NRU","Nauru","SEN","Senegal",,"0.177430124030675"
"SDN","Sudan","MKD","North Macedonia",,"0.00534018771394257"
"SDN","Sudan","STP","Sao Tome and Principe",,"0"
"SDN","Sudan","IRL","Ireland",,"0.000108559431572829"
"SDN","Sudan","MAR","Morocco",,"0.00426150059441765"
"SDN","Sudan","ESP","Spain",,"0.0735500458649769"
"SDN","Sudan","SUR","Suriname",,"0.00301517232978288"
"SDN","Sudan","NPL","Nepal",,"0.00372716129391572"
"SDN","Sudan","SPM","Saint Pierre and Miquelon",,"0"
"SDN","Sudan","BEL","Belgium",,"0.201112612000898"
"SDN","Sudan","FRA","France",,"1.15778544876159"
"SDN","Sudan","SYR","Syrian Arab Republic",,"0.448507767131375"
"SDN","Sudan","ROU","Romania",,"0.0680005393206644"
"SDN","Sudan","NGA","Nigeria",,"0.207256302459749"
"SDN","Sudan","JOR","Jordan",,"0.870672358388637"
"SDN","Sudan","SVN","Slovenia",,"0"
"SDN","Sudan","RUS","Russian Federation",,"0.0120520299612951"
"SDN","Sudan","LKA","Sri Lanka",,"0.0486779474618493"
"SDN","Sudan","LVA","Latvia",,"0"
"SGP","Singapore","GNB","Guinea-Bissau",,"4.81942107385695e-05"
"SGP","Singapore","EST","Estonia",,"0.00385233164125334"
"SGP","Singapore","DOM","Dominican Republic",,"0.00808246157608925"
"SGP","Singapore","MDA","Moldova",,"0.00109449044095891"
"SGP","Singapore","HRV","Croatia",,"0.00526396844558043"
"SGP","Singapore","LTU","Lithuania",,"0.00973803115922382"
"SGP","Singapore","ZAF","South Africa",,"0.128600085879996"
"SGP","Singapore","PRT","Portugal",,"0.0729525897052741"
"SGP","Singapore","PHL","Philippines",,"2.00565871895431"
"SGP","Singapore","GNQ","Equatorial Guinea",,"0.00606890702899821"
"SGP","Singapore","LAO","Laos",,"0.0131877753736366"
"SGP","Singapore","PLW","Palau",,"0.00177103491885761"
"SGP","Singapore","MAC","Macao",,"0.0549594998084766"
"SGP","Singapore","UZB","Uzbekistan",,"0.00507433889343622"
"SGP","Singapore","SRB","Serbia",,"0.00260934140105231"
"SGP","Singapore","IND","India",,"3.31053293642804"
"SGP","Singapore","VCT","Saint Vincent and the Grenadines",,"0.0036454121037496"
"SGP","Singapore","WLF","Wallis and Futuna",,"0.000118234998791378"
"SGP","Singapore","PRK","North Korea",,"6.81362312674008e-05"
"SGP","Singapore","LCA","Saint Lucia",,"0.000133521393965958"
"SVN","Slovenia","SLV","El Salvador",,"0.00181744044911306"
"SVN","Slovenia","KAZ","Kazakhstan",,"0.201072978939592"
"SVN","Slovenia","BOL","Bolivia",,"0.00156584248981066"
"SVN","Slovenia","MNE","Montenegro",,"0.270719108631029"
"SVN","Slovenia","DNK","Denmark",,"1.02721609958247"
"SVN","Slovenia","CZE","Czech Republic",,"2.20929781463874"
"SVN","Slovenia","SWE","Sweden",,"1.00548494781532"
"SVN","Slovenia","LTU","Lithuania",,"0.307165218624204"
"SVN","Slovenia","CRI","Costa Rica",,"0.00598121462780407"
"SVN","Slovenia","CHL","Chile",,"0.0587911649800307"
"SVN","Slovenia","THA","Thailand",,"0.111499142509026"
"SVN","Slovenia","TGO","Togo",,"0.000321335655089033"
"VEN","Venezuela","BRN","Brunei Darussalam",,"0"
"VEN","Venezuela","MRT","Mauritania",,"0"
"VEN","Venezuela","CZE","Czech Republic",,"0.0698688877815974"
"VEN","Venezuela","SWE","Sweden",,"0.903160588871488"
"VEN","Venezuela","ISR","Israel",,"0.019557182763693"
"VEN","Venezuela","JOR","Jordan",,"0.0050798613418545"
"VEN","Venezuela","NPL","Nepal",,"0.00916223914972511"
"VEN","Venezuela","AZE","Azerbaijan",,"0.0564081582499409"
"VEN","Venezuela","ARG","Argentina",,"0.043316533574515"
"ASM","American Samoa","ZAF","South Africa",,"0.0633866572511989"
"ASM","American Samoa","CHE","Switzerland",,"0"
"ASM","American Samoa","COD","Congo (Democratic Republic of the)",,"0.534912885499938"
"ASM","American Samoa","HUN","Hungary",,"0.044200354473094"
"ASM","American Samoa","THA","Thailand",,"0.717700503150816"
"ASM","American Samoa","FRA","France",,"0.562817688605554"
"ASM","American Samoa","ITA","Italy",,"0"
"CAF","Central African Republic","KHM","Cambodia",,"0"
"CAF","Central African Republic","CIV","Côte d'Ivoire",,"0.0419433221307884"
"CAF","Central African Republic","GBR","United Kingdom",,"0.0270376176890264"
"COD","Congo (Democratic Republic of the)","BRA","Brazil",,"0.331254832619895"
"COD","Congo (Democratic Republic of the)","SGS","South Georgia and South Sandwich Islds.",,"0"
"COD","Congo (Democratic Republic of the)","SAU","Saudi Arabia",,"3.71259960276666"
"COD","Congo (Democratic Republic of the)","AZE","Azerbaijan",,"0"
"COD","Congo (Democratic Republic of the)","IRN","Iran",,"0"
"COD","Congo (Democratic Republic of the)","SVK","Slovakia",,"9.75403723091701e-05"
"CPV","Cabo Verde","HMD","Heard and McDonald Islands",,"0"
"CPV","Cabo Verde","PAN","Panama",,"0"
"CPV","Cabo Verde","ITA","Italy",,"7.86171897961082"
"CPV","Cabo Verde","GRL","Greenland",,"0"
"CPV","Cabo Verde","TWN","Taiwan",,"0.0872286198981237"
"CPV","Cabo Verde","HUN","Hungary",,"0.0323219215793309"
"FJI","Fiji","BRB","Barbados",,"0.0620792368120222"
"FJI","Fiji","SEN","Senegal",,"0.0127228211324291"
"FJI","Fiji","MLI","Mali",,"0"
"FJI","Fiji","OMN","Oman",,"0.00195912781090973"
"FJI","Fiji","COL","Colombia",,"0"
"FJI","Fiji","IRQ","Iraq",,"0.00543200872526765"
"FJI","Fiji","URY","Uruguay",,"0"
"FJI","Fiji","SGP","Singapore",,"0.484285503201815"
"FJI","Fiji","SAU","Saudi Arabia",,"0.0983869361802196"
"FJI","Fiji","BGR","Bulgaria",,"0.57288569913908"
"FJI","Fiji","LBN","Lebanon",,"0"
"GNB","Guinea-Bissau","KEN","Kenya",,"0"
"GNB","Guinea-Bissau","IDN","Indonesia",,"0"
"GNB","Guinea-Bissau","CIV","Côte d'Ivoire",,"6.33379860754837"
"GNB","Guinea-Bissau","TUR","Turkey",,"0.795626034261638"
"HMD","Heard and McDonald Islands","CHE","Switzerland",,"0"
