"year","iso3","descripcionpais","export_value_pc"
"2021","COL","Colombia","1.45817999509318"
"2021","KOR","Corea del Sur","1.43044577426478"
"2021","DNK","Dinamarca","1.27684085890748"
"2021","ESP","España","2.46194544892103"
"2021","USA","Estados Unidos","34.669909437102"
"2021","FRA","Francia","1.47418050710956"
"2021","IRL","Irlanda","4.10359798180208"
"2021","MEX","México","3.47957801316309"
"2021","PRY","Paraguay","2.37554268403256"
"2021","NLD","Países Bajos","2.14193520859334"
"2021","GBR","Reino Unido","5.19909970452388"
"2021","","Resto","12.6105368705132"
"2021","SGP","Singapur","1.28750786691841"
"2021","CHE","Suiza","3.38677504346806"
"2021","URY","Uruguay","3.96492687766008"
"2022","DEU","Alemania","2.15493478670472"
"2022","BOL","Bolivia","1.26099972784179"
"2022","BRA","Brasil","10.4187747297608"
"2022","BEL","Bélgica","1.86393484951046"
"2022","CAN","Canadá","1.12701414524875"
"2022","CHL","Chile","5.63227935993971"
"2022","CHN","China","1.0823522843844"
"2022","COL","Colombia","1.87370463157454"
"2022","KOR","Corea del Sur","1.29868317294608"
"2022","ESP","España","3.14866119093643"
"2022","USA","Estados Unidos","30.1956049937543"
"2022","FRA","Francia","1.76902839517373"
"2022","IRL","Irlanda","2.63923684045248"
"2022","MEX","México","2.92186267873467"
"2022","PRY","Paraguay","3.60993447267601"
"2022","NLD","Países Bajos","1.78717227614987"
"2022","PER","Perú","1.43546012184314"
"2022","GBR","Reino Unido","4.639250797284"
"2022","","Resto","13.2499180036148"
"2022","CHE","Suiza","2.56735915812392"
"2022","URY","Uruguay","5.32383338334531"
