anio,iso3,country_name_abbreviation,sector_bp,sector_bp_name,import_value_pc,geocodigoFundar,geonombreFundar
2020,MEX,Mexico,13,Otros productos industriales,5.89781458533851,MEX,México
2020,MSR,Montserrat,8,"Textiles, indumentaria y calzado",2.39923046620417,MSR,Montserrat
2020,OMN,Oman,4,Químicos,9.00863035853521,OMN,Omán
2020,ROU,Romania,12,Transporte,9.89049514083747,ROU,Rumania
2020,LCA,Saint Lucia,3,Minerales,40.8702107720383,LCA,Santa Lucía
2020,STP,Sao Tome and Principe,13,Otros productos industriales,6.0994367242748,STP,Santo Tomé y Príncipe
2020,SOM,Somalia,9,Piedra y vidrio,2.73044280140502,SOM,Somalia
2020,ZWE,Zimbabwe,2,Alimentos procesados,3.1757134538961,ZWE,Zimbabwe
2020,ARE,United Arab Emirates,11,Maquinaria,23.447857018184,ARE,Emiratos Árabes Unidos
2020,ALB,Albania,7,Madera,4.22452258872903,ALB,Albania
2020,ARM,Armenia,10,Metales,6.86402053625644,ARM,Armenia
2020,BLZ,Belize,11,Maquinaria,11.270398242279,BLZ,Belice
2020,IOT,Br. Indian Ocean Terr.,1,Productos agropecuarios,56.3320002361421,IOT,Territorio Británico del Océano Índico
2020,BLR,Belarus,11,Maquinaria,19.2354061874166,BLR,Belarús
2020,FJI,Fiji,12,Transporte,6.4033105447427,FJI,Fiji
2020,GAB,Gabon,5,Plásticos y gomas,2.57385149945054,GAB,Gabón
2020,GUM,Guam,7,Madera,0.232255885039295,GUM,Guam
2020,HTI,Haiti,12,Transporte,4.35983173360483,HTI,Haití
2020,NPL,Nepal,11,Maquinaria,18.7942582403455,NPL,Nepal
2020,ABW,Aruba,1,Productos agropecuarios,7.12860841599718,ABW,Aruba
2020,NCL,New Caledonia,13,Otros productos industriales,8.79451860876519,NCL,Nueva Caledonia
2020,SOM,Somalia,5,Plásticos y gomas,8.19532726636348,SOM,Somalia
2020,TKL,Tokelau,6,Cueros y pieles,,TKL,Tokelau
2020,AZE,Azerbaijan,7,Madera,4.99994764430972,AZE,Azerbaiyán
2020,AUS,Australia,7,Madera,2.47088757903395,AUS,Australia
2020,BWA,Botswana,4,Químicos,6.36102545519213,BWA,Botswana
2020,DOM,Dominican Rep.,7,Madera,4.19646580890289,DOM,Rep. Dominicana
2020,ATF,Fr. South Antarctic Terr.,10,Metales,2.30244079592821,ATF,Tierras Australes Francesas
2020,GUM,Guam,9,Piedra y vidrio,1.09319826760131,GUM,Guam
2020,HKG,"China, Hong Kong SAR",12,Transporte,1.82201708388205,HKG,Hong Kong
2020,MAR,Morocco,13,Otros productos industriales,4.36934569888693,MAR,Marruecos
2020,RWA,Rwanda,6,Cueros y pieles,0.251661357372723,RWA,Ruanda
2020,SVN,Slovenia,4,Químicos,22.7780856708709,SVN,Eslovenia
2020,SOM,Somalia,4,Químicos,8.44650225660982,SOM,Somalia
2020,TUN,Tunisia,10,Metales,8.26060081671126,TUN,Túnez
2020,TZA,United Rep. of Tanzania,6,Cueros y pieles,0.42985765340327,TZA,Tanzanía
2020,URY,Uruguay,10,Metales,5.11955656657525,URY,Uruguay
2020,ARG,Argentina,9,Piedra y vidrio,1.07757933032959,ARG,Argentina
2020,ARM,Armenia,13,Otros productos industriales,6.06425711226868,ARM,Armenia
2020,PYF,French Polynesia,7,Madera,2.76641223067118,PYF,Polinesia Francesa
2020,KWT,Kuwait,5,Plásticos y gomas,3.46223318068223,KWT,Kuwait
2020,LUX,Luxembourg,9,Piedra y vidrio,2.40144929780752,LUX,Luxemburgo
2020,MYS,Malaysia,9,Piedra y vidrio,2.96342624210358,MYS,Malasia
2020,PLW,Palau,11,Maquinaria,21.8067990821962,PLW,Palau
2020,SDN,Sudan,10,Metales,3.61928924010343,SDN,Sudán
2020,BFA,Burkina Faso,6,Cueros y pieles,0.110708754869066,BFA,Burkina Faso
2020,COD,Dem. Rep. of the Congo,13,Otros productos industriales,2.84225798783012,COD,Rep. Dem. Congo
2020,CRI,Costa Rica,9,Piedra y vidrio,1.7753950398983,CRI,Costa Rica
2020,FLK,Falkland Isds (Malvinas),5,Plásticos y gomas,4.03407724254611,FLK,Islas Malvinas
2020,ISL,Iceland,10,Metales,6.04149963935883,ISL,Islandia
2020,JAM,Jamaica,4,Químicos,7.82953981860185,JAM,Jamaica
2020,MEX,Mexico,6,Cueros y pieles,0.327361751029444,MEX,México
2020,NER,Niger,11,Maquinaria,15.888425643595,NER,Níger
2020,PRT,Portugal,6,Cueros y pieles,0.855408101696673,PRT,Portugal
2020,MKD,North Macedonia,8,"Textiles, indumentaria y calzado",8.2265250527312,MKD,Macedonia del Norte
2020,USA,USA,4,Químicos,10.9870093887364,USA,Estados Unidos
2020,DZA,Algeria,2,Alimentos procesados,6.79251595154941,DZA,Argelia
2020,BGR,Bulgaria,1,Productos agropecuarios,7.54102211876438,BGR,Bulgaria
2020,CUB,Cuba,5,Plásticos y gomas,4.09459228665768,CUB,Cuba
2020,ETH,Ethiopia,3,Minerales,15.8228012213013,ETH,Etiopía
