"anio","provincia_id","provincia","gran_region_id","gran_region_desc","letra","letra_desc_abrev","tipo_sector","share_vab_sectorial"
2013,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0259881046146569
2014,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0263181329478896
2015,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0262488504313543
2016,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.026715378267189
2017,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0265353181957504
2018,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0278720912220287
2019,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0255247112304834
2020,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0277617879582782
2021,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0244214615647616
2022,6,"Buenos Aires",2,"Centro","J","Finanzas","Servicios",0.0224578101257976
2004,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00347909302562212
2005,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00310306749591386
2006,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00396462895071668
2007,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00343994381542411
2008,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00367577086020727
2009,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00334341452270824
2010,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00312189770694667
2011,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00293211492082384
2012,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00278939400342742
2013,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00358199450205124
2014,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00358970095291744
2015,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00365205552121627
2016,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00374507578993263
2017,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00374708471466986
2018,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00382306166662694
2019,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00379228908740686
2020,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00372642277329771
2021,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00381729179163785
2022,6,"Buenos Aires",2,"Centro","B","Pesca","Bienes",0.00398474415421999
2004,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.123163923362552
2005,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.116931184254319
2006,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.114691196581152
2007,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.11223057555039
2008,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.111608768947769
2009,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.117088747207753
2010,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.109030921321882
2011,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.106174085795557
2012,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.10676968037217
2013,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.105701205053434
2014,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.109556984604648
2015,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.10756452104327
2016,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.110203857716563
2017,6,"Buenos Aires",2,"Centro","K","Serv. inmobiliarios y profesionales","Servicios",0.109328630476546
