"anio","letra","letra_desc_abrev","share_sectorial","id_tipo_sector","tipo_sector","share_vab"
2010,"H","Hotelería y restaurantes",0.0324290865197122,"2","Servicios",0.0214509262947381
2010,"I","Transporte y comunicaciones",0.0588090161457135,"2","Servicios",0.0712238113690058
2010,"J","Finanzas",0.0154808132971387,"2","Servicios",0.037927505210774
2010,"K","Serv. inmobiliarios y profesionales",0.0702262989469254,"2","Servicios",0.114845335341746
2010,"LQ","Adm. pública y defensa",0.073497840577621,"2","Servicios",0.0751821904547433
2010,"M","Enseñanza",0.101459562738463,"2","Servicios",0.0545203476362729
2010,"NO","Serv. comunitarios, sociales y personales",0.100345089361207,"2","Servicios",0.0812509211843321
2010,"P","Servicio doméstico",0.0840280501759909,"2","Servicios",0.0080338155824508
2011,"AB","Agro y pesca",0.0814704646199109,"1","Bienes",0.0832951228413696
2011,"C","Petróleo y minería",0.00449482360527249,"1","Bienes",0.0402493573661148
2011,"D","Industria manufacturera",0.123022237639819,"1","Bienes",0.188646391344263
2011,"E","Electricidad, gas y agua",0.00543583555700252,"1","Bienes",0.0134459820716139
2011,"F","Construcción",0.0785503030486037,"1","Bienes",0.0577260833210522
2011,"G","Comercio",0.167715026814496,"2","Servicios",0.149601432975972
2011,"H","Hotelería y restaurantes",0.0335699332193692,"2","Servicios",0.0226272164441974
2011,"I","Transporte y comunicaciones",0.0564355037820874,"2","Servicios",0.0683438186126285
2011,"J","Finanzas",0.0157043421826032,"2","Servicios",0.0376873261001379
2011,"K","Serv. inmobiliarios y profesionales",0.070678467035193,"2","Servicios",0.111346254343234
2011,"LQ","Adm. pública y defensa",0.0738144965509136,"2","Servicios",0.0772446859594492
2011,"M","Enseñanza",0.10018579601672,"2","Servicios",0.0572662488148226
2011,"NO","Serv. comunitarios, sociales y personales",0.105568238848198,"2","Servicios",0.0845170101910463
2011,"P","Servicio doméstico",0.0833545310798116,"2","Servicios",0.00800306961409855
2012,"AB","Agro y pesca",0.0777434345149339,"1","Bienes",0.068937864738431
2012,"C","Petróleo y minería",0.00439082520039501,"1","Bienes",0.0388162247967828
2012,"D","Industria manufacturera",0.124123952018574,"1","Bienes",0.181435519371343
2012,"E","Electricidad, gas y agua",0.00561636803830795,"1","Bienes",0.0131399763120823
2012,"F","Construcción",0.0742015796542403,"1","Bienes",0.057884920511906
2012,"G","Comercio",0.169658853341069,"2","Servicios",0.146945998440272
2012,"H","Hotelería y restaurantes",0.0319206817986676,"2","Servicios",0.024584448425824
2012,"I","Transporte y comunicaciones",0.0580705985257499,"2","Servicios",0.0683597970269558
