"anio","letra","letra_desc_abrev","porc_mujeres"
"2016","C","Petróleo y minería","0.0914137741820514"
"2016","D","Industria manufacturera","0.1902718483433"
"2016","E","Electricidad, gas y agua","0.170539011178934"
"2016","F","Construcción","0.059400721084906"
"2016","G","Comercio","0.352036488597346"
"2016","H","Hotelería y restaurantes","0.449139723811084"
"2016","I","Transporte y comunicaciones","0.139790279461424"
"2016","J","Finanzas","0.488623031738995"
"2016","K","Serv. inmobiliarios y profesionales","0.359561987667131"
"2016","M","Enseñanza","0.736139432398827"
"2016","N","Salud","0.714530249751693"
"2016","O","Serv. comunitarios, sociales y personales","0.462442049700988"
"2016","Z","No definido","0.315140348629804"
"2017","A","Agro","0.12435009357491"
"2017","B","Pesca","0.102516938038823"
"2017","C","Petróleo y minería","0.0932000880309948"
"2017","D","Industria manufacturera","0.188373074122732"
"2017","E","Electricidad, gas y agua","0.171495315633775"
"2017","F","Construcción","0.0564702996781981"
"2017","G","Comercio","0.350773428529788"
"2017","H","Hotelería y restaurantes","0.449614132442559"
"2017","I","Transporte y comunicaciones","0.140375158960164"
"2017","J","Finanzas","0.49270392449205"
"2017","K","Serv. inmobiliarios y profesionales","0.360767193844851"
"2017","M","Enseñanza","0.735062210577347"
"2017","N","Salud","0.711823810067988"
"2017","O","Serv. comunitarios, sociales y personales","0.466661797558988"
"2017","Z","No definido","0.317996341536222"
"2018","A","Agro","0.126467521172289"
"2018","B","Pesca","0.0995915943036619"
"2018","C","Petróleo y minería","0.104233640013559"
"2018","D","Industria manufacturera","0.187959307545227"
"2018","E","Electricidad, gas y agua","0.174502695110211"
"2018","F","Construcción","0.0561743130464982"
"2018","G","Comercio","0.35042733245464"
"2018","H","Hotelería y restaurantes","0.451809478093258"
"2018","I","Transporte y comunicaciones","0.140205353273506"
"2018","J","Finanzas","0.491900357189696"
"2018","K","Serv. inmobiliarios y profesionales","0.364230903229301"
"2018","M","Enseñanza","0.732710870250101"
"2018","N","Salud","0.711234042178255"
"2018","O","Serv. comunitarios, sociales y personales","0.466169074723501"
"2018","Z","No definido","0.31031437450062"
"2019","A","Agro","0.124562016493915"
"2019","B","Pesca","0.0884496406085276"
"2019","C","Petróleo y minería","0.111775489363524"
"2019","D","Industria manufacturera","0.185078570110563"
"2019","E","Electricidad, gas y agua","0.178309548831927"
"2019","F","Construcción","0.0581410654188194"
"2019","G","Comercio","0.350857360215326"
"2019","H","Hotelería y restaurantes","0.454792470662361"
"2019","I","Transporte y comunicaciones","0.140524554635049"
"2019","J","Finanzas","0.490008136405609"
"2019","K","Serv. inmobiliarios y profesionales","0.367321710544722"
"2019","M","Enseñanza","0.730579562682268"
"2019","N","Salud","0.710580057953264"
"2019","O","Serv. comunitarios, sociales y personales","0.468523954532526"
"2019","Z","No definido","0.33304572907679"
"2020","A","Agro","0.118461323719844"
"2020","B","Pesca","0.0919509875157808"
"2020","C","Petróleo y minería","0.115702286909572"
"2020","D","Industria manufacturera","0.183151145784275"
"2020","E","Electricidad, gas y agua","0.179787328047985"
"2020","F","Construcción","0.0697590527564746"
"2020","G","Comercio","0.346287429872877"
"2020","H","Hotelería y restaurantes","0.4536226094002"
"2020","I","Transporte y comunicaciones","0.140676039546937"
"2020","J","Finanzas","0.489523273937596"
"2020","K","Serv. inmobiliarios y profesionales","0.361441020530205"
"2020","M","Enseñanza","0.727131836024411"
"2020","N","Salud","0.709876746371466"
"2020","O","Serv. comunitarios, sociales y personales","0.462232558639724"
"2020","Z","No definido","0.408068055840812"
"2021","A","Agro","0.121448516286843"
"2021","B","Pesca","0.099654260888078"
"2021","C","Petróleo y minería","0.114972928713236"
"2021","D","Industria manufacturera","0.182094466727441"
"2021","E","Electricidad, gas y agua","0.181065889262299"
"2021","F","Construcción","0.0651243420773623"
"2021","G","Comercio","0.34217759821787"
"2021","H","Hotelería y restaurantes","0.457147971015308"
"2021","I","Transporte y comunicaciones","0.138797840720254"
"2021","J","Finanzas","0.488334940899161"
"2021","K","Serv. inmobiliarios y profesionales","0.359744468970525"
"2021","M","Enseñanza","0.728019037754097"
"2021","N","Salud","0.70952782424731"
"2021","O","Serv. comunitarios, sociales y personales","0.463775517058996"
"2021","Z","No definido","0.336975279011105"
"2022","A","Agro","0.123236525637575"
"2022","B","Pesca","0.0985148938677644"
"2022","C","Petróleo y minería","0.122276791865558"
"2022","D","Industria manufacturera","0.187850382864058"
"2022","E","Electricidad, gas y agua","0.182537216274111"
"2022","F","Construcción","0.0644486144267505"
"2022","G","Comercio","0.349818640439074"
"2022","H","Hotelería y restaurantes","0.476498317771279"
"2022","I","Transporte y comunicaciones","0.143059555170339"
"2022","J","Finanzas","0.487683769978622"
"2022","K","Serv. inmobiliarios y profesionales","0.369004604231548"
"2022","M","Enseñanza","0.727806715559879"
"2022","N","Salud","0.709517803394037"
"2022","O","Serv. comunitarios, sociales y personales","0.463608313270937"
"2022","Z","No definido","0.276105062582044"
"2023","A","Agro","0.124725005184268"
"2023","B","Pesca","0.0992031448388166"
"2023","C","Petróleo y minería","0.131369008745982"
"2023","D","Industria manufacturera","0.194408273625195"
"2023","E","Electricidad, gas y agua","0.185733685236007"
"2023","F","Construcción","0.0677320269782124"
"2023","G","Comercio","0.359589223287745"
"2023","H","Hotelería y restaurantes","0.486796398938592"
"2023","I","Transporte y comunicaciones","0.149840206542791"
"2023","J","Finanzas","0.476130736916798"
"2023","K","Serv. inmobiliarios y profesionales","0.375889100342682"
"2023","M","Enseñanza","0.727624442017166"
"2023","N","Salud","0.710521702837638"
"2023","O","Serv. comunitarios, sociales y personales","0.460237260436641"
"2023","Z","No definido","0.407315046422821"
"2024","A","Agro","0.129639251589747"
"2024","B","Pesca","0.112263620520383"
"2024","C","Petróleo y minería","0.141411547240698"
"2024","D","Industria manufacturera","0.199039021987715"
"2024","E","Electricidad, gas y agua","0.18775709851731"
"2024","F","Construcción","0.0848579586506673"
"2024","G","Comercio","0.362634291241228"
"2024","H","Hotelería y restaurantes","0.488427426517411"
"2024","I","Transporte y comunicaciones","0.154329824097811"
"2024","J","Finanzas","0.479481458988455"
"2024","K","Serv. inmobiliarios y profesionales","0.381299444052209"
"2024","M","Enseñanza","0.725606431806946"
"2024","N","Salud","0.711007508949501"
"2024","O","Serv. comunitarios, sociales y personales","0.458124161111013"
"2024","Z","No definido","0.379762908554017"
