anio,letra_desc,vab,letra
1927,Otros servicios,4813.644,Z
1928,Agro,11933.34,A
1928,Pesca,58.26,B
1928,Petróleo y minería,366.092,C
1928,Industria manufacturera,11532.91,D
1928,"Electricidad, gas y agua",96.99,E
1928,Construcción,3372.043,F
1928,"Comercio, hoteles y restaurantes",16541.25,GH
1928,Transporte y comunicaciones,2821.907,I
1928,Finanzas,1389.82,J
1928,Act. inmobiliarias y empresariales,10237.62,K
1928,Adm. pública y defensa,3678.741,L
1928,Otros servicios,4965.158,Z
1929,Agro,11910.48,A
1929,Pesca,51.089,B
1929,Petróleo y minería,412.498,C
1929,Industria manufacturera,12100.73,D
1929,"Electricidad, gas y agua",101.378,E
1929,Construcción,4132.024,F
1929,"Comercio, hoteles y restaurantes",17192.48,GH
1929,Transporte y comunicaciones,3045.901,I
1929,Finanzas,1461.853,J
1929,Act. inmobiliarias y empresariales,10567.43,K
1929,Adm. pública y defensa,3803.163,L
1929,Otros servicios,5139.195,Z
1930,Agro,10630.28,A
1930,Pesca,67.223,B
1930,Petróleo y minería,389.295,C
1930,Industria manufacturera,11968.95,D
1930,"Electricidad, gas y agua",105.767,E
1930,Construcción,3985.414,F
1930,"Comercio, hoteles y restaurantes",15920.25,GH
1930,Transporte y comunicaciones,2979.959,I
1930,Finanzas,1538.124,J
1930,Act. inmobiliarias y empresariales,10951.08,K
1930,Adm. pública y defensa,3925.511,L
1930,Otros servicios,5280.472,Z
1931,Agro,10893.18,A
1931,Pesca,55.571,B
1931,Petróleo y minería,474.373,C
1931,Industria manufacturera,10622.06,D
1931,"Electricidad, gas y agua",113.666,E
1931,Construcción,2329.313,F
1931,"Comercio, hoteles y restaurantes",13808.41,GH
1931,Transporte y comunicaciones,2997.753,I
1931,Finanzas,1523.294,J
1931,Act. inmobiliarias y empresariales,11314.55,K
1931,Adm. pública y defensa,4037.491,L
1931,Otros servicios,5405.368,Z
1932,Agro,11483.27,A
1932,Pesca,54.675,B
1932,Petróleo y minería,505.31,C
1932,Industria manufacturera,9976.71,D
1932,"Electricidad, gas y agua",122.444,E
1932,Construcción,1677.045,F
1932,"Comercio, hoteles y restaurantes",12491.99,GH
1932,Transporte y comunicaciones,2764.338,I
1932,Finanzas,1402.532,J
1932,Act. inmobiliarias y empresariales,11556.86,K
1932,Adm. pública y defensa,4134.955,L
1932,Otros servicios,5528.218,Z
1933,Agro,11534.71,A
1933,Pesca,49.297,B
1933,Petróleo y minería,559.451,C
1933,Industria manufacturera,11308.1,D
1933,"Electricidad, gas y agua",127.271,E
1933,Construcción,1962.786,F
1933,"Comercio, hoteles y restaurantes",13650.25,GH
1933,Transporte y comunicaciones,2612.567,I
1933,Finanzas,1372.871,J
1933,Act. inmobiliarias y empresariales,11725.13,K
1933,Adm. pública y defensa,4230.345,L
1933,Otros servicios,5644.924,Z
1934,Agro,12141.95,A
1934,Pesca,47.504,B
1934,Petróleo y minería,572.341,C
1934,Industria manufacturera,12839.1,D
1934,"Electricidad, gas y agua",134.293,E
1934,Construcción,2736.232,F
1934,"Comercio, hoteles y restaurantes",14734.09,GH
1934,Transporte y comunicaciones,2726.657,I
1934,Finanzas,1389.82,J
1934,Act. inmobiliarias y empresariales,11893.4,K
1934,Adm. pública y defensa,4321.587,L
1934,Otros servicios,5788.249,Z
1935,Agro,13855.08,A
1935,Pesca,52.882,B
1935,Petróleo y minería,678.044,C
1935,Industria manufacturera,13195.69,D
1935,"Electricidad, gas y agua",140.437,E
1935,Construcción,2514.82,F
1935,"Comercio, hoteles y restaurantes",14459.64,GH
1935,Transporte y comunicaciones,2874.242,I
1935,Finanzas,1421.599,J
1935,Act. inmobiliarias y empresariales,12102.06,K
1935,Adm. pública y defensa,4410.756,L
1935,Otros servicios,5958.19,Z
1936,Agro,12593.45,A
1936,Pesca,56.467,B
1936,Petróleo y minería,812.106,C
1936,Industria manufacturera,14044.53,D
1936,"Electricidad, gas y agua",150.97,E
1936,Construcción,2701.823,F
1936,"Comercio, hoteles y restaurantes",14764.32,GH
1936,Transporte y comunicaciones,2992.519,I
1936,Finanzas,1459.735,J
1936,Act. inmobiliarias y empresariales,12303.98,K
1936,Adm. pública y defensa,4715.59,L
1936,Otros servicios,6066.707,Z
1937,Agro,13016.38,A
1937,Pesca,60.949,B
1937,Petróleo y minería,948.746,C
1937,Industria manufacturera,14920.49,D
1937,"Electricidad, gas y agua",159.309,E
1937,Construcción,3466.293,F
1937,"Comercio, hoteles y restaurantes",16604.05,GH
1937,Transporte y comunicaciones,3220.7,I
1937,Finanzas,1521.175,J
1937,Act. inmobiliarias y empresariales,12566.49,K
1937,Adm. pública y defensa,4925.034,L
1937,Otros servicios,6232.553,Z
1938,Agro,11841.9,A
1938,Pesca,68.119,B
1938,Petróleo y minería,1010.621,C
1938,Industria manufacturera,15505.76,D
1938,"Electricidad, gas y agua",167.208,E
1938,Construcción,3861.244,F
1938,"Comercio, hoteles y restaurantes",16743.6,GH
1938,Transporte y comunicaciones,3218.607,I
1938,Finanzas,1578.378,J
1938,Act. inmobiliarias y empresariales,12876.11,K
1938,Adm. pública y defensa,5211.204,L
1938,Otros servicios,6396.352,Z
1939,Agro,13210.69,A
