anio,iso3,iso3_desc_fundar,es_agregacion,particip_bys_alta_intensidad,geocodigoFundar,geonombreFundar
1999,BEL,Bélgica,0,0.215281473119189,BEL,Bélgica
2000,BEL,Bélgica,0,0.218111164756291,BEL,Bélgica
2001,BEL,Bélgica,0,0.220160331540635,BEL,Bélgica
2002,BEL,Bélgica,0,0.214586022176601,BEL,Bélgica
2003,BEL,Bélgica,0,0.21170454190199,BEL,Bélgica
2004,BEL,Bélgica,0,0.210388256612236,BEL,Bélgica
2005,BEL,Bélgica,0,0.212681751865004,BEL,Bélgica
2006,BEL,Bélgica,0,0.209230745165109,BEL,Bélgica
2007,BEL,Bélgica,0,0.213028462266608,BEL,Bélgica
2008,BEL,Bélgica,0,0.207818653371192,BEL,Bélgica
2009,BEL,Bélgica,0,0.206268838359557,BEL,Bélgica
2010,BEL,Bélgica,0,0.208011462039445,BEL,Bélgica
2011,BEL,Bélgica,0,0.210345674647076,BEL,Bélgica
2012,BEL,Bélgica,0,0.208411353504592,BEL,Bélgica
2013,BEL,Bélgica,0,0.212485145276545,BEL,Bélgica
2014,BEL,Bélgica,0,0.211967780513427,BEL,Bélgica
2015,BEL,Bélgica,0,0.210303450008804,BEL,Bélgica
2016,BEL,Bélgica,0,0.210392651658578,BEL,Bélgica
2017,BEL,Bélgica,0,0.218902315039718,BEL,Bélgica
2018,BEL,Bélgica,0,0.220555981298914,BEL,Bélgica
2019,BEL,Bélgica,0,0.223252488196201,BEL,Bélgica
2020,BEL,Bélgica,0,0.228301054845165,BEL,Bélgica
1995,BGD,Bangladesh,0,0.101320804430682,BGD,Bangladesh
1996,BGD,Bangladesh,0,0.101470646746374,BGD,Bangladesh
1997,BGD,Bangladesh,0,0.10072233142629,BGD,Bangladesh
1998,BGD,Bangladesh,0,0.103535173539657,BGD,Bangladesh
1999,BGD,Bangladesh,0,0.100875326124592,BGD,Bangladesh
2000,BGD,Bangladesh,0,0.100596444040799,BGD,Bangladesh
2001,BGD,Bangladesh,0,0.100298824507527,BGD,Bangladesh
2002,BGD,Bangladesh,0,0.103037177743124,BGD,Bangladesh
2003,BGD,Bangladesh,0,0.102508854893155,BGD,Bangladesh
2004,BGD,Bangladesh,0,0.105497957901351,BGD,Bangladesh
2005,BGD,Bangladesh,0,0.106418110350398,BGD,Bangladesh
2006,BGD,Bangladesh,0,0.106982391556576,BGD,Bangladesh
2007,BGD,Bangladesh,0,0.105272847289089,BGD,Bangladesh
2008,BGD,Bangladesh,0,0.102938546439338,BGD,Bangladesh
2009,BGD,Bangladesh,0,0.103206768853091,BGD,Bangladesh
2010,BGD,Bangladesh,0,0.103840646781827,BGD,Bangladesh
2011,BGD,Bangladesh,0,0.102690539760512,BGD,Bangladesh
2012,BGD,Bangladesh,0,0.103371710526316,BGD,Bangladesh
2013,BGD,Bangladesh,0,0.103557561635436,BGD,Bangladesh
2014,BGD,Bangladesh,0,0.104034853756605,BGD,Bangladesh
2015,BGD,Bangladesh,0,0.105850653779968,BGD,Bangladesh
2016,BGD,Bangladesh,0,0.10170496935393,BGD,Bangladesh
2017,BGD,Bangladesh,0,0.101199553803729,BGD,Bangladesh
2018,BGD,Bangladesh,0,0.104605841420822,BGD,Bangladesh
2019,BGD,Bangladesh,0,0.104935912921103,BGD,Bangladesh
2020,BGD,Bangladesh,0,0.105811126495567,BGD,Bangladesh
1995,BGR,Bulgaria,0,0.0873553189609472,BGR,Bulgaria
1996,BGR,Bulgaria,0,0.0958136596395558,BGR,Bulgaria
1997,BGR,Bulgaria,0,0.103240529438613,BGR,Bulgaria
1998,BGR,Bulgaria,0,0.104039176237181,BGR,Bulgaria
1999,BGR,Bulgaria,0,0.0814839756343935,BGR,Bulgaria
2000,BGR,Bulgaria,0,0.0808003329280533,BGR,Bulgaria
2001,BGR,Bulgaria,0,0.0890711583798904,BGR,Bulgaria
2002,BGR,Bulgaria,0,0.0909776440073068,BGR,Bulgaria
2003,BGR,Bulgaria,0,0.0928470330950544,BGR,Bulgaria
2004,BGR,Bulgaria,0,0.09045452460288,BGR,Bulgaria
2005,BGR,Bulgaria,0,0.097879683512933,BGR,Bulgaria
2006,BGR,Bulgaria,0,0.10492436433859,BGR,Bulgaria
2007,BGR,Bulgaria,0,0.12234269333415,BGR,Bulgaria
2008,BGR,Bulgaria,0,0.121148296856747,BGR,Bulgaria
2009,BGR,Bulgaria,0,0.123715667078903,BGR,Bulgaria
2010,BGR,Bulgaria,0,0.121587142222978,BGR,Bulgaria
2011,BGR,Bulgaria,0,0.132462592664495,BGR,Bulgaria
2012,BGR,Bulgaria,0,0.135046812023782,BGR,Bulgaria
2013,BGR,Bulgaria,0,0.136345304307863,BGR,Bulgaria
2014,BGR,Bulgaria,0,0.141673358253727,BGR,Bulgaria
2015,BGR,Bulgaria,0,0.152368961212096,BGR,Bulgaria
2016,BGR,Bulgaria,0,0.162188221256697,BGR,Bulgaria
2017,BGR,Bulgaria,0,0.165207686673874,BGR,Bulgaria
2018,BGR,Bulgaria,0,0.168374032065537,BGR,Bulgaria
2019,BGR,Bulgaria,0,0.173713570557086,BGR,Bulgaria
2020,BGR,Bulgaria,0,0.184619376651869,BGR,Bulgaria
1995,BLR,Belarús,0,0.211131005669949,BLR,Belarús
1996,BLR,Belarús,0,0.195777224824356,BLR,Belarús
1997,BLR,Belarús,0,0.197193500738553,BLR,Belarús
1998,BLR,Belarús,0,0.198677579756798,BLR,Belarús
1999,BLR,Belarús,0,0.202390846282352,BLR,Belarús
2000,BLR,Belarús,0,0.195899573478092,BLR,Belarús
2001,BLR,Belarús,0,0.198586847308203,BLR,Belarús
2002,BLR,Belarús,0,0.193992935324076,BLR,Belarús
2003,BLR,Belarús,0,0.196714810365934,BLR,Belarús
2004,BLR,Belarús,0,0.196247725036356,BLR,Belarús
2005,BLR,Belarús,0,0.174260702184604,BLR,Belarús
2006,BLR,Belarús,0,0.171238554680815,BLR,Belarús
2007,BLR,Belarús,0,0.175898503595314,BLR,Belarús
2008,BLR,Belarús,0,0.1805212611114,BLR,Belarús
2009,BLR,Belarús,0,0.166283630629743,BLR,Belarús
2010,BLR,Belarús,0,0.172412999366109,BLR,Belarús
2011,BLR,Belarús,0,0.207987441170007,BLR,Belarús
2012,BLR,Belarús,0,0.202856239823485,BLR,Belarús
2013,BLR,Belarús,0,0.175702225735104,BLR,Belarús
2014,BLR,Belarús,0,0.173921078908257,BLR,Belarús
2015,BLR,Belarús,0,0.187868754489084,BLR,Belarús
2016,BLR,Belarús,0,0.189378183078687,BLR,Belarús
2017,BLR,Belarús,0,0.196039320185291,BLR,Belarús
2018,BLR,Belarús,0,0.198399867126776,BLR,Belarús
2019,BLR,Belarús,0,0.19289904832436,BLR,Belarús
2020,BLR,Belarús,0,0.194066144399143,BLR,Belarús
1995,BRA,Brasil,0,0.148680541235047,BRA,Brasil
1996,BRA,Brasil,0,0.141771837715677,BRA,Brasil
1997,BRA,Brasil,0,0.143930502111049,BRA,Brasil
1998,BRA,Brasil,0,0.139248392293065,BRA,Brasil
1999,BRA,Brasil,0,0.139343584414064,BRA,Brasil
