"anio","geocodigoFundar","geonombreFundar","industry_gdp","prop_industry_gdp"
"2009","ARE","Emiratos Árabes Unidos","25072612746.6366","0.268904497500872"
"2010","ARE","Emiratos Árabes Unidos","26661662419.8156","0.261944701325433"
"2011","ARE","Emiratos Árabes Unidos","33288406129.7075","0.313439330017275"
"2012","ARE","Emiratos Árabes Unidos","26781231267.7048","0.246433188927411"
"2013","ARE","Emiratos Árabes Unidos","28383991732.6507","0.252755844954992"
"2014","ARE","Emiratos Árabes Unidos","28986158149.7619","0.247669886997036"
"2015","ARE","Emiratos Árabes Unidos","33976082195.5072","0.279785195552799"
"2016","ARE","Emiratos Árabes Unidos","38033340523.6741","0.304993106972798"
"2017","ARE","Emiratos Árabes Unidos","39373446311.2224","0.305070758620097"
"2018","ARE","Emiratos Árabes Unidos","39693071264.4327","0.295444378651954"
"2019","ARE","Emiratos Árabes Unidos","41270075591.9991","0.302517605240836"
"2020","ARE","Emiratos Árabes Unidos","42267617481.571","0.316934633087761"
"2021","ARE","Emiratos Árabes Unidos","47014480523.3045","0.323069222544852"
"2022","ARE","Emiratos Árabes Unidos","51810252631.1788","0.348465891143449"
"2023","ARE","Emiratos Árabes Unidos","53759415944.8478","0.35550745716559"
"1990","ARM","Armenia","1773287165.14891","0.0314934250572911"
"1991","ARM","Armenia","1809628150.8164","0.0339662717959044"
"1992","ARM","Armenia","539907621.471043","0.0101087256506364"
"1993","ARM","Armenia","592460743.029709","0.0110664965953023"
"1994","ARM","Armenia","333085964.90974","0.00595077168040477"
"1995","ARM","Armenia","341622727.478394","0.0057801229309112"
"1996","ARM","Armenia","344082556.999217","0.00564449206111219"
"1997","ARM","Armenia","349153277.088266","0.00544386380406858"
"1998","ARM","Armenia","340161636.019193","0.0052010621962494"
"1999","ARM","Armenia","355300301.717785","0.00523390064802507"
"2000","ARM","Armenia","380513971.257362","0.00525346183509938"
"2001","ARM","Armenia","390669722.371407","0.00538639544166879"
"2002","ARM","Armenia","457282738.119666","0.00617552657428051"
"2003","ARM","Armenia","531257054.949125","0.00686882858876198"
"2004","ARM","Armenia","662788956.403147","0.00798783828606172"
"2005","ARM","Armenia","721365541.945777","0.00833185344056029"
"2006","ARM","Armenia","718036527.828115","0.00777052106594954"
"2007","ARM","Armenia","729486845.697622","0.00744913705274954"
"2008","ARM","Armenia","735740169.945215","0.00741362211485699"
"2009","ARM","Armenia","683416278.712568","0.00732965937248689"
"2010","ARM","Armenia","769255367.841485","0.00755775706703353"
"2011","ARM","Armenia","864467097.193048","0.00813971046587169"
"2012","ARM","Armenia","900199664.261502","0.00828337844955097"
"2013","ARM","Armenia","969843286.639437","0.00863633141164197"
"2014","ARM","Armenia","1027925739.70703","0.00878302845376134"
"2015","ARM","Armenia","971558305.281334","0.00800055841841675"
"2016","ARM","Armenia","1079636818.46961","0.00865771407752916"
"2017","ARM","Armenia","1206840056.03221","0.00935075910085951"
"2018","ARM","Armenia","1342557675.73381","0.00999295609223892"
"2019","ARM","Armenia","1470122521.32735","0.0107762813172261"
"2020","ARM","Armenia","1411836982.01683","0.0105863557620756"
"2021","ARM","Armenia","1448408383.2586","0.00995302224119762"
"2022","ARM","Armenia","1629414104.10361","0.0109591289174003"
"2023","ARM","Armenia","1663615296.4512","0.0110013777744516"
"1990","AZE","Azerbaiyán","2851386997.04214","0.0506403838394331"
"1991","AZE","Azerbaiyán","2800397465.90597","0.0525627662349372"
"1992","AZE","Azerbaiyán","2178850466.39009","0.0407947595525467"
"1993","AZE","Azerbaiyán","1713490319.58158","0.032006061179284"
"1994","AZE","Azerbaiyán","1294679705.77342","0.0231301950245756"
"1995","AZE","Azerbaiyán","1018360802.27121","0.0172302664655741"
"1996","AZE","Azerbaiyán","950580670.911879","0.0155937723120937"
"1997","AZE","Azerbaiyán","958912635.243577","0.0149509975383873"
"1998","AZE","Azerbaiyán","968769076.448778","0.0148124529249644"
"1999","AZE","Azerbaiyán","1005413910.56516","0.0148106728100113"
"2000","AZE","Azerbaiyán","1097947579.31585","0.0151585122770021"
"2001","AZE","Azerbaiyán","1142797659.90437","0.0157564299293371"
"2002","AZE","Azerbaiyán","1236451322.57462","0.0166980674402051"
"2003","AZE","Azerbaiyán","1409710596.46003","0.0182266952629413"
"2004","AZE","Azerbaiyán","1557549591.85852","0.0187713662729161"
"2005","AZE","Azerbaiyán","1811306419.01226","0.0209207936082572"
"2006","AZE","Azerbaiyán","1974511280.79117","0.0213679679343773"
"2007","AZE","Azerbaiyán","2175757441.04289","0.0222176938041543"
"2008","AZE","Azerbaiyán","2330300098.96474","0.023481067166993"
"2009","AZE","Azerbaiyán","2036406159.53204","0.021840515010152"
"2010","AZE","Azerbaiyán","2175734309.09558","0.0213760891869953"
"2011","AZE","Azerbaiyán","2323674292.98882","0.0218794168376478"
"2012","AZE","Azerbaiyán","2432184020.40414","0.0223802579580894"
"2013","AZE","Azerbaiyán","2483094582.64073","0.0221116421978294"
"2014","AZE","Azerbaiyán","2575319760.60754","0.0220046116769063"
"2015","AZE","Azerbaiyán","2648932112.24205","0.0218133445982696"
"2016","AZE","Azerbaiyán","2615942463.78973","0.0209775004958264"
"2017","AZE","Azerbaiyán","2586477274.73872","0.0200403738631657"
"2018","AZE","Azerbaiyán","2752440618.19645","0.020487029154333"
"2019","AZE","Azerbaiyán","3038537929.25979","0.0222730684305149"
"2020","AZE","Azerbaiyán","3331135680.97173","0.024977803995568"
"2021","AZE","Azerbaiyán","3981806886.15003","0.0273617668580763"
"2022","AZE","Azerbaiyán","4096546390.34785","0.0275525907716571"
"2023","AZE","Azerbaiyán","4498602078.48973","0.0297489576033423"
"1970","BGD","Bangladesh","3368438530.01869","0.118775123967149"
"1971","BGD","Bangladesh","2819925243.45804","0.0963407070070195"
"1972","BGD","Bangladesh","1535605753.24393","0.0493417457348643"
"1973","BGD","Bangladesh","2533193148.38577","0.0746812789137139"
"1974","BGD","Bangladesh","3612009880.30998","0.105088346763413"
"1975","BGD","Bangladesh","3217624349.19474","0.0962507119382675"
"1976","BGD","Bangladesh","3195394959.7646","0.0894627070080541"
"1977","BGD","Bangladesh","3567976544.30778","0.0960408903100176"
"1978","BGD","Bangladesh","3609989026.71868","0.0938221977095564"
"1979","BGD","Bangladesh","4013947022.15913","0.100174678915594"
"1980","BGD","Bangladesh","4072232693.97477","0.10133102623634"
"1981","BGD","Bangladesh","3947897018.17436","0.0970673599322752"
"1982","BGD","Bangladesh","3958320368.24042","0.098947319821663"
"1983","BGD","Bangladesh","4033304672.28182","0.098870685619332"
"1984","BGD","Bangladesh","4335794545.65763","0.100674659566316"
"1985","BGD","Bangladesh","4266340998.78355","0.0947939659497144"
"1986","BGD","Bangladesh","4377381585.1981","0.0951676310764643"
"1987","BGD","Bangladesh","4722734826.71332","0.0979774317058975"
"1988","BGD","Bangladesh","4752409466.17829","0.093107255959356"
"1989","BGD","Bangladesh","4884828556.31919","0.0929521233167166"
"1990","BGD","Bangladesh","5238903376.43111","0.0930424660543729"
"1991","BGD","Bangladesh","5363026330.82102","0.100662674770548"
"1992","BGD","Bangladesh","5755922811.90211","0.107768518646256"
"1993","BGD","Bangladesh","6252170340.34811","0.116783470632826"
"1994","BGD","Bangladesh","6761420973.73056","0.120796661188272"
"1995","BGD","Bangladesh","7470074060.02528","0.126390731344676"
"1996","BGD","Bangladesh","7948704478.5486","0.130394285942826"
"1997","BGD","Bangladesh","8350219708.98707","0.130193418801231"
"1998","BGD","Bangladesh","9063712660.64529","0.13858392095189"
"1999","BGD","Bangladesh","9353265672.37176","0.137782216978418"
"2000","BGD","Bangladesh","9798436488.36164","0.135279427362832"
"2001","BGD","Bangladesh","10453334803.3792","0.144126334115112"
"2002","BGD","Bangladesh","11026568456.8497","0.148911955015846"
"2003","BGD","Bangladesh","11770681623.3547","0.152187709679369"
"2004","BGD","Bangladesh","12605848790.2324","0.151923897678337"
"2005","BGD","Bangladesh","13638417932.3086","0.157525266686007"
"2006","BGD","Bangladesh","15106736285.8178","0.163483622346845"
"2007","BGD","Bangladesh","17307868783.9716","0.176738878052713"
"2008","BGD","Bangladesh","19254970494.1884","0.194021042900598"
"2009","BGD","Bangladesh","21293786775.6687","0.228376479574114"
"2010","BGD","Bangladesh","23538201557.4659","0.231257416721537"
"2011","BGD","Bangladesh","26840570357.312","0.252727341684572"
"2012","BGD","Bangladesh","30590045049.5676","0.281480798087449"
"2013","BGD","Bangladesh","34974801436.8498","0.31144616911423"
"2014","BGD","Bangladesh","39429765151.7299","0.336904443458604"
"2015","BGD","Bangladesh","45083124550.8711","0.371249125959103"
"2016","BGD","Bangladesh","52192022944.4781","0.418532977063205"
"2017","BGD","Bangladesh","55890564104.8981","0.433047609203733"
"2018","BGD","Bangladesh","61732510634.7839","0.459488839390003"
"2019","BGD","Bangladesh","69346896406.9407","0.508326111134603"
"2020","BGD","Bangladesh","70512491631.0058","0.528722743195082"
"2021","BGD","Bangladesh","78681459268.3826","0.54067507694636"
"2022","BGD","Bangladesh","87659663325.4054","0.589582199405058"
"2023","BGD","Bangladesh","95456281395.9072","0.631246066816585"
"1970","BHR","Bahrein","244008032.703351","0.0086040116436858"
"1971","BHR","Bahrein","240989240.899548","0.00823322316902153"
"1972","BHR","Bahrein","292357026.844756","0.0093939515737692"
"1973","BHR","Bahrein","303166424.579018","0.008937674699494"
"1974","BHR","Bahrein","302199224.694188","0.00879222869500349"
"1975","BHR","Bahrein","412794387.219293","0.0123481641553096"
"1976","BHR","Bahrein","275434016.14856","0.00771143254496638"
"1977","BHR","Bahrein","298768371.815571","0.00804208774057642"
"1978","BHR","Bahrein","328771565.242578","0.00854464392195319"
"1979","BHR","Bahrein","362811642.54111","0.00905456389876442"
"1980","BHR","Bahrein","464569266.041235","0.0115600664361528"
"1981","BHR","Bahrein","518242034.746438","0.0127420715097654"
"1982","BHR","Bahrein","626797691.449821","0.0156682496285502"
"1983","BHR","Bahrein","634040241.437268","0.0155425881441493"
"1984","BHR","Bahrein","687027905.181541","0.0159523934398557"
"1985","BHR","Bahrein","1004283871.99554","0.0223142152005516"
"1986","BHR","Bahrein","1021529264.60648","0.022208829250028"
"1987","BHR","Bahrein","1228763972.20737","0.025491826788293"
"1988","BHR","Bahrein","1233918713.38574","0.0241744290549596"
"1989","BHR","Bahrein","1206903633.1394","0.0229658531605661"
"1990","BHR","Bahrein","1350251383.5392","0.0239803465517242"
"1991","BHR","Bahrein","1400921201.34909","0.0262949436701683"
"1992","BHR","Bahrein","1572290104.84529","0.0294380902973488"
"1993","BHR","Bahrein","1891150290.08018","0.035324548491355"
"1994","BHR","Bahrein","1988192765.57444","0.0355202033438187"
"1995","BHR","Bahrein","2033544751.54977","0.034406781821067"
"1996","BHR","Bahrein","2020062265.79473","0.0331380512911516"
"1997","BHR","Bahrein","2052229233.6903","0.0319975700532054"
"1998","BHR","Bahrein","2119419322.86246","0.0324058640096571"
"1999","BHR","Bahrein","2223133910.03185","0.0327488098268051"
"2000","BHR","Bahrein","2270961714.71678","0.0313534103828405"
"2001","BHR","Bahrein","2352014684.82552","0.0324286230839205"
"2002","BHR","Bahrein","2458331499.49821","0.033199354005725"
"2003","BHR","Bahrein","2551979791.23737","0.0329955368774777"
"2004","BHR","Bahrein","2830914718.22695","0.0341177817650214"
"2005","BHR","Bahrein","3286270480.03828","0.0379567950138888"
"2006","BHR","Bahrein","3644258180.58981","0.0394378055496514"
"2007","BHR","Bahrein","3840106599.85612","0.0392131544635878"
"2008","BHR","Bahrein","4102812022.46077","0.0413416300826434"
"2009","BHR","Bahrein","4296709685.12066","0.0460823357525631"
"2010","BHR","Bahrein","4459180708.27842","0.0438104248862589"
"2011","BHR","Bahrein","4597939932.84378","0.0432936081828226"
"2012","BHR","Bahrein","4812527872.96805","0.0442834975988468"
"2013","BHR","Bahrein","4988070871.77556","0.044418138215589"
"2014","BHR","Bahrein","5230811934.35009","0.0446942500620379"
"2015","BHR","Bahrein","5398138297.87234","0.0444524230486758"
"2016","BHR","Bahrein","5679446590.40984","0.0455440420863623"
"2017","BHR","Bahrein","5740466254.00113","0.0444779047558771"
"2018","BHR","Bahrein","5848174240.56989","0.0435292646729947"
"2019","BHR","Bahrein","5940085905.03985","0.0435419741093441"
"2020","BHR","Bahrein","5646516354.42164","0.0423391876722868"
"2021","BHR","Bahrein","5687089972.07055","0.0390799539922327"
"2022","BHR","Bahrein","5928811917.09031","0.039876059721575"
"2023","BHR","Bahrein","5967216212.44948","0.0394608056051343"
"1970","BRN","Brunei Darussalam","598235574.060217","0.0210944934388239"
"1971","BRN","Brunei Darussalam","722459736.451054","0.0246823145242131"
"1972","BRN","Brunei Darussalam","832358125.91307","0.0267451479146855"
"1973","BRN","Brunei Darussalam","941634531.145522","0.0277604063077759"
"1974","BRN","Brunei Darussalam","1065044938.40955","0.0309865741000121"
"1975","BRN","Brunei Darussalam","1403645751.45767","0.0419880906609675"
"1976","BRN","Brunei Darussalam","1882939422.78764","0.0527173823630162"
"1977","BRN","Brunei Darussalam","1763819469.45607","0.0474775520772289"
"1978","BRN","Brunei Darussalam","1829945112.62186","0.0475595551352971"
"1979","BRN","Brunei Darussalam","2067716043.18002","0.0516032696920756"
"1980","BRN","Brunei Darussalam","1895132803.5777","0.0471573621332629"
"1981","BRN","Brunei Darussalam","1191668511.48147","0.0292996792447796"
"1982","BRN","Brunei Darussalam","1141488058.63245","0.0285341188945559"
"1983","BRN","Brunei Darussalam","1151805535.00262","0.0282348625256281"
"1984","BRN","Brunei Darussalam","1185102844.638","0.0275174075198038"
"1985","BRN","Brunei Darussalam","1120853105.8921","0.0249042707052395"
"1986","BRN","Brunei Darussalam","1015802438.45741","0.022084323659737"
"1987","BRN","Brunei Darussalam","1342209870.02853","0.0278453651752497"
"1988","BRN","Brunei Darussalam","1337051131.49997","0.0261949570669936"
"1989","BRN","Brunei Darussalam","1351589393.50182","0.0257190406029345"
"1990","BRN","Brunei Darussalam","1423342751.98808","0.0252784428667598"
"1991","BRN","Brunei Darussalam","1472339060.11054","0.0276354391751032"
"1992","BRN","Brunei Darussalam","1485813044.67248","0.027818974653123"
"1993","BRN","Brunei Darussalam","1457640167.6738","0.0272270697130882"
"1994","BRN","Brunei Darussalam","1570331676.35548","0.0280548754764584"
"1995","BRN","Brunei Darussalam","1722220231.53512","0.029139292709982"
"1996","BRN","Brunei Darussalam","1717320600.72288","0.028171734660722"
"1997","BRN","Brunei Darussalam","1718545507.91073","0.0267949015520619"
"1998","BRN","Brunei Darussalam","1841036278.90384","0.0281493948117952"
"1999","BRN","Brunei Darussalam","1887582771.27671","0.0278058325366505"
"2000","BRN","Brunei Darussalam","1946912518.93145","0.0268795139917893"
"2001","BRN","Brunei Darussalam","1949587985.56601","0.026880127220613"
"2002","BRN","Brunei Darussalam","2083081633.59898","0.0281316675927525"
"2003","BRN","Brunei Darussalam","2145180861.41949","0.027735875677725"
"2004","BRN","Brunei Darussalam","2121050179.51461","0.0255625952528385"
"2005","BRN","Brunei Darussalam","2079525808.67277","0.0240187578366843"
"2006","BRN","Brunei Darussalam","2096276421.50785","0.0226856983761687"
"2007","BRN","Brunei Darussalam","2032154952.72519","0.0207513005128929"
"2008","BRN","Brunei Darussalam","2089692542.45362","0.0210566059579695"
"2009","BRN","Brunei Darussalam","1884765483.37076","0.0202141643686812"
"2010","BRN","Brunei Darussalam","1913918286.80667","0.0188038069834028"
"2011","BRN","Brunei Darussalam","2038184128.7266","0.0191912783469012"
"2012","BRN","Brunei Darussalam","1997868893.56739","0.018383815052387"
"2013","BRN","Brunei Darussalam","1967886242.69744","0.0175237773014192"
"2014","BRN","Brunei Darussalam","1834457019.53569","0.0156743698278986"
"2015","BRN","Brunei Darussalam","1878478710.92581","0.0154688386510805"
"2016","BRN","Brunei Darussalam","1865075214.18666","0.0149562220010275"
"2017","BRN","Brunei Darussalam","2033706753.7086","0.0157574335063441"
"2018","BRN","Brunei Darussalam","2021743462.8238","0.0150482873242125"
"2019","BRN","Brunei Darussalam","2140631283.97105","0.0156912397285766"
"2020","BRN","Brunei Darussalam","2652102456.46552","0.0198862194993018"
"2021","BRN","Brunei Darussalam","2473942879.32135","0.0170001836401562"
"2022","BRN","Brunei Darussalam","2401460868.91264","0.0161517684094088"
"2023","BRN","Brunei Darussalam","2320216262.67891","0.0153434364775364"
"1970","BTN","Bhután","5071771.89451494","0.000178836671690955"
"1971","BTN","Bhután","5189937.72027548","0.000177310469649398"
"1972","BTN","Bhután","5259029.51549911","0.000168981977709929"
"1973","BTN","Bhután","5372719.87627052","0.000158393603685805"
"1974","BTN","Bhután","5545107.12016141","0.000161330162207027"
"1975","BTN","Bhután","5452838.5800849","0.000163114005383808"
"1976","BTN","Bhután","6073621.27272236","0.000170045520895318"
"1977","BTN","Bhután","5946181.57766925","0.00016005614542939"
"1978","BTN","Bhután","7211687.68934804","0.000187428932110799"
"1979","BTN","Bhután","7838388.39301689","0.000195619931242595"
"1980","BTN","Bhután","4861662.89138342","0.000120974739662573"
"1981","BTN","Bhután","11941459.505009","0.000293605922989708"
"1982","BTN","Bhután","10391804.4490311","0.000259767048314875"
"1983","BTN","Bhután","11759147.1129239","0.000288258644417165"
"1984","BTN","Bhután","12123771.8671757","0.000281507020808908"
"1985","BTN","Bhután","11272980.8387448","0.000250474718754185"
"1986","BTN","Bhután","10847585.3469682","0.000235834820492126"
"1987","BTN","Bhután","16711966.2227887","0.000346704947312076"
"1988","BTN","Bhután","17167747.1057666","0.000336343455966455"
"1989","BTN","Bhután","25827584.136653","0.000491466334583508"
"1990","BTN","Bhután","25091275.304584","0.000445618856284012"
"1991","BTN","Bhután","24228062.9752005","0.000454754736067013"
"1992","BTN","Bhután","25268123.8620562","0.000473096732977911"
"1993","BTN","Bhután","25756023.7435264","0.00048109339297096"
"1994","BTN","Bhután","31078489.3229564","0.000555235025237183"
"1995","BTN","Bhután","38221394.9474173","0.000646691053073899"
"1996","BTN","Bhután","42630985.7615633","0.000699338736572684"
"1997","BTN","Bhután","45856947.4129463","0.00071498391270521"
"1998","BTN","Bhután","45353062.6786622","0.000693447099274917"
"1999","BTN","Bhután","47117617.0641045","0.000694085890985522"
"2000","BTN","Bhután","48641326.8153509","0.000671553144786396"
"2001","BTN","Bhután","54704532.1134086","0.000754243867750151"
"2002","BTN","Bhután","55744186.2146068","0.000752815872178973"
"2003","BTN","Bhután","59110747.1436326","0.00076426578452148"
"2004","BTN","Bhután","61747055.5644287","0.000744166736219901"
"2005","BTN","Bhután","66535060.69241","0.000768487461783437"
"2006","BTN","Bhután","74176555.1036982","0.000802731423394704"
"2007","BTN","Bhután","92748356.9311484","0.000947097574510396"
"2008","BTN","Bhután","100639067.431892","0.00101408084866049"
"2009","BTN","Bhután","107563315.540813","0.00115361967288033"
"2010","BTN","Bhután","129273131.535647","0.0012700787856477"
"2011","BTN","Bhután","138708111.090499","0.0013060576477817"
"2012","BTN","Bhután","148121720.777974","0.00136297348078799"
"2013","BTN","Bhután","140339719.252704","0.00124970739332832"
"2014","BTN","Bhután","153203064.798408","0.0013090312124214"
"2015","BTN","Bhután","159965666.432358","0.00131728034465461"
"2016","BTN","Bhután","163841789.47293","0.00131386346124994"
"2017","BTN","Bhután","174421860.376762","0.00135144403780324"
"2018","BTN","Bhután","179131875.211554","0.00133331848311923"
"2019","BTN","Bhután","174646633.424674","0.00128019347067174"
"2020","BTN","Bhután","132178438.307823","0.000991111572954598"
"2021","BTN","Bhután","137713864.593524","0.000946327826504924"
"2022","BTN","Bhután","146977921.545273","0.000988545506123701"
"2023","BTN","Bhután","153471535.882695","0.0010148971023965"
"1970","CHN","China","29262553894.4477","1.03183223782597"
"1971","CHN","China","32861848023.4965","1.12270127709433"
"1972","CHN","China","35359348473.1896","1.13615879468344"
"1973","CHN","China","38470971139.0274","1.13416591527809"
"1974","CHN","China","38855680850.2448","1.130472894102"
"1975","CHN","China","45072589786.4654","1.34828320059627"
"1976","CHN","China","43675339502.9459","1.22279535100637"
"1977","CHN","China","49964588391.479","1.34492015109987"
"1978","CHN","China","58158780887.5251","1.51152388513933"
"1979","CHN","China","63208904615.1981","1.5774826347927"
"1980","CHN","China","71160834343.0226","1.77072405083376"
"1981","CHN","China","72400471687.4797","1.78011802542027"
"1982","CHN","China","76592635584.822","1.9146090523654"
"1983","CHN","China","84051650033.6548","2.06040578173385"
"1984","CHN","China","96483340781.9541","2.2402877684258"
"1985","CHN","China","113880644368.902","2.53031764871004"
"1986","CHN","China","124853730492.5","2.71441580560604"
"1987","CHN","China","141251554397.079","2.93039203598965"
"1988","CHN","China","162576142106.781","3.18512505787791"
"1989","CHN","China","170776819924.336","3.249667381818"
"1990","CHN","China","176512468589.501","3.13484601391907"
"1991","CHN","China","201757021246.714","3.78692927456191"
"1992","CHN","China","244206215866.781","4.57228892537458"
"1993","CHN","China","292944180060.174","5.47186595802341"
"1994","CHN","China","347973470237.225","6.21674549625942"
"1995","CHN","China","396650080581.119","6.7111642227015"
"1996","CHN","China","446195870459.571","7.31960687131205"
"1997","CHN","China","496707983467.498","7.7444801175589"
"1998","CHN","China","540875085873.394","8.26996540512444"
"1999","CHN","China","587199798653.311","8.64999379914096"
"2000","CHN","China","645084599242.366","8.90618368448298"
"2001","CHN","China","701319218712.883","9.66950451112376"
