"anio","sector","prop","intensidad_tecnologica"
2009,"Equipos informáticos, electrónicos y eléctricos","0.0360777413271259","High tech"
2009,"Madera, papel y edición","0.092394777104602","Low tech"
2009,"Maquinarias y equipos","0.052414411728334","High tech"
2009,"Metales básicos y elaborados de metal","0.122554633575179","High tech"
2009,"Otras manufacturas","0.0295373085942073","Low tech"
2009,"Químicos, minerales no metálicos","0.243315250770856","High tech"
2009,"Textiles, cuero y calzado","0.0810672759934555","Low tech"
2010,"Alimentos, bebidas y tabaco","0.275468569813432","Low tech"
2010,"Equipos de transporte","0.0545117292504415","High tech"
2010,"Equipos informáticos, electrónicos y eléctricos","0.0369545945574448","High tech"
2010,"Madera, papel y edición","0.0863497900776671","Low tech"
2010,"Maquinarias y equipos","0.0607551772562639","High tech"
2010,"Metales básicos y elaborados de metal","0.128363802613929","High tech"
2010,"Otras manufacturas","0.0272921598985215","Low tech"
2010,"Químicos, minerales no metálicos","0.238456714458053","High tech"
2010,"Textiles, cuero y calzado","0.0820826847181883","Low tech"
2011,"Alimentos, bebidas y tabaco","0.276239429409401","Low tech"
2011,"Equipos de transporte","0.0533015996664609","High tech"
2011,"Equipos informáticos, electrónicos y eléctricos","0.0390140894221296","High tech"
2011,"Madera, papel y edición","0.0863739277158404","Low tech"
2011,"Maquinarias y equipos","0.0655186490417829","High tech"
2011,"Metales básicos y elaborados de metal","0.12349493197701","High tech"
2011,"Otras manufacturas","0.0274160301775654","Low tech"
2011,"Químicos, minerales no metálicos","0.232268073843014","High tech"
2011,"Textiles, cuero y calzado","0.0858689401537835","Low tech"
2012,"Alimentos, bebidas y tabaco","0.28704071229877","Low tech"
2012,"Equipos de transporte","0.0495813176462787","High tech"
2012,"Equipos informáticos, electrónicos y eléctricos","0.0405012801641142","High tech"
2012,"Madera, papel y edición","0.0834823426656475","Low tech"
2012,"Maquinarias y equipos","0.0618709417718431","High tech"
2012,"Metales básicos y elaborados de metal","0.114669611303882","High tech"
2012,"Otras manufacturas","0.0279414682674551","Low tech"
2012,"Químicos, minerales no metálicos","0.24192452969894","High tech"
2012,"Textiles, cuero y calzado","0.082901571205276","Low tech"
2013,"Alimentos, bebidas y tabaco","0.282999527994073","Low tech"
2013,"Equipos de transporte","0.0530728228199322","High tech"
2013,"Equipos informáticos, electrónicos y eléctricos","0.0390658205166362","High tech"
2013,"Madera, papel y edición","0.0851308957350703","Low tech"
2013,"Maquinarias y equipos","0.062547678388612","High tech"
2013,"Metales básicos y elaborados de metal","0.112014482592479","High tech"
2013,"Otras manufacturas","0.0275245139013452","Low tech"
2013,"Químicos, minerales no metálicos","0.243766712282479","High tech"
2013,"Textiles, cuero y calzado","0.0836902712556488","Low tech"
2014,"Alimentos, bebidas y tabaco","0.295398247328166","Low tech"
2014,"Equipos de transporte","0.0456771031404763","High tech"
2014,"Equipos informáticos, electrónicos y eléctricos","0.0376713211181657","High tech"
2014,"Madera, papel y edición","0.0802772790588365","Low tech"
2014,"Maquinarias y equipos","0.0586208067265149","High tech"
2014,"Metales básicos y elaborados de metal","0.11500921456685","High tech"
2014,"Otras manufacturas","0.0267858527242155","Low tech"
2014,"Químicos, minerales no metálicos","0.248982068606395","High tech"
2014,"Textiles, cuero y calzado","0.0817901599318774","Low tech"
2015,"Alimentos, bebidas y tabaco","0.297303046341607","Low tech"
2015,"Equipos de transporte","0.0436346499837715","High tech"
2015,"Equipos informáticos, electrónicos y eléctricos","0.0430054326000744","High tech"
2015,"Madera, papel y edición","0.0823501192628045","Low tech"
2015,"Maquinarias y equipos","0.0576406379819519","High tech"
2015,"Metales básicos y elaborados de metal","0.103262865597215","High tech"
2015,"Otras manufacturas","0.0297552921966072","Low tech"
2015,"Químicos, minerales no metálicos","0.247153447135292","High tech"
2015,"Textiles, cuero y calzado","0.0860084250877679","Low tech"
2016,"Alimentos, bebidas y tabaco","0.309473506421455","Low tech"
2016,"Equipos de transporte","0.0465862612232369","High tech"
2016,"Equipos informáticos, electrónicos y eléctricos","0.0382385520037712","High tech"
2016,"Madera, papel y edición","0.0832536518911816","Low tech"
2016,"Maquinarias y equipos","0.0609808621143011","High tech"
2016,"Metales básicos y elaborados de metal","0.096837677358884","High tech"
2016,"Otras manufacturas","0.0266172637934456","Low tech"
2016,"Químicos, minerales no metálicos","0.249134741164149","High tech"
2016,"Textiles, cuero y calzado","0.0791774124227402","Low tech"
2017,"Alimentos, bebidas y tabaco","0.312256227611701","Low tech"
2017,"Equipos de transporte","0.0487025375108653","High tech"
2017,"Equipos informáticos, electrónicos y eléctricos","0.0362659354740599","High tech"
2017,"Madera, papel y edición","0.0848003227573268","Low tech"
2017,"Maquinarias y equipos","0.0644180548627467","High tech"
2017,"Metales básicos y elaborados de metal","0.104425536041743","High tech"
2017,"Otras manufacturas","0.0267948935935202","Low tech"
2017,"Químicos, minerales no metálicos","0.243614764299863","High tech"
2017,"Textiles, cuero y calzado","0.0694339260937287","Low tech"
2018,"Alimentos, bebidas y tabaco","0.337950645843262","Low tech"
2018,"Equipos de transporte","0.0641353258181678","High tech"
2018,"Equipos informáticos, electrónicos y eléctricos","0.0317457768526679","High tech"
2018,"Madera, papel y edición","0.0784380585955553","Low tech"
2018,"Maquinarias y equipos","0.0438124950639537","High tech"
2018,"Metales básicos y elaborados de metal","0.116190294298778","High tech"
2018,"Otras manufacturas","0.0252274333163614","Low tech"
2018,"Químicos, minerales no metálicos","0.240360710586386","High tech"
2018,"Textiles, cuero y calzado","0.0520738573644659","Low tech"
2019,"Alimentos, bebidas y tabaco","0.302521486474332","Low tech"
2019,"Equipos de transporte","0.0596197444591119","High tech"
2019,"Equipos informáticos, electrónicos y eléctricos","0.0311719357294632","High tech"
2019,"Madera, papel y edición","0.085559882390746","Low tech"
2019,"Maquinarias y equipos","0.0432416955546879","High tech"
2019,"Metales básicos y elaborados de metal","0.123636715952915","High tech"
2019,"Otras manufacturas","0.0219524704918445","Low tech"
2019,"Químicos, minerales no metálicos","0.270444081067157","High tech"
2019,"Textiles, cuero y calzado","0.053073046224113","Low tech"
2020,"Alimentos, bebidas y tabaco","0.330515243829187","Low tech"
2020,"Equipos de transporte","0.0502438064462601","High tech"
2020,"Equipos informáticos, electrónicos y eléctricos","0.0295999807157603","High tech"
2020,"Madera, papel y edición","0.0919630896280904","Low tech"
2020,"Maquinarias y equipos","0.0501912012073657","High tech"
2020,"Metales básicos y elaborados de metal","0.104765960800926","High tech"
2020,"Otras manufacturas","0.0232335490669266","Low tech"
2020,"Químicos, minerales no metálicos","0.268684697510763","High tech"
2020,"Textiles, cuero y calzado","0.0421055634188634","Low tech"
2021,"Alimentos, bebidas y tabaco","0.300658174609761","Low tech"
2021,"Equipos de transporte","0.0685499335626451","High tech"
2021,"Equipos informáticos, electrónicos y eléctricos","0.0256175581583372","High tech"
2021,"Madera, papel y edición","0.083670872555428","Low tech"
2021,"Maquinarias y equipos","0.0585150192768671","High tech"
2021,"Metales básicos y elaborados de metal","0.118538213871665","High tech"
2021,"Otras manufacturas","0.0235446474474807","Low tech"
2021,"Químicos, minerales no metálicos","0.259486210282446","High tech"
2021,"Textiles, cuero y calzado","0.0524643051385347","Low tech"
2022,"Alimentos, bebidas y tabaco","0.304862537152327","Low tech"
2022,"Equipos de transporte","0.0738490204693944","High tech"
2022,"Equipos informáticos, electrónicos y eléctricos","0.0257677174390889","High tech"
2022,"Madera, papel y edición","0.0778870353976112","Low tech"
2022,"Maquinarias y equipos","0.0567755978222738","High tech"
2022,"Metales básicos y elaborados de metal","0.118145748824361","High tech"
2022,"Otras manufacturas","0.0210873313755469","Low tech"
2022,"Químicos, minerales no metálicos","0.260270225716774","High tech"
2022,"Textiles, cuero y calzado","0.0527666177612386","Low tech"
2023,"Alimentos, bebidas y tabaco","0.285021481971557","Low tech"
2023,"Equipos de transporte","0.085326397556433","High tech"
2023,"Equipos informáticos, electrónicos y eléctricos","0.0289707593237556","High tech"
2023,"Madera, papel y edición","0.0802289549684527","Low tech"
2023,"Maquinarias y equipos","0.0595671356900372","High tech"
2023,"Metales básicos y elaborados de metal","0.124021824871003","High tech"
2023,"Otras manufacturas","0.0204322586592022","Low tech"
2023,"Químicos, minerales no metálicos","0.256811605248281","High tech"
2023,"Textiles, cuero y calzado","0.0500620336706081","Low tech"
2024,"Alimentos, bebidas y tabaco","0.324481369722857","Low tech"
2024,"Equipos de transporte","0.0808199941138489","High tech"
2024,"Equipos informáticos, electrónicos y eléctricos","0.029638530409245","High tech"
2024,"Madera, papel y edición","0.079806923954","Low tech"
2024,"Maquinarias y equipos","0.0516592784862991","High tech"
2024,"Metales básicos y elaborados de metal","0.106091198072099","High tech"
2024,"Otras manufacturas","0.0164837886488949","Low tech"
2024,"Químicos, minerales no metálicos","0.261359283417873","High tech"
2024,"Textiles, cuero y calzado","0.0400728835294851","Low tech"
