"anio","geocodigoFundar","geonombreFundar","share_indust_id"
"2013","AUT","Austria","62.0445177494475"
"2013","BEL","Bélgica","59.1395846758692"
"2013","CHL","Chile","22.5443039506413"
"2013","DNK","Dinamarca","58.1411105620633"
"2013","EST","Estonia","34.547557828259"
"2013","FIN","Finlandia","71.3323483361369"
"2013","DEU","Alemania","85.965963599002"
"2013","GRC","Grecia","35.9819108266906"
"2013","HUN","Hungría","56.722203774413"
"2013","IRL","Irlanda","42.0366487075545"
"2013","ITA","Italia","72.1150830792849"
"2013","JPN","Japón","88.7293171207318"
"2013","LVA","Letonia","59.6446700537846"
"2013","LTU","Lituania","37.0673662116823"
"2013","MEX","México","53.9217821566177"
"2013","NZL","Nueva Zelanda","41.8940609926512"
"2013","NOR","Noruega","31.2343723055111"
"2013","POL","Polonia","44.0551882068831"
"2013","PRT","Portugal","39.5594465680666"
"2013","SVK","Eslovaquia","57.4273996921289"
"2013","SVN","Eslovenia","65.0599968265939"
"2013","ESP","España","44.9027828490869"
"2013","SWE","Suecia","70.4680336082841"
"2013","TUR","Turquía","51.3498576933118"
"2013","GBR","Reino Unido","39.6811544124437"
"2013","BGR","Bulgaria","14.1448029129072"
"2013","CHN","China","87.5976662919568"
"2013","HRV","Croacia","48.9376342742149"
"2013","ROU","Rumania","52.594249126362"
"2013","SGP","Singapur","54.991402916074"
"2013","TWN","Taiwán","91.3496934815423"
"2013","CZE","Chequia","53.1537945192914"
"2013","KOR","Corea del Sur","88.6040827603886"
"2015","KOR","Corea del Sur","89.6082366036426"
"2015","CZE","Chequia","52.4993932155937"
"2015","ESP","España","45.4479768921612"
"2015","AUS","Australia","23.6810670303184"
"2015","AUT","Austria","61.5721862808893"
"2015","BEL","Bélgica","54.6245783921732"
"2015","CHL","Chile","27.7214472722999"
"2015","DNK","Dinamarca","56.3780484662721"
"2015","EST","Estonia","26.9630692019355"
"2015","FIN","Finlandia","67.1089368207129"
"2015","DEU","Alemania","85.1702979403413"
"2015","GRC","Grecia","26.6600188764765"
"2015","HUN","Hungría","40.5358451556844"
"2015","IRL","Irlanda","39.2279790298033"
"2015","ITA","Italia","70.0668922258516"
"2015","JPN","Japón","86.6894495299653"
"2015","LVA","Letonia","43.8829787274516"
"2015","LTU","Lituania","35.1339703923032"
"2015","MEX","México","61.8963568203795"
"2015","NZL","Nueva Zelanda","41.8851435816403"
"2015","NOR","Noruega","31.1528361615169"
"2015","POL","Polonia","44.3350690648806"
"2015","PRT","Portugal","39.803873313168"
"2015","SVK","Eslovaquia","65.8368989344117"
"2015","SVN","Eslovenia","70.3559444885325"
"2015","SWE","Suecia","69.0811500965617"
"2015","CHE","Suiza","66.1420300636114"
"2015","TUR","Turquía","59.2825842941906"
"2015","BGR","Bulgaria","29.4342235619357"
"2015","CHN","China","88.6837843925133"
"2015","HRV","Croacia","71.8674940922305"
"2015","ROU","Rumania","41.2185773171547"
"2015","TWN","Taiwán","91.6115688440348"
"2019","AUS","Australia","26.4970199842501"
"2019","AUT","Austria","66.2239147238298"
"2019","BEL","Bélgica","51.0047163346466"
"2019","CAN","Canadá","29.3521897856907"
"2019","EST","Estonia","27.4824016515266"
"2019","FIN","Finlandia","60.2509131207404"
"2019","GRC","Grecia","31.1327581409802"
"2019","HUN","Hungría","45.5178710230141"
"2019","ISL","Islandia","18.8300452121687"
"2019","IRL","Irlanda","38.9185869130392"
"2019","ITA","Italia","66.1687549121905"
"2019","JPN","Japón","87.0478990567403"
"2019","LVA","Letonia","49.2592592592593"
"2019","LTU","Lituania","33.289561341371"
"2019","LUX","Luxemburgo","64.4960079815381"
"2019","NZL","Nueva Zelanda","30.4540420780142"
"2019","NOR","Noruega","28.3300994760897"
"2019","POL","Polonia","42.5770982090644"
"2019","PRT","Portugal","39.6993970202673"
"2019","SVK","Eslovaquia","64.4204282055276"
"2019","SVN","Eslovenia","73.6650365949775"
"2019","ESP","España","44.5372383063938"
"2019","SWE","Suecia","51.4467880461959"
"2019","CHE","Suiza","67.4646340377196"
"2019","TUR","Turquía","60.8207143104346"
"2019","USA","Estados Unidos","57.2219818260493"
"2019","ARG","Argentina","49.1824074648193"
"2019","BGR","Bulgaria","26.698280549629"
"2019","CHN","China","80.0060670490948"
"2019","HRV","Croacia","68.5746344589336"
"2019","ROU","Rumania","33.536519551091"
"2019","TWN","Taiwán","91.9210959756272"
"2019","DEU","Alemania","84.8749314059191"
"2019","CZE","Chequia","53.7166571861296"
"2019","KOR","Corea del Sur","87.4813313143094"
"2021","KOR","Corea del Sur","86.0760832532238"
"2021","DEU","Alemania","82.6783688277611"
"2021","CZE","Chequia","50.2559515922451"
"2021","AUS","Australia","25.3552309731744"
"2021","AUT","Austria","71.9285025720463"
"2021","BEL","Bélgica","43.8166330289519"
"2021","CAN","Canadá","26.2322717747226"
"2021","EST","Estonia","35.4749166310545"
"2021","FIN","Finlandia","57.0618767250083"
"2021","GRC","Grecia","34.1720774717426"
"2021","HUN","Hungría","57.1130098408813"
"2021","ISL","Islandia","23.20550447609"
"2021","IRL","Irlanda","38.8992595268841"
"2021","ITA","Italia","69.4255561539648"
"2021","JPN","Japón","85.8417362529887"
"2021","LVA","Letonia","44.9319409004183"
"2021","LTU","Lituania","33.1256747501947"
"2021","LUX","Luxemburgo","66.4594466459887"
"2021","NZL","Nueva Zelanda","25.5963894279044"
"2021","POL","Polonia","39.5478929024015"
"2021","PRT","Portugal","35.5161356083946"
"2021","SVK","Eslovaquia","51.3202993948218"
"2021","SVN","Eslovenia","73.0609447568629"
"2021","ESP","España","44.2258215788831"
"2021","SWE","Suecia","50.7457325717884"
"2021","CHE","Suiza","67.9072514103003"
"2021","TUR","Turquía","57.0714150334197"
"2021","ARG","Argentina","49.7035452398382"
"2021","BGR","Bulgaria","25.3032406911807"
"2021","CHN","China","78.6567374715465"
"2021","HRV","Croacia","43.3925488241443"
"2021","ROU","Rumania","40.6522453118208"
"2021","TWN","Taiwán","92.4333822370129"
"2011","AUS","Australia","24.5664881893707"
"2011","AUT","Austria","63.6904666727646"
"2011","BEL","Bélgica","62.9258025475598"
"2011","CZE","Chequia","52.4332379066726"
"2011","DNK","Dinamarca","51.9434278453221"
"2011","EST","Estonia","63.7876011474801"
"2011","FIN","Finlandia","76.8328146649358"
"2011","FRA","Francia","49.7453675317936"
"2011","DEU","Alemania","85.622156262622"
"2011","HUN","Hungría","62.1036085896688"
"2011","IRL","Irlanda","38.6372338174993"
"2011","ITA","Italia","73.6007316475151"
"2011","JPN","Japón","87.8710729667391"
"2011","KOR","Corea del Sur","87.5392398741292"
"2011","LVA","Letonia","50.0012732108104"
"2011","LTU","Lituania","30.9887470700323"
"2011","MEX","México","58.6541160155689"
"2011","NZL","Nueva Zelanda","44.9287510408777"
"2011","NOR","Noruega","32.7016596749069"
"2011","POL","Polonia","49.153793735539"
"2011","PRT","Portugal","35.4830780014219"
"2011","SVK","Eslovaquia","61.0542938326993"
"2011","ESP","España","46.2451913832693"
"2011","SWE","Suecia","71.0489118577818"
"2011","TUR","Turquía","53.3389326325543"
"2011","BGR","Bulgaria","11.7875211528995"
"2011","CHN","China","86.5635768796436"
"2011","HRV","Croacia","39.8888739292421"
"2011","SGP","Singapur","45.4977070702481"
"2011","TWN","Taiwán","92.4346937823724"
"2010","AUS","Australia","26.7925073039935"
"2010","BEL","Bélgica","59.9855003267829"
"2010","CZE","Chequia","52.6246239847447"
"2010","DNK","Dinamarca","52.3291145039544"
"2010","EST","Estonia","36.7239622158049"
"2010","FIN","Finlandia","79.6627762877084"
"2010","FRA","Francia","50.3554963553509"
"2010","DEU","Alemania","85.7480449318593"
"2010","HUN","Hungría","65.0073080836243"
"2010","ITA","Italia","71.6320705028772"
"2010","JPN","Japón","87.1416839312499"
"2010","KOR","Corea del Sur","87.6052072410724"
"2010","LVA","Letonia","44.562536981536"
"2010","LTU","Lituania","31.8529648623087"
"2010","MEX","México","53.4860471620379"
"2010","NLD","Países Bajos","67.861249516792"
"2010","NOR","Noruega","31.9399183964158"
"2010","POL","Polonia","50.903190897189"
"2010","PRT","Portugal","32.5684516143983"
"2010","SVK","Eslovaquia","69.1740135202764"
"2010","SVN","Eslovenia","78.0588631828656"
"2010","ESP","España","44.5772385105782"
"2010","TUR","Turquía","51.6213160291456"
"2010","GBR","Reino Unido","37.1503790327768"
"2010","BGR","Bulgaria","15.5992022880563"
"2010","CHN","China","85.83910794964"
"2010","HRV","Croacia","37.6400565145211"
"2010","ROU","Rumania","40.5034710903848"
"2010","SGP","Singapur","56.1430003329715"
"2010","TWN","Taiwán","92.0792954953638"
"2009","AUS","Australia","25.5292489086744"
"2009","AUT","Austria","67.4547635096431"
"2009","BEL","Bélgica","64.6047978059937"
"2009","CZE","Chequia","53.0318215548307"
"2009","DNK","Dinamarca","49.3458951834332"
"2009","EST","Estonia","20.5357851385007"
"2009","FIN","Finlandia","80.0483953171935"
"2009","FRA","Francia","53.2974521542155"
"2009","DEU","Alemania","85.5028161255514"
"2009","HUN","Hungría","68.0573279117736"
"2009","IRL","Irlanda","39.7817770445006"
"2009","ITA","Italia","69.6535489988653"
"2009","JPN","Japón","87.105689991589"
"2009","KOR","Corea del Sur","86.3971799112109"
"2009","LVA","Letonia","39.907798437863"
"2009","LTU","Lituania","52.6024180432999"
"2009","MEX","México","74.0027352778524"
"2009","NLD","Países Bajos","72.5510204063082"
"2009","NZL","Nueva Zelanda","45.1771653544448"
"2009","NOR","Noruega","36.4772217076675"
"2009","POL","Polonia","58.0570279023509"
"2009","PRT","Portugal","32.3965921007585"
"2009","SVK","Eslovaquia","67.3184537343387"
"2009","SVN","Eslovenia","78.8065004816951"
"2009","ESP","España","43.9752994045628"
"2009","SWE","Suecia","74.1412308553762"
"2009","TUR","Turquía","62.2711166209775"
"2009","GBR","Reino Unido","38.4965437718562"
"2009","BGR","Bulgaria","23.1506646653278"
"2009","HRV","Croacia","39.660015062422"
"2009","ROU","Rumania","45.2744161618784"
"2009","TWN","Taiwán","92.1646814955802"
"2020","BEL","Bélgica","51.224918675892"
"2020","CAN","Canadá","27.4366554023066"
"2020","DNK","Dinamarca","56.2408810616823"
"2020","FIN","Finlandia","58.9066167135866"
"2020","FRA","Francia","45.2107705627597"
"2020","DEU","Alemania","83.5032098477695"
"2020","GRC","Grecia","33.4408807851203"
"2020","HUN","Hungría","54.7655572634727"
"2020","ISL","Islandia","19.5538190604748"
"2020","ITA","Italia","68.295267302421"
"2020","JPN","Japón","89.8688843713052"
"2020","LVA","Letonia","43.3018623911977"
"2020","LTU","Lituania","26.2516155033731"
"2020","NZL","Nueva Zelanda","26.4861062300905"
"2020","NOR","Noruega","27.8557821849995"
"2020","POL","Polonia","37.2175734753081"
"2020","PRT","Portugal","36.1348348524199"
"2020","SVK","Eslovaquia","47.5146914297883"
"2020","SVN","Eslovenia","72.7474095492111"
"2020","TUR","Turquía","57.3732935182827"
"2020","USA","Estados Unidos","56.5668364753345"
"2020","ARG","Argentina","49.4416846222896"
"2020","BGR","Bulgaria","26.7737169693718"
"2020","CHN","China","79.1689087494154"
"2020","HRV","Croacia","67.4279222583492"
"2020","ROU","Rumania","40.8271751592657"
"2020","TWN","Taiwán","92.0803544668394"
"2020","CZE","Chequia","50.5896338953124"
"2020","KOR","Corea del Sur","86.7072222406699"
"2012","KOR","Corea del Sur","87.8247169179616"
"2012","CZE","Chequia","51.0770201622065"
"2012","BEL","Bélgica","59.7490630576644"
"2012","DNK","Dinamarca","56.2437068985929"
"2012","EST","Estonia","43.3700005024969"
"2012","FIN","Finlandia","72.1451366099218"
"2012","FRA","Francia","50.2137034248345"
"2012","DEU","Alemania","86.1372260057167"
"2012","HUN","Hungría","62.7176741026287"
"2012","ITA","Italia","74.2896499264506"
"2012","JPN","Japón","87.9513576980583"
"2012","LVA","Letonia","52.3751522533684"
"2012","LTU","Lituania","33.3503441629062"
"2012","MEX","México","45.3332203079491"
"2012","NOR","Noruega","32.1170760453737"
"2012","POL","Polonia","48.0724944203354"
"2012","PRT","Portugal","41.011694816642"
"2012","SVK","Eslovaquia","53.7294558630838"
"2012","SVN","Eslovenia","61.450324157579"
"2012","ESP","España","45.1755294286798"
"2012","CHE","Suiza","68.579983923686"
"2012","TUR","Turquía","53.0308264094274"
"2012","GBR","Reino Unido","39.9726423053991"
"2012","BGR","Bulgaria","15.8155874870512"
"2012","CHN","China","87.2926246285669"
"2012","HRV","Croacia","43.6812659322988"
"2012","ROU","Rumania","41.8932765230391"
"2012","SGP","Singapur","57.4642343849704"
"2012","TWN","Taiwán","91.5285975028093"
"2016","BEL","Bélgica","57.0850078978699"
"2016","CAN","Canadá","35.8382737931018"
"2016","CHL","Chile","29.7248350560175"
"2016","DNK","Dinamarca","52.7948040827449"
"2016","EST","Estonia","24.6462179439087"
"2016","FIN","Finlandia","64.2540431171753"
"2016","DEU","Alemania","84.9315570065718"
"2016","HUN","Hungría","48.2790304293469"
"2016","JPN","Japón","86.9089360342383"
"2016","LVA","Letonia","62.4814814813751"
"2016","LTU","Lituania","32.9539106143701"
"2016","MEX","México","61.4424355308663"
"2016","NOR","Noruega","29.8644183214078"
"2016","PRT","Portugal","41.8336047092075"
"2016","SVK","Eslovaquia","66.9382126913747"
"2016","SVN","Eslovenia","74.9065352050917"
"2016","TUR","Turquía","58.2048122944191"
"2016","ARG","Argentina","53.6837396889571"
"2016","BGR","Bulgaria","34.5599443757613"
"2016","CHN","China","87.1236478696895"
"2016","HRV","Croacia","64.1056842589217"
"2016","ROU","Rumania","36.5697305553676"
"2016","TWN","Taiwán","91.5978856256107"
"2016","FRA","Francia","50.1432362331398"
"2016","ESP","España","46.3744176220209"
"2016","CZE","Chequia","53.4975430274648"
"2016","KOR","Corea del Sur","88.9934127702783"
"2014","KOR","Corea del Sur","88.915174841918"
"2014","CZE","Chequia","51.6464650116375"
"2014","ESP","España","45.6326663135668"
"2014","BEL","Bélgica","55.2031555539754"
"2014","CHL","Chile","30.2348053212271"
"2014","DNK","Dinamarca","58.0008148713512"
"2014","EST","Estonia","21.540667633149"
"2014","FIN","Finlandia","70.9014627564386"
"2014","DEU","Alemania","86.8165589076511"
"2014","HUN","Hungría","51.4796070963841"
"2014","ITA","Italia","70.7716190233345"
"2014","JPN","Japón","86.5213493509142"
"2014","LVA","Letonia","51.9031141669239"
"2014","LTU","Lituania","42.9170677952127"
"2014","MEX","México","60.428553893631"
"2014","NOR","Noruega","31.6634817720934"
"2014","POL","Polonia","45.6194155700256"
"2014","PRT","Portugal","41.4842288331307"
"2014","SVK","Eslovaquia","67.355824187291"
"2014","SVN","Eslovenia","66.0788824760342"
"2014","TUR","Turquía","51.8394935201428"
"2014","BGR","Bulgaria","17.5992145693057"
"2014","CHN","China","88.2720628627273"
"2014","HRV","Croacia","52.1160072726752"
"2014","ROU","Rumania","51.6786480247304"
"2014","TWN","Taiwán","91.4980800854223"
"2018","BEL","Bélgica","54.4734432503631"
"2018","CAN","Canadá","31.7462600661124"
"2018","EST","Estonia","28.4810126556733"
"2018","FIN","Finlandia","61.3877782673145"
"2018","DEU","Alemania","85.3998471613734"
"2018","JPN","Japón","86.533672659983"
"2018","LVA","Letonia","47.8617710643124"
"2018","LTU","Lituania","38.5826285849254"
"2018","NZL","Nueva Zelanda","31.6992106301653"
"2018","NOR","Noruega","28.881580885122"
"2018","POL","Polonia","43.2455095781048"
"2018","PRT","Portugal","41.0162167081772"
"2018","SVK","Eslovaquia","69.7301250696967"
"2018","SVN","Eslovenia","73.762946431902"
"2018","TUR","Turquía","58.9654788531774"
"2018","USA","Estados Unidos","59.8598701352594"
"2018","ARG","Argentina","47.3305929258069"
"2018","BGR","Bulgaria","33.0200659948132"
"2018","CHN","China","82.0415640979343"
"2018","HRV","Croacia","66.1367343341327"
"2018","ROU","Rumania","33.5446962744759"
"2018","TWN","Taiwán","91.5389643069504"
"2018","ESP","España","45.3522794697301"
"2018","CZE","Chequia","54.5930664990627"
"2018","ITA","Italia","67.2583374899253"
"2018","KOR","Corea del Sur","88.8468022879665"
"2008","AUS","Australia","25.4921578484719"
"2008","BEL","Bélgica","64.7078906869248"
"2008","CZE","Chequia","54.2288760047636"
"2008","EST","Estonia","22.6760422334352"
"2008","FIN","Finlandia","79.6644679182601"
"2008","FRA","Francia","57.8216473520164"
"2008","DEU","Alemania","88.5062835063816"
"2008","HUN","Hungría","73.118045374236"
"2008","ITA","Italia","71.1499710216553"
"2008","JPN","Japón","87.1550491570048"
"2008","LVA","Letonia","25.3005927254081"
"2008","LTU","Lituania","41.2488158547307"
"2008","MEX","México","77.1157312264171"
"2008","NLD","Países Bajos","71.4041421218366"
"2008","NOR","Noruega","36.9001378247287"
"2008","POL","Polonia","47.7451021685089"
"2008","PRT","Portugal","35.2409352461215"
"2008","SVK","Eslovaquia","62.5588575496388"
"2008","CHE","Suiza","74.6744574328268"
"2008","GBR","Reino Unido","38.9920717387825"
"2008","BGR","Bulgaria","41.1326054378284"
"2008","CHN","China","86.6232646777101"
"2008","HRV","Croacia","47.3027415480345"
"2008","ROU","Rumania","43.697760363865"
"2008","TWN","Taiwán","92.5618329249258"
"2007","AUT","Austria","69.8107518895396"
"2007","CZE","Chequia","54.7315434724074"
"2007","EST","Estonia","33.5100211198357"
"2007","FRA","Francia","58.6520283123112"
"2007","DEU","Alemania","88.1496026398638"
"2007","HUN","Hungría","73.365440444622"
"2007","ITA","Italia","69.5579976032885"
"2007","JPN","Japón","88.0636274392125"
"2007","MEX","México","69.2892397153045"
"2007","NZL","Nueva Zelanda","47.8873239386074"
"2007","POL","Polonia","50.2394233935772"
"2007","PRT","Portugal","35.987297054757"
"2007","SVK","Eslovaquia","49.0844194749913"
"2007","SWE","Suecia","69.4851439630413"
"2007","GBR","Reino Unido","42.543856335331"
"2007","BGR","Bulgaria","34.0410274599535"
"2007","HRV","Croacia","29.563670688155"
"2007","TWN","Taiwán","92.7697255569498"
"2006","AUS","Australia","30.3474084773641"
"2006","AUT","Austria","71.030864003781"
"2006","CZE","Chequia","60.5684461084128"
"2006","HUN","Hungría","76.337596337576"
"2006","POL","Polonia","45.8752623159683"
"2006","SVK","Eslovaquia","47.1587605937313"
"2006","BGR","Bulgaria","41.449644870458"
"2006","HRV","Croacia","40.2279470573439"
"2006","TWN","Taiwán","92.0413331081464"
"2005","HUN","Hungría","79.0712503652628"
"2005","NZL","Nueva Zelanda","52.3552631599543"
"2005","POL","Polonia","49.528275240331"
"2005","SVK","Eslovaquia","44.8668895211642"
"2005","HRV","Croacia","41.708086066842"
"2005","TWN","Taiwán","92.2501006006246"
"2022","ISL","Islandia","25.9716990634546"
"2022","JPN","Japón","84.6516131846787"
"2022","TUR","Turquía","59.2579601852421"
"2022","ARG","Argentina","49.5769518005021"
"2022","CHN","China","77.9761327283422"
"2022","TWN","Taiwán","92.6578779349104"
"2004","TWN","Taiwán","91.5890018022272"
"1994","MEX","México","56.5883826568878"
"1995","MEX","México","66.2939065763331"
"1996","MEX","México","63.9547462206206"
"1997","MEX","México","62.7922667347375"
"1998","MEX","México","80.3982733078145"
"1999","MEX","México","79.5553585345986"
"2000","MEX","México","50.5084467924919"
"2001","MEX","México","53.809014160284"
"2002","MEX","México","80.5777856032164"
"2003","MEX","México","79.6687995327305"
"2005","MEX","México","80.847853211682"
"2006","MEX","México","67.2007858452217"
"1994","WLD","Mundo","56.5883826568878"
"1995","WLD","Mundo","66.2939065763331"
"1996","WLD","Mundo","34.3768276853849"
"1997","WLD","Mundo","31.3465492851954"
"1998","WLD","Mundo","48.8271905066067"
"1999","WLD","Mundo","49.5807524466546"
"2000","WLD","Mundo","80.1457903710413"
"2001","WLD","Mundo","81.7453861906681"
"2002","WLD","Mundo","86.3372965696348"
"2003","WLD","Mundo","85.2049131120251"
"2004","WLD","Mundo","84.6465231039125"
"2005","WLD","Mundo","83.9828992259159"
"2006","WLD","Mundo","83.1825017925314"
"2007","WLD","Mundo","77.4325828264979"
"2008","WLD","Mundo","73.3839208843277"
"2009","WLD","Mundo","73.0720133411782"
"2010","WLD","Mundo","72.280929805806"
"2011","WLD","Mundo","73.2206568374856"
"2012","WLD","Mundo","73.3904677336826"
"2013","WLD","Mundo","73.6193834035697"
"2014","WLD","Mundo","68.671312256949"
"2015","WLD","Mundo","68.177537590741"
"2016","WLD","Mundo","68.6040067117754"
"2017","WLD","Mundo","67.7513186917438"
"2018","WLD","Mundo","65.5415332041441"
"2019","WLD","Mundo","64.7246491357478"
"2020","WLD","Mundo","64.3465992733076"
"2021","WLD","Mundo","65.2901218176763"
"2022","WLD","Mundo","73.0222854803171"
