"anio","provincia_id","provincia","prop_industrial"
"2007","14","Córdoba","0.18254656349188"
"2007","30","Entre Ríos","0.147221136783926"
"2007","34","Formosa","0.0757152763574062"
"2007","38","Jujuy","0.173041563234465"
"2007","42","La Pampa","0.0569845430083874"
"2007","46","La Rioja","0.277743389748938"
"2007","50","Mendoza","0.226421947301709"
"2007","54","Misiones","0.240120711438707"
"2007","58","Neuquén","0.0660442405017483"
"2007","62","Río Negro","0.0727655564486688"
"2007","66","Salta","0.126297971009646"
"2007","70","San Juan","0.230043356807147"
"2007","74","San Luis","0.446651551678929"
"2007","78","Santa Cruz","0.0261419635395256"
"2007","82","Santa Fe","0.260902686351109"
"2007","86","Santiago del Estero","0.130882732655073"
"2007","94","Tierra del Fuego","0.195527566299156"
"2007","90","Tucumán","0.155654072721625"
"2008","6","Buenos Aires","0.328396920855575"
"2008","2","CABA","0.153375009987925"
"2008","10","Catamarca","0.111697779502999"
"2008","22","Chaco","0.0951574541903638"
"2008","26","Chubut","0.167175849457393"
"2008","18","Corrientes","0.0964887257362236"
"2008","14","Córdoba","0.188776298244411"
"2008","30","Entre Ríos","0.149624067515892"
"2008","34","Formosa","0.0786689478269208"
"2008","38","Jujuy","0.169196204204867"
"2008","42","La Pampa","0.0557189368866364"
"2008","46","La Rioja","0.273390442699476"
"2008","50","Mendoza","0.228056345299575"
"2008","54","Misiones","0.235389894722996"
"2008","58","Neuquén","0.0637948971743001"
"2008","62","Río Negro","0.0749181884815335"
"2008","66","Salta","0.124361488305792"
"2008","70","San Juan","0.223728657739819"
"2008","74","San Luis","0.43827311312666"
"2008","78","Santa Cruz","0.0282743383983195"
"2008","82","Santa Fe","0.265983708440152"
"2008","86","Santiago del Estero","0.131148957672985"
"2008","94","Tierra del Fuego","0.177629125595364"
"2008","90","Tucumán","0.156332426742094"
"2009","6","Buenos Aires","0.326442591798666"
"2009","2","CABA","0.148297490703568"
"2009","10","Catamarca","0.110472405586808"
"2009","22","Chaco","0.107891205447283"
"2009","26","Chubut","0.15115419833042"
"2009","18","Corrientes","0.0971054977419522"
"2009","14","Córdoba","0.188655387056915"
"2009","30","Entre Ríos","0.160154951441465"
"2009","34","Formosa","0.0765575019750187"
"2009","38","Jujuy","0.166868473530751"
"2009","42","La Pampa","0.0562619574154768"
"2009","46","La Rioja","0.265503330457518"
"2009","50","Mendoza","0.230513070259539"
"2009","54","Misiones","0.222869703969359"
"2009","58","Neuquén","0.0604627839873199"
"2009","62","Río Negro","0.0726095024052982"
"2009","66","Salta","0.117290479444692"
"2009","70","San Juan","0.209758919986189"
"2009","74","San Luis","0.424477724679144"
"2009","78","Santa Cruz","0.026521273557613"
"2009","82","Santa Fe","0.265789890015721"
"2009","86","Santiago del Estero","0.142011371453499"
"2009","94","Tierra del Fuego","0.151785435438102"
"2009","90","Tucumán","0.152323947726413"
"2010","6","Buenos Aires","0.324943207994931"
"2010","2","CABA","0.15135002224811"
"2010","10","Catamarca","0.12521529188523"
"2010","22","Chaco","0.0992627525965113"
"2010","26","Chubut","0.164787316962217"
"2010","18","Corrientes","0.098932156795208"
"2010","14","Córdoba","0.190994819138091"
"2010","30","Entre Ríos","0.14711392662897"
"2010","34","Formosa","0.0750958577923623"
"2010","38","Jujuy","0.166626699121125"
"2010","42","La Pampa","0.0562360854590082"
"2010","46","La Rioja","0.270099484930721"
"2010","50","Mendoza","0.229534780660886"
"2010","54","Misiones","0.221219423818895"
"2010","58","Neuquén","0.0689854002398555"
"2010","62","Río Negro","0.0703079978686968"
"2010","66","Salta","0.120701840986778"
"2010","70","San Juan","0.193929100872335"
"2010","74","San Luis","0.434674403009916"
"2010","78","Santa Cruz","0.0269455931564542"
"2010","82","Santa Fe","0.254892998043348"
"2010","86","Santiago del Estero","0.115168447303046"
"2010","94","Tierra del Fuego","0.244335645906796"
"2010","90","Tucumán","0.155539064919089"
"2011","6","Buenos Aires","0.32623178700446"
"2011","2","CABA","0.153208138133998"
"2011","10","Catamarca","0.132638361779425"
"2011","22","Chaco","0.0966161926327351"
"2011","26","Chubut","0.173615214431067"
"2011","18","Corrientes","0.0944751374181794"
"2011","14","Córdoba","0.201779068187283"
"2011","30","Entre Ríos","0.152392739224588"
"2011","34","Formosa","0.0755473384075224"
"2011","38","Jujuy","0.167909448700376"
"2011","42","La Pampa","0.0538183246687547"
"2011","46","La Rioja","0.276032749042156"
"2011","50","Mendoza","0.241450490899417"
"2011","54","Misiones","0.218234512230899"
"2011","58","Neuquén","0.0730478912375714"
"2011","62","Río Negro","0.0709037370472053"
"2011","66","Salta","0.130132822783705"
"2011","70","San Juan","0.196729145848246"
"2011","74","San Luis","0.436228383103552"
"2011","78","Santa Cruz","0.0301703570334682"
"2011","82","Santa Fe","0.264771834567365"
"2011","86","Santiago del Estero","0.103715822087776"
"2011","94","Tierra del Fuego","0.319303410021635"
"2011","90","Tucumán","0.156900004369105"
"2012","6","Buenos Aires","0.320548887272097"
"2012","2","CABA","0.146101387457595"
"2012","10","Catamarca","0.125009245807068"
"2012","22","Chaco","0.100520062616859"
"2012","26","Chubut","0.170983270315758"
"2012","18","Corrientes","0.0916910754556357"
"2012","14","Córdoba","0.201537052454567"
"2012","30","Entre Ríos","0.153992081873017"
"2012","34","Formosa","0.0703835407821537"
"2012","38","Jujuy","0.155918499446912"
"2012","42","La Pampa","0.048992250299921"
"2012","46","La Rioja","0.266030598164826"
"2012","50","Mendoza","0.240974705305727"
"2012","54","Misiones","0.211040363938547"
"2012","58","Neuquén","0.0725608255739312"
"2012","62","Río Negro","0.0663353831200019"
"2012","66","Salta","0.137315439617894"
"2012","70","San Juan","0.191503600421095"
"2012","74","San Luis","0.4308985112065"
"2012","78","Santa Cruz","0.0279119009875236"
"2012","82","Santa Fe","0.261739442203885"
"2012","86","Santiago del Estero","0.126221555202495"
"2012","94","Tierra del Fuego","0.330627929510524"
"2012","90","Tucumán","0.153754745216388"
"2013","6","Buenos Aires","0.320659889870682"
"2013","2","CABA","0.142884210089682"
"2013","10","Catamarca","0.132251375659129"
"2013","22","Chaco","0.100213389283518"
"2013","26","Chubut","0.174051753377614"
"2013","18","Corrientes","0.0926153031357746"
"2013","14","Córdoba","0.192433600959048"
"2013","30","Entre Ríos","0.151463414242353"
"2013","34","Formosa","0.0694844012302864"
"2013","38","Jujuy","0.153849175400894"
"2013","42","La Pampa","0.0489581649174229"
