"anio","region","industry_gdp","prop_industry_gdp"
"2002","África","161039894604.17","2.17481672878527"
"2003","América Latina","639818607654.632","8.27246302508092"
"2003","Asia","2588775026709.02","33.4712767532749"
"2003","Estados Unidos","1782654449494.47","23.0486310393449"
"2003","Europa","2288841227756.91","29.5933162936713"
"2003","Otros","273173591709.661","3.53196735732723"
"2003","África","161055227983.886","2.08234553130072"
"2004","América Latina","684350327439.151","8.24769286480429"
"2004","Asia","2894575932345.69","34.8850176680372"
"2004","Estados Unidos","1908454576552.91","23.0004232667487"
"2004","Europa","2367139311301.41","28.5284264871698"
"2004","Otros","277321642671.594","3.3422410157635"
"2004","África","165634105760.811","1.99619869747654"
"2005","América Latina","708500921424.665","8.18326562132344"
"2005","Asia","3107390022839.15","35.8907055403835"
"2005","Estados Unidos","1966251820359.23","22.71043048477"
"2005","Europa","2422648604029.96","27.9818648563516"
"2005","Otros","280378523917.806","3.23840360167825"
"2005","África","172754146684.35","1.99532989549319"
"2006","América Latina","738513517569.688","7.99212104587733"
"2006","Asia","3390641772092.05","36.6931935856009"
"2006","Estados Unidos","2079451106876.25","22.5036164670748"
"2006","Europa","2570171249110.83","27.8141418441798"
"2006","Otros","278646085323.771","3.015480678263"
"2006","África","183095942470.607","1.98144637900416"
"2007","América Latina","765488811150.085","7.81677024093579"
"2007","Asia","3735248800480.77","38.1424016142342"
"2007","Estados Unidos","2150161608757.13","21.9563225898544"
"2007","Europa","2671298212347.05","27.2778962498061"
"2007","Otros","277281825331.863","2.83145656609931"
"2007","África","193424812994.084","1.97515273907026"
"2008","América Latina","783652296552.802","7.89640450991676"
"2008","Asia","3933675951004.58","39.6373451040741"
"2008","Estados Unidos","2105798318917.22","21.2188944199089"
"2008","Europa","2637254074718.74","26.5740623245941"
"2008","Otros","261553768546.807","2.63552390087275"
"2008","África","202231653037.488","2.03776974063336"
"2009","América Latina","719673142531.501","7.71851528649591"
"2009","Asia","3990619906679.44","42.7995140182016"
"2009","Estados Unidos","1907725602306.28","20.4604123089061"
"2009","Europa","2265258876024.23","24.2949670192789"
"2009","Otros","238995421293.216","2.56323281172532"
"2009","África","201711208981.537","2.16335855539227"
"2010","América Latina","766310867781.013","7.52882803114867"
"2010","Asia","4453377928337.56","43.7534139079286"
